科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"8,875,364.29","26,793,325.07","45,536,069.11","33,971,302.30","222,411,208.87","194,917,826.24","175,251,383.35","156,596,879.74","127,240,396.75","93,636,579.09","81,338,416.28","78,405,134.35","86,600,656.64","82,376,146.14","71,182,557.51","75,042,001.23","108,053,520.06","218,566,850.56","203,432,856.29","131,773,302.93","208,561,923.21","127,135,735.63","989,362,962.30","841,706,578.08","773,674,083.35","786,381,400.01"
短期借款,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00","40,000,000.00","92,829,696.24","181,913,115.97","139,812,763.41","270,608,344.97","158,673,081.43","255,387,504.19","276,651,870.34","236,260,922.66","337,341,555.12"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,517,775.19","1,865,307.96","845,924.46","1,724,399.98","2,341,594.12","680,008.31","833,306.63","1,353,991.19","1,158,626.80","3,270,567.18","804,416.37","5,040,339.75","7,963,333.39","11,368,159.84","14,799,374.25","15,003,022.43","20,657,379.07","18,199,518.82","34,028,358.53","35,359,149.88","29,085,389.66","26,583,993.44","30,769,615.34","22,280,452.51","19,120,720.80","37,999,451.87"
应付票据,,,,,,,,,,,,"1,902,398.08","1,902,398.08",,,,,"12,576,655.20","36,400,000.00","59,142,289.22","27,615,698.06","27,615,698.06","50,000,000.00","62,000,000.00","61,274,578.45","68,648,294.41"
应收账款,"13,021,212.61","18,800,418.34","32,479,019.69","33,199,286.18","36,344,903.93","42,869,015.49","40,752,181.81","44,274,050.06","48,475,835.89","52,936,268.61","58,891,244.04","60,724,849.76","64,834,599.79","71,692,182.94","72,445,582.33","78,113,243.22","83,315,951.96","321,988,385.67","258,245,056.32","261,040,229.22","273,162,244.03","407,682,448.02","241,123,296.18","230,326,515.24","326,669,822.54","480,379,253.37"
应付账款,"13,280,783.75","26,430,111.28","27,094,777.12","18,987,754.79","21,577,677.46","29,074,522.05","24,551,145.08","28,959,591.65","41,634,596.69","41,599,826.39","42,085,176.88","42,384,439.54","51,315,988.17","56,022,638.79","46,029,274.09","47,508,250.45","53,437,327.23","350,698,310.44","272,922,225.69","283,033,248.54","288,954,284.60","391,073,158.07","290,113,040.09","238,854,315.46","264,965,435.61","303,648,025.46"
预付款项,"616,770.01","817,998.75","2,290,983.29","2,528,524.05","679,196.66","2,666,957.47","30,298,073.39","44,026,681.39","57,796,055.25","56,828,272.28","10,009,609.23","12,199,624.70","4,169,206.29","38,454,463.97","625,864.88","3,839,806.74","3,887,178.97","17,520,609.19","12,836,323.12","31,227,349.73","30,085,065.34","56,315,627.60","31,095,056.64","52,549,824.38","69,637,604.47","24,889,190.15"
预收款项,"1,423,709.07","730,442.28","1,185,851.91","1,646,270.85","2,265,295.56","3,214,426.73","4,364,232.82","4,619,299.89","5,877,181.66","5,655,184.84","7,601,953.47","6,100,772.37","3,726,075.67","4,428,505.65","1,842,981.69","2,560,728.91","2,243,572.38","24,367,416.26","22,644,065.08","37,658,747.66","20,353,931.29","24,404,132.88","36,716,279.77","35,892,763.56","29,976,660.87","31,894,677.82"
其他应收款,"569,981.43","534,927.31","1,314,275.11","3,645,039.03",,"1,759,402.91","1,523,340.28","1,631,375.61","3,565,043.56","3,682,981.92","2,747,176.38","5,055,819.94","5,520,190.04","5,277,660.26","4,970,295.66","5,400,990.45","6,273,750.85","18,565,267.69","17,175,907.41","19,069,456.18","32,454,797.54","9,142,519.03","6,330,091.77","8,004,846.26","11,116,692.91","8,856,420.59"
应付职工薪酬,"768,009.82","1,921,769.68","1,322,071.12","522,071.12","574,278.23","574,278.23","1,003,737.89","1,003,737.89","1,005,597.89","1,009,825.89","2,521,388.89","1,003,737.89","1,003,737.89","1,003,737.89","2,003,737.89","1,003,737.89","1,003,737.89","11,653,602.17","9,499,632.44","8,917,333.10","8,588,169.26","11,116,766.93","16,022,121.22","12,376,845.93","11,421,480.64","17,662,956.55"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"955,190.22","-1,839,489.84","872,042.62","533,922.34","746,754.39","1,328,349.34","-175,002.54","-2,019,634.48","-6,111,855.86","-10,622,402.18","2,156,032.46","2,713,770.86","1,168,018.01","1,044,969.98","3,012,025.97","1,772,435.66","2,445,345.03","13,791,414.59","22,337,973.98","22,565,004.72","3,708,638.11","11,796,386.92","14,005,928.31","9,756,612.14","7,295,893.32","14,012,327.29"
应收利息,,,,,"487,585.12","1,311,409.63","270,416.43","186,660.75","202,682.28","75,899.98","183,082.74","194,367.28","175,439.79","100,842.25","258,195.56","281,654.95","115,488.13","149,377.19","29,690.01","28,000.26","46,076.52","24,061.36",,"1,286,025.01","4,703,168.34","7,392,320.01"
