科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"29,259,498.39","29,900,359.88","27,577,761.85","28,150,574.96","26,552,009.75","25,485,547.91","23,966,286.03","127,457.90","133,288.30","87,411.12","85,041.32","68,962.44","25,242.91","38,211.97","42,947.44","83,386.72","49,864.75","56,274.64","4,141,372.37","5,574,893.13","3,859,140.30","3,246,422.39","31,772,691.76","32,159,799.49","31,521,120.47","30,870,604.61","30,675,340.91","2,072,326.16","460,954.85","3,538,042,927.29"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,989,806,563.42"
交易性金融资产,"3,490,730.00","3,742,062.56","4,900,984.92",,,,,,,,,,,,,,,,,,,,,,,,,,"32,000,000.00","449,139,989.41"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,132,238.50"
应收票据,"300,000.00",,,,,,"246,023.00",,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"707,002,287.24"
应收账款,"17,686,300.70","18,420,958.31","16,538,350.66","5,481,821.22","4,418,471.40","4,221,568.22","5,780,373.24","19,999.10","19,999.10","19,999.10","19,999.10","3,073.40","3,073.40","3,073.40","3,073.40","1,519.50","1,519.50","1,519.50",,,,,,,,,,,,"1,266,609,659.13"
应付账款,"2,897,884.99","6,218,368.79","2,159,710.49","726,306.64","519,193.91","382,160.00","60,167.54","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,185,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,184,143.79","1,857,923,962.51"
预付款项,"1,123,491.51","922,184.28","1,359,500.20","247,804.36","248,947.37","247,054.46","166,290.81",,,,,,,,,,,,,,,,,,,,,,,"97,232,278.30"
预收款项,"6,633,606.51","6,586,928.53","2,507,026.92",,,,"70,000.00","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","1,164,701.92","62,145,549.80"
