科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"10,724,368,757.95","18,010,978,159.86","19,884,137,300.70","16,620,075,778.00","27,019,089,141.12","20,667,621,764.72","15,505,068,463.08","22,174,207,022.33","26,000,800,570.89","32,992,895,174.15","34,043,355,912.19","30,499,789,547.69","42,775,234,664.51","40,814,586,621.70","43,245,284,314.71","61,261,577,988.47","64,383,584,659.15","61,408,634,542.71","64,719,868,714.68","72,158,565,902.59","79,846,184,573.29","78,240,822,445.25","69,859,212,150.13","60,846,425,921.76","73,035,388,392.71","90,838,587,480.69","72,401,594,322.32","89,097,639,504.38","88,045,297,606.78","93,641,540,770.84","89,278,398,322.58","87,948,624,133.99","71,452,073,682.39","74,177,238,930.13","67,987,196,188.08","72,672,666,192.62","79,731,657,737.33","80,013,028,224.66","86,032,018,720.55","105,932,535,526.29","112,211,369,882.36","108,137,172,846.21","111,819,012,119.71","121,611,119,762.58","127,419,848,548.62","117,416,289,530.40","100,435,567,654.10","123,771,376,378.50","109,866,920,338.90"
短期借款,"526,820,974.90","1,513,460,567.94","14,082,174,230.84","2,292,309,510.11","1,812,567,361.74","6,118,707,996.01","4,225,340,407.52","4,326,246,516.04","3,093,190,000.00","7,442,052,855.39","3,817,802,298.22","1,744,977,672.07","1,408,567,020.00","794,600,000.00","744,067,020.00","4,675,391,291.78","3,931,630,353.53","4,194,036,226.81","1,551,504,658.90","5,859,252,494.44","6,016,460,026.39","5,624,887,060.41","3,384,738,605.89","5,798,812,190.73","5,622,875,833.09","4,962,072,461.68","5,082,926,558.97","5,251,574,760.18","5,787,670,237.13","5,686,072,812.76","5,448,501,062.10","5,505,253,039.46","6,011,741,461.95","5,429,931,693.99","5,047,386,908.58","4,908,346,545.97","5,735,251,271.39","5,816,904,030.52","8,014,614,317.93","8,728,150,584.10","11,089,235,349.35","11,384,407,752.60","10,330,196,660.88","15,717,398,963.92","26,553,725,577.75","19,109,988,200.81","18,830,006,738.28","16,726,440,287.46","21,964,544,630.85"
交易性金融资产,"448,614,540.54","105,992,735.99","851,651,629.10","219,442,655.80","602,045,214.99","446,580,158.33","280,036,800.00","274,803,394.00","189,055,300.00","328,665,385.22","155,077,320.31","76,913,729.46","154,259,306.75","87,335,672.56","266,544,479.10","843,892,302.33","636,746,815.49","1,193,035,514.16","792,455,758.18","759,037,792.49","864,103,124.11","775,988,592.51","29,162,317.17","42,839,755.99","33,387,471.40","23,689,813.00","120,307,773.65","17,906,491.20","414,044,352.74","393,005,978.91","2,290,074,565.01","179,263,543.85","286,069,129.28","359,047,054.66","323,987,552.14","1,221,103,619.65","2,197,887,583.47","2,344,044,440.30","2,160,074,347.53","1,559,753,224.57","1,733,452,034.19","1,540,591,551.26","525,058,601.77","4,795,191,451.72","6,140,134,787.88","6,943,989,989.17","27,027,546,679.72","26,561,958,372.83","28,414,080,794.08"
交易性金融负债,"49,248,253.14","21,383,003.27","560,660,014.71","2,190,707,873.31","2,097,484,026.64","1,956,601,406.91","1,503,075,560.52",,,,,,,"249,157,843.86","81,060,050.03","61,058,097.54","18,187,010.71","9,149,383.48","16,590,932.77","4,263,656.99",,,,,,,,"7,155,000.00",,,,,,,,"7,486,291.00",,"4,832,228.90",,,,,,"203,623,811.66","396,246,294.73","887,744,911.08","943,727,512.07","977,399,765.77","983,788,592.18"
应收票据,"6,475,450,502.89","6,086,210,824.79","4,788,978,076.12","11,759,356,853.14","12,130,183,952.50","13,913,521,041.58","9,960,722,811.62","12,572,857,348.92","6,076,671,931.79","14,887,653,925.66","9,505,219,076.95","16,428,574,351.72","16,197,393,993.93","17,847,923,965.90","22,572,641,709.18","28,303,292,841.60","29,418,485,804.49","25,860,733,365.06","33,915,397,614.64","40,149,264,950.36","42,986,787,522.26","32,273,631,474.77","34,264,773,137.81","24,942,718,373.67","23,902,170,901.70","22,359,535,367.69","23,167,773,813.03","29,238,845,252.60","31,256,856,026.49","25,789,449,724.50","24,201,266,414.97","31,144,243,041.67","31,131,315,599.98","25,807,744,995.50","25,562,616,655.22","36,273,968,771.39","27,984,400,775.74","18,523,884,265.36","22,869,603,833.30","30,038,463,383.46","27,560,428,048.64","23,351,866,724.74","17,184,387,065.22","29,641,741,952.44","30,638,991,908.92","22,718,676,167.06","24,777,740,242.46","20,960,437,399.34","22,010,178,438.84"
应付票据,"3,032,423,293.01","2,754,743,002.71","3,400,419,197.10","2,474,526,861.30","1,832,356,933.74","1,882,419,748.57","1,404,710,372.41","831,092,927.35","1,347,408,942.21","1,343,931,210.31","877,313,377.84","697,220,433.91","790,638,496.32","846,924,091.72","586,206,078.36","532,530,698.26","359,630,846.12","445,150,490.91","1,927,862,897.02","5,024,404,818.28","3,704,151,582.14","3,859,224,691.38","3,843,932,095.24","3,083,732,165.14","3,493,643,927.79","3,875,897,110.87","4,170,839,041.48","4,393,002,801.01","4,610,381,811.87","4,621,499,803.58","4,038,565,781.78","5,574,215,320.69","6,119,478,767.86","4,689,957,953.16","6,456,445,832.52","7,282,802,230.82","5,472,268,546.62","8,749,440,853.94","6,568,372,124.36","11,740,912,162.92","17,399,540,370.39","18,378,128,097.08","10,565,567,501.50","16,541,420,529.40","16,184,988,104.45","15,473,350,581.79",,"29,561,215,637.83",
应收账款,"2,664,299,980.56","3,838,758,271.38","3,516,357,733.00","4,196,560,876.22","4,229,547,505.17","4,762,213,079.48","4,811,474,070.18","2,859,892,213.33","3,339,284,919.20","4,121,821,756.23","4,884,036,338.79","4,066,816,275.22","5,398,357,890.13","6,135,124,955.44","6,265,669,563.42","3,482,268,799.77","7,654,453,571.17","5,171,746,035.75","5,818,914,850.60","11,970,414,523.06","15,402,352,383.86","15,406,589,695.26","17,107,730,260.54","15,427,853,242.07","20,793,570,211.87","20,480,033,957.71","21,361,646,740.24","19,244,289,149.61","25,564,887,345.33","22,786,022,745.32","22,812,958,411.40","20,696,097,314.82","25,063,301,532.44","26,886,998,777.33","29,590,492,700.48","29,332,370,952.75","36,079,809,120.37","34,173,342,851.72","38,048,802,781.79","30,662,080,933.17","39,007,363,690.91","38,981,357,484.43","43,567,852,887.85","34,667,807,134.14","44,200,151,131.51","39,450,947,778.61","42,267,470,338.30","40,129,806,051.07","48,199,725,529.82"
应付账款,"9,096,551,862.63","10,137,300,343.67","7,900,404,997.04","16,383,786,951.41","16,387,693,267.33","34,147,354,949.95","20,853,324,842.90","18,186,840,615.12","14,583,465,482.08","20,840,245,779.77","18,357,267,776.39","24,069,142,176.39","48,474,951,046.26","47,081,550,796.79","48,926,410,770.10","53,284,557,479.70","60,105,818,499.78","54,552,460,228.82","63,023,697,058.65","73,210,344,869.39","85,422,335,276.01","75,152,261,111.83","70,635,486,194.33","47,809,876,107.19","53,614,179,808.04","52,698,769,909.16","56,429,481,914.88","61,076,035,671.86","64,837,674,455.76","66,776,620,936.62","67,483,935,742.90","66,027,244,570.41","75,437,372,201.87","96,883,625,918.83","84,595,568,951.82","99,034,578,618.58","106,181,229,605.86","95,788,631,735.84","110,147,823,905.51","104,730,635,798.55","106,728,375,854.97","122,043,831,998.60","125,872,526,552.59","121,119,412,722.34","132,175,069,075.73","131,458,474,043.84",,"125,265,496,964.04",
预付款项,"1,117,872,253.61","1,073,510,430.53","1,744,634,985.72","1,665,038,978.48","1,471,092,423.07","1,971,916,985.97","2,560,154,272.35","2,205,904,508.58","3,990,140,488.23","4,360,366,703.36","4,553,899,240.46","4,681,377,451.29","5,793,521,431.27","3,907,561,417.18","2,456,841,213.68","10,811,424,669.95","6,016,678,366.12","6,683,923,369.16","10,227,007,003.70","12,747,982,507.24","8,596,212,443.16","9,182,222,421.34","10,854,425,068.73","19,977,601,440.37","21,431,950,547.52","11,162,735,119.15","17,950,658,485.22","32,046,375,065.44","26,229,374,947.43","10,355,589,386.08","11,812,878,858.92","21,298,374,862.24","8,691,516,309.10","6,785,479,428.28","6,657,878,133.18","13,388,651,691.99","8,535,120,540.01","8,697,499,461.29","8,708,971,621.99","20,529,658,025.70","8,539,840,048.99","9,521,174,760.98","8,274,884,801.88","29,835,194,963.01","28,949,674,741.61","18,519,741,450.25","11,510,285,408.62","18,693,772,988.65","26,093,805,401.10"
预收款项,"1,837,993,399.05","1,929,110,321.25","2,427,415,302.21","3,352,284,606.90","3,530,021,767.56","2,729,602,069.40","2,168,673,670.10","3,122,965,082.76","3,628,386,945.32","3,686,975,888.92","4,980,529,925.22","7,765,268,747.02","5,877,537,805.45","4,425,177,424.82","4,761,999,486.81","13,839,710,534.20","5,854,070,011.78","4,196,008,196.52","6,311,616,119.51","17,683,150,343.49","11,306,438,771.73","8,582,572,629.23","11,355,456,297.35","21,911,629,511.49","10,692,180,585.16","10,123,626,322.94","11,114,101,567.91","27,031,992,611.61","12,662,757,416.01","12,346,849,740.86","13,860,178,669.24","27,430,862,400.76","14,906,506,212.08","17,258,991,153.51","15,606,593,729.85","18,317,063,798.28","12,042,260,399.15","10,796,675,863.80","16,789,576,703.96","22,675,737,991.07","17,392,887,143.42","13,158,299,401.81","17,897,661,637.65","27,177,408,061.93","21,242,533,845.23","13,263,715,737.15","10,266,982,136.20","15,354,857,292.90","9,551,343,111.18"
