科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"2,594,732.26","3,378,711.01","5,908,007.03","2,590,129.58","1,766,275.19","7,763,029.89","2,644,020.45","4,521,771.06","1,624,123.61","1,871,435.48","3,192,924.22","3,825,487.22","1,531,153.89","4,457,825.31","1,778,209.05","3,926,859.95","1,901,444.89","4,313,814.32"
应付职工薪酬,"19,506,419.76","16,793,717.40","20,852,377.93","15,615,382.40","25,325,039.97","20,089,247.36","19,758,215.89","16,686,925.49","27,327,776.03","18,209,211.69","16,468,597.22","19,405,151.79","28,882,733.20","16,555,275.93","12,968,330.43","18,636,034.02","27,957,595.65","15,983,284.02"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"15,662,919.02","20,553,608.64","21,974,168.04","22,466,976.60","28,023,281.22","6,348,711.45","13,549,623.13","8,472,857.85","16,722,482.30","3,405,884.44","5,602,902.24","6,241,521.66","20,264,776.05","3,746,724.27","19,197,461.62","6,583,960.42","34,661,514.49","4,127,260.34"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"72,868,887.96","123,588,519.84","180,536,389.30","156,594,678.43","123,889,353.23","149,544,460.30","181,985,245.10","201,243,764.16","159,991,454.59","179,853,032.62","174,714,736.19","182,901,666.44","191,527,542.11","216,505,037.73","235,996,457.12","261,988,961.63","234,525,795.58","268,972,481.47"
其他应付款,"9,628,682.38","3,427,449.31","11,546,576.24","27,471,250.87","22,136,339.65","19,551,145.79","18,261,073.59","9,961,910.39","10,045,879.78","7,502,704.73","10,084,216.14","7,076,702.51","6,563,252.09","5,882,853.85","6,042,988.34","7,976,692.64","20,504,012.36","19,794,179.41"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"11,500,000.00","33,510,000.00","37,950,000.00","27,640,000.00","31,720,000.00","5,380,000.00",,,,,,,,,,,
其他流动资产,"2,966,776.60","1,078,289.14","3,062,090.32","17,839,128.53","23,637,245.66","2,283,307.36","32,300,049.20","7,368,935.18","54,191,673.69","27,660,665.77","54,687,315.31","37,672,520.21","22,417,091.05","18,856,321.47","3,695,947.97","4,027,481.34","7,355,053.22","22,933,763.09"
其他流动负债,,,,,,,,,,,,,"2,440,367.59","1,512,623.44","3,667,448.57","3,383,067.02","9,154,253.77","9,154,253.77"
流动资产合计,"341,814,668.92","414,658,986.71","540,639,476.31","483,297,380.14","485,722,377.05","423,454,872.28","686,473,461.76","617,329,251.25","602,816,826.88","559,954,314.05","560,413,695.45","609,130,575.72","647,553,003.18","619,981,590.59","604,422,239.22","629,284,230.85","734,522,614.21","796,285,911.32"
