科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"14,983,293.28","16,829,422.77","24,510,298.26","26,885,328.59","42,741,000.84","36,177,843.46","31,696,934.35","24,771,183.11","22,418,288.61","27,692,575.57","39,604,917.16","58,017,416.74","55,106,024.62","59,829,567.95","63,139,215.86","62,136,774.46","49,961,262.60","42,313,579.13","54,453,567.95","53,635,188.49","83,530,693.20","57,184,613.85","74,720,199.42","91,714,230.11","61,134,028.87","67,626,175.09","59,264,487.71","56,011,038.76","47,622,721.80","41,456,141.38","105,340,436.72","83,199,786.61","61,221,917.14","62,184,485.91","63,201,174.48","61,293,328.59","61,273,877.15","44,706,473.08","47,983,754.70","56,259,586.78","47,908,755.12","46,200,740.97","44,466,845.08"
短期借款,"216,070,000.00","191,570,000.00","191,570,000.00","187,000,000.00","191,000,000.00","180,009,562.04","176,250,000.00","175,500,000.00","175,500,000.00","165,570,000.00","167,750,000.00","166,000,000.00","165,000,000.00","134,500,000.00","134,500,000.00","135,500,000.00","127,050,000.00","94,050,000.00","94,050,000.00","78,000,000.00","89,000,000.00","88,950,000.00","48,900,000.00","5,000,000.00","11,000,000.00","11,000,000.00","6,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"100,401.00","1,707,000.00",,"480,000.00",,,,"1,080,000.00","1,200,000.00","379,823.50","200,000.00","6,300,000.00","8,939,710.00","730,000.00",,"382,000.00","382,000.00",,,,"117,250.00","500,000.00","2,000,000.00","330,000.00","400,000.00","4,220,000.00","4,200,000.00","9,500,000.00","2,800,000.00","2,350,000.00",,,"400,000.00","400,000.00",,,,,"177,508.00",,"500,000.00","1,500,000.00",
应付票据,,,"4,647,942.54","5,719,789.54","5,719,789.54",,"2,902,583.10","6,285,394.49","5,092,811.39",,,,,,,,,,"458,174.62","3,727,389.22","3,969,214.60","700,000.00",,"50,000.00","50,000.00","300,000.00","818,756.20","1,801,576.20","1,632,803.00","349,983.00","54,977.40","54,977.40",,,,,,,,,,,
应收账款,"87,772,013.78","81,142,836.91","80,951,552.11","155,757,967.31","104,227,930.41","95,035,298.30","89,744,595.45","80,952,209.31","79,099,148.05","72,200,351.61","68,092,880.98","55,630,282.13","47,696,753.98","49,555,033.11","45,974,215.86","119,042,592.33","112,910,349.44","82,258,916.42","83,659,201.27","47,353,105.18","46,261,062.57","47,195,990.93","46,645,353.69","44,969,718.55","43,286,153.35","42,148,275.13","42,290,737.11","38,974,190.85","39,094,219.35","39,049,622.75","39,966,032.91","57,082,700.78","39,139,623.45","42,830,485.02","44,047,795.93","54,211,499.06","50,838,141.90","51,249,440.98","52,856,810.03","72,565,943.78","65,481,953.72","69,481,078.14","66,245,267.65"
应付账款,"38,304,227.34","53,728,372.49","55,629,842.29","91,830,181.37","42,643,719.04","40,590,319.81","36,764,875.94","53,331,082.82","52,459,220.06","57,415,907.01","57,890,725.48","58,050,451.27","40,676,636.73","37,997,541.75","36,204,112.95","50,772,608.71","40,848,582.62","35,892,137.17","37,447,854.49","70,436,709.96","63,659,700.24","68,061,371.79","70,632,084.13","111,999,796.97","94,066,499.72","79,852,654.53","79,332,600.18","87,300,824.11","67,572,615.20","75,848,351.54","78,473,607.23","94,525,729.36","79,419,650.29","76,703,183.33","76,070,350.27","81,586,124.90","71,126,858.86","67,920,821.64","69,723,784.30","93,840,242.30","81,550,777.06","85,647,329.37","81,622,273.89"
预付款项,"189,555,733.91","35,811,020.45","45,134,730.41","36,663,847.70","35,864,894.45","36,228,702.52","29,868,187.68","13,434,127.23","13,888,402.98","15,641,848.52","18,906,379.55","15,996,724.38","18,684,918.43","23,023,103.90","24,922,403.14","19,515,317.19","19,043,872.60","21,235,776.99","30,747,115.07","40,771,337.46","70,562,960.58","69,587,761.55","63,669,463.02","33,751,083.21","44,416,375.25","41,782,150.07","48,917,622.62","14,011,621.42","25,513,228.27","19,784,636.00","24,901,830.65","4,573,698.28","11,888,457.52","13,717,626.19","18,639,582.17","1,262,348.95","3,669,725.95","6,021,858.53","7,778,376.30","3,343,351.23","14,887,900.69","4,087,084.96","10,056,026.59"
预收款项,"253,494,370.41","311,028,175.51","391,402,321.68","400,449,896.80","441,086,794.79","432,323,066.96","445,227,111.76","282,832,663.02","304,463,497.11","294,393,409.23","325,256,692.02","253,622,097.47","292,827,359.21","320,150,539.74","341,829,353.79","31,126,113.79","274,747,478.50","296,307,999.73","351,970,914.40","39,430,496.09","145,700,033.32","155,045,895.60","210,642,895.41","52,822,306.58","88,310,475.00","107,592,826.09","158,177,794.60","38,139,496.59","74,711,482.26","70,356,707.79","85,898,024.92","17,748,971.05","21,163,321.05","32,793,794.52","58,479,527.24","24,006,382.03","23,604,765.18","30,455,996.57","65,770,252.69","27,008,348.32","52,822,890.29","29,787,668.13","29,445,198.84"
其他应收款,"25,231,595.04","24,882,619.25","25,382,308.25","32,585,100.81","43,431,740.62","37,943,459.28","33,641,096.71","35,680,532.17","36,620,343.00","26,976,289.43","22,951,495.82","16,150,731.76","13,488,920.84","13,396,901.79","12,021,546.05","10,988,590.47","12,990,197.56","14,354,709.98","14,957,235.20","10,910,509.60","13,928,704.38","12,566,823.49","13,139,548.08","9,456,369.20","14,377,230.55","9,623,078.41","10,837,551.30","9,649,538.53","7,551,957.63","8,116,273.14","7,673,002.95","7,013,283.76","9,557,872.18","9,673,140.50","9,643,348.14","29,598,384.99","30,286,766.63","34,617,291.78","34,877,912.66","13,207,341.65","9,140,367.31","9,947,806.78","9,664,632.89"
应付职工薪酬,"1,627,587.59","1,878,369.65","2,081,249.24","1,129,947.33","1,575,710.27","1,329,651.71","1,429,960.36","1,025,144.26","1,282,694.72","1,030,711.46","1,033,577.75","782,711.40","773,241.37","787,062.30","768,267.13","823,400.54","984,633.38","811,376.62","952,551.49","1,667,044.97","1,102,620.79","1,096,001.25","1,168,006.73","2,226,568.75","1,460,401.88","1,551,323.97","1,481,933.86","2,270,111.21","1,439,871.51","1,407,638.70","1,391,868.00","2,023,960.11","1,393,055.15","1,389,631.61","1,261,246.55","1,208,826.24","1,219,515.70","1,280,521.31","1,308,588.46","1,747,831.18","1,289,867.17","1,228,410.97","1,293,877.87"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"27,914,373.77","29,936,538.02","29,744,500.66","47,622,102.70","45,308,182.10","31,876,035.47","30,811,378.68","34,523,849.43","34,002,742.10","30,466,519.30","30,646,863.82","31,537,783.12","30,551,540.23","29,832,954.70","29,141,071.39","32,933,172.21","31,920,527.34","28,131,743.66","27,467,533.44","26,545,596.38","23,756,127.45","21,098,433.75","19,712,782.49","28,212,262.80","24,218,041.10","22,106,142.38","20,504,565.15","26,033,059.48","24,390,002.83","26,483,973.03","28,310,843.43","29,921,639.95","25,617,453.79","24,533,556.61","24,065,068.12","36,360,264.13","25,251,796.56","22,628,160.70","22,977,274.42","24,600,993.95","23,369,746.36","23,354,955.05","23,511,393.74"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,"1,668,242.44",,,,,,,,"968,247.79","968,247.79","968,247.79","968,247.79","1,224,856.65","1,224,856.65","463,926.85","463,926.85","463,926.85","463,926.85"
存货,"296,400,693.44","379,734,713.88","451,479,608.56","431,304,231.71","463,295,934.10","470,187,818.02","489,701,779.19","345,556,755.95","366,227,288.04","367,568,018.93","396,437,177.51","334,788,810.51","367,281,634.44","378,681,631.72","392,767,863.48","42,686,041.50","271,907,908.18","297,115,042.73","336,146,081.59","57,459,771.17","101,278,788.12","147,472,158.53","191,779,576.98","108,277,864.40","355,409,336.15","355,573,229.63","397,275,496.10","94,579,161.23","111,407,278.55","145,695,119.58","164,799,706.33","108,335,634.66","103,713,689.48","113,642,459.11","130,328,155.92","105,653,048.22","100,275,145.92","78,664,159.71","88,293,675.88","78,285,695.84","92,527,772.75","75,943,544.47","68,207,209.73"
其他应付款,"19,887,358.65","38,941,449.08","38,726,252.45","13,666,196.98","17,522,785.08","50,612,893.59","51,720,093.11","56,082,037.34","59,609,661.09","75,345,235.53","81,594,056.15","81,975,343.99","85,919,482.15","119,526,616.60","123,538,285.22","113,870,985.67","93,446,037.40","95,094,665.98","95,728,595.46","77,653,725.26","65,573,848.37","71,998,331.01","113,385,351.73","153,752,417.30","146,630,458.30","149,119,244.44","152,625,136.50","152,186,815.71","155,727,574.70","159,158,849.88","14,640,244.99","12,149,297.86","11,814,857.80","12,392,287.29","13,967,386.46","13,616,447.46","13,763,685.75","14,090,889.04","14,143,123.28","18,785,545.64","16,466,437.32","18,651,627.41","17,425,352.04"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,"2,000,000.00",,"2,000,000.00","3,000,000.00",,"1,000,000.00",,,"2,180,052.75","6,542,639.59","10,178,791.33","7,814,020.21","42,845,248.68","53,192,403.69","38,239,851.84","37,660,220.85","29,843,186.10","2,035,291.40","3,264,295.24","18,825,164.91","32,722,327.05","33,942,292.22","34,333,176.58","33,788,057.40"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"614,043,730.45","540,107,613.26","627,458,497.59","683,676,476.12","689,561,500.42","675,573,121.58","674,652,593.38","501,474,807.77","519,453,470.68","510,458,907.56","546,192,851.02","486,883,965.52","511,197,962.31","525,216,238.47","538,825,244.39","254,751,315.95","467,195,590.38","457,278,025.25","519,963,201.08","212,129,911.90","315,679,458.85","336,507,348.35","394,954,141.19","288,499,265.47","520,023,124.17","520,972,908.33","562,785,894.84","224,905,603.54","240,532,045.19","266,630,584.18","350,495,029.77","303,050,352.77","279,113,963.46","280,688,048.57","303,520,277.49","289,696,475.91","248,378,948.95","218,523,519.32","250,793,202.48","256,384,246.33","264,389,041.81","241,493,431.90","232,428,039.34"
流动负债合计,"557,297,917.76","627,082,904.75","713,802,108.86","747,418,114.72","744,856,980.82","736,741,529.58","745,106,002.95","609,580,171.36","632,410,626.47","624,221,782.53","664,171,915.22","591,968,387.25","615,748,259.69","642,794,715.09","665,981,090.48","365,026,280.92","568,997,259.24","550,287,923.16","608,075,623.90","297,460,961.88","392,761,544.77","406,950,033.40","464,441,120.49","354,063,352.40","365,735,876.00","373,190,433.85","418,940,786.49","307,731,883.30","325,474,349.50","338,605,503.94","213,769,565.97","161,424,575.73","139,408,338.08","148,780,701.15","174,811,826.43","157,746,292.55","135,934,869.84","137,601,245.91","175,147,879.80","166,446,888.24","175,963,645.05","159,133,917.78","153,762,023.23"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,500,000.00","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34","13,623,181.34"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"492,562.00","492,562.00","477,562.00","477,562.00","447,562.00","447,562.00","437,562.00","417,562.00","407,562.00","397,562.00","387,562.00","387,562.00","387,562.00","387,562.00","347,562.00","81,062.00","81,062.00",,,,,,,"431,009.04","350,123.27","266,662.75","180,545.52","91,687.02",,,,,,,,,,,,,,,
长期股权投资,"238,624,308.84","385,134,234.79","380,134,234.79","380,151,691.35","380,151,691.35","380,145,825.87","380,128,329.61","380,170,105.59","380,170,105.59","380,139,614.45","380,139,614.45","365,136,553.42","365,136,553.42","365,135,267.16","365,135,267.16","365,156,417.50","365,156,417.50","365,154,659.82","365,154,659.82","365,112,596.76","365,112,596.75","365,119,456.00","365,119,456.00","365,098,704.97","365,098,704.97","365,102,686.84","365,102,686.84","365,106,181.34","365,106,181.34","365,110,015.64","146,637,015.64","185,695,926.82","185,583,875.82","185,818,978.85","185,874,336.32","220,594,118.46","233,866,835.64","232,435,332.14","231,373,422.67","230,579,116.88","228,979,276.57","228,371,943.20","226,643,945.50"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,"6,184,676.40",,,,"5,890,168.00","5,890,168.00","5,742,913.80","5,669,286.69","5,595,659.58","5,522,032.47","5,448,405.36","5,374,778.25","5,301,151.14","5,227,524.03","5,153,896.92","5,080,269.81","27,141,860.00","27,141,860.00","27,141,860.00","27,141,860.00","19,526,328.00","19,526,328.00","19,526,328.00","19,526,328.00",,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"394,062,200.95","396,355,880.24","389,825,187.00","383,334,670.20","377,637,057.65","371,943,409.29","366,460,072.97","360,263,762.43","354,337,202.65","348,426,755.90","342,547,099.81","338,986,388.25","333,682,751.06","328,101,439.22","322,920,241.26","315,305,696.10","307,805,505.40","301,937,075.25","296,321,259.02","292,869,211.08","287,099,176.92","281,545,230.51","276,029,856.71","271,475,484.68","266,186,658.53","261,013,429.46","255,174,292.62","249,670,758.36","244,395,623.24","238,993,469.04","233,671,486.57","228,296,308.73","222,892,150.63","217,449,948.04","211,992,674.05","199,407,121.54","194,031,683.95","188,791,130.38","183,555,004.44","176,866,773.29","171,951,864.94","166,853,282.16","161,974,163.85"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,147,262.00","5,147,262.00","5,147,262.00","5,147,262.00","5,202,049.00","3,879,791.31","3,879,791.31","3,879,791.31",,,,
在建工程,"4,943,000.00","143,000.00","143,000.00","143,000.00","143,000.00","143,000.00","143,000.00","143,000.00","143,000.00","143,000.00","231,126.35","291,017.35","326,667.35","1,001,730.54","1,122,477.88","1,398,650.13","1,426,304.13","1,488,744.13","1,524,490.13","522,664.35","535,720.35","590,277.35","653,092.35","741,972.35","766,842.35","831,075.35","898,839.35","965,934.35","993,437.35","1,483,738.98","1,535,351.61","1,179,290.35","1,203,012.35","1,249,322.35","1,277,775.35",,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"492,562.00","492,562.00","477,562.00","477,562.00","447,562.00","447,562.00","437,562.00","417,562.00","407,562.00","397,562.00","387,562.00","387,562.00","387,562.00","387,562.00","347,562.00","81,062.00","81,062.00",,,,,,,"431,009.04","350,123.27","266,662.75","180,545.52","91,687.02",,,,"5,147,262.00","5,147,262.00","5,147,262.00","5,147,262.00","5,202,049.00","3,879,791.31","3,879,791.31","3,879,791.31",,,,
