科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"5,402,005,263.92","5,938,419,251.10","6,087,579,661.81","1,047,239,320.03","2,591,305,987.22","4,124,198,633.07","6,663,029,048.32","1,380,801,724.19","3,167,470,586.80","5,114,671,180.94","7,429,249,050.43","1,388,992,214.66","3,503,153,447.53"
取得子公司及其他营业单位支付的现金净额,"86,800,000.00","134,460,471.61",,,,"20,240,000.00",,,,"7,150,000.00",,,
收到的税费返还,"26,406,639.74","35,337,193.94","177,996,506.81","771,066.03","33,888,575.68","36,050,189.17","57,323,319.75","823,254.54","27,852,828.00","28,597,506.51","29,900,529.02","367,910.15","389,830.15"
支付其他与投资活动有关的现金,"108,724,895.33","3,030,000.00","70,000,000.00","43,300,000.00","74,400,000.00","103,359,909.06","313,828,538.98",,"96,945,492.87","40,530,969.55",,,
收到其他与经营活动有关的现金,"274,551,377.83","101,982,129.43","110,232,226.82","23,768,729.09","24,370,447.66","96,756,023.35","96,352,312.32","54,210,778.84","15,931,034.78","129,434,869.42","57,301,876.32","40,709,223.74","49,398,708.88"
投资活动现金流出小计,"1,975,439,704.84","4,023,655,381.03","1,439,995,927.55","343,378,440.68","1,357,458,838.15","1,815,477,728.75","3,304,686,039.61","358,502,510.32","1,462,161,101.06","1,783,983,055.99","2,739,457,772.01","629,043,009.49","1,411,970,697.56"
经营活动现金流入小计,"5,702,963,281.49","6,075,738,574.47","6,375,808,395.44","1,071,779,115.15","2,649,565,010.56","4,257,004,845.59","6,816,704,680.39","1,435,835,757.57","3,211,254,449.58","5,272,703,556.87","7,516,451,455.77","1,430,069,348.55","3,552,941,986.56"
投资活动产生的现金流量净额,"-372,971,077.17","-413,048,694.03","-91,366,294.79","-124,879,627.39","-854,676,281.14","-741,326,479.49","-1,308,553,279.98","378,963,391.16","553,755,902.19","729,034,666.70","407,364,377.23","-127,751,914.87","-8,028,971.98"
购买商品、接受劳务支付的现金,"3,591,567,125.69","3,563,923,395.14","3,540,594,090.13","726,919,062.82","1,587,665,159.26","2,763,684,503.26","4,261,241,599.98","977,512,138.12","2,235,565,665.69","3,857,506,948.36","5,111,264,615.40","906,120,564.26","2,002,142,450.45"
吸收投资收到的现金,"17,150,000.00",,"4,500,000.00",,"7,500,000.00","657,055,200.00","662,315,200.00",,,,,,"655,000.00"
