科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"946,389,814.09","1,186,364,267.50","1,279,006,626.36","237,908,934.66","638,995,260.01","1,089,103,189.75","1,651,937,623.02","313,339,760.57","1,007,205,690.22","1,564,943,980.65","2,158,318,527.10","375,953,804.15","1,105,900,383.07","1,790,402,957.46","2,486,176,768.41","431,421,760.04","1,297,859,272.81","2,057,603,408.85","2,539,452,653.42","460,290,317.15","1,200,958,138.71","1,946,201,021.85","2,795,942,279.02","521,496,491.49","1,299,159,009.58","2,130,365,861.29","3,178,313,578.71","623,873,223.47","1,596,492,256.24","2,589,851,213.91","4,075,344,327.90","718,775,915.76","1,878,833,511.33","3,040,657,329.18","4,580,907,264.76","864,241,003.29"
取得子公司及其他营业单位支付的现金净额,"108,173,661.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"9,246,437.53","4,650,268.75","4,900,941.22","154,583.51","1,019,468.13","1,410,916.54","2,727,871.72","522,415.89","1,947,874.05","3,118,625.28","3,884,225.08","1,085,001.24","2,315,507.10","3,681,920.81","5,344,422.71",,"1,183,513.36","3,035,598.81","5,019,517.59","863,141.56","1,612,725.75","3,115,001.51","4,477,088.45","720,417.49","1,779,168.70","2,820,419.89","4,240,838.18","700,000.00","1,779,168.70","4,255,888.70","6,706,048.70","2,247,976.59","4,856,368.45","8,479,800.71","10,484,560.00","1,728,000.00"
支付其他与投资活动有关的现金,"5,000,000.00",,,,,,"27,965.66",,,,,,,,,,,,"50,000,000.00","150,000,000.00","200,000,000.00","310,000,000.00","510,000,000.00","180,000,000.00","460,000,000.00","720,000,000.00","1,080,000,000.00","130,000,000.00","410,000,000.00","460,000,000.00","860,000,000.00","100,000,000.00","400,000,000.00","690,000,000.00","840,000,000.00","200,000,000.00"
收到其他与经营活动有关的现金,"132,688,411.22","10,005,204.06","17,260,268.57","1,399,487.00","7,233,199.08","7,554,731.01","24,700,228.66","4,819,201.78","13,912,712.62","19,411,994.88","24,779,483.75","7,976,661.90","8,389,802.80","16,305,813.34","36,754,083.15","36,421,741.58","55,451,631.25","67,250,927.51","73,281,397.41","6,251,099.78","15,806,015.87","36,162,606.44","48,224,112.65","14,242,071.83","22,363,061.68","35,302,694.88","39,187,421.46","40,686,789.98","89,413,229.76","136,221,998.18","89,127,367.03","14,992,011.58","45,539,134.83","66,243,489.56","78,770,917.86","8,968,656.65"
投资活动现金流出小计,"168,573,112.49","106,429,063.25","55,330,160.37","23,043,510.21","37,563,912.93","88,302,728.76","161,434,052.40","61,859,157.91","143,804,093.15","252,885,664.53","329,464,402.10","47,716,057.83","66,780,351.09","137,629,659.68","166,054,498.43","64,337,565.10","84,314,455.66","117,262,734.92","235,340,566.60","191,068,707.48","312,238,376.31","466,086,763.53","690,055,061.65","235,055,588.91","540,493,124.95","819,371,901.02","1,213,575,134.65","175,457,168.11","477,378,797.53","545,996,748.58","1,250,379,320.67","224,606,584.14","621,435,555.97","968,163,866.60","1,234,710,067.37","230,918,828.35"
经营活动现金流入小计,"1,088,324,662.84","1,201,019,740.31","1,301,167,836.15","239,463,005.17","647,247,927.22","1,098,068,837.30","1,679,365,723.40","318,681,378.24","1,023,066,276.89","1,587,474,600.81","2,186,982,235.93","385,015,467.29","1,116,605,692.97","1,810,390,691.61","2,528,275,274.27","467,843,501.62","1,354,494,417.42","2,127,889,935.17","2,617,753,568.42","467,404,558.49","1,218,376,880.33","1,985,478,629.80","2,848,643,480.12","536,458,980.81","1,323,301,239.96","2,168,488,976.06","3,221,741,838.35","665,260,013.45","1,687,684,654.70","2,730,329,100.79","4,171,177,743.63","736,015,903.93","1,929,229,014.61","3,115,380,619.45","4,670,162,742.62","874,937,659.94"
投资活动产生的现金流量净额,"-154,048,566.09","-82,810,812.67","-52,577,885.92","-22,699,777.63","-35,141,905.04","-84,522,777.79","-154,366,670.13","-60,340,422.15","-129,840,495.10","-236,320,105.38","-302,859,116.35","-46,031,188.62","-55,541,226.17","-124,468,609.82","-153,440,837.14","-63,670,643.68","-82,329,686.98","-115,070,334.28","-231,167,922.00","-140,654,127.58","-109,932,122.82","-213,456,132.91","-396,729,005.36","-62,115,061.74","-83,299,217.97","-100,542,499.49","-126,896,168.60","-39,488,557.00","-63,805,384.72","-81,972,680.02","-448,963,393.77","-123,842,804.45","-101,314,964.03","-221,111,929.59","-61,590,231.33","-37,115,688.40"
购买商品、接受劳务支付的现金,"805,567,229.70","798,862,790.21","784,603,509.52","174,287,925.85","484,550,972.69","768,181,080.55","1,205,239,570.15","297,498,350.35","801,597,965.41","1,219,079,580.21","1,569,543,757.29","287,756,241.58","748,833,472.00","1,230,914,565.87","1,642,035,135.66","277,968,950.04","854,695,675.71","1,345,523,817.53","1,534,533,740.76","284,147,730.03","689,226,274.82","1,083,780,533.73","1,561,672,393.82","326,464,863.59","760,649,892.97","1,158,559,980.03","1,731,622,448.50","265,016,366.90","786,646,612.19","1,269,375,541.88","1,975,827,744.87","359,223,951.31","1,156,569,275.23","1,688,839,462.47","2,365,062,049.87","526,704,091.15"
吸收投资收到的现金,,,,"1,109,815,550.00","1,109,815,550.00","1,109,815,550.00","1,109,815,550.00",,,,,,,,,,,"47,385,000.00","47,385,000.00","47,385,000.00","47,385,000.00","47,385,000.00","47,385,000.00","59,014,800.00","59,014,800.00","59,014,800.00","59,014,800.00",,"130,140,000.00","130,140,000.00","130,140,000.00","12,500,000.00","12,500,000.00","12,500,000.00","12,500,000.00",
支付给职工以及为职工支付的现金,"28,367,877.49","49,653,694.10","66,415,088.74","25,810,433.74","48,397,289.42","70,270,564.21","89,152,252.24","44,500,032.74","69,421,260.11","99,561,229.71","127,489,396.49","64,377,435.38","89,145,339.18","114,030,998.86","168,326,204.01","59,504,113.73","100,064,162.24","149,876,241.44","182,824,511.38","81,820,969.42","126,482,699.99","197,169,434.23","226,835,262.19","96,505,797.96","155,240,194.74","213,905,959.56","277,235,562.57","150,722,995.31","197,850,055.46","262,050,146.74","353,148,775.15","153,211,102.52","226,007,177.48","295,910,141.01","378,319,831.17","208,620,989.01"
取得借款收到的现金,"234,750,000.00","394,200,000.00","413,390,065.65","140,500,000.00","140,500,000.00","150,518,421.53","150,518,421.53","41,000,000.00","76,000,000.00","113,000,000.00","133,000,000.00","165,346,305.62","234,416,913.71","235,465,702.99","205,346,305.62",,"95,000,000.00","95,000,000.00","95,613,290.00",,,,,,,,"1,315,770.00",,,,,,,,,
支付的各项税费,"55,391,567.20","95,599,384.53","100,480,809.63","15,018,149.65","30,244,372.51","76,510,568.43","106,437,036.72","15,438,961.30","66,655,271.41","89,626,586.95","113,973,951.63","16,014,457.50","64,729,364.06","115,979,696.28","172,711,889.58","34,908,704.70","82,844,185.26","138,669,041.44","207,261,418.82","49,642,077.79","103,715,391.66","180,685,352.03","249,440,636.81","34,794,968.02","121,803,788.69","212,975,156.52","319,028,889.85","43,462,807.48","150,108,515.63","333,384,280.40","466,589,832.17","54,240,966.04","183,037,101.39","336,705,631.48","483,788,586.18","41,092,549.32"
收到其他与筹资活动有关的现金,,,,,,,"28,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
