科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"603,311,992.39","866,176,135.71","807,643,116.82","169,023,286.78","308,058,557.76","493,671,858.88","727,552,748.69","212,868,099.29","534,834,568.14","881,410,087.58","1,330,855,937.77","325,763,484.61","704,777,490.01","1,169,492,366.82","1,618,703,559.52","334,766,441.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"2,233,644.38","316,863.86","2,809,503.10","1,059,583.56","1,180,044.56","1,714,787.85","5,381,263.47","1,817,127.53","2,705,390.38","3,737,617.65","8,687,219.72","860,491.88","860,491.88","4,593,778.55","7,395,463.68","358,187.89"
支付其他与投资活动有关的现金,,,,,,,"170,000,000.00","30,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,,"4,005,000.00",
收到其他与经营活动有关的现金,"16,594,479.32","10,209,759.89","3,098,466.13","561,785.74","1,488,975.19","2,663,384.81","4,590,284.49","5,378,698.30","6,486,786.37","7,969,252.44","12,081,381.01","1,316,214.55","3,854,392.36","6,322,290.98","7,727,654.33","2,810,237.32"
投资活动现金流出小计,"17,267,133.57","35,384,319.17","33,658,927.98","10,255,856.06","102,523,261.67","105,513,841.02","189,387,487.45","34,945,614.96","88,059,049.38","92,137,652.65","106,124,503.45","10,513,502.26","20,527,999.57","50,482,568.39","63,191,620.15","4,338,491.30"
经营活动现金流入小计,"622,140,116.09","876,702,759.46","813,551,086.05","170,644,656.08","310,727,577.51","498,050,031.54","737,524,296.65","220,063,925.12","544,026,744.89","893,116,957.67","1,351,624,538.50","327,940,191.04","709,492,374.25","1,180,408,436.35","1,633,826,677.53","337,934,866.44"
投资活动产生的现金流量净额,"8,954,442.65","4,007,726.83","-33,519,198.98","-10,244,856.06","-102,416,534.54","-75,128,471.28","-108,213,164.89","5,363,481.97","33,404,456.38","39,689,502.43","66,364,820.07","-10,508,532.26","-20,320,823.57","-49,996,261.39","-61,195,119.95","-4,158,661.30"
购买商品、接受劳务支付的现金,"454,485,093.79","620,864,389.52","510,501,583.17","108,737,677.54","199,554,363.67","322,205,831.82","489,324,483.57","227,972,215.32","467,091,678.78","718,155,372.31","1,032,446,038.78","290,652,570.46","597,697,507.40","953,731,824.43","1,202,372,562.32","270,277,287.40"
吸收投资收到的现金,,,,,"247,766,400.00","247,766,400.00","247,766,400.00",,,,,,,,,
支付给职工以及为职工支付的现金,"78,690,806.37","102,366,890.18","109,029,424.16","25,814,195.60","57,058,013.59","87,608,222.59","119,708,444.16","35,605,352.58","83,814,249.56","133,752,710.45","182,196,617.42","53,761,751.76","111,217,729.35","172,067,709.25","222,229,153.17","47,949,958.74"
