科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"34,513,853.03","31,064,685.36","37,900,799.07","19,895,393.24","405,550,653.96","387,433,993.72","372,316,465.18","371,264,908.19","346,622,273.17","411,078,256.88","359,219,214.82","369,277,497.27","364,900,444.61","416,603,863.15","365,058,259.53","321,278,636.60","331,685,675.70","392,227,331.53","348,273,314.76","312,912,228.78","294,673,521.61","396,391,272.02","399,453,797.03","311,477,248.55","290,737,279.23","423,717,289.01","347,636,217.28","280,776,856.11","219,559,825.24","355,315,345.72","259,157,544.45","239,181,736.23","239,774,479.72","435,021,192.34","340,384,405.97","324,721,104.79"
短期借款,"1,000,000.00","1,500,000.00","6,000,000.00","11,000,000.00","10,000,000.00","10,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","310,000,000.00","310,000,000.00","375,500,000.00","436,500,000.00","411,500,000.00","411,500,000.00","434,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,"236,000.00",,,,,"1,688,200.00",,,,,,,
应付票据,,,,,,,"2,126,804.14","2,126,804.14","3,300,000.00","3,300,000.00",,,"2,126,804.14","2,126,804.14",,,,,,,,,,,,,,,,,,,,,,
应收账款,"27,862,539.53","39,351,733.18","65,629,709.42","89,169,094.91","93,549,898.38","107,812,180.57","155,340,226.93","186,272,566.04","197,029,303.58","170,845,631.44","222,844,869.44","181,214,268.30","186,040,802.00","187,412,019.87","230,130,565.70","203,412,707.19","190,303,651.22","191,320,769.62","211,523,467.73","251,972,403.74","207,672,784.97","232,640,574.73","219,476,886.47","278,989,775.49","271,962,743.88","206,303,364.62","238,603,484.19","289,739,072.76","403,606,060.18","642,025,407.44","643,875,107.66","650,071,200.83","689,941,184.86","683,185,951.26","673,648,875.25","781,277,882.94"
应付账款,"22,902,102.94","25,342,222.68","24,327,078.67","32,277,061.24","26,788,400.66","17,227,242.54","68,383,290.59","77,797,218.48","94,701,933.18","72,148,828.99","75,115,441.79","82,615,354.06","78,221,142.11","73,718,459.74","89,622,126.92","49,814,300.49","57,902,478.83","62,867,560.14","82,684,396.32","103,273,532.14","94,749,547.50","113,419,848.78","119,927,144.20","104,793,617.84","102,419,806.19","101,277,807.74","98,612,878.88","122,565,563.45","115,567,942.61","151,368,026.78","160,897,932.97","156,397,460.87","158,671,421.60","208,125,889.09","200,777,557.52","244,158,079.77"
预付款项,"1,916,185.28","15,169,173.24","2,470,173.80","4,749,108.40","1,534,317.46","17,570,917.55","6,379,399.63","6,562,935.41","14,372,222.38","9,528,405.11","18,268,287.60","13,399,576.67","11,661,021.18","2,674,240.89","29,328,616.67","33,437,794.39","5,177,146.54","10,964,426.14","21,232,297.92","9,530,103.38","12,101,249.31","7,030,387.58","8,720,751.97","8,810,915.96","9,981,518.72","5,611,135.06","11,147,918.11","16,310,177.15","18,120,960.21","7,656,656.68","20,779,997.67","12,979,486.18","9,881,992.71","5,045,989.16","9,432,550.11","10,924,659.48"
预收款项,"6,786,132.40","12,121,870.90","10,348,403.41","2,134,362.35","3,146,121.85","16,263,427.13","6,316,957.42","4,510,019.28","8,687,258.80","26,459,435.86","7,474,911.31","6,824,994.12","6,077,043.12","21,852,609.62","18,982,038.13","18,449,097.58","18,710,766.21","45,501,212.16","28,151,882.50","27,454,869.03","22,150,971.86","31,304,832.57","30,392,778.34","28,857,311.61","28,344,395.45","53,383,959.36","51,992,164.86","45,918,706.56","49,935,311.52","64,969,537.78","88,007,133.52","83,753,667.93","101,064,261.73","98,923,623.29","100,451,705.29","123,130,998.81"
其他应收款,"15,975,739.36","21,449,045.22","6,797,818.08","8,983,919.23","8,558,218.77","6,433,743.88","8,628,133.99","12,654,814.00","10,018,362.52","6,961,221.56","7,589,517.54","7,325,141.19","9,756,696.09","5,262,397.73","6,186,193.49","6,263,185.10","7,552,851.74","5,876,383.50","8,568,727.81","9,909,282.75","11,178,191.20","7,616,421.88","9,753,032.14","9,047,688.55","11,552,239.35","12,396,248.85","14,294,034.22","12,628,615.64","13,577,543.38","14,123,834.67","24,322,118.65","26,167,998.63","28,438,257.67","25,274,980.04","28,391,548.13","17,585,014.23"
应付职工薪酬,"3,270,249.04","4,873,550.22","5,259,217.58","3,474,501.34","2,102,696.95","6,207,163.29","4,564,271.92","4,301,326.44","2,569,441.42","12,302,871.69","5,038,560.28","5,485,960.86","3,790,078.89","11,308,347.76","5,621,793.16","6,095,718.07","3,720,329.39","15,365,356.47","9,111,564.30","9,186,450.44","4,186,936.17","25,269,265.27","9,568,864.72","10,768,351.38","6,259,463.32","26,208,759.13","14,086,453.15","13,979,539.08","7,426,276.99","34,138,952.09","16,162,476.61","18,467,166.05","11,757,729.49","40,751,183.31","20,379,205.74","21,811,714.62"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,151,768.48","3,150,446.92","2,452,131.94","2,471,278.56","2,808,560.01","8,565,343.33","10,542,853.70","1,840,034.26","-5,735,619.36","3,008,434.54","6,106,468.35","-1,492,505.05","-3,217,820.60","-344,544.49","735,177.81","-3,216,064.37","-2,510,251.90","10,866,098.74","9,451,301.19","13,068,651.72","5,576,687.85","21,109,942.59","11,740,784.48","6,359,062.72","6,233,517.43","16,943,739.04","11,139,893.51","12,486,799.46","11,618,002.14","31,828,368.54","14,868,759.65","17,663,075.61","20,730,273.59","29,683,783.09","18,070,619.89","17,615,771.32"
应收利息,,,,,,"1,845,185.64","2,256,039.57","3,688,958.53","1,060,891.70","2,364,066.17","3,471,043.41","4,845,897.09","864,309.01","1,796,496.57","2,665,513.45","3,761,312.67","1,420,701.95","2,500,856.47","3,430,329.37","4,384,471.47","3,056,527.03","3,061,586.78","3,716,802.24","4,420,049.99","2,861,806.73","175,466.96","302,929.59","400,052.07","506,722.53","936,390.80","135,000.00","641,250.00","203,000.00","1,018,334.39","5,758,125.06","3,348,099.32"
应付利息,,,"27,150.79",,,"39,016.18",,,,"23,025.61",,,,"18,280.94",,,,"14,062.26",,"10,268.65",,"10,546.69",,,,"4,893.98",,,,"519,763.19","862,410.38","1,374,124.70","2,884,344.95","6,626,266.38","12,139,714.46","13,158,607.55"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"17,200,000.00",,,,,,,,,,,,"17,200,000.00",,,,,,,,,,,,,,,,
