科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"98,804,208.01","134,651,212.89","154,868,028.07","145,398,524.36","212,305,535.02","48,423,641.68","100,881,409.47","159,163,713.23","236,664,160.33","65,016,946.97","125,515,640.84","188,672,459.73","248,136,067.81","52,420,525.88","151,204,145.36","202,393,221.23","257,104,367.47","76,276,748.37","152,336,025.25","239,475,703.64","308,660,370.86","91,998,287.81","178,843,401.90","430,170,177.74","729,962,616.30","261,666,272.33","542,432,419.37","800,417,451.14","976,934,675.41","244,611,983.55","543,187,203.85","779,025,686.48","985,643,989.49","202,695,403.98","360,501,014.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"75,000,000.00",,,,,,,,,"10,140.00","10,140.00"
收到其他与经营活动有关的现金,"1,863,551.19","652,042.52","1,715,369.56","161,031.10","454,347.55","454,401.88","788,272.43","1,328,965.15","5,307,394.12","948,169.39","8,098,267.74","8,659,676.72","15,749,359.17","935,715.64","5,538,737.93","6,389,907.17","10,231,658.98","728,003.06","4,894,350.02","5,829,879.54","10,053,791.05","1,052,779.58","5,041,383.91","4,958,858.25","17,670,412.00","2,126,003.13","12,566,601.70","16,139,198.14","31,698,202.87","2,272,400.24","6,873,210.83","17,332,114.92","51,744,730.78","826,445,675.82","43,211,386.23"
投资活动现金流出小计,"5,910,069.92","31,114,961.33","15,628,457.78","29,229,025.38","29,674,293.82","1,436,779.83","7,428,781.77","14,592,388.40","27,148,617.85","3,298,192.34","8,774,926.40","37,457,977.51","62,112,996.67","19,546,124.00","21,130,275.78","31,963,269.18","42,404,392.95","6,095,054.72","10,107,540.66","13,006,643.95","20,594,337.72","3,252,031.81","2,868,283.40","29,069,000.05","120,615,477.56","11,600,823.92","28,358,570.63","152,970,115.37","124,686,617.02","9,204,216.28","22,250,294.91","50,635,701.64","114,132,384.33","170,234,344.58","325,312,542.85"
经营活动现金流入小计,"100,667,759.20","135,303,255.41","156,583,397.63","145,559,555.46","212,759,882.57","48,878,043.56","101,669,681.90","160,492,678.38","241,971,554.45","65,965,116.36","133,613,908.58","197,332,136.45","263,885,426.98","53,356,241.52","156,742,883.29","208,783,128.40","267,336,026.45","77,004,751.43","157,230,375.27","245,305,583.18","318,714,161.91","93,051,067.39","183,884,785.81","435,129,035.99","747,633,028.30","263,792,275.46","554,999,021.07","816,556,649.28","1,008,632,878.28","246,884,383.79","550,060,414.68","796,357,801.40","1,037,388,720.27","1,029,141,079.80","403,712,400.97"
投资活动产生的现金流量净额,"-3,691,857.76","-31,114,961.33","-15,248,457.78","-24,007,905.97","-24,453,174.41","-1,436,779.83","-3,839,417.77","-11,003,024.40","-27,148,617.85","-1,098,192.34","-6,574,926.40","-35,257,977.51","-59,851,016.67","-19,546,124.00","-21,130,275.78","-31,829,917.21","-41,844,392.95","-5,832,329.75","-8,181,805.77","-10,313,999.03","-17,662,592.68","-3,252,031.81","-2,868,283.40","3,932,882.74","497,549,571.31","-11,600,823.92","-28,314,444.42","-152,534,815.37","-124,241,396.67","-9,204,216.28","-22,132,294.91","-50,358,701.64","-113,749,824.33","-170,228,344.58","-324,774,542.85"
购买商品、接受劳务支付的现金,"38,578,970.49","39,694,093.25","42,464,108.29","32,946,602.84","54,299,562.72","14,455,112.84","37,289,968.20","54,781,407.97","94,081,814.98","43,294,799.95","78,583,673.30","97,782,138.99","125,853,060.69","33,547,626.74","77,834,705.64","94,853,758.90","106,093,361.72","38,279,779.56","61,757,474.53","110,717,215.77","150,910,673.54","39,877,214.38","90,809,711.52","41,892,454.94","99,404,753.59","50,463,495.62","85,542,396.30","136,617,807.05","180,158,484.32","52,814,511.16","91,405,277.62","111,490,044.38","125,057,322.15","14,467,916.79","28,961,369.40"
吸收投资收到的现金,,"11,140,800.00",,,,,"471,272,858.31","471,272,858.31","471,272,858.31",,,,,,,,,,,,,,,,,,,,,,,"790,400,000.00",,,
