科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"152,389,492.38","169,580,393.46","262,252,912.70","247,679,129.68","1,707,263,358.84","1,706,398,826.06","1,497,199,436.29","1,435,647,477.95","1,410,198,397.99","1,258,536,661.27","1,101,249,938.21","981,629,374.48","1,087,031,961.64","984,418,705.45","998,270,279.53","982,404,274.51","815,302,873.63","911,832,671.13","408,434,783.86","357,300,892.17","386,483,095.99","529,169,593.47","394,679,811.13","436,563,693.23","484,764,219.35","372,172,923.73","360,729,953.23","225,033,568.49","231,679,969.26","236,428,244.64","354,058,959.40","474,053,020.79","361,264,273.22","371,973,599.44","391,764,815.35","283,682,954.50","332,605,840.91","257,984,628.79"
短期借款,"37,700,000.00","40,000,000.00",,,,,,,,,,,,,,,"33,763,684.06","33,763,684.06",,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"1,820,900.00","4,000,000.00",,"3,000,000.00","2,183,428.00",,"11,100,000.00","18,005,759.55","17,802,533.02","16,286,003.43","6,779,660.00","38,956,150.00","50,926,150.00","62,858,893.00","97,999,890.20","99,061,155.19","96,533,455.02","198,180,121.21","158,305,677.20","130,770,850.60","89,355,351.86","269,290,476.47","175,465,518.05","320,960,000.00","96,882,563.56","217,577,616.61","216,847,434.71","278,676,888.39","123,144,596.26","229,543,805.61","316,069,987.06","286,900,297.60","145,891,177.97"
应付票据,,"5,000,000.00","28,855,489.42","12,512,070.00",,,,,,,,,,,,,,,,,,,,,,,,,"19,000,000.00",,"7,800,000.00",,"7,800,000.00",,,,"61,420,000.00",
应收账款,"278,102,876.07","282,604,887.13","215,052,850.44","333,670,489.16","297,494,141.50","300,499,080.10","311,415,620.17","340,695,488.98","277,491,512.22","352,979,224.58","364,092,348.69","387,853,113.22","256,437,483.92","214,754,956.52","232,317,208.17","303,860,563.88","324,781,950.73","337,900,059.65","384,644,735.57","369,238,988.20","328,675,610.94","396,216,395.41","442,934,389.11","504,887,608.49","360,051,549.99","759,698,930.63","449,193,564.64","554,283,103.66","360,142,475.51","496,253,650.71","407,417,911.95","423,455,772.27","361,909,056.05","550,704,319.51","380,173,427.75","398,566,815.01","270,304,494.96","300,446,107.97"
应付账款,"179,702,367.30","171,214,283.37","136,577,940.13","210,517,904.24","198,138,195.93","205,681,151.80","203,685,892.14","235,324,093.98","174,958,374.48","262,431,698.40","252,281,849.25","283,541,975.99","242,636,229.07","231,113,264.99","229,461,902.81","275,272,115.88","351,724,218.19","440,569,977.12","544,866,646.00","547,990,143.88","598,506,453.53","619,791,210.15","837,701,333.01","889,900,234.56","889,852,606.46","1,095,360,206.44","1,043,629,235.35","893,678,649.04","931,194,361.15","1,098,817,339.70","924,891,403.32","1,005,106,662.85","1,049,876,036.48","1,362,434,412.56","1,011,097,991.69","1,091,911,076.69","910,855,933.89","886,953,684.37"
预付款项,"19,699,968.34","43,889,982.72","31,306,245.94","30,912,085.09","36,338,692.87","38,867,219.55","67,458,894.13","97,697,276.67","159,410,733.99","143,624,596.49","304,586,903.73","363,628,099.06","51,625,041.99","37,829,515.08","68,363,118.93","101,604,409.03","95,927,573.71","103,949,689.28","114,884,667.61","40,622,765.44","16,857,796.70","14,285,563.20","34,162,058.14","49,252,522.93","27,914,084.14","52,320,414.52","22,146,607.85","16,968,020.16","7,563,826.03","31,439,934.90","22,510,734.54","25,470,088.35","5,368,948.25","29,749,311.57","37,010,467.16","53,007,730.51","8,126,871.71","101,130,167.29"
预收款项,"1,792,644.02","1,035,882.65","2,130.62",,"15,000.00",,"5,199.11","285,087.96","90,864.54",,,"752,270.76","205,808.93","387,077.20",,,"390,862.62","1,811,316.84","7,965,159.37","766,328.01","949,969.54","77,794,058.32","78,270,811.05","911,562.92","1,097,360.11","463,040.92","523,347.11","528,376.08","3,028,619.94","1,465,588.62","324,010.19","821,136.62","744,466.44","494,939.40","962,553.44","2,208,633.38","1,670,182.97","2,589,628.86"
