科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"9,662,523.36","33,806,727.63","50,546,593.69","94,534,873.24","5,512,887.92","11,768,842.95","17,521,689.32","25,143,839.60","5,640,448.04","11,207,171.81","16,494,947.37","36,920,842.01","4,194,114.79","8,345,659.02","12,467,077.95","16,572,197.91","3,168,369.36","7,805,958.09","11,582,514.70","15,820,433.94","3,166,801.50","7,254,608.90","10,416,859.19","16,353,425.18","3,666,028.90","7,640,102.40","36,964,033.93","50,467,850.69","23,363,722.75","35,260,192.25","46,934,989.84","51,036,131.20","11,438,325.55","22,116,459.16","22,255,769.15","36,804,654.50","12,742,884.32","35,383,366.96","68,267,717.85","102,068,539.30","30,576,767.71","63,821,605.76","91,141,042.79","129,487,420.73","-4,930,826.54","78,406,271.49","124,381,884.91"
三、利润总额,"-25,958,324.34","-58,011,918.11","-84,130,920.03","20,925,234.84","-17,800,485.78","-36,319,739.36","-53,713,508.07","3,657,414.49","-18,935,932.22","-36,008,165.73","-52,065,153.70","-68,790,476.73","-15,693,067.75","-32,134,513.87","-47,747,491.30","4,919,414.15","-13,596,982.05","-34,635,519.79","-49,831,924.37","-62,769,516.07","-13,945,605.27","-32,499,792.80","-42,163,040.16","-54,306,178.95","-9,361,499.66","-2,202,371.48","56,130,874.03","130,634,985.46","-1,389,931.80","88,116,690.20","163,261,443.08","253,279,876.96","-7,182,166.08","108,118,471.92","113,079,017.67","-152,091,874.15","-20,643,809.18","-53,287,756.18","-90,747,747.61","-398,757,043.50","-40,615,655.68","-74,875,513.28","-115,494,560.08","-2,287,795,215.82","-1,074,280.87","-103,124,001.58","-154,989,720.87"
资产减值损失,,"-307,581.60","-307,554.50","16,084,694.06",,"3,633.66","3,633.66","603,566.89",596.77,"2,541,352.70","2,541,949.47","14,742,772.32",,,,"9,584,477.63",,"4,363,341.83","3,648,454.73","6,484,179.07","-26,800.00","10,787,381.68","10,664,313.89","9,256,767.83",,"346,313.83","9,703,434.02","10,947,924.90","1,350,513.84","-3,019,711.88","-3,374,710.89","18,989,895.30",,,,"80,781,327.23",,,,"172,015,168.22",,,"-46,269.36","2,033,388,650.92",,,
减:所得税,"10,052.79","21,399.68","38,452.62","51,243.36",,,,,,,,,,,,,,,,,,,,,,,"8,343,562.22","18,850,278.93","289,196.54","19,044,179.32","34,454,352.83","41,025,443.77",,"17,391,209.20","16,909,008.70","3,324,488.09","-555,428.44",,,"5,488,304.05",,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-97,598.15","-97,598.15",,"-217,355.91","-2,020,153.91",,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"1,395,603.70","4,058,345.45","5,200,786.99","6,286,577.00","1,001,810.93","2,688,124.38","3,775,466.29","4,948,620.71","1,128,780.41","4,064,495.48","6,725,010.06","36,472,255.05","915,450.38","1,430,972.33","2,354,242.72","4,673,743.90",,,,"1,915,260.50",,,,,,"8,602,688.86","98,340.00","98,340.00",,,,,,,,,,,,,,,,,,,
四、净利润,"-25,968,377.13","-58,033,317.79","-84,169,372.65","20,873,991.48","-17,800,485.78","-36,319,739.36","-53,713,508.07","3,657,414.49","-18,935,932.22","-36,008,165.73","-52,065,153.70","-68,790,476.73","-15,693,067.75","-32,134,513.87","-47,747,491.30","4,919,414.15","-13,596,982.05","-34,635,519.79","-49,831,924.37","-62,769,516.07","-13,945,605.27","-32,499,792.80","-42,163,040.16","-54,306,178.95","-9,361,499.66","-2,202,371.48","47,787,311.81","111,784,706.53","-1,679,128.34","69,072,510.88","128,807,090.25","212,254,433.19","-7,182,166.08","90,727,262.72","96,170,008.97","-155,416,362.24","-20,088,380.74","-53,287,756.18","-90,747,747.61","-404,245,347.55","-40,615,655.68","-74,875,513.28","-115,494,560.08","-2,287,795,215.82","-1,074,280.87","-103,124,001.58","-154,989,720.87"
其中:对联营企业和合营企业的投资权益,,,,,,"2,314,151.78",,,,"4,064,495.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-25,574,442.27","-57,009,370.92","-82,808,132.24","24,499,724.44","-17,364,202.09","-35,549,669.02","-52,601,274.19","3,532,534.47","-18,510,221.25","-35,280,742.06","-51,178,056.46","-66,916,297.11","-15,537,738.03","-31,829,597.44","-47,307,272.30","6,644,224.01","-13,271,264.45","-33,779,211.25","-48,616,381.91","-60,658,460.18","-13,549,341.03","-30,384,052.09","-39,840,930.82","-51,485,010.35","-9,129,735.79","-1,930,337.90","47,787,311.81","111,784,706.53","-1,679,128.34","69,300,014.45","128,709,761.20","212,254,433.19","-7,182,166.08","90,727,262.72","96,170,008.97","-155,416,362.24","-20,088,380.74","-53,287,756.18","-90,747,747.61","-404,245,347.55","-40,615,655.68","-74,875,513.28","-115,494,560.08","-2,287,795,215.82","-1,074,280.87","-103,124,001.58","-154,989,720.87"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-393,934.86","-1,023,946.87","-1,361,240.41","-3,625,732.96","-436,283.69","-770,070.34","-1,112,233.88","124,880.02","-425,710.97","-727,423.67","-887,097.24","-1,874,179.62","-155,329.72","-304,916.43","-440,219.00","-1,724,809.86","-325,717.60","-856,308.54","-1,215,542.46","-2,111,055.89","-396,264.24","-2,115,740.71","-2,322,109.34","-2,821,168.60","-231,763.87","-272,033.58",,,,"-227,503.57","97,329.05",,,,,,,,,,,,,,,,
