科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"252,210,885.69","504,548,636.08","462,449,225.59","230,952,050.27","377,631,830.98","508,530,178.64","151,941,656.45","390,424,038.76","670,856,567.79","941,792,194.23","260,846,362.11","644,612,178.23","1,049,993,647.41","1,231,559,151.54","277,550,585.55","707,387,911.52","1,070,865,191.84","1,290,729,369.91","290,180,044.46","690,652,786.16","1,096,182,345.60","1,402,318,942.55","324,661,202.43","937,307,765.57","1,534,291,153.96","2,148,612,456.07","381,617,971.92","977,426,202.06","1,571,080,448.86","2,263,495,753.95","526,045,318.55","1,244,515,853.53","2,274,253,700.37","3,169,619,034.25","601,231,626.61","1,616,373,851.54","2,510,008,706.65","3,701,904,594.98","816,901,531.05"
二、营业利润,"47,385,948.48","76,257,003.52","104,724,477.17","43,122,728.38","71,175,086.41","94,484,495.03","16,941,093.58","57,418,165.14","85,033,572.13","117,146,772.53","44,563,414.02","109,214,750.38","173,085,040.86","199,857,905.02","47,325,771.56","115,480,685.51","177,217,076.39","197,879,704.53","41,605,412.14","116,286,292.68","160,881,675.12","194,472,871.22","43,497,199.33","139,533,029.41","278,485,366.89","357,267,849.91","81,626,656.89","207,060,655.83","356,840,298.65","431,416,715.39","87,913,764.26","238,178,674.26","364,265,158.14","535,670,208.70","84,269,138.21","252,379,747.36","365,883,676.67","529,181,480.64","98,361,292.17"
减:营业成本,"190,808,955.43","405,470,661.56","327,348,212.74","163,325,797.01","270,816,746.15","357,399,096.41","117,651,659.92","311,827,145.19","543,206,078.88","777,473,800.61","190,737,612.62","476,728,488.42","796,507,262.54","927,683,765.04","221,930,047.71","547,487,419.99","822,720,874.21","999,787,331.50","224,413,119.08","529,481,117.76","845,374,875.89","1,083,424,677.43","243,523,448.01","692,027,274.66","1,102,638,256.55","1,542,670,708.65","250,983,762.87","624,478,496.45","985,386,021.71","1,493,035,641.26","364,055,993.56","852,005,773.34","1,605,553,682.35","2,301,846,482.17","443,648,873.33","1,165,452,216.28","1,792,923,053.67","2,737,528,925.61","607,693,625.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"157,272.16","227,691.27","225,062.96","231,266.69","311,326.03",,"600,228.56","644,631.20","763,675.15","512,662.22","567,867.30","922,067.87","3,325,121.63","102,896.84","625,883.30","1,791,218.48","2,589,208.52","311,842.68","3,425,532.47","3,548,042.55","3,785,376.00","1,859,057.43","7,110,240.85","9,508,331.68","10,074,067.96","389,936.16","6,826,503.30","9,091,841.62","16,915,393.14","3,048,302.08","5,511,992.80","9,721,536.58","16,779,838.44","2,945,702.69","10,670,080.32","14,692,794.27","30,464,309.44","2,667,915.06"
营业外收入,"115,283.26","124,700.66","1,073,470.09","455,002.13","591,529.72","3,166,877.72","1,743,745.18","1,948,551.86","1,994,722.20","2,014,664.34","851,105.00","1,059,542.00","1,365,923.00","1,530,697.86","35,819.20","1,166,900.98","2,430,831.98","5,987,264.06","2,672,015.99","3,408,229.52","5,523,225.36","8,205,852.93","5,047,430.96","5,566,549.02","5,713,866.63","6,682,177.93","3,883,603.78","44,079,119.26","44,289,661.04","54,175,685.57","2,830,590.80","48,469,520.31","52,279,183.88","1,956,285.05","5,467,882.77","19,710,368.60","19,805,354.66","1,361,984.83","1,051,731.34"
销售费用,"4,176,648.12","8,226,358.43","6,573,853.94","3,326,079.93","5,268,698.32","16,404,092.36","5,039,916.72","7,225,095.58","13,407,878.32","22,710,647.88","10,479,017.41","25,434,919.76","33,914,167.17","43,226,576.55","1,943,238.28","8,258,233.69","26,851,835.79","34,874,840.70","5,370,474.85","15,764,311.91","27,700,406.03","43,151,771.40","5,434,118.19","26,677,587.81","43,733,914.87","62,281,244.25","15,997,818.14","50,804,271.18","83,638,246.80","148,513,311.77","27,399,376.84","42,824,268.24","90,350,255.16","143,599,384.45","15,410,033.17","49,519,597.53","94,349,136.93","181,683,434.56","29,254,349.56"
减:营业外支出,"60,421.59","22,786.58","36,072.81","4,903.91","7,325.91","14,317.45",469.18,"16,399.92","17,449.92","146,618.16","5,920.00","9,959.50","56,202.80","226,826.67","75,933.65","276,286.74","278,795.25","561,628.15",1.02,"89,607.09","592,184.42","663,900.87","18,107.99","86,740.25","209,006.68","5,612,308.96","481,811.61","541,135.86","3,525,150.32","4,108,210.55","4,367.85","764,382.92","875,860.75","2,326,155.11","3,031.48","485,237.72","994,577.24","2,154,401.02","355,449.13"
管理费用,"5,564,988.88","10,347,165.62","22,671,270.81","11,343,802.35","18,254,270.77","25,267,058.33","6,488,304.96","15,053,273.93","22,460,324.52","31,090,154.01","11,838,420.28","24,285,165.65","43,787,831.03","64,057,209.62","15,272,588.01","33,222,193.56","52,980,316.50","73,690,331.05","22,301,125.15","43,125,029.17","67,026,049.59","84,329,201.35","25,776,329.72","51,078,117.24","78,789,822.93","114,754,559.45","31,040,896.81","70,122,772.54","106,310,893.10","154,889,022.76","40,714,818.87","77,522,066.25","127,911,048.29","152,365,450.78","34,991,897.86","73,793,106.24","109,074,602.45","131,827,316.78","35,836,698.96"
其中:非流动资产处置净损失,"60,221.59","22,132.00","14,605.59",,,"11,516.65",,,,"93,039.38",,"1,839.50",,"199,745.29",,,,"546,617.82",,"89,572.25",,"631,625.86","11,300.00","75,237.44","197,443.96","5,600,042.40",,"541,049.74","798,057.10","1,074,597.26",,,"79,406.34",,,,,,
