科目,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
货币资金,"2,526,910,000.00","2,910,983,000.00","11,363,012,000.00","5,840,978,000.00","7,538,443,000.00","6,114,424,000.00","5,252,877,000.00","8,685,939,000.00","5,038,139,000.00","5,663,082,000.00","6,037,811,000.00","12,837,668,000.00","7,904,202,000.00","5,378,667,000.00","9,025,114,000.00","7,775,659,000.00","7,233,016,000.00","5,352,142,000.00","9,332,046,000.00","11,042,790,000.00","15,978,177,000.00","14,007,276,000.00","30,584,204,000.00","17,477,947,000.00"
短期借款,"463,428,000.00","759,881,000.00","3,432,545,000.00","3,095,005,000.00","5,641,220,000.00","2,141,088,000.00","1,237,870,000.00","10,852,228,000.00","11,682,564,000.00","15,878,002,000.00","10,110,520,000.00","15,440,131,000.00","13,191,337,000.00","9,239,328,000.00","5,740,600,000.00","7,990,197,000.00","12,893,976,000.00","17,242,874,000.00","10,614,796,000.00","13,267,756,000.00","12,847,389,000.00","13,318,690,000.00","5,614,447,000.00","8,086,073,000.00"
交易性金融资产,,,,,,"2,305,000.00","39,987,000.00","53,047,000.00","35,499,000.00","28,334,000.00","30,918,000.00","30,918,000.00","24,863,000.00","20,312,000.00","19,650,000.00","19,014,000.00","12,279,000.00","10,890,000.00","4,907,000.00","3,712,000.00","3,663,000.00","3,954,000.00","4,381,000.00","5,579,000.00"
交易性金融负债,,,,,"34,065,000.00",,"61,927,000.00","34,433,000.00","7,914,000.00","8,282,000.00","22,046,000.00","20,960,000.00","16,714,000.00","14,406,000.00","9,267,000.00","7,943,000.00","4,944,000.00","4,101,000.00","1,201,000.00","928,000.00","906,000.00","819,000.00","1,000,000.00","1,374,000.00"
应收票据,"549,279,000.00","405,113,000.00","469,898,000.00","331,388,000.00","444,206,000.00","647,861,000.00","602,796,000.00","620,631,000.00","298,134,000.00","501,549,000.00","839,314,000.00","833,830,000.00","937,830,000.00","864,993,000.00","888,015,000.00","1,118,955,000.00","1,363,099,000.00","1,428,382,000.00","1,534,300,000.00","1,462,019,000.00","1,265,130,000.00","1,340,958,000.00","2,275,811,000.00","2,182,964,000.00"
应付票据,"3,163,870,000.00","4,073,588,000.00","5,120,856,000.00","5,137,134,000.00","5,536,970,000.00","6,269,178,000.00","6,849,420,000.00","7,338,996,000.00","9,303,684,000.00","10,122,976,000.00","8,099,667,000.00","7,628,145,000.00","8,792,761,000.00","10,585,264,000.00","9,692,475,000.00","8,266,348,000.00","8,978,787,000.00","9,634,200,000.00","8,001,631,000.00","6,621,187,000.00","7,216,697,000.00","10,293,890,000.00","9,221,650,000.00","6,760,415,000.00"
应收账款,"6,980,937,000.00","7,753,193,000.00","11,764,587,000.00","14,104,289,000.00","14,064,106,000.00","11,812,761,000.00","10,274,264,000.00","18,481,664,000.00","17,426,686,000.00","24,495,438,000.00","15,928,559,000.00","17,224,930,000.00","26,600,185,000.00","30,538,941,000.00","21,829,901,000.00","24,881,196,000.00","25,694,287,000.00","32,489,472,000.00","30,384,966,000.00","32,314,360,000.00","38,068,327,000.00","38,421,422,000.00","25,689,985,000.00","26,012,940,000.00"
应付账款,"9,901,174,000.00","10,257,145,000.00","11,827,640,000.00","15,158,995,000.00","14,606,313,000.00","16,890,441,000.00","16,517,809,000.00","25,170,065,000.00","25,020,247,000.00","28,312,791,000.00","22,686,461,000.00","26,808,648,000.00","27,339,464,000.00","27,291,737,000.00","23,616,574,000.00","25,604,976,000.00","26,324,273,000.00","27,324,655,000.00","28,024,625,000.00","29,992,420,000.00","34,349,173,000.00","36,531,673,000.00","33,965,949,000.00","37,487,481,000.00"
预付款项,"4,187,860,000.00","5,176,486,000.00","6,647,819,000.00","10,173,734,000.00","9,420,100,000.00","12,841,441,000.00","9,609,317,000.00","10,917,060,000.00","8,816,353,000.00","9,028,399,000.00","7,582,292,000.00","8,440,020,000.00","6,925,132,000.00","7,469,825,000.00","5,412,862,000.00","5,951,820,000.00","5,468,250,000.00","6,220,983,000.00","4,816,629,000.00","6,556,208,000.00","6,454,332,000.00","5,941,226,000.00","5,952,108,000.00","4,959,983,000.00"
预收款项,"8,881,099,000.00","13,614,514,000.00","14,389,147,000.00","15,612,906,000.00","16,755,779,000.00","18,554,200,000.00","17,583,255,000.00","16,336,738,000.00","12,503,548,000.00","11,671,524,000.00","11,339,980,000.00","10,939,143,000.00","8,526,915,000.00","6,976,206,000.00","6,341,885,000.00","5,312,487,000.00","5,857,112,000.00","5,989,078,000.00","10,133,830,000.00","10,749,522,000.00","10,790,040,000.00","7,926,913,000.00","12,768,924,000.00","13,282,213,000.00"
其他应收款,"513,705,000.00","462,595,000.00","351,418,000.00","388,427,000.00","568,040,000.00","450,888,000.00","660,401,000.00","729,857,000.00","923,239,000.00","731,677,000.00","674,080,000.00","820,006,000.00","1,088,003,000.00","879,800,000.00","921,662,000.00","887,040,000.00","1,175,762,000.00","1,191,150,000.00","1,444,253,000.00","1,420,920,000.00","1,404,404,000.00","1,723,418,000.00","957,773,000.00","1,305,366,000.00"
应付职工薪酬,"979,423,000.00","1,015,647,000.00","959,564,000.00","957,652,000.00","1,006,465,000.00","983,908,000.00","883,201,000.00","1,017,041,000.00","1,077,387,000.00","982,352,000.00","978,381,000.00","942,075,000.00","1,017,998,000.00","917,826,000.00","948,186,000.00","931,949,000.00","997,336,000.00","865,040,000.00","3,037,064,000.00","851,726,000.00","928,626,000.00","999,926,000.00","953,482,000.00","765,462,000.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"422,312,000.00","168,766,000.00","339,816,000.00","133,934,000.00","235,647,000.00","245,675,000.00","693,636,000.00","291,077,000.00","482,661,000.00","525,475,000.00","937,875,000.00","463,106,000.00","643,555,000.00","744,775,000.00","1,295,885,000.00","559,050,000.00","760,620,000.00","688,517,000.00","2,212,829,000.00","1,027,562,000.00","1,045,792,000.00","773,091,000.00","1,982,352,000.00","720,259,000.00"
应收利息,,,,,,,"355,000.00","1,123,000.00","1,095,000.00","629,000.00","1,621,000.00","936,000.00","514,000.00","706,000.00","1,740,000.00","14,598,000.00","10,759,000.00","13,958,000.00","16,237,000.00","23,611,000.00","41,959,000.00","62,764,000.00","51,835,000.00","45,368,000.00"
