科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"253,062,380.88","568,014,971.51","325,650,773.78","331,283,668.53","664,675,828.23","96,594,611.52","158,225,861.53","263,058,550.33","429,155,092.32","94,461,041.46","232,291,567.18","405,456,780.18","759,556,258.04","320,521,157.32","530,369,528.01","687,903,614.66","1,334,463,070.82","245,197,642.41","421,452,732.03","629,544,002.19","963,734,059.83","145,170,932.76","336,347,257.95","468,301,323.78","703,035,190.80","140,316,321.45","291,129,602.00","571,336,871.56","896,059,419.68","295,033,542.68","478,011,744.55","663,489,672.36","956,874,074.64","178,118,657.18","462,369,750.59","729,019,510.85","1,344,615,903.82","347,756,716.62","585,738,085.19","821,305,746.22","1,264,606,761.72","139,092,368.56","380,494,931.12","653,413,315.76","1,199,060,023.45","277,955,044.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"169,450,000.00","77,450,000.00","77,450,000.00","61,986,477.42",,,,,,,,"649,995,848.61",,,,,"38,534,959.46","49,732,009.46","49,732,009.46","45,317,812.65",,"6,498,593.81","6,498,593.81","85,767,434.72",,,,,,,,,
收到的税费返还,,"122,545.04","92,018.72","92,018.72","509,803.60","3,614,737.18","5,233,511.51","13,688,126.43","5,965,119.91",,,,"1,392,091.90",,"5,548,807.60","6,302,742.44","3,845,780.67","761,222.28","9,604,514.17","11,188,879.20","11,779,484.15","7,023,495.18","8,364,379.22","12,193,310.51","12,960,626.80","2,141,653.81","3,990,011.18","6,790,987.01","9,231,943.78","5,363,489.54","11,248,029.52","35,928,306.83","49,183,581.48","8,952,756.89","16,603,142.76","36,078,926.44","48,311,215.35","18,256,739.58","28,597,732.86","36,003,683.44","52,837,108.66","4,158,281.03","6,148,974.40","8,383,133.75","8,481,956.09","6,176,058.17"
支付其他与投资活动有关的现金,,,,,"13,646,606.66",,,,"32,504,550.50",,,,"35,000,000.00",,,,"319,600,000.00","138,000,000.00","185,434,472.00","185,434,472.00","95,000,000.00","64,000,000.00","470,000,000.00","691,913,109.16","25,040,000.00",,"5,190,000.00","5,190,000.00","31,250,000.00",,"460,000.00",,"74,172,000.00","134,039,250.00","134,039,250.00","134,039,250.00","191,837,650.37",,,,"74,891,232.16",,,,"79,797,863.23","31,250,427.41"
收到其他与经营活动有关的现金,"5,486,935.85","11,285,010.00","31,784,153.42","36,287,329.87","24,617,602.23","30,856,503.96","38,010,017.96","45,041,235.32","14,311,173.74","6,538,992.42","35,397,918.15","48,214,570.25","126,333,260.83","125,052,682.54","72,659,476.87","85,369,859.31","97,372,893.42","70,493,987.79","42,843,163.79","77,643,101.12","95,610,310.79","40,625,755.61","71,015,468.37","164,055,879.10","77,130,578.11","46,508,065.55","82,430,166.27","118,909,670.07","87,707,818.15","49,700,204.35","70,609,487.79","126,427,114.00","97,440,297.67","25,622,202.35","92,810,479.98","123,732,515.93","311,931,541.69","96,121,031.88","58,407,783.69","61,989,744.50","212,514,667.93","90,887,614.99","50,002,302.30","78,082,641.27","149,400,214.56","64,156,004.83"
投资活动现金流出小计,"40,611,279.81","121,294,054.08","22,899,204.07","86,015,345.63","177,298,932.23","26,704,892.04","48,750,197.29","75,466,436.13","113,431,656.19","43,611,604.48","87,989,794.67","39,718,906.71","128,434,840.03","188,557,956.68","122,024,692.37","138,180,868.36","479,914,507.53","180,943,427.96","289,730,415.33","331,626,782.45","342,967,005.92","75,280,412.10","568,415,594.46","1,092,906,257.28","1,908,999,828.89","21,992,749.21","518,283,429.78","1,270,798,987.88","2,032,810,482.13","460,004,073.31","714,489,488.62","1,063,026,000.07","1,502,413,911.30","922,985,422.14","1,681,283,590.34","1,980,582,152.22","2,904,782,586.09","756,774,085.58","1,716,701,005.19","2,567,147,591.30","4,207,727,202.93","1,191,910,286.66","2,194,204,074.81","2,493,025,830.09","3,353,223,821.41","688,224,015.25"
经营活动现金流入小计,"258,549,316.73","579,422,526.55","357,526,945.92","367,663,017.12","689,803,234.06","131,065,852.66","201,469,391.00","321,787,912.08","449,431,385.97","101,000,033.88","267,689,485.33","453,671,350.43","887,281,610.77","445,573,839.86","608,577,812.48","779,576,216.41","1,435,681,744.91","316,452,852.48","473,900,409.99","718,375,982.51","1,071,123,854.77","192,820,183.55","415,727,105.54","644,550,513.39","793,126,395.71","188,966,040.81","377,549,779.45","697,037,528.64","992,999,181.61","350,097,236.57","559,869,261.86","825,845,093.19","1,103,497,953.79","212,693,616.42","571,783,373.33","888,830,953.22","1,704,858,660.86","462,134,488.08","672,743,601.74","919,299,174.16","1,529,958,538.31","234,138,264.58","436,646,207.82","739,879,090.78","1,356,942,194.10","348,287,107.52"
投资活动产生的现金流量净额,"-38,990,893.01","-118,968,488.52","-21,939,695.98","-83,309,203.58","-163,098,119.63","-26,133,056.04","-47,652,134.97","-65,977,503.24","-72,712,647.21","-43,611,604.48","-73,352,770.56","-20,277,174.44","-110,394,468.90","-188,557,956.68","-77,413,225.72","-93,235,451.81","-86,984,112.85","-60,490,184.14","-105,338,180.22","-139,676,578.59","-328,681,059.73","59,886,456.51","-441,731,838.88","-736,125,303.80","-882,750,113.95","-21,989,693.41","-517,499,057.78","-925,209,950.07","-878,295,759.95","-209,808,792.03","-352,624,127.81","-213,384,343.77","-148,917,222.20","-41,042,431.45","-256,030,541.98","-230,570,974.61","-578,845,281.35","-218,661,318.00","-231,243,483.84","-317,237,459.50","-632,535,481.33","-140,101,760.66","-84,118,422.14","-108,141,078.09","63,562,138.19","-79,312,832.73"
购买商品、接受劳务支付的现金,"210,498,503.01","439,325,899.84","348,057,499.47","381,685,230.35","545,576,823.42","114,861,458.86","196,458,382.31","425,887,535.21","487,771,276.28","148,177,665.59","274,329,731.41","402,323,596.62","663,901,937.80","267,931,739.29","306,825,422.70","417,815,910.92","1,010,495,953.58","117,767,271.94","237,399,632.87","409,065,708.16","598,974,021.42","158,665,854.95","330,635,276.89","478,771,278.94","559,638,259.16","192,218,100.50","311,480,807.06","479,585,625.67","700,178,714.82","158,797,983.27","306,431,011.84","390,720,319.44","578,481,263.07","125,743,401.97","255,886,489.11","382,823,176.08","475,563,292.43","179,736,808.12","338,441,734.99","474,747,119.48","649,425,431.60","204,506,175.72","371,334,317.30","574,935,243.44","770,158,105.64","253,481,201.51"
吸收投资收到的现金,"32,030,000.00","99,975,000.00",,"494,234,540.00","503,951,107.40",,,"9,800,000.00","9,800,000.00",,"3,500,000.00","84,641,000.00","84,641,000.00","90,000,000.00",,,"35,000,000.00",,,,,,"861,999,994.70","861,999,994.70","861,999,994.70",,,"557,425,502.80","557,425,502.80",,,,"4,900,000.00",,,"4,900,000.00","4,900,000.00",,,"205,153,754.67","481,426,892.81",,"278,944,581.90","278,944,581.90","239,217,272.49",
