科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"416,348,071.33","510,000,677.29","718,132,835.59","135,071,690.15","284,024,403.90","418,225,809.56","610,646,469.43","140,430,511.94","337,466,618.63","602,853,103.61","830,383,901.18","218,058,383.47","425,998,984.57","723,506,849.32","918,882,041.87","214,704,623.32","475,378,641.40","703,080,646.76","939,910,580.93","326,125,858.44","540,668,978.58","800,673,994.69","1,525,768,073.07","384,628,158.19","624,569,291.49","998,138,553.79","1,530,476,459.49","463,311,670.21","974,916,994.69","1,497,527,769.62","2,147,453,621.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,"6,257,394.91",,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"2,313,681.05","1,242,635.08","2,743,901.59","1,237,598.01",,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"12,951,180.00",,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,"9,000,000.00","75,000,000.00","197,000,000.00","274,500,000.00","293,145,297.40",,,,"14,000,000.00",,"20,000,000.00",,"4,500,000.00",,,,"100,000,000.00"
收到其他与经营活动有关的现金,"4,059,973.17","1,086,064.05","2,115,499.17","17,503.45","28,616.66","474,709.92","7,018,071.23","246,465.80","3,015,961.09","6,291,130.78","16,873,831.45","1,507,446.95","1,900,900.49","2,010,186.59","13,971,916.23","588,935.43","1,070,265.48","1,542,642.02","17,335,966.66","420,448.49","7,070,773.47","13,639,943.30","47,638,344.65","12,174,115.89","79,759,560.07","114,057,768.50","118,936,139.59","11,488,818.14","24,501,823.88","89,362,157.55","68,636,680.07"
投资活动现金流出小计,"34,569,956.69","52,665,750.27","81,374,291.88","14,102,826.43","50,882,921.99","88,054,332.37","94,913,893.71","61,457,721.01","79,222,547.45","118,822,948.40","188,151,601.11","14,318,882.49","26,548,062.84","27,113,014.49","168,597,804.61","104,075,657.98","226,366,414.56","312,676,338.93","371,325,853.12","11,799,008.11","31,388,737.24","55,942,263.95","149,235,266.23","31,686,745.61","106,842,654.22","359,379,062.45","495,647,232.52","44,572,894.44","89,535,828.17","90,291,755.25","253,365,316.43"
经营活动现金流入小计,"420,408,044.50","511,086,741.34","722,562,015.81","136,331,828.68","286,796,922.15","419,938,117.49","617,664,540.66","140,676,977.74","340,482,579.72","609,144,234.39","847,257,732.63","219,565,830.42","427,899,885.06","725,517,035.91","932,853,958.10","215,293,558.75","476,448,906.88","704,623,288.78","957,246,547.59","326,546,306.93","547,739,752.05","814,313,937.99","1,573,406,417.72","396,802,274.08","704,328,851.56","1,112,196,322.29","1,649,412,599.08","474,800,488.35","999,418,818.57","1,586,889,927.17","2,216,090,301.79"
投资活动产生的现金流量净额,"-34,329,956.69","-52,029,112.27","-72,043,607.14","-14,102,826.43","-50,840,421.99","-88,011,832.37","-94,735,893.71","-61,457,721.01","-79,222,547.45","-118,822,948.40","-188,031,601.11","-14,318,882.49","-26,495,212.84","-27,060,164.49","-166,832,138.73","-104,075,657.98","-32,453,906.87","-79,243,892.88","-56,027,143.20","-11,799,008.11","-30,137,148.20","-54,293,174.91","-111,779,107.86","-31,686,745.61","-92,932,862.03","-337,820,270.26","-450,731,197.19","-44,572,894.44","-68,731,981.97","-44,495,736.32","-196,542,742.60"
购买商品、接受劳务支付的现金,"330,201,993.17","358,755,409.25","531,288,083.99","109,072,405.76","243,703,824.11","356,650,042.51","510,602,918.35","121,359,917.78","277,970,704.00","494,412,014.59","646,469,938.05","155,561,867.30","316,087,691.03","581,615,968.51","720,877,126.21","163,705,919.21","382,456,264.83","579,305,874.56","734,448,125.20","229,364,028.19","446,955,141.77","647,991,781.40","1,259,394,460.85","324,355,067.36","577,499,319.26","844,755,146.96","1,355,870,176.56","442,217,232.68","823,000,576.13","1,266,233,081.47","1,817,120,760.06"
吸收投资收到的现金,"10,500,000.00","103,200,000.00",,,"389,576,000.00","389,576,000.00","381,014,870.00",,,"7,500,000.00","7,500,000.00",,,,,,"3,712,000.00","3,712,000.00","4,912,000.00","114,017,782.51","113,999,991.34","113,999,991.34","357,649,295.20",,"1,480,000.00","8,939,680.00","10,570,845.33",,"990,000.00","1,090,000.00","39,995,900.00"
