科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"228,244,196.83","327,645,800.83","433,588,472.61","232,214,988.94","395,350,664.45","273,236,921.04","117,096,374.83","82,314,398.61","180,614,421.78","296,157,372.37","73,280,692.49","111,839,379.65","171,160,523.79","220,024,702.71","27,366,205.20","48,996,040.63","65,352,248.14","77,497,608.10","4,878,139.20","5,890,947.69","5,986,027.36","6,924,907.73",,"144,750.94","1,572,043.38","6,865,600.71","179,803.67","243,985.32","164,284,073.84","574,645,139.94","439,401,058.21","753,151,544.89","1,138,862,540.09","1,927,433,986.45","475,674,705.98"
二、营业利润,"32,653,877.05","41,996,222.20","53,432,622.44","30,177,400.21","49,454,963.39","-6,305,116.86","8,522,418.09","-14,365,253.87","-3,244,939.69","-7,365,830.66","-7,923,574.60","-22,923,544.60","-40,129,489.19","-189,716,633.69","-7,366,236.10","-16,895,786.84","-28,082,225.96","-8,212,998.12","-8,955,943.24","-13,388,132.47","-19,410,251.80","-99,624,307.21","-2,160,379.51","-5,427,082.38","-8,463,471.93","-4,076,631.79","-908,384.50","-6,463,486.61","-4,496,191.04","19,974,482.47","6,507,498.00","3,295,545.12","-4,936,575.53","45,640,345.74","6,055,733.41"
减:营业成本,"176,246,169.47","246,847,546.91","329,850,230.02","178,842,154.45","304,545,067.60","215,296,695.60","92,622,186.35","70,443,942.37","146,470,637.52","253,496,030.86","68,952,347.73","107,502,136.79","165,515,366.49","221,125,957.95","29,581,393.57","51,817,926.35","66,323,534.67","76,721,096.09","4,349,694.10","4,735,679.96","4,735,679.96","5,123,164.54","34,049.47","148,389.10","545,044.76","4,918,889.26","53,434.63","140,182.22","144,207,903.95","494,451,699.39","405,860,157.88","685,313,869.95","1,030,852,624.62","1,709,992,515.27","431,304,660.24"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"36,845.49","364,735.39","1,386,787.56","744,279.99","1,450,715.20","1,603,005.11","343,671.25","1,212,869.50","1,213,566.67","1,214,440.34",756.47,"1,574.83","4,108.56","324,268.88","261,061.67","495,753.29","633,294.19","813,196.57","3,446.69","3,647.56","3,647.56","3,994.63",,,,"366,781.47","127,898.45","263,203.72","883,656.98","1,211,416.40","768,807.43","2,033,284.12","3,163,113.52","4,431,963.50","1,229,364.25"
营业外收入,"580,000.00","2,554,596.52","7,783,451.35","4,054,170.12","6,664,170.12","8,696,172.52","270,085.00","3,274,861.48","3,285,516.48","4,649,465.34","3,325,033.74","3,333,102.88","3,339,022.94","3,523,073.57","1,188,799.67","1,349,727.91","2,331,680.96","22,313,789.35","300,422.79","301,428.15","802,428.20","973,978.99","130,000.64","260,000.64","390,000.64","11,057,526.65","180,000.00","480,884.00","580,884.00","2,940,165.12","547,239.67","1,037,239.67","1,399,900.75","2,480,026.04","160,709.48"
销售费用,"2,736,231.87","10,259,124.63","12,170,233.19","4,436,152.92","7,211,981.15","14,064,161.78","1,873,251.84","4,972,464.70","7,109,665.60","9,446,873.32","3,472,520.42","5,706,389.69","11,469,068.88","13,371,922.56","1,030,789.74","2,435,113.77","3,035,057.11","3,072,601.52","9,915.47","17,611.47","285,737.03","146,051.03","7,255.00","14,730.00","21,480.00",,,,"8,332,297.83","26,429,543.61","15,616,068.24","34,754,802.02","52,625,428.83","78,543,160.45","16,547,210.16"
减:营业外支出,"32,701.00","547,224.73","34,910.00","17,700.00","18,200.00","1,047,829.41","75,166.62","83,316.62","491,416.62","508,416.62","168,509.68","249,809.68","910,908.08","1,408,253.98",,,"1,435,792.93","8,993,152.38","27,000.00","540,724.80","764,471.05","792,844.94",,,"74,487.00","1,101,210.36",200.00,200.00,"12,374.28","44,314.93","281,645.60","429,096.72","468,244.82","476,437.23",77.57
管理费用,"4,918,641.57","18,604,109.96","23,683,739.95","8,688,036.67","16,803,694.75","29,196,367.82","5,577,364.08","10,652,900.06","16,835,982.03","21,617,805.13","4,464,682.79","14,087,405.12","23,445,310.60","31,345,381.42","5,367,104.80","12,186,242.96","21,200,327.97","28,134,358.43","4,329,500.41","9,741,957.74","15,121,186.58","21,804,493.94","3,613,302.16","6,702,630.67","10,659,877.51","15,760,978.41","4,014,680.12","9,288,025.16","17,950,735.33","30,385,676.41","11,844,170.74","26,733,121.83","40,241,013.39","58,638,270.16","10,176,780.01"
其中:非流动资产处置净损失,,,,,,"962,055.81",,,,,,,,"521,996.83",,,,"378,027.97",,,,,,,,,,,,,,,,,
