科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,"687,490.22","84,100.00","163,027.44",,"462,376.19","475,541.19","885,541.19","42,046.40","52,566.40","64,903.39"
筹资活动产生的现金流量净额,"-70,885,897.50","-251,840,529.79","-149,441,175.91","-61,185,541.21","29,825,438.53","91,335,175.87","54,837,440.83","29,310,076.09","-3,213,823.69","11,721,123.57"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,"-104,980.00","81,864.18","42,282.64","-305,459.35","-526,589.81"
收到其他与投资活动有关的现金,,,"6,384,000.00","2,280,000.00","2,280,000.00","6,420,000.00","6,420,000.00",,"190,800.00","272,611.33"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"687,490.22","84,100.00","6,547,027.44","2,280,000.00","2,742,376.19","6,895,541.19","7,305,541.19","42,046.40","243,366.40","337,514.72"
五、现金及现金等价物净增加额,"23,748,077.76","-9,542,100.13","-20,191,784.91","-32,435,996.81","91,882,033.23","76,827,217.35","19,666,429.39","55,731,142.34","-4,946,563.34","-34,119,541.52"
购建固定资产、无形资产和其他长期资产支付的现金,"35,329,820.43","15,040,855.75","31,984,774.89","8,900,734.00","15,781,915.34","28,475,022.62","103,480,889.19","15,320,204.54","32,511,096.01","79,422,314.23"
期初现金及现金等价物余额,"62,789,588.25","86,537,666.01","76,995,565.88","56,803,780.97","56,815,743.68","56,803,780.97","56,803,780.97","76,470,210.36","76,470,210.36","76,470,210.36"
投资支付的现金,,,,,,,,,,
期末现金及现金等价物余额,"86,537,666.01","76,995,565.88","56,803,780.97","24,367,784.16","148,697,776.91","133,630,998.32","76,470,210.36","132,201,352.70","71,523,647.02","42,350,668.84"
