科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"446,203,927.58","607,359,234.48","734,517,818.26","152,993,308.30","320,194,559.73","490,540,035.96","863,756,449.43","226,049,231.46","452,034,172.98","701,417,429.65","1,138,426,679.15","293,591,819.29","558,761,002.41","832,399,002.58","1,367,582,447.74","337,254,201.44","634,817,323.95","895,604,629.45","1,405,330,331.40","349,523,145.23","689,618,966.58","1,011,398,435.44","1,574,672,162.30","380,496,955.90","813,548,697.97","1,240,412,418.65","1,899,087,619.14","425,596,821.14","1,023,254,069.41","1,526,445,271.34","2,214,211,074.40","608,887,301.16","1,228,651,920.61","1,747,573,474.84"
二、营业利润,"86,396,402.72","99,409,842.48","130,808,922.36","20,850,566.33","48,626,842.37","89,474,504.24","183,232,095.57","59,823,772.18","103,375,107.43","148,397,901.18","238,324,596.64","73,180,772.01","114,625,657.63","167,596,758.61","253,736,970.45","78,247,720.90","141,835,525.91","188,413,353.15","319,899,511.63","89,451,588.53","160,122,386.41","210,990,263.21","371,529,050.48","112,293,983.27","204,387,707.35","271,058,919.66","470,634,476.76","131,399,367.81","251,721,892.26","372,678,472.48","569,902,209.45","160,395,794.76","290,455,134.73","406,383,735.86"
减:营业成本,"229,180,805.64","323,769,305.10","397,863,764.92","77,999,949.31","148,770,501.40","232,303,233.78","412,084,724.49","105,237,498.70","209,898,390.16","318,929,896.49","508,335,083.09","127,429,478.55","235,303,129.61","342,487,823.45","622,213,363.24","138,165,075.52","256,650,032.38","351,194,169.27","559,133,067.08","151,276,813.35","284,346,857.81","396,651,950.76","616,202,589.39","153,870,367.02","330,901,611.98","476,350,098.57","720,559,100.67","157,908,386.61","405,152,312.23","561,980,655.18","788,954,658.57","227,856,455.19","467,400,866.11","626,784,928.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,408,867.31","5,870,007.17","7,235,829.38","691,973.82","1,838,190.74","3,488,774.79","7,052,589.70","2,404,380.36","4,959,938.17","7,538,470.03","11,665,086.08","3,112,150.75","5,442,600.57","8,149,187.18","12,293,743.01","3,477,735.92","6,477,427.45","9,786,191.00","17,486,952.58","3,819,848.58","7,300,177.15","12,622,989.40","22,455,819.79","4,707,868.52","10,045,847.76","16,261,187.17","26,191,706.19","5,209,712.15","12,654,628.20","19,309,616.31","31,797,587.39",,"20,766,041.86","28,407,887.28"
营业外收入,"2,178,751.37","266,138.06","869,081.64","167,936.18","5,357,721.57","5,579,380.91","6,553,570.34","536,621.60","1,987,828.47","4,438,806.89","5,397,401.85","686,759.23","1,392,082.12","2,698,525.86","10,883,257.08","82,017.73","1,057,743.86","2,310,090.16","7,615,325.13","1,240,462.07","2,629,091.02","3,584,528.98","6,488,476.56","574,236.85","12,843,740.38","13,840,155.69","22,657,461.91","1,706,871.00","6,862,656.35","9,401,760.35","11,908,428.45","5,324,454.40","9,600,519.34","19,519,862.85"
销售费用,"91,262,041.89","123,425,678.51","144,206,824.29","41,421,423.54","87,798,654.25","120,250,763.83","192,050,056.75","32,676,246.32","92,626,987.17","153,372,472.18","262,227,852.58","51,017,239.62","141,326,472.44","207,539,348.19","354,462,564.85","67,328,421.39","147,033,942.56","232,840,075.70","362,532,097.17","62,334,092.56","159,762,419.28","253,505,891.38","392,508,527.80","62,558,668.49","181,876,012.29","322,503,784.13","456,904,288.64","76,623,839.12","242,079,203.10","410,688,584.41","613,795,115.25","161,261,633.58","358,167,559.75","531,676,034.45"
减:营业外支出,"1,089,180.48","2,840,477.68","226,936.12","234,453.66","553,040.75","969,026.10","229,104.20","445,416.35","1,726,878.96","2,236,692.90","1,749,966.52","340,660.61","466,576.91","871,154.43","1,236,467.84","693,256.54","928,059.35","953,240.53","1,355,811.02","125,400.60","1,135,694.46","1,240,639.83","911,257.48","-98,810.37","235,289.63","663,532.27","1,392,534.60","52,787.77","223,963.00","944,644.94","1,866,446.66","138,474.73","204,195.38","1,020,913.26"
管理费用,"24,828,167.41","39,187,371.75","40,695,231.56","8,338,649.93","21,500,824.50","30,511,154.35","51,593,272.29","11,091,298.68","29,282,890.34","46,026,701.88","71,888,894.71","17,580,743.25","40,066,964.57","63,481,598.65","93,247,048.66","24,127,928.09","46,756,420.85","70,374,008.10","101,783,399.43","23,444,689.03","47,933,790.22","102,967,702.26","132,997,633.66","31,486,638.20","63,749,583.31","120,267,895.80","165,363,721.31","37,254,588.86","89,166,608.88","131,602,716.82","172,714,874.08","35,248,429.92","75,851,996.48","133,985,674.04"
其中:非流动资产处置净损失,,"826,269.76","10,702.00",,"53,765.01","5,108.98","142,364.79",,,,"101,612.14",,,,"189,397.53",,,,"387,388.54",,"9,987.61","9,987.61","214,971.05",,,,"318,965.05",,"14,957.14",,"353,385.40",,"109,472.81",
