科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"381,360,732.20","437,455,863.65","628,379,040.46","259,747,746.01","377,177,252.97","507,632,308.47","26,725,284.94","159,017,669.77","280,894,997.00","417,787,633.95","86,342,194.33","249,985,422.67","450,993,081.98","653,012,812.51","125,502,319.95","326,392,846.69","540,125,844.41","726,845,346.33","125,838,387.32","343,538,206.98","546,194,363.55","847,099,563.52","230,612,041.75","548,520,526.45","906,808,100.30","1,424,780,948.31","265,685,794.84","788,697,105.52","1,302,359,834.75","1,939,880,548.64","358,848,925.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"477,036,295.17",,,,"20,000,000.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,"547,294.50",,,"1,674,954.84","6,218,013.26",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,603,963.51","8,179,087.05","132,941,408.44","13,138,434.19","14,552,095.62","32,472,573.71","4,194,630.85","27,555,141.03","31,838,141.56","47,126,382.36","3,203,172.35","21,327,561.64","36,170,457.53","14,853,444.04","17,289,911.65","19,345,488.26","59,655,425.49","17,593,255.54","18,179,107.12","38,688,393.69","50,130,952.10","48,057,755.56","10,801,295.67","28,505,813.28","45,241,940.04","71,141,055.19","3,069,296.58","11,246,010.65","20,662,330.37","46,170,704.87","5,520,257.27"
投资活动现金流出小计,"16,795,012.00","4,318,042.60","37,002,442.68","131,785,062.80","175,878,483.68","190,483,101.37","32,193,701.00","83,114,791.00","112,115,296.00","142,779,413.00","16,429,808.00","581,184,851.00","1,253,720,427.29","687,170,038.48","257,620,609.20","1,008,935,935.72","1,590,010,841.55","445,447,954.32","908,532,631.28","1,570,677,615.81","2,521,697,263.81","3,125,817,357.23","709,701,040.60","1,232,863,255.99","1,719,340,490.36","2,009,559,075.82","451,434,582.91","648,221,513.61","898,261,409.87","1,626,424,462.80","513,092,022.45"
经营活动现金流入小计,"384,964,695.71","445,634,950.70","761,320,448.90","272,886,180.20","391,729,348.59","540,104,882.18","30,919,915.79","186,572,810.80","312,733,138.56","464,914,016.31","89,545,366.68","271,312,984.31","487,163,539.51","667,866,256.55","142,792,231.60","345,738,334.95","599,781,269.90","744,438,601.87","144,017,494.44","382,226,600.67","596,325,315.65","895,157,319.08","241,413,337.42","577,026,339.73","952,050,040.34","1,496,469,298.00","268,755,091.42","799,943,116.17","1,324,697,119.96","1,992,269,266.77","364,369,182.71"
投资活动产生的现金流量净额,"-15,374,851.83","-3,506,498.27","-36,926,786.06","-131,785,062.80","-175,878,483.68","-190,483,101.37","-32,193,701.00","-83,114,791.00","-112,115,296.00","-142,779,413.00","-16,429,808.00","-581,184,851.00","-670,720,427.29","-677,181,597.33","-43,360,801.57","-7,233,284.35","-82,331,571.42","161,808,799.06","-168,316,085.86","132,688,983.22","-225,474,448.69","31,614,403.24","-177,068,877.97","-309,613,242.93","-583,569,882.85","-474,887,533.93","-18,447,189.38","-58,077,779.10","-102,118,577.54","-337,308,007.01","86,652,437.45"
购买商品、接受劳务支付的现金,"213,398,875.16","163,866,405.36","503,370,098.55","174,465,660.68","260,976,889.53","313,496,759.18","34,236,210.99","92,252,391.17","167,819,400.13","272,842,327.36","52,134,296.78","135,892,453.47","239,417,707.40","344,075,919.46","100,380,397.10","263,280,078.55","379,294,653.41","532,134,600.32","68,344,846.58","225,122,329.08","362,400,621.05","528,529,556.13","145,143,921.92","374,620,104.53","588,617,325.56","928,395,808.64","201,866,862.15","454,816,438.05","767,796,010.99","1,157,464,563.60","265,597,833.26"
吸收投资收到的现金,,,,,,"841,800,000.00",,,,,,,,"11,592,250.00",,,,"1,256,200.00",,,,,,"2,246,620.00","2,246,620.00","2,896,140.00","19,450,000.00","31,450,000.00","34,450,000.00","37,700,000.00","4,300,000.00"
