科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"40,652,244.08","43,132,186.50","42,132,887.19","38,035,392.35","38,830,793.44","33,014,223.26","106,028,497.63","32,098,878.59","46,893,195.47","17,847,582.30","26,492,376.18","44,027,632.17","51,424,132.17","42,267,274.21","22,444,845.35","18,910,425.78","24,429,861.06","10,519,962.49","13,990,399.79","16,292,748.16","11,052,220.61","4,786,951.62","6,112,419.69","13,111,624.95","14,701,327.45","10,023,726.72","9,064,179.33","45,466,341.15","64,744,904.01","51,068,518.51","51,324,742.03","55,905,725.00","47,265,096.46","35,780,585.40","32,819,485.36","162,993,206.42","111,978,533.18","121,144,235.55","144,032,742.30","76,374,476.88","56,542,310.08","78,710,576.72","58,495,220.86","87,071,402.59","89,533,277.90","52,309,541.73"
短期借款,"303,655,769.23","218,077,219.97","267,338,945.60","295,357,488.40","288,417,504.53","311,601,638.40","284,061,468.40","113,390,164.00","133,310,164.00","128,873,079.00","128,873,079.00","128,873,079.00","146,873,079.00","142,673,079.00","142,673,079.00","119,385,907.50","101,385,907.50","20,832,828.50","21,200,000.00","19,700,000.00","19,700,000.00",,"45,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,"35,000,000.00","53,500,000.00","133,500,000.00","130,500,000.00","53,500,000.00","50,500,000.00","35,000,000.00","35,000,000.00","68,500,000.00","79,595,400.00","116,595,400.00","240,595,400.00","314,095,400.00","486,095,400.00","586,880,000.00","495,975,400.00","481,880,000.00","490,880,000.00","481,852,875.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,000.00","310,000.00","150,000.00","100,000.00","968,848.69","600,000.00",,"830,700.00","830,700.00","109,530.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000,000.00","35,000,000.00",,,,,,,"11,863,078.46","8,891,070.53","9,325,281.13","9,678,088.93","13,097,723.00","25,938,295.00","27,873,801.50","22,385,557.20","19,237,492.10","19,237,492.10","24,008,088.20"
应收账款,"131,663,277.33","50,961,822.79","34,118,920.75","39,217,533.02","48,436,907.17","39,540,961.81","33,956,451.71","17,264,646.46","16,587,816.37","1,136,817.28","1,136,817.28","1,504,261.37","1,623,401.86","1,503,144.11","1,504,557.98","10,824,145.82","12,347,194.04","1,455,975.61","748,430.34","1,366,368.24","2,188,344.05","1,642,888.61","980,385.76","140,417,515.48","259,537.03","1,461,206.09","2,238,055.44","1,834,753.00","2,393,681.81","2,364,571.47","2,409,045.62","1,835,803.74","1,072,894.82","2,023,114.66","2,495,914.47","74,077,384.51","74,310,799.78","141,351,607.28","141,986,722.45","161,807,800.53","153,064,059.30","107,078,210.79","107,353,170.41","193,069,009.65","194,990,041.35","168,451,766.48"
应付账款,"53,558,605.21","13,634,791.55","2,461,465.81","25,097,660.70","25,180,358.66","24,262,450.97","23,713,266.47","28,343,500.71","23,066,548.47","27,189,544.13","26,617,134.44","31,628,109.36","32,528,109.36","31,677,622.66","31,433,326.61","33,850,415.10","30,598,642.03","32,946,725.94","33,398,441.05","47,130,418.10","47,387,990.63","50,350,129.09","50,350,129.09","46,655,851.60","40,553,398.10","39,027,606.70","39,780,480.20","32,211,575.26","32,941,435.91","32,992,557.06","33,645,707.88","36,011,278.81","40,715,293.21","39,190,827.39","38,735,460.52","156,992,582.59","129,477,750.20","206,892,949.93","270,971,907.42","210,959,015.17","170,082,464.67","202,683,808.06","232,320,476.94","279,547,231.01","217,519,765.77","215,067,799.88"
预付款项,"902,709.74","893,949.44","838,214.39","2,030,897.90","1,981,442.28","1,981,788.22","1,397,072.85","12,989,840.63","12,989,840.63","13,790,489.60","13,038,074.35","11,453,787.79","11,401,287.79","22,700,800.79","21,591,663.35","21,288,122.93","10,000,000.00","21,311,526.54","21,275,526.54","20,767,702.92","20,767,702.92","20,851,167.21","20,844,109.17","17,257,096.20","17,257,096.20","17,062,757.60","16,960,753.30","9,932,975.00","9,932,975.00","108,941,077.56","108,841,370.77","12,410,999.00","12,808,428.92","12,412,169.00","13,420,044.84","11,797,602.39","2,869,252.58","32,501,846.80","57,738,365.52","18,304,041.85","13,683,431.44","19,653,054.65","17,080,210.36","26,693,916.58","27,506,954.13","24,419,027.85"
预收款项,"63,863,509.01","25,543,802.26","20,725,329.66","31,884,731.02","18,407,794.38","23,261,657.01","91,137,223.28","16,828,685.77","16,731,173.84","16,898,635.65","13,292,910.14","17,592,312.77","18,062,133.92","17,405,955.97","17,690,049.48","12,327,719.96","12,033,578.61","25,897,929.99","32,205,600.82","26,458,074.59","34,005,633.17","222,645,913.06","219,687,011.78","230,108,304.68","222,411,587.27","228,697,835.56","216,807,880.58","229,122,928.05","221,399,272.67","220,817,962.74","221,165,490.62","227,189,613.60","226,732,416.30","226,354,604.14","226,038,514.01","225,928,938.54","222,800,333.44","223,513,070.46","237,777,048.45","221,551,495.06","223,751,190.56","221,129,118.25","223,900,587.77","280,898,242.91","283,192,516.01","279,002,878.78"
