科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"62,524,121.64","89,896,097.36","79,318,083.51","424,024,813.02","176,976,402.56","158,994,358.07","135,607,398.67","208,942,022.05","96,302,575.27","148,938,200.27","108,066,884.07","157,067,650.01","181,095,861.64","191,036,309.87","237,000,266.83","227,799,064.57"
短期借款,"10,000,000.00","5,000,000.00",,,,,,,"11,904,273.74","33,029,742.22","21,238,512.68","15,394,098.20",,,,
交易性金融资产,,,,,,,,,,,,,,,,"80,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"48,236,671.24","76,408,265.69","99,877,157.97","91,512,690.31","122,240,112.13","141,075,135.27","111,917,702.52","129,881,435.73","158,280,755.55","121,193,004.49","206,116,607.57","201,704,240.36","159,035,988.71","98,361,022.31","141,802,943.05","176,807,476.30"
应付票据,,"8,615,124.85","33,880,417.61","31,658,435.61","46,053,361.26","39,393,421.05","38,542,662.84","29,095,981.12","40,257,373.14","47,971,051.48","52,253,067.02","37,938,101.38","52,431,534.46",,"42,241,371.94",
应收账款,"97,831,296.88","121,527,441.95","122,966,280.17","138,559,071.97","152,329,613.32","115,434,440.29","180,195,566.63","162,423,583.18","217,330,001.32","235,651,624.85","218,017,475.94","187,376,513.25","149,181,661.64","168,504,552.03","189,027,092.21","182,889,796.19"
应付账款,"75,883,950.05","73,037,611.88","88,299,106.85","98,749,293.10","92,838,532.12","121,650,516.44","105,335,205.28","143,296,916.45","139,837,548.63","139,014,316.37","126,995,843.37","109,287,685.07","93,263,713.88",,"117,285,504.45",
预付款项,"1,140,644.28","946,376.58","1,438,950.80","2,793,352.92","3,327,527.61","2,321,517.79","4,113,382.65","2,321,477.62","2,529,295.53","3,460,072.16","2,355,873.04","1,738,210.70","2,149,669.71","5,024,270.06","3,182,390.18","3,210,411.64"
预收款项,"2,180,217.00","2,544,958.87","4,553,752.14","7,057,044.03","8,623,259.42","3,205,711.11","7,432,966.98","13,875,548.99","4,892,582.23","7,077,058.57","6,272,514.08","3,970,949.62","3,762,284.06","4,195,445.04","4,807,266.72","5,462,176.71"
其他应收款,"7,183,534.22","4,212,597.88","3,313,806.38","731,747.76","4,055,201.17","971,554.91","816,831.30","940,411.89","871,089.19","1,201,235.64","1,330,544.91","1,747,267.81","2,675,827.19","1,439,169.34","2,174,059.46","1,776,420.07"
应付职工薪酬,"10,137,457.40","11,732,060.40","14,289,816.20","3,102,086.67","6,911,558.80","11,705,893.62","19,954,628.20","7,799,162.68","12,427,872.00","11,112,631.67","18,470,269.50","4,350,553.77","10,410,447.11","10,916,671.78","19,832,047.69","8,116,235.19"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"9,120,982.57","12,656,848.16","9,828,177.21","7,365,909.29","11,653,196.69","9,307,982.48","6,782,557.37","7,307,627.99","7,461,915.89","8,467,176.38","6,208,924.10","4,712,929.38","3,578,611.98","7,435,502.72","6,707,112.75","8,972,816.32"
应收利息,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"123,971.74","39,145.62",,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,
存货,"115,462,728.29","124,841,035.49","207,717,254.51","232,463,438.30","233,101,768.49","286,339,290.97","283,698,017.21","387,349,016.80","422,853,555.21","460,581,681.92","433,538,560.49","381,681,342.28","341,945,597.85","318,966,956.24","291,237,728.35","291,386,744.01"
其他应付款,"1,229,002.99","2,379,334.78","1,723,577.16","5,313,826.26","2,983,059.52","3,045,435.48","2,543,329.51","2,527,506.54","2,345,825.84","26,072,176.27","64,187,453.04","64,140,260.33","65,578,536.45","69,268,662.77","44,533,591.77","43,568,553.69"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,"3,399,775.52","4,710,048.02","9,370,677.77","12,331,218.04","221,821,035.45","203,956,779.55","191,764,332.49","53,460,420.36","42,075,755.12","37,681,949.39","47,525,403.90","42,458,097.20","75,750,651.91","157,700,794.02","99,994,772.29","18,826,363.62"
其他流动负债,"586,483.57","1,897,283.57","1,897,283.57","1,897,283.57","1,897,283.57","1,897,283.57","14,928,270.60","11,829,973.85","15,771,015.69","16,919,245.13","14,906,439.53","13,028,057.13","5,964,547.72","7,764,268.33","2,614,330.39","2,259,294.25"
流动资产合计,"335,778,772.07","422,541,862.97","524,002,211.11","902,416,332.32","913,851,660.73","909,093,076.85","908,113,231.47","945,318,367.63","940,243,027.19","1,008,707,768.72","1,016,951,349.92","973,773,321.61","911,835,258.65","941,033,073.87","964,419,252.37","982,696,276.40"
流动负债合计,"109,138,093.58","117,863,222.51","154,472,130.74","155,143,878.53","170,960,251.38","190,206,243.75","195,519,620.78","215,732,717.62","234,898,407.16","289,663,398.09","310,656,995.06","252,861,780.50","234,989,675.66","257,087,822.19","238,021,225.71","239,421,881.14"
可供出售金融资产,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","49,602,600.00","48,864,300.00","50,045,800.00","78,350,400.00","30,196,000.00",
长期借款,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,"43,966,701.10","42,692,423.81"
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,
固定资产,"105,524,606.82","111,278,138.48","138,759,313.33","140,559,763.83","131,359,457.46","196,579,933.39","221,378,146.03","245,216,409.23","279,367,766.88","291,931,250.76","314,138,612.86","302,637,469.53","308,263,331.29","293,711,466.46","308,461,812.55","314,577,948.21"
递延所得税负债,,,,,,,,,,,,,,,,
在建工程,,,,"1,024,668.00","35,852,403.26",,,"90,512.00",,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"8,571,871.79","9,218,238.50","7,820,954.93","7,346,634.08","6,872,313.23","6,397,992.38","6,265,694.19","5,317,527.21","4,819,260.48","4,398,219.09","3,989,505.30","3,600,334.26","3,427,164.97","3,344,281.33","5,736,038.53","5,196,002.54"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"117,709,965.37","127,081,461.01","162,293,085.67","162,490,512.61","177,832,564.61","196,604,236.13","201,785,314.97","221,050,244.83","239,717,667.64","294,061,617.18","314,646,500.36","256,462,114.76","238,416,840.63","260,432,103.52","243,757,264.24","244,617,883.68"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"58,200,000.00","58,200,000.00","58,200,000.00","77,600,000.00","77,600,000.00","77,600,000.00","77,600,000.00","77,600,000.00","232,800,000.00","232,800,000.00","237,742,500.00","237,742,500.00","237,742,500.00","238,362,500.00","238,362,500.00","238,362,500.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"111,423,730.65","111,423,730.65","111,423,730.65","456,549,722.48","456,549,722.48","456,549,722.48","456,549,722.48","456,549,722.48","301,349,722.48","301,349,722.48","366,670,173.22","374,180,102.42","383,435,874.70","396,730,117.45","391,747,314.00","393,390,005.52"
无形资产,"5,763,966.40","6,293,640.29","6,156,228.36","6,083,554.96","5,980,683.10","5,878,067.02","5,793,236.26","5,690,240.17","5,587,244.08","5,565,551.81","5,474,635.56","5,399,804.80","6,859,597.99","7,258,980.61","7,160,452.22","6,960,587.66"
盈余公积,"17,005,538.88","26,833,365.40","36,952,920.77","36,952,920.77","36,952,920.77","36,952,920.77","47,079,758.26","47,079,758.26","47,079,758.26","47,079,758.26","55,019,615.64","55,019,615.64","55,019,615.64","55,019,615.64","56,628,562.75","56,628,562.75"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"61,880,100.00","61,880,100.00","61,880,100.00","67,001,300.00","42,339,800.00","42,362,037.00"
商誉,,,,,,,,,,,,,,,,
未分配利润,"152,231,623.79","234,802,331.99","319,133,104.71","340,611,982.76","367,603,411.06","399,629,331.22","414,293,050.38","444,169,476.87","449,791,656.44","483,754,626.17","490,284,098.64","486,646,682.38","446,600,445.41","467,170,474.72","491,978,385.12","524,389,730.03"
长期待摊费用,"3,429,250.00","2,472,250.00","1,515,250.00","1,276,000.00","1,036,750.00","797,500.00","558,250.00","319,000.00","79,750.00",,,,,,,
少数股东权益,,,,,,,,,,,,,,,,
递延所得税资产,"4,202,101.47","7,051,996.99","9,690,608.48","9,446,539.10","9,202,111.43","6,440,244.18","6,655,981.28","6,455,448.07","7,317,286.18","7,545,105.77","13,378,052.30","16,236,063.46","19,403,589.87","18,854,660.40","16,200,122.58","17,453,387.62"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,"1,872,161.93","8,703,000.32","7,879,230.52","13,398,280.41","19,255,552.94","18,547,899.31","24,835,219.55","13,382,210.59","8,158,280.95","15,255,532.07","2,813,240.93","961,436.50","2,946,892.49","11,941,187.40","9,130,386.96","8,039,935.54"
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"120,792,086.62","135,799,026.08","164,000,630.69","171,788,806.30","202,686,958.19","258,243,643.90","289,220,833.12","301,153,820.06","330,510,328.09","350,297,440.41","385,407,141.65","374,099,074.29","387,519,211.64","410,116,694.87","415,115,475.41","431,920,282.84"
所有者权益(或股东权益)合计,"338,860,893.32","431,259,428.04","525,709,756.13","911,714,626.01","938,706,054.31","970,732,484.62","995,548,749.62","1,025,421,942.86","1,031,035,687.64","1,064,943,591.95","1,087,711,991.21","1,091,410,281.14","1,060,937,629.66","1,090,717,665.22","1,135,777,463.54","1,169,998,675.56"
资产总计,"456,570,858.69","558,340,889.05","688,002,841.80","1,074,205,138.62","1,116,538,618.92","1,167,336,720.75","1,197,334,064.59","1,246,472,187.69","1,270,753,355.28","1,359,005,209.13","1,402,358,491.57","1,347,872,395.90","1,299,354,470.29","1,351,149,768.74","1,379,534,727.78","1,414,616,559.24"
负债和所有者(或股东权益)合计,"456,570,858.69","558,340,889.05","688,002,841.80","1,074,205,138.62","1,116,538,618.92","1,167,336,720.75","1,197,334,064.59","1,246,472,187.69","1,270,753,355.28","1,359,005,209.13","1,402,358,491.57","1,347,872,395.90","1,299,354,470.29","1,351,149,768.74","1,379,534,727.78","1,414,616,559.24"
