科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,"15,238,094.87","97,081,523.22","133,429,464.38","121,692,119.85","2,030,033.00","2,030,033.00","4,030,033.00","4,000,000.00","305,316,422.07","324,437,983.67","338,944,972.59","478,251,971.50","5,000,000.00","29,000,000.00","33,500,000.00","97,286,451.88","900,000.00","900,000.00","900,000.00","900,000.00","94,600.00","50,129,873.21","50,129,873.21","60,631,653.43","138,529,695.44","225,654,556.55","225,654,556.55","483,422,929.25","108,846,870.53","226,166,758.64","228,466,697.59","1,744,243,828.96","212,192,923.05","649,858,825.53","666,479,819.89","751,588,690.34","495,482,287.88","1,018,949,632.31","845,758,680.01","400,296,756.46","136,080,773.45","260,409,152.30","490,592,443.50","552,004,485.59","112,475,592.14","362,460,345.87","430,512,332.89","558,685,558.70","91,417,481.21"
支付其他与筹资活动有关的现金,"87,300.00","4,203,700.00","4,291,000.00","4,378,300.00","87,300.00","174,600.00","27,213,956.60","27,405,273.05","4,087,300.00","4,174,600.00","4,232,800.00","35,361,248.59","58,200.00","1,088,313.80","1,175,613.80","5,420,729.00","838,140.00","2,075,428.00","2,913,568.00","4,052,746.00","838,140.00","1,977,318.00","2,815,458.00","8,569,634.34",,,,"3,397,125.08",,"1,698,562.54","3,397,125.08","5,141,325.08",,"846,684.00","846,684.00","3,733,134.00",,,"9,608,750.00","17,447,900.00",,,"1,980,000.00","2,080,000.00",,,"1,620,000.00","2,106,000.00",
取得投资收益收到的现金,,"54,616,035.65","61,206,848.06","74,762,493.33","849,686.91","16,619,226.40","19,101,271.36","60,017,818.02","845,076.30","6,100,197.92","46,324,845.63","17,896,940.34","17,227,690.59","108,058,464.26","184,880,812.72","147,870,622.72","122,400.00","15,054,174.64","26,503,945.75","30,117,148.29","6,893,453.59","19,527,030.70","104,536,812.93","111,595,380.71","23,844,000.00","257,113,137.93","289,973,689.89","296,106,998.37","9,142,166.29","36,454,632.78","244,502,142.55","299,434,827.90","5,949,564.58","12,123,092.09","340,318,083.64","337,522,058.83","56,828,005.83","73,201,426.36","209,265,310.02","245,402,245.47","4,679,891.57","79,628,119.22","383,355,292.91","431,360,124.65","7,147,336.30","227,041,807.57","548,806,818.51","495,089,523.62","44,194,944.00"
筹资活动现金流出小计,"1,043,714,717.23","1,923,110,914.70","2,340,946,883.03","2,500,077,894.76","1,848,420,078.12","2,566,801,842.62","4,415,526,151.44","6,730,014,750.23","2,413,101,147.72","3,484,922,265.14","4,607,645,009.34","6,332,336,040.04","1,707,787,424.80","3,338,112,926.55","4,051,993,830.12","5,160,663,492.81","736,210,354.53","2,562,378,581.19","3,402,505,706.86","4,793,136,914.90","788,054,990.90","2,465,182,825.67","3,931,358,783.54","6,067,294,330.84","1,582,098,421.16","3,204,247,934.82","4,495,097,074.49","6,722,553,581.52","1,121,762,610.53","2,118,301,523.98","3,142,042,574.55","7,788,606,890.53","787,128,174.61","3,248,749,043.53","6,426,203,583.63","8,728,718,255.54","237,651,648.50","1,659,093,361.72","5,010,611,888.97","5,412,572,671.11","38,995,423.18","803,790,839.64","1,335,140,402.46","2,584,591,766.73","160,119,189.85","775,781,382.51","3,744,684,139.75","4,278,898,726.70","2,746,254,967.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"389,000.00","613,000.00","977,900.00","19,101,800.00","19,101,800.00","19,102,300.00","19,146,985.00","515,800.00","515,800.00","543,800.00","543,800.00",,"1,544.53","586,544.53","933,134.53",,700.00,700.00,"1,519.50",350.00,350.00,350.00,"29,046.63","9,000.00","9,000.00","9,000.00","12,872.30",,,"805,240.00","1,665,131.00","1,044,244.00","1,045,144.00","1,047,094.00","1,256,306.00","153,037.00","356,319.80","356,319.80","378,123.76",,,,,,"236,500.00","371,327.00","363,341.79",
筹资活动产生的现金流量净额,"746,052,427.53","196,580,788.46","703,715,804.13","1,287,308,781.24","332,879,921.88","434,498,157.38","2,870,032,083.56","2,486,743,484.77","526,898,852.28","640,077,734.86","649,198,220.66","2,541,404,463.96","-451,787,424.80","157,887,073.45","503,816,051.45","1,037,418,388.76","150,102,494.12","-339,766,611.54","-619,893,737.21","-494,693,901.53","50,968,787.10","-521,159,047.67","-777,335,005.54","-676,270,552.84","12,501,578.84","-1,006,154,814.82","-895,173,954.49","-1,556,052,436.52","-23,128,700.03","-482,431,658.94","-674,122,709.51","-1,799,279,116.49","-175,678,174.61","-459,407,043.53","-939,301,583.63","-1,238,776,255.54","-178,544,598.50","-501,186,311.72","-479,504,838.97","118,534,378.89","183,004,576.82","-201,790,839.64","6,859,597.54","-582,591,766.73","-26,119,189.85","-3,781,382.51","-202,684,139.75","-284,898,726.70","-966,254,967.73"
处置子公司及其他营业单位收到的现金净额,"532,395.63",,,,,,,,,"300,694.00","300,694.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,494,624.86",,,,,,,,,
四、汇率变动对现金的影响,"-227,473.00","-684,081.60","-482,516.52","-851,708.18","-143,747.25","-2,652,897.41","-2,788,904.03","-2,201,349.13","17,976.61","-26,763.44","-67,168.53","-130,714.67","-139,773.78","-1,268,060.47","-4,091,476.43","-8,416,831.12","-1,372,329.54","-3,246,666.70","-5,531,850.32","-6,170,474.67","-10,223.80","678,592.76","1,103,273.82","23,177.55","-538,004.81","-2,457,099.88","-2,944,470.71","-4,031,952.62","1,114,730.62","1,288,276.00","1,067,550.30","983,372.91","1,986,896.34","-160,612.36","18,663,397.46","30,329,520.32","-4,353,023.57","10,457,469.18","14,552,045.69","32,175,742.26","-2,177,552.79","-14,843,687.35","-26,218,365.01","-34,364,629.89","-11,013,406.52","5,631,462.36","29,201,186.93","27,693,748.50","-7,507,010.07"
收到其他与投资活动有关的现金,,,,,,"14,848,151.83","14,848,151.83","15,828,151.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"15,770,490.50","152,086,558.87","195,249,312.44","197,432,513.18","21,981,519.91","52,599,211.23","57,081,756.19","98,992,954.85","306,677,298.37","331,354,675.59","386,114,312.22","496,692,711.84","22,227,690.59","137,060,008.79","218,967,357.25","246,090,209.13","1,022,400.00","15,954,874.64","27,404,645.75","31,018,667.79","6,988,403.59","69,657,253.91","154,667,036.14","172,256,080.77","162,382,695.44","482,776,694.48","515,637,246.44","779,542,799.92","117,989,036.82","262,621,391.42","473,774,080.14","2,045,343,787.86","219,186,731.63","663,027,061.62","1,007,844,997.53","1,090,367,055.17","552,463,330.71","1,092,507,378.47","1,055,380,309.83","781,571,750.55","140,760,665.02","340,037,271.52","873,947,736.41","983,364,610.24","119,622,928.44","589,738,653.44","979,690,478.40","1,054,138,424.11","135,612,425.21"
五、现金及现金等价物净增加额,"463,959,755.25","-58,523,714.86","69,705,121.49","610,299,139.66","-131,237,669.19","-157,262,706.24","1,380,795,343.29","668,559,870.37","491,923,699.14","378,771,841.67","188,176,075.76","1,628,022,903.98","-698,765,435.61","-118,236,565.92","-159,548,752.59","-217,594,369.99","-217,459,083.88","-1,210,950,221.93","-1,634,063,042.22","-1,278,628,851.44","-262,781,045.28","-301,219,438.71","-495,964,809.36","75,428,481.73","-390,794,905.18","-990,586,696.99","-927,030,497.40","-936,974,903.29","-43,007,774.74","-202,502,112.77","-126,461,246.00","346,652,000.46","-289,697,082.02","82,439,198.99","-20,807,637.96","338,314,164.28","228,445,916.69","45,632,365.08","-412,765,936.69","193,348,744.01","-288,258,213.92","-350,310,498.76","432,908,366.19","-50,818,330.74","-187,036,000.16","-106,340,269.95","175,143,581.04","705,866,470.23","-1,290,268,879.83"
购建固定资产、无形资产和其他长期资产支付的现金,"263,684.22","1,233,041.00","4,920,893.20","53,968,315.46","13,301,259.21","32,346,739.24","45,889,234.38","62,890,149.44","9,295,694.20","12,441,473.69","15,246,827.02","30,427,010.08","11,794,783.36","26,382,564.61","38,439,311.86","45,066,589.04","24,491,144.79","14,317,781.19","19,904,949.27","28,496,289.87","5,174,108.70","21,453,407.70","47,057,268.35","82,857,819.52","10,911,280.90","21,850,461.85","33,800,444.02","72,377,791.64","24,341,253.27","45,598,538.32","61,146,425.84","70,028,050.42","2,346,023.61","4,950,103.02","17,638,047.08","21,309,126.63","2,520,165.47","7,725,677.71","11,972,209.07","38,589,383.24","240,017.50","1,665,176.44","1,833,680.44","2,699,252.79","422,425.00","1,632,508.00","2,369,498.00","6,852,112.41","3,845,498.72"
期初现金及现金等价物余额,"633,632,438.11","633,632,438.11","633,632,438.11","633,632,438.11","1,243,931,577.77","1,243,931,577.77","1,243,931,577.77","1,243,931,577.77","1,912,491,448.14","1,912,491,448.14","1,912,491,448.14","1,912,491,448.14","3,540,514,352.12","3,540,514,352.12","3,540,514,352.12","3,540,514,352.12","3,322,919,982.13","3,325,899,233.37","3,325,899,233.37","3,325,899,233.37","2,047,270,381.93","2,047,270,381.93","2,047,270,381.93","2,047,270,381.93","2,137,728,761.57","2,122,698,863.66","2,122,698,863.66","2,122,698,863.66","1,185,723,960.37","1,185,723,960.37","1,185,723,960.37","1,185,723,960.37","1,541,488,779.73","1,532,375,960.83","1,532,375,960.83","1,532,375,960.83","1,870,690,125.11","1,870,690,125.11","1,872,431,176.27","1,870,690,125.11","2,064,038,869.12","2,064,038,869.12","2,064,038,869.12","2,064,038,869.12","2,013,220,538.38","2,013,220,538.38","2,013,220,538.38","2,013,220,538.38","2,719,087,008.61"
投资支付的现金,"96,432,872.25","128,650,687.16","362,935,819.16","190,453,020.67","800,000.00","272,395,167.05","1,356,804,286.62","1,638,262,294.88","85,166,432.43","161,543,775.03","299,483,283.03","482,977,883.03","74,375,000.00","107,375,000.00","160,669,225.20","552,095,129.53",,"246,571,428.57","447,433,723.11","504,356,577.28","102,800,000.00","102,800,000.00","153,200,000.00","198,640,000.00","62,097,360.00","62,301,370.65","183,566,697.85","232,300,721.52","193,542.08",,"10,193,542.08","1,294,673,542.08","100,000,000.00","162,342,667.00","238,541,644.23","989,515,871.59","181,712,788.00","410,433,143.28","712,424,068.78","988,020,486.69","418,960,000.00","340,460,000.00","370,460,000.00","672,702,073.65","30,000,000.00","470,000,000.00","448,000,000.00","398,077,808.10","454,008,877.53"
期末现金及现金等价物余额,"1,097,592,193.36","575,108,723.25","703,337,559.60","1,243,931,577.77","1,112,693,908.58","1,086,668,871.53","2,624,726,921.06","1,912,491,448.14","2,404,415,147.28","2,291,263,289.81","2,100,667,523.90","3,540,514,352.12","2,841,748,916.51","3,422,277,786.20","3,380,965,599.53","3,322,919,982.13","3,105,460,898.25","2,114,949,011.44","1,691,836,191.15","2,047,270,381.93","1,784,489,336.65","1,746,050,943.22","1,551,305,572.57","2,122,698,863.66","1,746,933,856.39","1,132,112,166.67","1,195,668,366.26","1,185,723,960.37","1,142,716,185.63","983,221,847.60","1,059,262,714.37","1,532,375,960.83","1,251,791,697.71","1,614,815,159.82","1,511,568,322.87","1,870,690,125.11","2,099,136,041.80","1,916,322,490.19","1,459,665,239.58","2,064,038,869.12","1,775,780,655.20","1,713,728,370.36","2,496,947,235.31","2,013,220,538.38","1,826,184,538.22","1,906,880,268.43","2,188,364,119.42","2,719,087,008.61","1,428,818,128.78"
