科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,122,823,216.91","1,474,402,751.70","1,543,971,107.93","363,737,631.91","717,328,915.31","1,148,243,738.97","1,806,234,130.08","427,922,938.77","888,506,339.83","1,382,913,718.98","2,273,820,319.50","581,766,922.17","1,111,789,876.65","1,768,756,118.21","2,358,502,641.10","594,611,222.07","1,059,835,700.93","1,711,587,501.14","2,487,617,691.33","495,243,380.76","1,190,128,940.27","1,714,257,882.44","2,476,224,882.02","549,548,386.97","1,422,665,611.83","2,787,731,037.48","4,418,840,467.73","1,247,955,823.91","2,410,829,560.26"
取得子公司及其他营业单位支付的现金净额,"7,755,385.06","157,843.20",,,,,"6,547,708.60",,,,,,,,"31,907,190.98","29,301,459.45","125,724,739.29","125,724,739.29","112,388,739.29","33,305,134.03","55,445,134.03","55,445,134.03","55,445,134.03","396,281,197.00","477,503,499.69","477,503,499.69","402,866,835.90",,
收到的税费返还,"290,339.65","41,957.49","134,353.92",,,"419,414.83","497,624.83","4,179.58","125,985.76","137,749.60",,"54,970.04","108,461.37","121,038.42","193,702.11","131,851.05","203,013.30","206,317.34","335,789.31","25,605.49","1,271,586.07","1,338,941.38","1,779,170.26",,"103,783.56","286,182.37","9,445,396.42","22,544.00","33,985.45"
支付其他与投资活动有关的现金,,"4,139,749.68",,"2,131,373.68",,,"592,709.47","38,000,000.00","38,140,000.00","38,696,953.26","10,864,000.00",,,,"464,046.14",,,,"86,640,000.00",,"2,000,000.00","2,000,000.00","82,995,000.00","86,500,000.00",,,,,
收到其他与经营活动有关的现金,"208,355,655.36","351,177,291.65","329,103,681.36","210,711,449.15","265,626,511.08","378,589,838.56","428,166,088.74","289,640,737.43","312,131,452.25","496,510,797.05","337,034,597.04","218,919,108.30","293,232,759.65","310,646,287.87","561,949,510.52","222,531,360.18","613,562,652.18","868,106,882.42","560,083,498.76","391,725,140.75","419,769,265.13","593,245,414.72","648,266,863.32","605,473,263.87","612,825,431.38","1,652,061,936.32","478,039,261.75","156,811,043.03","594,263,072.42"
投资活动现金流出小计,"184,891,170.28","357,407,464.07","253,960,834.78","50,744,511.74","108,181,811.86","157,597,580.77","513,804,267.40","189,467,256.94","263,819,256.43","278,122,067.55","313,863,110.94","21,678,060.04","82,422,726.84","102,006,788.20","181,983,895.17","117,711,821.75","317,975,853.50","377,134,884.77","560,176,047.89","156,246,726.02","212,831,323.87","262,892,698.89","475,345,205.74","516,747,525.57","533,576,161.29","640,268,050.45","722,565,073.41","63,758,550.62","198,574,434.24"
经营活动现金流入小计,"1,331,469,211.92","1,825,622,000.84","1,873,209,143.21","574,449,081.06","982,955,426.39","1,527,252,992.36","2,234,897,843.65","717,567,855.78","1,200,763,777.84","1,879,562,265.63","2,610,854,916.54","800,741,000.51","1,405,131,097.67","2,079,523,444.50","2,920,645,853.73","817,274,433.30","1,673,601,366.41","2,579,900,700.90","3,065,690,330.67","894,342,837.11","1,627,973,980.74","2,333,602,824.75","3,167,275,681.94","1,155,021,650.84","2,035,594,826.77","4,440,079,156.17","4,974,678,824.26","1,404,789,497.94","3,005,126,618.13"
投资活动产生的现金流量净额,"-181,179,134.37","-308,105,443.44","-43,377,938.71","-9,022,995.01","-59,587,491.69","-90,578,505.91","-377,300,826.99","-189,021,804.94","-261,009,750.43","-274,283,931.07","-258,618,599.95","-20,807,908.04","-60,700,378.05","-74,350,015.78","-138,388,893.68","-116,618,752.75","-316,793,332.50","-367,226,364.65","-464,451,088.79","-86,565,117.13","-141,851,953.52","-186,953,754.38","-290,301,388.60","-449,521,562.92","-526,705,333.41","-633,075,436.61","-674,696,211.26","100,397,165.18","-31,774,410.64"
购买商品、接受劳务支付的现金,"758,446,646.97","1,124,946,711.27","1,135,866,998.52","259,660,057.18","586,064,485.43","941,272,862.36","1,214,295,581.76","396,726,447.82","729,843,153.83","1,178,382,528.87","1,874,307,395.74","376,415,347.12","874,712,447.03","1,365,528,105.87","1,713,382,323.87","396,727,673.22","882,212,594.01","1,242,811,990.82","1,827,936,664.95","444,777,497.78","977,165,347.18","1,411,835,815.97","2,052,536,150.37","571,382,400.21","1,585,015,408.79","2,975,405,025.37","4,097,247,878.04","1,152,002,338.57","2,295,114,565.60"
吸收投资收到的现金,"10,750,000.00","16,554,773.18","5,012,000.00",,"384,300,000.00","384,300,000.00","377,732,504.29","19,600,000.00","19,600,000.00","20,400,000.00","18,100,000.00",,"1,400,000.00","10,084,000.00","10,084,000.00","1,750,000.00","6,612,270.00","334,022,137.22","334,022,137.22",,"72,348,000.00","72,348,000.00","73,648,000.00","561,693,671.53","563,693,671.53","563,693,671.53","563,693,671.53",653.42,653.42
