科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"47,567,723.11","96,116,195.79","198,231,917.72","70,311,059.42","139,520,507.23","216,446,969.56","285,838,392.68","73,349,722.06","142,571,628.76","211,680,330.20","285,116,048.01","48,062,629.85","136,798,766.65","225,164,591.65","299,331,669.31","65,262,496.84","146,337,813.47","224,639,865.34","307,244,763.73","74,188,878.13","165,524,646.01","257,529,682.81","336,964,448.10","166,522,691.59","312,358,153.87","422,159,377.46","564,725,360.31","175,313,420.22","365,094,595.85","536,627,291.41","685,657,650.19","170,997,907.64","423,748,874.26","756,338,709.59","1,181,728,223.15","375,702,316.45","773,952,491.85","1,211,585,737.13","2,175,221,187.39","488,768,340.81","1,109,308,871.43","2,002,554,774.35","3,399,324,143.50","942,006,366.62","1,862,057,207.53","2,771,283,334.53","3,838,392,197.48","932,134,661.99"
二、营业利润,"7,506,874.00","20,638,453.42","37,840,320.05","12,940,057.43","30,531,200.15","42,622,560.57","45,777,838.34","13,183,420.57","24,009,456.58","38,071,525.07","53,230,946.90","5,279,506.70","31,233,025.74","57,372,310.79","72,753,729.44","16,758,495.06","35,581,088.14","57,866,647.35","74,364,837.76","20,276,932.89","39,450,424.33","61,033,129.49","76,479,039.98","61,217,408.63","122,826,948.09","161,712,156.35","201,019,717.91","84,593,524.62","178,457,085.74","248,632,373.99","282,123,373.89","61,138,500.48","103,057,749.02","211,804,853.96","328,060,908.70","78,553,487.01","138,918,297.68","202,802,546.76","430,024,797.04","76,440,274.12","173,428,695.54","304,251,654.58","298,723,770.68","97,317,266.17","158,603,124.89","-250,916,482.97","-1,296,902,257.70","59,716,502.89"
减:营业成本,"24,821,027.32","50,332,685.57","101,987,284.05","31,154,000.25","61,705,412.80","97,333,282.34","129,312,633.77","31,330,012.62","61,704,677.16","89,290,017.41","119,120,986.07","19,796,882.44","52,956,241.52","83,807,632.23","108,866,822.57","22,751,771.83","51,478,482.82","77,544,889.16","107,026,980.48","25,757,245.49","60,165,425.25","94,938,384.75","126,314,880.44","50,687,235.15","89,465,825.74","125,401,485.69","174,652,665.01","63,462,844.17","127,440,929.02","205,301,091.05","274,275,838.36","79,400,365.28","215,856,321.21","391,948,661.08","628,271,158.01","252,447,706.51","514,598,236.91","816,772,234.24","1,392,103,768.39","322,637,925.06","759,926,006.70","1,344,450,829.03","2,317,699,669.85","605,092,397.11","1,282,690,920.72","1,922,510,723.48","3,011,805,209.84","612,908,719.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"257,266.15","533,357.52","1,004,600.78","343,625.10","696,688.66","1,064,253.15","1,358,751.34","363,934.16","727,508.62","849,165.94","1,122,125.85","150,079.88","622,701.97","1,519,585.36","1,968,808.76","504,681.19","1,170,351.15","1,842,485.11","2,288,626.08","603,472.96","1,548,297.93","2,558,484.51","3,446,279.90","1,288,143.28","2,599,862.70","3,228,508.55","4,401,581.35","1,453,448.17","2,832,025.67","3,963,424.76","5,080,632.04","698,260.60","1,950,251.91","3,856,404.97","7,003,629.19","633,573.69","1,506,282.30","2,129,338.34","7,840,942.58","1,103,052.85","3,338,099.93","5,321,557.17","22,814,943.01","3,960,738.11","7,319,097.21","10,030,580.09","14,379,230.60","2,506,986.95"
营业外收入,"40,000.00","1,078,100.00","3,208,100.00",60.00,110.00,"4,692,788.21","8,509,736.30","10,000.00","132,600.00","233,400.00","4,231,471.80","15,000.00","2,441,000.00","2,441,000.00","5,124,091.80","2,000.00","1,514,000.00","1,891,953.98","8,829,312.78","2,941.00","1,071,923.89","1,492,110.19","8,643,130.08","58,615.01","1,546,462.73","2,051,036.12","4,127,641.80","117,490.10","142,925.55","252,667.77","9,412,949.54","537,367.72","2,388,968.87","32,442,162.33","77,018,023.01","13,530,055.90","47,384,266.76","55,165,572.13","49,737,811.11","5,053,258.86","14,726,479.41","22,114,451.89","18,252,345.17","2,795,647.52","9,133,889.97","19,401,651.18","24,720,350.01","5,257,643.24"
销售费用,"10,990,522.06","20,786,641.00","41,428,836.28","13,362,525.40","34,194,879.26","59,390,349.38","81,008,490.65","21,972,693.87","39,744,155.10","60,411,731.25","80,969,502.69","16,821,920.45","38,303,654.66","61,650,570.98","84,099,991.80","19,578,749.04","43,901,344.03","66,956,272.13","92,173,429.10","22,256,663.37","46,805,920.59","72,024,987.32","94,251,305.74","41,247,952.68","71,225,884.44","92,838,585.86","110,270,040.71","646,868.75","2,431,886.38","4,427,142.71","9,115,014.76","2,276,300.76","5,176,010.43","6,886,780.68","14,344,567.24","7,973,926.36","22,484,767.34","36,231,631.91","52,980,899.82","14,970,721.54","31,132,867.82","48,724,943.84","73,596,070.71","27,230,811.91","65,632,355.88","114,275,434.75","190,343,087.03","37,394,559.93"
减:营业外支出,"4,155.52","28,056.98","607,942.38",,"832,379.20","833,037.18","1,176,103.92","178,428.68","200,000.00","272,092.69","1,306,954.26","110,011.66","208,922.79","223,699.33","228,186.83","50,281.25","63,927.50","86,460.41","243,660.41",400.00,500.44,"73,539.11","124,111.35","13,744.50","389,265.72","550,967.68","831,571.49","76,722.29","17,956.98","941,119.83","1,198,974.73","442,285.00","98,210.79","4,820,865.42","4,538,771.62","332,983.69","982,596.36","1,156,791.67","18,179,466.23","1,863,884.28","2,512,967.87","4,771,346.38","11,165,689.08","1,406,728.97","3,858,837.25","23,612,043.89","61,725,297.84","1,998,257.99"
管理费用,"3,490,742.98","2,219,121.42","14,689,854.03","11,924,935.66","11,871,458.02","15,716,673.21","22,222,248.91","6,485,421.21","15,029,130.09","21,668,760.01","30,863,700.86","5,690,394.21","12,014,005.65","18,676,916.46","28,985,544.69","5,559,867.80","12,557,600.40","18,357,829.05","28,376,182.12","5,349,271.19","14,361,637.51","23,454,310.18","31,293,659.50","7,108,228.52","15,340,967.26","26,171,400.23","59,757,758.72","15,357,917.87","29,066,607.62","43,048,176.21","71,221,117.23","19,120,022.69","52,320,873.79","83,762,472.51","109,497,309.02","45,897,789.96","99,748,041.60","147,662,364.27","202,648,483.39","61,160,162.21","120,249,793.68","221,282,081.61","433,683,216.07","187,455,732.62","263,672,523.67","465,801,163.39","578,114,696.41","180,718,632.67"
其中:非流动资产处置净损失,,,"-574,623.91",,,,,,,,"443,234.52","110,011.66",,"213,699.33","218,186.83",-281.25,281.25,-281.25,281.25,,,,"49,221.20",,,,"437,304.45",,,,"43,228.11",,,,"279,898.85","3,995.53","3,995.53","3,995.53","1,132,755.14",,"1,404,058.57","2,061,077.59",,,,,,
