科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"29,477,952.43","40,796,870.79","55,465,842.64","527,904,486.29","511,834,630.25","488,536,507.55","472,039,604.27","413,805,992.25","314,510,078.30","351,885,292.77","341,408,200.30","296,791,051.19","246,704,035.73","384,013,452.84","425,031,010.94","463,308,166.35","117,813,751.58","113,217,360.54","252,770,622.69","238,510,474.65","234,514,845.10","286,618,681.71","307,592,992.89","391,599,673.58","496,341,402.51","370,734,075.43"
短期借款,"16,000,000.00","14,653,649.00","20,940,000.00","19,530,000.00","17,430,000.00","16,212,722.84","6,272,722.84",,,,,,,,,,,,,"16,248,375.00","16,666,065.00","16,788,915.00","17,442,945.00","10,387,143.00","10,154,664.00",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"29,133,462.79","47,545,618.57","87,258,775.85","80,126,786.74","90,321,361.52","91,551,239.15","94,008,712.44","97,477,427.95","105,027,787.29","108,556,671.75","113,697,600.90","97,945,837.20","81,192,113.13","93,632,570.03","92,506,631.68","118,127,044.99","114,023,042.16","85,395,001.58","107,279,175.56","127,345,474.04","145,596,004.35","174,676,003.65","302,893,031.53","329,963,949.94","264,785,337.90","299,737,172.74"
应付票据,,"523,202.67",,,,,,,,,,,,"25,485,441.02","31,985,441.02","50,789,528.61","66,745,028.61","48,711,597.61","104,804,859.87","135,788,366.21","222,388,241.29","233,900,429.82","316,261,408.06","415,622,244.36","417,505,400.87","449,136,740.84"
应收账款,"50,686,958.43","71,106,774.50","97,173,485.61","124,846,303.45","149,052,409.66","188,289,378.54","219,231,164.33","226,250,770.66","265,906,061.04","294,791,647.68","306,203,809.50","321,506,263.76","376,052,279.00","389,541,785.85","387,718,501.64","338,276,607.54","336,416,434.92","397,045,389.88","395,319,534.13","482,072,864.57","562,806,938.21","616,367,543.77","600,553,889.23","602,495,686.30","660,610,002.94","763,998,945.16"
应付账款,"38,985,615.51","72,262,476.73","96,161,279.70","95,379,591.54","122,417,290.18","148,240,178.88","162,695,107.80","161,704,830.15","191,858,811.37","247,777,303.59","277,406,060.67","293,530,096.47","322,259,406.28","304,021,801.23","277,387,939.59","230,347,316.56","245,190,152.75","313,806,328.16","338,840,601.75","377,425,721.11","388,491,434.62","486,085,821.75","467,574,630.86","440,676,433.31","469,559,324.16","540,945,162.20"
预付款项,"3,025,039.77","12,186,148.93","8,284,259.73","14,570,940.33","15,987,202.79","21,900,290.90","16,271,063.98","72,234,129.03","30,104,615.81","47,074,312.52","42,793,120.42","46,378,374.98","61,973,771.11","51,120,356.23","36,119,090.17","34,650,895.60","58,696,297.24","96,768,737.29","39,198,047.57","65,803,597.83","89,568,157.71","180,113,897.75","105,806,919.07","129,811,117.05","72,769,654.79","112,488,886.01"
预收款项,,"853,318.82","80,412.46","93,380.79",,,"211,181.43",,,,"308,966.00",,"256,714.50","412,948.28","256,921.47","304,661.46","428,706.12","2,926,013.30","1,257,837.03","7,154,370.41","4,755,735.25","7,297,463.60","12,657,831.44","17,810,833.78","11,224,689.10","17,658,903.96"
