科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"365,367,094.15","683,316,074.41","861,289,415.89","397,594,318.72","531,452,902.39","929,832,392.18","176,467,333.95","298,261,496.28","462,257,491.45","963,920,072.68","338,565,194.37","617,597,362.63","928,696,166.64","1,590,058,784.36","475,859,021.86","687,063,007.37","1,101,105,964.36","1,803,140,816.99","521,770,540.96","734,974,348.06","1,102,062,912.09","1,910,067,565.54","663,335,195.24","946,400,578.57","1,488,962,313.11","3,382,349,379.06","1,438,707,010.73","2,338,239,956.06","3,724,518,527.56","5,586,057,144.39","1,345,795,032.68","2,856,228,258.08"
取得子公司及其他营业单位支付的现金净额,,"18,922,042.54","110,000.00",,,,,,"24,724,800.00","25,943,672.61","16,012,900.00","17,788,794.58","17,788,794.58","19,913,552.57","5,925,332.00","108,227,135.41","111,380,915.43","84,365,353.71","9,900,000.00","19,909,793.81","34,873,340.75","33,717,683.75",,"11,337,216.89","98,064,839.06","93,918,297.17","5,002,097.99","42,549,657.73","77,564,364.60","42,918,043.12","12,480,406.23","49,209,788.64"
收到的税费返还,,,,,,,,"376,574.00","772,167.98",,"377,293.45","377,293.45","491,280.54","750,214.57","151,190.58","151,190.58","800,233.40",,"330,205.51","497,007.85","2,881,378.84",,"196,374.28","196,374.28","1,121,242.88","468,744.76",,"452,455.94","504,689.99","104,423.58",,
支付其他与投资活动有关的现金,,,,,,,,"25,000,000.00","32,381,914.04",,,,,,,,,,"14,979,335.17","14,979,335.17","24,979,335.17",,"691,423.93","691,423.93","1,030,885,967.89","913,346,888.86","9,679,474.00","9,679,474.00","9,679,474.00",,,
收到其他与经营活动有关的现金,"30,197,329.77","15,425,376.14","25,205,030.54","9,180,955.29","13,867,649.48","17,951,585.57","7,997,343.14","6,965,305.17","18,380,910.51","36,490,787.01","8,389,037.78","8,834,176.06","30,057,027.45","74,460,101.00","12,684,386.68","19,988,600.50","33,032,091.28","46,348,674.88","14,993,817.56","10,583,596.15","44,178,156.77","83,838,474.52","12,712,790.68","14,411,256.18","22,446,296.46","67,538,268.02","11,441,374.03","28,154,432.83","32,328,753.04","150,351,420.79","19,928,100.52","31,590,742.55"
投资活动现金流出小计,"39,322,395.52","43,906,733.02","46,478,099.25","12,200,339.91","34,347,993.08","36,332,847.96","7,906,824.56","47,267,497.40","98,484,815.12","193,707,827.92","50,563,251.22","99,878,379.73","126,958,442.57","281,256,274.11","126,816,352.23","158,644,547.62","206,379,605.66","257,993,845.81","123,985,423.50","152,209,854.39","230,650,782.72","306,177,181.23","77,617,120.15","118,508,897.72","1,305,162,203.30","1,254,445,328.27","162,674,016.40","642,072,266.29","740,092,529.03","795,401,665.98","80,144,207.12","167,343,359.79"
经营活动现金流入小计,"395,564,423.92","698,741,450.55","886,494,446.43","406,775,274.01","545,320,551.87","947,783,977.75","184,464,677.09","305,603,375.45","481,410,569.94","1,000,410,859.69","347,331,525.60","626,808,832.14","959,244,474.63","1,665,269,099.93","488,694,599.12","707,202,798.45","1,134,938,289.04","1,849,489,491.87","537,094,564.03","746,054,952.06","1,149,122,447.70","1,993,906,040.06","676,244,360.20","961,008,209.03","1,512,529,852.45","3,450,356,391.84","1,450,148,384.76","2,366,846,844.83","3,757,351,970.59","5,736,512,988.76","1,365,723,133.20","2,887,819,000.63"
投资活动产生的现金流量净额,"2,866,147.33","-41,343,164.42","-42,693,125.33","-9,196,218.24","-31,343,871.41","-28,850,958.67","-7,737,816.71","-42,995,485.50","-80,461,430.59","-185,350,676.17","-49,822,871.22","-96,321,299.73","-122,156,403.34","-135,377,564.87","-126,816,102.23","-153,264,323.06","-177,244,222.38","-252,032,772.36","13,317,320.55","-14,975,823.06","-90,961,713.39","-176,064,920.59","-77,443,620.15","-113,864,022.84","-1,232,101,984.23","-1,214,100,015.26","-84,744,687.94","-550,355,444.11","-595,554,624.84","-614,759,225.04","-77,632,992.75","-159,099,722.15"
购买商品、接受劳务支付的现金,"118,406,181.69","314,591,774.59","342,657,218.88","196,062,605.30","239,700,832.36","315,408,563.04","66,095,038.46","111,271,953.06","148,837,998.35","215,417,960.82","118,764,126.57","228,711,746.04","308,938,374.08","632,147,535.48","149,006,273.22","279,688,487.79","350,320,413.99","543,550,956.79","228,339,428.19","366,400,407.28","473,915,650.15","579,328,412.12","332,372,574.34","483,245,209.34","658,731,444.16","1,419,135,182.78","592,890,100.83","1,006,073,542.92","1,513,800,101.46","2,137,201,170.78","634,816,959.29","1,382,245,009.62"
吸收投资收到的现金,,"500,000.00",,,,"750,200,000.00",,,"4,900,000.00","21,350,000.00",,"5,558,800.00","5,558,800.00","47,706,400.00",,"4,050,000.00","14,936,202.25","30,622,140.00","2,794,044.12","395,931,292.99","399,173,372.35","386,524,737.60","2,706,920.00","2,706,920.00","11,960,096.00","23,618,522.68","3,805,610.40","356,998,670.01","372,298,670.01","364,613,670.01",,
