科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"281,604,746.69","265,918,074.13","239,942,614.81","51,237,057.11","133,792,422.31","272,734,911.97","58,043,415.99","157,656,996.71","253,680,820.26","353,141,124.91","94,904,602.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"543,900.00","222,758.18","830,000.00",,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"30,000,000.00"
收到其他与经营活动有关的现金,"1,863,089.16","957,191.23","1,227,246.60","2,702,771.38","3,972,028.17","7,224,531.21","771,286.95","2,009,409.16","3,412,061.68","3,828,565.36","3,486,485.61"
投资活动现金流出小计,"8,813,935.87","4,691,950.44","15,980,433.88","386,914.25","1,257,624.83","125,207,083.94","86,264,240.49","252,627,355.18","395,475,609.67","567,284,195.30","60,248,860.35"
经营活动现金流入小计,"284,011,735.85","267,098,023.54","241,999,861.41","53,939,828.49","137,764,450.48","279,959,443.18","58,814,702.94","159,666,405.87","257,092,881.94","356,969,690.27","98,391,087.86"
投资活动产生的现金流量净额,"-8,813,935.87","-4,641,950.44","-9,831,836.80","-386,914.25","-1,227,624.83","-125,140,893.94","24,502,280.06","19,573,135.93","-2,481,118.56","-17,853,170.68","5,341,180.74"
购买商品、接受劳务支付的现金,"181,777,259.57","153,293,215.25","118,776,086.65","35,350,372.37","90,255,776.42","178,121,756.22","58,323,059.57","124,191,208.03","193,733,147.83","259,619,703.66","78,011,553.26"
吸收投资收到的现金,,,,,,"155,144,000.00",,,,,"15,816,055.00"
支付给职工以及为职工支付的现金,"22,904,775.88","26,393,849.96","26,050,979.93","7,232,330.76","14,309,945.34","29,836,552.58","10,040,385.07","18,242,162.74","27,040,215.39","35,794,474.41","12,705,994.94"
取得借款收到的现金,"87,428,359.29","28,291,792.90","44,082,304.27",,,,,,,,
支付的各项税费,"24,543,729.00","19,915,909.09","20,451,639.70","7,845,963.57","16,138,219.10","26,680,934.10","2,576,026.74","10,389,058.30","18,246,812.90","28,054,871.41","3,708,540.63"
收到其他与筹资活动有关的现金,,,"200,000.00",,,,,"100,000.00","100,000.00","600,000.00","500,000.00"
支付其他与经营活动有关的现金,"29,399,038.63","26,183,043.14","23,842,148.88","2,950,595.93","6,837,706.03","21,680,378.80","3,864,536.77","10,431,179.92","15,524,369.94","29,196,399.68","8,941,991.67"
筹资活动现金流入小计,"87,428,359.29","28,291,792.90","44,282,304.27",,,"155,144,000.00",,"100,000.00","100,000.00","600,000.00","16,316,055.00"
经营活动现金流出小计,"258,624,803.08","225,786,017.44","189,120,855.16","53,379,262.63","127,541,646.89","256,319,621.70","74,804,008.15","163,253,608.99","254,544,546.06","352,665,449.16","103,368,080.50"
偿还债务支付的现金,"105,093,896.06","36,217,999.79","65,003,772.47",,,,,,,,
经营活动产生的现金流量净额,"25,386,932.77","41,312,006.10","52,879,006.25","560,565.86","10,222,803.59","23,639,821.48","-15,989,305.21","-3,587,203.12","2,548,335.88","4,304,241.11","-4,976,992.64"
分配股利、利润或偿还利息支付的现金,"9,665,216.78","16,171,665.07","15,916,966.55",,,,,"13,415,000.00","13,415,000.00","13,415,000.00",
收回投资收到的现金,,,,,,,"110,000,000.00","270,000,000.00","390,000,000.00","546,000,000.00","65,000,000.00"
支付其他与筹资活动有关的现金,"334,248.40","3,055,096.70","225,270.90","142,103.00","236,153.00","5,200,669.26","62,250.00","72,315.00","72,315.00","2,166,808.23",
取得投资收益收到的现金,,,"130,797.08",,,,"766,520.55","2,200,491.11","2,994,491.11","3,431,024.62","590,041.09"
筹资活动现金流出小计,"115,093,361.24","55,444,761.56","81,146,009.92","142,103.00","236,153.00","5,200,669.26","62,250.00","13,487,315.00","13,487,315.00","15,581,808.23",
处置固定资产、无形资产和其他长期资产收回的现金净额,,"50,000.00","6,017,800.00",,"30,000.00","66,190.00",,,,,
筹资活动产生的现金流量净额,"-27,665,001.95","-27,152,968.66","-36,863,705.65","-142,103.00","-236,153.00","149,943,330.74","-62,250.00","-13,387,315.00","-13,387,315.00","-14,981,808.23","16,316,055.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-132,830.27","159,011.34","293,392.64","-78,812.66","17,109.74","-52,420.45","131,170.15","176,185.85","180,517.39","110,430.28","21,663.93"
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,,"50,000.00","6,148,597.08",,"30,000.00","66,190.00","110,766,520.55","272,200,491.11","392,994,491.11","549,431,024.62","65,590,041.09"
五、现金及现金等价物净增加额,"-11,224,835.32","9,676,098.34","6,476,856.44","-47,264.05","8,776,135.50","48,389,837.83","8,581,895.00","2,774,803.66","-13,139,580.29","-28,420,307.52","16,701,907.03"
购建固定资产、无形资产和其他长期资产支付的现金,"8,813,935.87","4,691,950.44","15,980,433.88","386,914.25","1,257,624.83","5,207,083.94","6,264,240.49","22,627,355.18","55,475,609.67","81,284,195.30","25,248,860.35"
期初现金及现金等价物余额,"21,164,601.82","9,939,766.50","19,615,864.84","26,092,721.28","26,092,721.28","26,092,721.28","74,482,559.11","74,482,559.11","74,482,559.11","74,482,559.11","46,062,251.59"
投资支付的现金,,,,,,"120,000,000.00","80,000,000.00","230,000,000.00","340,000,000.00","486,000,000.00","5,000,000.00"
期末现金及现金等价物余额,"9,939,766.50","19,615,864.84","26,092,721.28","26,045,457.23","34,868,856.78","74,482,559.11","83,064,454.11","77,257,362.77","61,342,978.82","46,062,251.59","62,764,158.62"
