科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
财务费用,"-532,053.15","-869,950.17","-1,275,898.56","-292,892.68","-2,748,702.83","-7,091,200.56","-13,485,906.97","-5,640,889.75","-11,313,105.66","-15,731,856.08","-21,825,740.42","-4,912,692.70","-10,563,490.21","-15,077,469.69","-20,316,161.09","-4,948,921.65","-8,410,812.87","-12,007,761.87","-15,242,517.65","-4,443,803.27","-6,626,651.25","-9,067,625.36","-10,365,530.42","-3,945,894.31","-7,210,240.47","-9,923,691.64","-11,414,247.53","-3,393,787.89"
三、利润总额,"25,788,134.69","63,046,042.63","115,842,366.46","33,985,446.83","76,871,192.67","96,302,722.17","122,968,430.40","18,191,365.00","43,492,101.29","64,022,465.50","87,382,993.68","12,143,169.32","31,628,284.38","51,390,050.66","59,831,115.80","16,423,533.77","42,105,177.50","61,053,104.39","75,009,015.32","15,076,684.98","26,895,244.67","41,545,091.17","43,311,913.49","15,588,676.88","30,932,146.42","47,415,038.94","44,298,971.09","12,278,449.49"
资产减值损失,"852,741.06","156,183.71","395,065.78","322,866.24","710,926.17","563,022.91","1,020,481.51","284,975.51","454,691.55","339,541.25","345,820.94","336,640.24","422,807.23","483,593.16","47,301.30","430,918.32","460,412.34","773,920.12","134,942.21","419,058.94","777,323.10","866,609.02","1,262,634.91","1,066,487.84","1,629,111.90","2,056,809.11","1,170,324.25","295,770.71"
减:所得税,"1,705,094.35","10,905,270.60","19,027,499.97","5,869,297.45","14,797,806.94","18,862,908.25","22,219,711.66","3,689,896.86","7,987,618.69","13,926,182.60","19,540,046.64","2,471,330.77","5,809,637.91","9,694,307.58","11,228,969.18","4,157,549.05","9,722,401.65","13,811,829.71","16,389,236.07","3,250,796.18","5,834,687.47","9,385,592.69","9,805,731.06","3,668,964.73","6,516,204.09","9,353,947.82","7,967,743.06","3,702,983.54"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"14,268.49",,,,,,,,,,,,,,,"1,034,755.37","2,022,711.53","2,257,472.08",,"925,150.69","1,466,835.62","2,292,936.99","1,139,917.81","2,164,315.07","3,752,260.28","5,519,321.23","1,726,415.10"
四、净利润,"24,083,040.34","52,140,772.03","96,814,866.49","28,116,149.38","62,073,385.73","77,439,813.92","100,748,718.74","14,501,468.14","35,504,482.60","50,096,282.90","67,842,947.04","9,671,838.55","25,818,646.47","41,695,743.08","48,602,146.62","12,265,984.72","32,382,775.85","47,241,274.68","58,619,779.25","11,825,888.80","21,060,557.20","32,159,498.48","33,506,182.43","11,919,712.15","24,415,942.33","38,061,091.12","36,331,228.03","8,575,465.95"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"21,780,453.80","41,711,042.47","82,083,185.55","23,342,498.60","50,250,260.59","62,493,704.16","79,263,275.43","10,350,436.44","27,204,319.94","37,713,274.54","50,861,997.83","6,473,896.34","18,847,922.85","31,448,131.24","37,026,780.30","7,540,123.89","21,794,716.90","32,803,673.29","41,630,491.67","7,707,607.60","14,927,209.82","21,745,759.34","19,102,625.46","7,901,640.71","17,047,655.53","25,593,882.72","18,944,257.22","4,062,634.20"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"2,302,586.54","10,429,729.56","14,731,680.94","4,773,650.78","11,823,125.14","14,946,109.76","21,485,443.31","4,151,031.70","8,300,162.66","12,383,008.36","16,980,949.21","3,197,942.21","6,970,723.62","10,247,611.84","11,575,366.32","4,725,860.83","10,588,058.95","14,437,601.39","16,989,287.58","4,118,281.20","6,133,347.38","10,413,739.14","14,403,556.97","4,018,071.44","7,368,286.80","12,467,208.40","17,386,970.81","4,512,831.75"
