科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"93,654,583.64","129,603,562.95","135,350,940.61",,"541,093,010.19","322,000,660.59","299,170,276.64","284,779,149.69","336,292,543.10","277,688,726.41","454,549,959.03","271,556,993.42","437,201,775.94","262,179,811.91","312,463,995.69","275,008,677.77"
短期借款,"50,779,812.49","186,879,812.49","138,468,213.77",,"189,418,213.77","162,622,106.27","205,750,000.00","286,050,000.00","275,200,000.00","275,100,000.00","380,100,000.00","425,100,000.00","584,750,000.00","514,950,000.00","499,950,000.00","639,950,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"1,838,992.42","14,449,826.38","20,129,619.47",,"35,723,466.96","105,366,049.04","153,544,422.58","167,853,322.87","133,687,028.58","184,965,585.16","105,617,850.75","223,837,589.53","138,317,090.74","172,892,242.89","251,727,787.32","292,451,886.71"
应付票据,"55,370,444.76","64,101,806.06","69,461,702.90",,"62,387,502.22","28,855,187.88","23,239,439.53","48,992,530.56","71,354,009.03","74,302,355.78","74,262,570.41","133,556,232.22","132,662,593.00","85,175,379.80","125,871,247.74","162,030,940.36"
应收账款,"165,461,629.87","277,564,137.23","373,730,996.49",,"374,351,726.67","445,929,872.73","475,261,896.94","425,114,004.01","494,211,422.39","441,077,140.95","457,843,463.73","355,283,698.63","444,520,746.31","455,592,727.20","521,648,235.15","487,242,151.91"
应付账款,"89,114,807.88","196,935,279.21","286,255,381.49",,"216,108,484.80","214,843,139.09","234,474,596.57","214,310,214.71","220,993,812.93","223,748,372.59","324,011,997.05","309,920,017.22","319,865,670.92","568,726,159.85","338,765,056.54","340,665,556.21"
预付款项,"5,616,084.19","5,032,820.03","8,335,967.03",,"10,845,020.00","13,634,641.94","21,674,346.75","21,817,028.34","14,621,988.97","13,278,556.51","12,590,508.49","42,734,428.54","43,178,830.85","59,541,408.93","8,028,521.31","10,540,197.58"
预收款项,"26,746,040.24","25,670,689.80","30,384,665.96",,"30,199,795.36","28,774,264.59","41,176,309.34","50,239,113.79","39,706,104.82","57,631,053.05","53,542,556.31","156,859,449.14","70,979,527.29","65,999,214.22","65,391,331.77","76,985,192.77"
