科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"89,666,651.22","90,194,393.66","151,151,625.11","19,864,960.90","79,477,949.25","119,692,441.00","158,275,957.89","33,868,301.44","69,286,724.97","110,783,094.97","147,801,196.75","42,060,003.22","81,574,434.31","117,859,164.04","195,465,173.33","73,931,982.38","131,854,604.31","225,248,537.93","344,256,198.83","68,812,642.38","156,894,875.17","232,879,338.07","322,863,429.82","83,443,623.03","174,477,982.94","266,303,685.05","465,209,387.34","93,852,224.25","204,367,333.79","304,196,711.94","489,747,916.16","116,298,687.99","234,661,843.88","372,552,210.52","638,249,697.90","109,294,039.69"
取得子公司及其他营业单位支付的现金净额,,"2,901,357.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,"16,227.23","20,235.75","20,235.75","20,235.75","9,285.04","5,794.00","14,381.86","21,544.67","6,660.96","6,660.96","43,592.88","1,040.96","52,355.31","57,490.24","57,656.88",,,,,,,,,,,,"1,601.67","1,750.56",
支付其他与投资活动有关的现金,,,,,,,,,,,,,"37,140,000.00","104,409,597.36",,"42,371,354.00",,,,,,,"15,000,000.00",,,"5,871,083.56","2,347,244.87",,,"12,697,463.67","12,697,463.67",,,,,
收到其他与经营活动有关的现金,"3,328,407.10","115,140.06","298,711.06","117,432.52","72,275.00","1,189,558.89","2,330,520.00","45,974.58","936,266.37","865,214.16","1,439,752.09","58,585.58","713,815.02","1,281,078.12","5,106,434.43","1,021,560.84","4,142,275.49","6,289,235.93","12,917,296.62","452,549.32","1,486,646.86","1,624,248.93","26,110,843.32","25,805,328.36","27,460,969.58","45,553,426.29","35,904,862.62","1,185,418.32","1,500,753.09","12,920,823.60","6,898,448.39","5,502,927.01","10,558,743.04","17,238,835.00","14,690,187.83","559,633.54"
投资活动现金流出小计,"26,711,755.54","13,329,278.67","4,230,044.11","1,384,459.35","11,748,473.03","18,607,415.31","28,561,143.96","1,721,681.94","5,716,224.01","12,269,244.84","30,048,121.35","11,693,802.57","61,991,617.38","142,115,948.33","218,498,771.21","76,866,799.12","80,950,720.29","184,716,281.87","195,447,744.12","1,447,665.50","54,635,410.34","56,874,325.64","152,224,418.09","25,587,310.71","38,210,118.77","52,138,000.33","248,861,668.79","1,701,613.07","18,113,747.90","47,128,646.95","252,017,328.31","38,065,549.63","249,660,797.56","65,859,052.78","148,784,824.36","28,931,896.38"
经营活动现金流入小计,"92,995,058.32","90,309,533.72","151,450,336.17","19,982,393.42","79,550,224.25","120,881,999.89","160,606,477.89","33,930,503.25","70,243,227.09","111,668,544.88","149,261,184.59","42,127,873.84","82,294,043.33","119,154,624.02","200,593,152.43","74,960,204.18","136,003,540.76","231,581,366.74","357,174,536.41","69,317,547.01","158,439,012.27","234,561,243.88","348,974,273.14","109,248,951.39","201,938,952.52","311,857,111.34","501,114,249.96","95,037,642.57","205,868,086.88","317,117,535.54","496,646,364.55","121,801,615.00","245,220,586.92","389,792,647.19","652,941,636.29","109,853,673.23"
投资活动产生的现金流量净额,"11,724,499.56","-13,239,963.46","-3,959,735.54","-1,384,459.35","-11,553,683.21","-18,125,125.31","-27,606,734.66","102,596.74","-2,624,787.85","-5,345,530.93","-22,194,442.81","-10,257,175.17","-55,094,024.77","-18,292,936.94","-68,514,481.26","-30,025,697.39","-7,741,885.08","-108,607,692.57","-118,610,284.51","-647,712.55","-53,308,613.78","-55,455,599.61","-150,602,710.25","-21,882,757.44","-36,993,829.22","-44,174,309.12","-243,180,736.88","50,725,014.91","26,593,294.54","-256,222.39","-815,088.96","-36,902,052.27","152,661,107.42","140,178,573.17","-50,945,028.78","-28,041,061.57"
购买商品、接受劳务支付的现金,"44,469,325.37","30,019,224.95","67,358,457.80","4,835,495.41","45,676,162.90","69,830,811.21","89,148,881.16","20,371,961.50","37,530,872.39","60,585,289.86","69,447,782.07","20,725,562.14","38,321,882.31","59,749,759.66","86,490,062.12","49,298,842.99","80,310,326.20","147,074,770.42","204,962,873.65","48,511,487.63","102,687,977.47","140,723,140.91","161,198,838.68","43,637,542.91","83,192,043.09","135,922,323.01","267,771,432.94","53,786,094.40","102,967,997.29","143,126,956.48","242,436,291.60","65,979,530.63","134,349,614.34","203,384,129.42","389,107,631.18","71,388,943.23"
吸收投资收到的现金,,,,,"223,005,000.00","223,005,000.00","223,005,000.00",,,,,,,,,"3,005,023.00","3,046,377.00","19,229,103.00","19,229,103.00",,"1,611,424.00","2,516,800.00","2,516,800.00","293,499,993.30","293,499,993.30","293,499,993.30","306,869,630.69",,,,,,"1,500,000.00","1,500,000.00","1,500,000.00","3,000,000.00"
