科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"718,218,324.15","761,373,662.12","640,130,404.56","142,923,845.56","273,010,119.94","439,089,986.53","648,238,813.58","163,359,687.34","346,480,093.49","543,806,122.21","862,974,080.92","224,192,870.73","460,948,221.04","647,101,166.56","973,901,280.72","222,992,037.40","466,910,473.18","743,248,339.01","1,290,008,668.64","251,120,962.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"23,604,702.26","23,991,703.62","24,560,686.55","3,482,242.39","7,856,233.51","9,820,291.89","16,784,114.47","4,373,249.49","8,802,385.97","11,605,099.52","18,566,121.00","3,419,336.35","5,808,598.48","11,075,514.55","16,668,635.86","4,654,972.90","7,588,498.26","15,820,798.80","24,985,407.46","7,818,942.95"
支付其他与投资活动有关的现金,"10,975,000.00","3,650,000.00",,,,,,,,,"63,510.88",,,,,,,,"275,082.74",
收到其他与经营活动有关的现金,"34,796,828.85","50,045,587.77","16,293,188.20","11,360,055.22","39,840,305.70","40,048,929.56","30,424,207.16","1,530,280.48","28,030,883.38","33,453,941.37","21,902,250.19","12,327,659.47","30,163,671.81","38,215,176.07","21,441,069.23","13,505,412.15","27,454,662.07","30,137,822.99","11,634,521.35","16,756,836.52"
投资活动现金流出小计,"55,561,817.93","28,558,820.04","37,034,349.82","1,340,965.27","1,780,882.32","2,338,916.50","3,779,358.31","677,568.31","8,549,532.05","9,072,089.83","14,718,988.77","4,793,180.48","27,530,183.90","30,658,578.50","37,700,133.03","1,263,674.12","7,674,671.74","14,081,988.08","20,322,159.86","829,760.17"
经营活动现金流入小计,"776,619,855.26","835,410,953.51","680,984,279.31","157,766,143.17","320,706,659.15","488,959,207.98","695,447,135.21","169,263,217.31","383,313,362.84","588,865,163.10","903,442,452.11","239,939,866.55","496,920,491.33","696,391,857.18","1,012,010,985.81","241,152,422.45","501,953,633.51","789,206,960.80","1,326,628,597.45","275,696,742.21"
投资活动产生的现金流量净额,"-44,435,702.54","-10,849,643.16","-34,856,048.41","-1,245,402.88","-1,779,970.38","-2,322,607.15","-3,730,222.52","-617,568.31","-8,489,482.05","-8,249,244.94","-9,344,337.24","-4,793,180.48","-27,529,253.90","-29,342,095.50","-36,920,396.44","-1,263,674.12","-7,624,671.74","-13,089,188.08","-18,730,968.25","-799,760.17"
购买商品、接受劳务支付的现金,"564,502,827.15","564,734,910.86","490,258,691.73","129,890,790.09","237,045,355.84","347,957,300.54","518,250,383.06","143,997,234.92","344,115,069.69","502,210,643.33","738,549,447.78","216,933,327.42","376,518,017.66","552,876,764.49","814,049,281.73","217,595,818.54","377,038,621.02","598,197,609.64","1,074,135,027.32","232,220,581.62"
吸收投资收到的现金,,,"500,000.00","1,420,000.00","1,420,000.00","4,399,200.00","91,906,028.35",,,,"3,950,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,"1,980,000.00","1,980,000.00","1,980,000.00",
支付给职工以及为职工支付的现金,"86,089,699.21","90,464,954.09","91,699,773.15","23,263,343.92","44,621,815.26","61,783,949.27","86,851,539.91","24,709,317.50","47,617,034.67","70,360,463.65","90,992,869.95","26,394,428.88","53,817,577.37","82,501,319.10","102,515,818.65","24,914,189.55","54,938,238.92","79,823,900.81","102,856,618.05","30,657,766.19"
取得借款收到的现金,"334,185,400.34","358,629,313.59","381,104,126.16","82,323,513.40","239,707,636.90","270,190,418.93","356,495,800.88","119,985,600.00","268,208,449.19","308,575,973.81","349,913,230.51","119,000,000.00","270,650,000.00","339,162,000.00","409,293,247.23","136,276,559.26","232,811,200.94","298,281,614.49","426,303,577.64","126,211,858.12"
支付的各项税费,"40,184,276.15","38,814,692.08","33,539,996.70","18,256,076.74","15,075,229.63","21,581,695.13","25,671,682.70","12,883,217.41","15,286,894.30","31,099,456.25","33,815,860.25","13,505,411.47","21,193,027.14","31,330,025.10","33,131,144.52","7,229,664.67","28,257,118.25","31,108,951.22","31,820,251.94","11,926,054.46"
收到其他与筹资活动有关的现金,"2,770,000.00",,,"10,000,000.00","10,354,055.49","13,912,775.20","14,840,513.18",,"1,476,756.79","5,284,383.94","4,782,302.48","783,670.44","3,485,750.86","7,089,429.93","6,602,985.57","897,482.08",,,"208,989.61",
支付其他与经营活动有关的现金,"96,880,770.92","103,714,390.84","68,911,327.27","28,291,419.74","36,294,623.74","67,207,497.83","45,560,750.47","21,426,099.71","50,290,701.94","69,516,643.80","78,357,592.33","14,123,090.83","58,809,374.67","76,055,117.34","79,074,497.94","24,945,528.45","66,475,468.03","93,228,826.60","73,093,758.55","19,417,730.77"
筹资活动现金流入小计,"336,955,400.34","358,629,313.59","381,604,126.16","93,743,513.40","251,481,692.39","288,502,394.13","463,242,342.41","119,985,600.00","269,685,205.98","313,860,357.75","358,645,532.99","120,783,670.44","275,135,750.86","347,251,429.93","416,896,232.80","137,174,041.34","234,791,200.94","300,261,614.49","428,492,567.25","126,211,858.12"
经营活动现金流出小计,"787,657,573.43","797,728,947.87","684,409,788.85","199,701,630.49","333,037,024.47","498,530,442.76","676,334,356.14","203,015,869.54","457,309,700.60","673,187,207.03","941,715,770.31","270,956,258.60","510,337,996.84","742,763,226.03","1,028,770,742.84","274,685,201.21","526,709,446.22","802,359,288.27","1,281,905,655.86","294,222,133.04"
偿还债务支付的现金,"306,477,877.31","357,152,676.95","369,766,146.63","87,342,428.95","210,303,839.28","271,269,403.34","381,009,356.59","119,836,274.37","231,536,348.23","258,982,454.15","315,474,686.91","118,415,174.14","241,758,405.61","284,941,675.35","320,078,981.01","164,786,098.97","260,314,813.91","312,093,048.10","435,116,126.61","131,571,161.08"
经营活动产生的现金流量净额,"-11,037,718.17","37,682,005.64","-3,425,509.54","-41,935,487.32","-12,330,365.32","-9,571,234.78","19,112,779.07","-33,752,652.23","-73,996,337.76","-84,322,043.93","-38,273,318.20","-31,016,392.05","-13,417,505.51","-46,371,368.85","-16,759,757.03","-33,532,778.76","-24,755,812.71","-13,152,327.47","44,722,941.59","-18,525,390.83"
分配股利、利润或偿还利息支付的现金,"17,848,034.77","17,352,090.87","19,216,407.02","4,592,888.13","8,198,522.92","12,924,260.47","16,842,208.04","4,414,057.12","8,405,235.86","14,371,886.03","19,360,323.70","3,666,981.52","8,465,084.30","14,690,536.96","20,827,956.45","4,521,938.76","11,835,432.37","14,949,368.13","23,254,998.37","4,614,026.53"
收回投资收到的现金,,,"2,000,000.00",,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,675,000.00","1,731,756.23","18,876,203.84","6,133,052.43","7,966,777.00","7,966,777.00","3,307,626.63","346,698.79","5,638,493.31","5,948,567.01","6,948,480.93","253,609.51","4,001,630.14","1,378,686.18","1,631,724.95",549.05,,"6,630,552.48","3,264,009.77","500,000.00"
取得投资收益收到的现金,,"1,000,000.00",,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"327,000,912.08","376,236,524.05","407,858,757.49","98,068,369.51","226,469,139.20","292,160,440.81","401,159,191.26","124,597,030.28","245,580,077.40","279,302,907.19","341,783,491.54","122,335,765.17","254,225,120.05","301,010,898.49","342,538,662.41","169,308,586.78","272,150,246.28","333,672,968.71","461,635,134.75","136,685,187.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"151,115.39","342,421.71","178,301.41","95,562.39",911.94,"16,309.35","49,135.79","60,000.00","60,050.00","822,844.89","5,374,651.53",,930.00,"1,316,483.00","779,736.59",,"50,000.00","992,800.00","1,591,191.61","30,000.00"
筹资活动产生的现金流量净额,"9,954,488.26","-17,607,210.46","-26,254,631.33","-4,324,856.11","25,012,553.19","-3,658,046.68","62,083,151.15","-4,611,430.28","24,105,128.58","34,557,450.56","16,862,041.45","-1,552,094.73","20,910,630.81","46,240,531.44","74,357,570.39","-32,134,545.44","-37,359,045.34","-33,411,354.22","-33,142,567.50","-10,473,329.49"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,083,973.84","-1,007,537.87","425,509.26","-557,770.60","-793,581.43","-1,607,622.46","-309,635.45","-188,074.00","356,498.56","735,598.76","513,486.96","648,518.11","-489,718.51","408,971.99","-783,999.68","-247,420.08","70,252.44","466,283.81","-73,906.41","-151,839.25"
收到其他与投资活动有关的现金,"10,975,000.00","16,366,755.17",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,126,115.39","17,709,176.88","2,178,301.41","95,562.39",911.94,"16,309.35","49,135.79","60,000.00","60,050.00","822,844.89","5,374,651.53",,930.00,"1,316,483.00","779,736.59",,"50,000.00","992,800.00","1,591,191.61","30,000.00"
五、现金及现金等价物净增加额,"-46,602,906.29","8,217,614.15","-64,110,680.02","-48,063,516.91","10,108,636.06","-17,159,511.07","77,156,072.25","-39,169,724.82","-58,024,192.67","-57,278,239.55","-30,242,127.03","-36,713,149.15","-20,525,847.11","-29,063,960.92","19,893,417.24","-67,178,418.40","-69,669,277.35","-59,186,585.96","-7,224,500.57","-29,950,319.74"
购建固定资产、无形资产和其他长期资产支付的现金,"8,238,814.93","24,908,820.04","23,597,601.13","1,340,965.27","1,780,882.32","2,338,916.50","3,779,358.31","677,568.31","4,549,532.05","5,072,089.83","10,655,477.89","2,793,180.48","9,530,183.90","12,658,578.50","19,700,133.03","1,263,674.12","7,674,671.74","14,081,988.08","20,047,077.12","829,760.17"
期初现金及现金等价物余额,"165,485,393.83","118,882,487.54","127,100,101.69","62,989,421.67","62,989,421.67","62,989,421.67","62,989,421.67","140,145,493.92","140,145,493.91","140,145,493.91","140,145,493.91","109,903,366.88","109,903,366.88","109,903,366.88","109,903,366.88","129,796,784.12","129,796,784.12","129,796,784.12","129,796,784.12","122,572,283.55"
投资支付的现金,"36,348,003.00",,"13,436,748.69",,,,,,"4,000,000.00","4,000,000.00","4,000,000.00","2,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00",,,,,
期末现金及现金等价物余额,"118,882,487.54","127,100,101.69","62,989,421.67","14,925,904.76","73,098,057.73","45,829,910.60","140,145,493.92","100,975,769.10","82,121,301.24","82,867,254.36","109,903,366.88","73,190,217.73","89,377,519.77","80,839,405.96","129,796,784.12","62,618,365.72","60,127,506.77","70,610,198.16","122,572,283.55","92,621,963.81"
