科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"47,079,697.87","52,849,713.52","83,269,819.36","57,935,384.53","55,450,607.75","124,734,601.37","146,243,208.67","177,801,229.91","72,022,108.14","101,001,891.39","87,305,841.23","65,076,880.75","102,084,209.73","105,885,139.88","61,013,078.53"
短期借款,"1,000,000.00","2,500,000.00","6,000,000.00","10,000,000.00","18,200,000.00","18,200,000.00","17,112,000.00","17,469,000.00","19,000,000.00","19,000,000.00","10,995,000.00","5,000,000.00","2,000,000.00","2,000,000.00","16,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"4,604,846.57","5,799,147.98","9,944,465.24","6,593,828.41","6,705,802.20","6,674,627.70","8,436,618.00","7,593,511.97","10,725,670.00","20,303,566.87","9,355,525.40","10,500,169.87","5,250,444.97","6,273,926.70","10,013,893.91"
应付票据,,"11,570,559.22","24,116,089.18","7,776,159.90","21,222,485.65","25,011,718.08","23,257,983.47","30,611,880.76","21,339,278.73","9,372,656.75",,,,"5,000,000.00",
应收账款,"152,139,462.97","205,221,351.47","188,530,153.78","209,718,999.04","201,274,752.29","228,126,362.62","218,902,573.85","267,814,170.96","276,809,372.89","262,941,312.98","249,478,999.71","258,741,836.01","249,370,655.51","259,173,990.21","238,911,336.19"
应付账款,"79,227,432.68","86,514,781.75","77,343,315.30","77,352,630.84","65,783,015.79","81,312,988.28","80,729,379.49","95,286,226.67","88,631,454.21","90,394,870.43","101,705,401.98","106,720,492.71",,"82,802,863.72",
预付款项,"10,265,908.21","8,371,958.89","7,847,284.54","10,551,817.70","18,163,997.81","5,972,260.77","17,358,190.37","26,067,888.53","21,147,435.07","13,723,016.95","23,790,193.50","14,416,343.72","14,865,847.16","6,213,705.73","9,242,007.35"
预收款项,"61,095,789.67","60,830,633.22","43,413,268.48","47,729,180.50","38,359,239.76","29,916,562.47","57,789,975.20","59,608,772.81","75,851,741.03","59,957,281.14","80,301,944.28","87,033,416.01","70,451,417.45","20,475,276.79","26,158,641.39"
其他应收款,"3,072,524.35","2,510,640.67","3,150,696.40","3,222,850.31","6,181,259.77","9,089,783.95","4,703,028.03","5,394,416.93","5,544,247.08","4,024,771.70","4,780,227.23","6,119,855.12","5,136,757.02","2,609,795.36","3,284,177.11"
应付职工薪酬,"415,261.23","400,666.82","267,620.86","46,439.06","108,610.56","209,305.73","53,306.64","54,543.01","60,652.31","2,311.55","1,831.50",,,"17,657.65","13,172.02"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"15,366,909.79","15,595,865.45","13,814,539.95","11,372,201.80","8,260,978.20","11,175,721.32","3,322,140.32","8,087,624.09","5,299,984.18","7,882,955.49","2,371,637.57","7,231,669.99","4,785,451.40","9,026,995.61","3,533,941.91"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,"5,000,000.00",,,,"2,600,000.00",,,
存货,"120,050,057.00","118,714,797.70","121,482,846.80","121,499,879.29","120,799,936.21","126,136,447.76","154,918,527.77","165,457,030.74","166,037,552.52","169,998,269.20","199,118,370.77","195,730,672.09","209,304,435.94","141,661,709.87","134,225,668.92"
