科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"50,879,430.64","80,675,741.74","81,423,625.05","69,728,875.03","90,600,452.36","229,569,057.34","208,778,079.94","210,425,072.50","109,668,365.87","85,749,162.29","109,169,344.97","194,107,970.61","161,951,878.95","70,052,020.08","682,946,223.79","407,372,301.06","229,314,436.76","234,035,892.13","151,694,541.76","219,989,371.70","213,935,277.00"
短期借款,"29,000,000.00","24,000,000.00",,,,,,,"7,893,510.00",,,"151,820,000.00","402,859,528.90","505,578,367.50","612,548,311.00","497,090,816.00","477,448,920.00","574,966,699.00","615,000,000.00","772,333,022.98","895,631,777.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,300,000.00","4,378,500.00","8,994,573.81","5,270,000.00","9,303,012.00","780,000.00","1,062,100.00","1,869,253.80","3,380,400.00","4,348,100.00","7,027,694.00","7,298,618.70","10,387,400.66","10,501,778.87","12,071,574.64","10,815,016.61","16,504,571.59","13,455,485.38","15,836,892.40","10,847,876.20","14,755,065.65"
应付票据,,,,"4,250,000.00",,,,,"12,200,246.00",,,,"1,300,000.00","20,340,000.00",,,"100,000.00","31,100,000.00","31,000,000.00",,"22,850,000.00"
应收账款,"47,953,705.39","45,963,156.81","45,763,818.27","58,557,687.58","55,750,090.93","64,952,352.04","72,741,261.66","78,607,916.09","133,291,595.12","129,843,510.39","135,134,459.47","158,025,506.27","272,658,928.24","201,378,402.06","262,674,615.24","316,842,592.88","387,841,099.23","417,172,817.52","404,192,654.23","415,905,784.55","539,563,326.30"
应付账款,"24,601,254.64","25,024,627.39","24,491,811.48","19,687,023.50","31,783,335.37","20,727,231.58","16,773,305.80","27,939,579.14","56,269,897.13","31,268,161.81","38,727,634.08","61,750,940.00","214,292,359.58","208,531,462.33","256,650,501.47","185,746,312.26","157,814,606.01","157,946,637.89","144,000,623.03","113,632,645.88","195,660,073.47"
预付款项,"2,921,394.76","1,217,134.83","1,872,497.96","708,012.26","817,570.15","132,625.24","884,708.84","1,227,499.53","6,047,627.55","11,555,224.67","18,327,519.40","20,495,913.83","35,035,321.57","54,318,713.41","42,063,236.30","38,453,105.06","32,702,753.99","124,043,769.97","54,097,999.35","70,370,759.34","96,339,570.05"
预收款项,"4,103,504.14","973,903.93","1,525,036.03","705,096.06","893,934.12","1,476,851.20","2,718,388.80","2,303,196.13","2,328,206.49","3,760,123.72","2,954,957.07","3,036,002.86","2,705,993.03","5,019,727.79","4,399,767.22","6,346,377.73","4,729,007.87","8,507,392.89","10,884,951.79","5,418,940.84","9,096,483.98"
其他应收款,"3,515,908.70","841,973.81","1,699,405.80","2,736,353.66","2,797,805.13","6,004,447.41","3,722,453.25","5,254,168.14","2,291,931.00","6,321,997.80","6,430,835.35","89,414,872.54","10,528,471.46","31,877,061.30","20,959,230.48","17,522,068.86","25,665,224.66","41,072,848.49","17,870,282.25","23,446,554.78","21,378,492.51"
应付职工薪酬,"2,961,026.70","4,983,799.91","6,086,689.97","2,677,640.86","9,623,122.19","2,918,634.90","3,019,400.96","2,969,410.05","10,108,281.49","2,738,301.08","2,883,030.22","3,113,662.91","21,542,589.32","9,030,659.39","11,397,222.58","10,944,845.37","29,802,775.77","20,621,821.94","20,347,044.76","20,052,947.11","28,586,762.04"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,546,336.07","5,489,502.14","3,767,086.54","5,596,338.01","4,713,684.59","3,546,841.30","4,255,314.61","9,225,334.15","3,188,306.75","2,867,084.72","4,819,223.99","8,573,663.88","12,119,897.19","8,650,331.98","8,614,882.12","-32,416,413.49","15,056,959.06","4,162,614.11","1,618,729.50","3,019,041.89","24,943,000.40"
应收利息,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,"174,260.31",,,,"136,775.83",,"177,644.33","177,644.33","168,795.38",,,,"134,793.92"
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"699,010.00","699,010.00","699,010.00","699,010.00","5,364,727.85","5,364,727.85","4,040,885.71","4,040,885.71","9,523,955.81","9,523,955.81","9,523,955.81"
存货,"21,971,686.67","26,386,215.70","31,217,866.94","30,587,148.15","37,108,224.13","43,719,758.88","45,604,547.61","43,862,649.91","73,807,360.03","78,073,015.68","77,823,782.15","168,014,436.79","430,944,403.73","533,717,828.49","590,953,012.18","626,682,107.38","608,114,850.75","669,580,992.01","730,941,854.00",,"779,049,310.17"
其他应付款,"13,961,050.21","2,252,482.16","2,285,802.48","3,746,696.95","7,779,795.09","4,516,567.83","7,630,931.49","5,698,776.86","41,694,560.42","6,175,177.83","9,723,436.92","259,897,598.85","91,325,017.22","82,570,583.48","103,796,980.37","48,672,410.25","80,831,089.32","69,240,074.23","67,374,869.41","115,603,023.02","153,766,876.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"300,000.00",,,,,,,,,,,,"18,000,000.00","18,000,000.00","26,000,000.00","26,000,000.00","43,500,000.00","43,500,000.00","18,000,000.00","53,000,000.00","53,000,000.00"
其他流动资产,,,,,,,,,"120,040,000.00","106,360,000.00","57,000,000.00",,"20,321,120.43","20,321,120.43","39,327,668.66","4,289,123.17","59,961,119.29","41,945,448.31","48,318,680.38","58,095,015.99","59,271,418.97"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"131,542,126.16","159,462,722.89","170,971,787.83","167,588,076.68","196,377,154.70","345,158,240.91","332,793,151.30","341,246,559.97","448,527,279.57","422,251,010.83","410,913,635.34","637,357,318.74","941,827,525.04","922,166,924.64","1,650,995,561.29","1,421,976,315.02","1,360,104,056.27","1,541,307,253.81","1,422,952,904.37","1,551,780,107.37","1,724,292,460.65"
流动负债合计,"79,473,171.76","62,724,315.53","38,156,426.50","36,662,795.38","54,793,871.36","33,186,126.81","34,397,341.66","48,136,296.33","133,857,268.59","46,808,849.16","59,807,292.28","488,890,878.50","764,981,171.07","858,420,142.47","1,028,950,036.94","747,926,720.30","813,493,039.12","914,086,125.77","917,750,174.30","1,092,583,577.53","1,393,193,723.61"
可供出售金融资产,,,,,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00"
长期借款,,,,,,,,,"89,500,000.00","89,500,000.00","89,000,000.00","89,000,000.00","160,500,000.00","160,500,000.00","247,000,000.00","247,000,000.00","205,500,000.00","205,500,000.00","207,500,000.00","172,500,000.00","146,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,"1,967,491.57","1,665,224.33","1,281,429.05","31,108,510.27","28,693,290.49","66,230,948.31","60,721,957.36","55,094,820.79","49,383,755.67"
长期股权投资,"1,500,000.00",,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"78,831,963.99","86,155,214.72","83,156,930.70","99,644,277.55","97,674,966.68","118,899,166.20","163,239,314.99","161,204,802.45","321,827,761.64","307,404,012.62","310,751,422.57","482,887,030.51","725,183,711.82","753,855,646.39","851,803,398.81","842,929,729.52","895,224,222.92","882,120,697.75","866,093,768.50","886,388,649.86","1,110,968,289.76"
递延所得税负债,,,,,,,,,"2,859,370.40","2,801,227.17","2,665,559.62","16,390,085.07","24,622,235.91","24,088,588.19","23,554,940.47","23,021,292.76","17,485,967.94","17,051,113.08","16,616,258.21","16,181,403.36","15,746,548.49"
在建工程,"4,191,430.84","2,205,897.11","31,209,238.04","45,367,286.00","71,312,254.18","56,692,121.98","10,524,142.82","37,550,521.04","18,221,711.01","36,382,488.83","53,949,670.38","40,444,594.15","62,936,789.89","85,915,386.94","50,073,989.15","72,470,280.00","67,743,565.74","90,329,180.66","154,361,410.63","170,864,449.20","68,965,315.23"
其他非流动负债,"4,490,000.00","8,549,375.00","15,490,275.00","16,506,558.33","15,591,591.67","15,540,566.67","15,684,541.66","15,631,016.65",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,"582,161.86","2,423,987.64","478,532.43"
非流动负债合计,"4,490,000.00","8,549,375.00","15,490,275.00","16,506,558.33","15,591,591.67","15,540,566.67","15,684,541.66","15,631,016.65","144,123,771.27","143,276,537.58","141,854,279.57","155,492,214.56","271,684,362.08","270,147,261.04","355,135,227.57","383,484,070.61","341,694,255.54","415,678,488.02","435,332,729.72","396,205,370.59","361,861,353.02"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"83,963,171.76","71,273,690.53","53,646,701.50","53,169,353.71","70,385,463.03","48,726,693.48","50,081,883.32","63,767,312.98","277,981,039.86","190,085,386.74","201,661,571.85","644,383,093.06","1,036,665,533.15","1,128,567,403.51","1,384,085,264.51","1,131,410,790.91","1,155,187,294.66","1,329,764,613.79","1,353,082,904.02","1,488,788,948.12","1,755,055,076.63"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"39,000,000.00","39,000,000.00","39,000,000.00","39,000,000.00","39,000,000.00","45,800,000.00","45,800,000.00","91,600,000.00","99,458,728.00","102,540,582.00","102,540,582.00","102,540,582.00","120,058,099.00","120,058,099.00","135,585,122.00","135,585,122.00","406,755,366.00","406,755,366.00","406,755,366.00","406,755,366.00","406,755,366.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,530,502.50","1,530,502.50","1,530,502.50","1,530,502.50","1,530,502.50","162,058,939.52","161,066,130.71","115,266,130.71","266,774,547.82","320,173,893.65","320,189,611.11","305,189,611.11","827,672,094.11","827,672,094.11","1,315,817,708.04","1,315,817,708.04","1,044,647,464.04","1,044,647,464.04","1,044,647,464.04","1,044,647,464.04","1,027,678,239.27"
无形资产,"11,547,033.60","10,672,231.44","10,161,429.30","9,906,028.38","9,650,627.46","9,522,927.00","9,395,226.54","9,267,525.67","52,230,901.03","51,713,920.72","51,181,107.07","76,716,682.17","146,675,953.64","182,167,966.48","189,574,594.62","203,886,345.73","212,148,142.52","210,027,267.44","206,988,601.77","287,646,643.89","331,276,294.44"
盈余公积,"15,204,965.62","19,522,582.22","24,994,046.21","24,994,046.21","30,170,395.14","30,170,395.14","30,170,395.14","30,170,395.14","34,285,918.95","34,285,918.95","34,285,918.95","34,285,918.95","38,255,746.64","38,255,746.64","38,255,746.64","38,255,746.64","40,177,938.96","40,177,938.96","40,177,938.96","40,177,938.96","40,597,468.15"
开发支出,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,"120,656,838.81","120,656,838.81","120,656,838.81","178,182,084.92","508,284,656.07","526,546,920.07","508,284,656.07","500,784,656.07","494,933,847.65","494,933,847.65","494,933,847.65","494,933,847.65","485,280,875.28"
未分配利润,"88,413,839.35","127,272,388.72","176,515,564.64","204,221,600.10","234,474,008.89","244,086,117.30","230,314,255.02","249,419,907.36","262,581,276.42","269,897,168.69","267,532,083.97","309,488,850.46","309,932,746.43","320,538,045.06","342,241,219.33","376,232,914.13","408,018,101.34","419,050,069.22","404,478,213.29","427,001,140.92","463,617,595.90"
长期待摊费用,"45,559.61",,,,,,,,,,,,"12,287,627.86","13,043,894.95","10,888,837.53","10,852,293.01","28,902,736.50","28,393,266.15","23,452,183.66","23,246,249.87","24,180,256.69"
少数股东权益,"657,887.06","673,514.36","681,285.72","666,268.80","584,047.00","565,007.80","545,163.87","555,369.79","22,281,053.73","23,326,828.23","23,310,271.86","24,855,093.25","119,678,158.30","123,354,756.89","124,348,128.76","133,153,749.02","155,030,077.37","158,464,322.10","154,950,914.55","161,184,789.39","151,567,899.96"
递延所得税资产,"1,112,252.09","776,612.17","868,714.70","1,076,102.71","1,129,413.54","1,134,697.15","2,025,992.41","1,509,706.85","1,898,072.72","1,901,506.45","2,067,365.57","2,155,438.34","6,419,764.11","6,103,056.54","10,065,802.61","8,837,586.70","10,597,801.67","12,590,209.45","13,199,079.53","13,670,869.06","28,540,113.46"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,"45,646,349.20","65,646,349.20","65,646,349.20","65,718,824.69","137,161,869.10","136,158,051.20","218,528,842.89","134,600,842.89","68,289,507.97"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"97,228,240.13","99,809,955.44","125,396,312.74","155,993,694.64","179,767,261.86","186,248,912.33","185,184,676.76","209,532,556.01","514,835,285.21","518,058,767.43","538,606,404.40","783,385,830.09","1,510,434,852.59","1,636,279,220.57","1,689,337,627.99","1,708,479,715.72","1,849,712,186.10","1,857,552,520.30","1,981,139,896.49","2,016,775,540.06","2,120,979,185.26"
所有者权益(或股东权益)合计,"144,807,194.53","187,998,987.80","242,721,399.07","270,412,417.61","305,758,953.53","482,680,459.76","467,895,944.74","487,011,803.00","685,381,524.92","750,224,391.52","747,858,467.89","776,360,055.77","1,415,596,844.48","1,429,878,741.70","1,956,247,924.77","1,999,045,239.83","2,054,628,947.71","2,069,095,160.32","2,051,009,896.84","2,079,766,699.31","2,090,216,569.28"
资产总计,"228,770,366.29","259,272,678.33","296,368,100.57","323,581,771.32","376,144,416.56","531,407,153.24","517,977,828.06","550,779,115.98","963,362,564.78","940,309,778.26","949,520,039.74","1,420,743,148.83","2,452,262,377.63","2,558,446,145.21","3,340,333,189.28","3,130,456,030.74","3,209,816,242.37","3,398,859,774.11","3,404,092,800.86","3,568,555,647.43","3,845,271,645.91"
负债和所有者(或股东权益)合计,"228,770,366.29","259,272,678.33","296,368,100.57","323,581,771.32","376,144,416.56","531,407,153.24","517,977,828.06","550,779,115.98","963,362,564.78","940,309,778.26","949,520,039.74","1,420,743,148.83","2,452,262,377.63","2,558,446,145.21","3,340,333,189.28","3,130,456,030.74","3,209,816,242.37","3,398,859,774.11","3,404,092,800.86","3,568,555,647.43","3,845,271,645.91"
