科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"173,510,497.60","294,510,780.61","336,009,842.12","91,354,305.93","186,503,113.92","306,922,991.36","443,127,450.16","150,710,561.66","312,902,059.82","526,411,936.45","769,248,822.01","251,329,286.26","518,518,888.58","656,771,233.24","1,088,815,473.87","234,755,879.30","514,170,677.64","789,684,076.58","1,080,353,400.12","284,294,117.35","602,783,911.63","962,063,902.91","1,349,876,020.75","381,068,931.73","853,808,116.90","1,335,079,391.43","1,476,376,714.54","318,885,489.62","1,060,817,069.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"134,118,833.75",,"134,118,833.75",,,,"500,000.00",,,,,"54,660,196.18","54,714,858.98","55,132,638.95","54,722,017.21",,,,,,
收到的税费返还,,,"780,831.00",,,,,,,,,,,,,,,,,,,,,,,,"224,564.28",,
支付其他与投资活动有关的现金,,,,,,,,,,,"40,000,000.00","103,000,000.00","331,000,000.00","580,000,000.00","580,000,000.00",,"377,000,000.00","704,000,000.00","1,631,000,000.00","734,335,170.00","1,348,335,170.00","1,718,335,170.00","2,289,000,000.00","360,000,000.00","885,000,000.00","1,411,000,000.00","1,586,000,000.00","360,050,000.00","490,050,000.00"
收到其他与经营活动有关的现金,"2,957,786.87","1,410,385.35","4,809,782.28","890,509.57","1,054,903.27","1,395,322.82","4,297,290.08","743,031.08","9,207,507.22","15,569,947.93","21,703,284.49","2,434,647.35","18,437,189.62","23,658,405.70","28,024,279.36","1,641,685.40","10,699,175.65","16,696,966.83","25,308,406.12","1,130,002.56","13,030,750.35","16,685,963.11","71,379,224.60","6,307,772.32","18,747,025.12","27,149,013.43","44,835,211.99","21,988,978.68","25,953,845.77"
投资活动现金流出小计,"39,786,147.13","35,274,135.53","37,092,305.94","13,295,623.43","27,650,679.36","44,015,504.87","61,194,809.69","69,989,370.84","174,218,783.36","206,480,436.24","266,482,915.63","129,009,868.46","391,006,051.91","652,595,534.04","683,647,432.64","16,337,746.11","426,872,825.16","824,859,764.87","1,771,363,138.15","823,459,614.70","1,486,906,813.90","1,975,436,768.85","2,624,241,230.85","419,902,991.63","1,040,462,391.93","1,648,392,024.58","1,820,312,968.18","401,336,967.76","592,811,545.31"
经营活动现金流入小计,"176,468,284.47","295,921,165.96","341,600,455.40","92,244,815.50","187,558,017.19","308,318,314.18","447,424,740.24","151,453,592.74","322,109,567.04","541,981,884.38","790,952,106.50","253,763,933.61","536,956,078.20","680,429,638.94","1,116,839,753.23","236,397,564.70","524,869,853.29","806,381,043.41","1,105,661,806.24","285,424,119.91","615,814,661.98","978,749,866.02","1,421,255,245.35","387,376,704.05","872,555,142.02","1,362,228,404.86","1,521,436,490.81","340,874,468.30","1,086,770,915.65"
投资活动产生的现金流量净额,"-39,785,347.13","-32,274,135.53","-37,092,305.94","-13,295,623.43","-27,430,679.36","-43,795,504.87","-60,974,809.69","-69,945,370.84","-174,133,783.36","-206,395,436.24","-266,397,915.63","-88,381,368.46","-137,410,682.91","-47,321,296.70","-35,191,018.07","14,072,253.89","-346,135,990.16","-400,222,983.05","-916,246,512.20","-93,520,396.98","-106,087,951.70","-123,909,131.52","-187,222,521.51","11,580,203.13","113,862,782.42","-9,828,801.44","25,855,486.91","-24,997,959.52","-14,757,666.17"
购买商品、接受劳务支付的现金,"106,675,839.96","186,871,466.96","220,836,549.61","66,441,833.56","126,296,009.09","211,783,798.12","303,777,975.69","100,252,108.93","204,382,925.46","319,222,571.39","494,077,908.28","169,371,236.48","351,356,843.18","407,799,894.39","774,657,569.91","169,231,916.29","366,683,791.75","533,075,000.83","707,633,166.30","194,752,497.93","416,686,608.28","657,162,049.05","964,876,905.82","194,848,898.04","574,912,843.13","899,711,392.70","1,064,385,777.64","245,690,865.31","798,837,043.49"
吸收投资收到的现金,"14,148,000.00",,,"481,500,000.00","481,500,000.00","481,500,000.00","481,500,000.00",,,"4,900,000.00","4,900,000.00",,,,"1,031,688.00",,"3,350,000.00","5,350,000.00","593,349,998.95",,,"5,340,000.00","34,827,010.00",,,"5,614,400.00","5,614,400.00",,
