科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"2,167,134,365.11","2,539,969,381.30","3,158,334,073.25","760,311,334.11","1,695,075,131.91","2,581,877,263.20","3,546,513,728.33","866,804,538.85","1,846,548,810.81","3,039,066,792.57","4,270,489,896.20","1,200,883,088.48","2,545,172,256.88","3,890,032,236.56","5,450,045,828.18","1,476,005,324.37","2,904,597,891.30","4,542,748,313.91","6,572,625,774.96","1,841,072,554.86","3,623,130,127.58","5,891,083,322.09","8,778,460,856.11","2,734,224,487.80"
二、营业利润,"118,883,066.49","107,420,906.74","114,508,429.53","41,901,888.72","55,532,677.85","82,337,317.93","102,547,433.91","35,318,844.28","50,305,560.22","94,908,197.60","115,605,381.53","56,711,790.75","136,408,405.28","209,715,720.05","221,833,601.17","78,282,992.57","135,142,736.40","168,926,737.12","196,733,238.19","85,216,222.33","92,915,945.60","143,073,395.53","216,660,454.26","108,749,300.02"
减:营业成本,"1,932,617,087.74","2,314,782,351.35","2,890,727,074.60","671,829,363.50","1,544,408,209.94","2,353,464,940.01","3,247,676,058.69","787,172,677.33","1,709,862,371.35","2,798,648,701.03","3,929,260,331.75","1,088,974,160.04","2,304,274,296.40","3,520,071,764.87","4,967,577,555.26","1,331,602,159.65","2,635,431,299.29","4,166,682,901.59","6,073,827,743.76","1,664,946,884.98","3,348,939,228.67","5,477,006,577.66","8,152,539,109.61","2,529,066,400.06"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,354,844.70","853,359.01","1,100,131.58","30,548.59","324,659.24","362,938.19","425,098.19",,"4,790.64","163,869.84","400,593.93","117,294.40","134,414.09","135,798.65","5,029,519.90","1,856,284.18","3,690,666.76","5,642,570.79","7,828,654.84","2,171,605.13","4,341,284.58","6,466,406.91","8,809,791.45","2,373,603.22"
营业外收入,"6,033,032.13","7,986,532.42","9,410,234.28","1,007,232.85","2,431,124.69","6,810,334.38","12,448,624.40","3,243,739.05","7,345,174.22","12,512,049.35","15,131,563.05","4,500,321.55","7,737,407.34","14,378,213.29","24,694,563.36","5,056,506.15","6,725,195.22","8,497,324.76","4,945,516.03","3,249,867.75","3,703,689.47","6,276,363.73","8,347,727.75","784,538.66"
销售费用,"66,676,011.36","73,306,811.28","81,825,568.81","24,366,876.42","52,034,092.16","77,921,876.09","101,226,044.48","24,731,866.52","48,738,470.32","81,404,568.25","123,592,885.26","32,623,580.27","58,740,102.99","88,867,631.27","131,875,579.89","36,133,124.05","71,848,933.64","104,205,331.91","162,727,463.54","53,692,348.45","104,998,673.33","164,407,023.00","229,750,904.55","58,351,496.33"
减:营业外支出,"2,449,051.45","1,529,121.59","1,018,087.66","448,412.75","850,837.80","1,827,178.67","2,507,357.16","608,340.29","1,046,003.22","1,744,471.69","2,762,963.59","303,952.20","739,167.73","1,154,704.73","2,410,185.16","1,574,110.90","2,333,153.65","2,903,205.44","1,225,544.38","91,275.26","152,189.26","267,033.32","902,936.32","1,634,960.31"
管理费用,"46,857,151.09","49,440,227.99","64,920,783.34","16,094,865.67","37,374,951.22","61,283,969.00","87,977,036.71","20,776,845.24","40,454,486.90","69,623,839.78","110,238,078.66","24,557,802.93","50,753,999.71","79,342,346.46","122,792,092.08","28,346,210.38","62,603,899.78","111,590,456.64","155,656,092.96","31,725,827.49","68,109,759.43","107,064,530.12","173,853,553.68","40,587,632.75"
其中:非流动资产处置净损失,"2,143,299.53","1,340,891.01","988,944.00","448,412.75","845,347.22","1,369,295.63","2,185,401.05","608,326.88","1,024,038.45","1,403,613.57","2,211,613.17","299,683.20","500,017.98","875,958.02","2,097,736.19","780,881.48","1,489,924.23","2,059,976.02",,,,,,
