科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"14,753,852,959.91","16,448,199,844.81","20,801,399,726.10","9,804,336,204.21","24,229,943,895.63","4,195,760,640.58","12,144,705,242.34","19,005,015,662.99","28,329,922,100.25","6,805,291,929.06","15,266,295,402.38","23,663,127,786.08","34,696,935,229.56","7,234,273,831.18","16,535,116,547.83","25,871,136,502.62","38,831,139,417.66","8,255,789,176.54","19,923,211,658.71","31,295,013,434.20","46,631,577,532.87","10,338,269,361.56","24,421,155,252.39","38,750,604,534.36","57,010,370,955.04","13,143,126,652.66","31,182,609,783.67","50,276,815,114.87","67,072,916,704.42","16,468,043,906.23","36,662,910,835.11","56,154,755,988.61","82,011,399,609.93","20,104,920,135.89"
取得子公司及其他营业单位支付的现金净额,"-46,948,867.74",,"11,971,120.16",,,,,,,,"24,441,469.49","24,441,469.49","44,500,000.00",,,,"4,088,885.18",,,"70,183,609.63","70,183,609.63",,"16,866,242.51","32,017,516.50","41,867,839.62","5,853,188.48","2,709,070.85","8,861,443.63","11,128,275.77",,"7,856,850.67","48,009,096.71","62,864,794.95","13,812,658.14"
收到的税费返还,"2,698,844.98","526,257.29","75,854.80","109,049.49","9,114,331.40","54,964.47","80,451.85","135,139.85","495,218.25","346,465.70","353,952.45","722,421.70","1,144,527.43","1,083,477.84","1,868,958.17","2,266,239.63","2,501,210.94","174,119.00","726,625.71","2,462,027.40","3,293,751.46","1,557,957.89","2,676,969.48","3,677,513.34","4,022,312.01","227,020.87","2,552,767.38","3,381,437.33","4,529,602.62","809,569.28","1,560,947.81","1,911,134.28","3,454,874.66","1,531,268.01"
支付其他与投资活动有关的现金,,"2,938,669.50","380,950.21",,"1,090,199.71",,,"38,485,230.79",,,,"9,999,707.55",,,,,,,"1,952,014.76","3,150,646.23","3,952,646.23","240,000.00","646,000.00","1,112,246.51","1,115,537.91","1,700,073.00","1,700,073.00","1,721,875.76","20,752,073.00","806,957.90","1,143,091,138.74","2,243,350,288.44","3,002,964,523.96","500,083,794.03"
收到其他与经营活动有关的现金,"227,971,702.39","114,821,219.21","316,828,168.64","125,819,081.71","197,893,048.27","220,238,658.12","246,504,809.12","414,128,778.13","445,078,226.25","171,049,668.48","277,287,578.47","528,389,048.19","450,176,946.68","233,232,852.77","340,491,383.78","569,945,340.73","627,046,388.67","260,674,595.61","366,914,176.45","615,615,664.65","907,269,852.43","199,584,119.77","462,148,889.63","686,289,145.60","1,252,204,982.55","314,933,759.59","1,103,155,711.89","1,577,029,780.99","1,943,495,941.32","323,852,615.80","1,340,436,529.22","1,956,027,395.99","2,973,462,690.35","575,375,355.46"
投资活动现金流出小计,"289,316,343.64","365,355,425.79","324,216,032.71","169,198,378.19","423,406,993.90","74,978,036.67","247,424,215.01","454,201,375.07","617,633,343.63","210,764,582.46","449,707,206.05","681,905,817.34","922,349,627.16","226,270,774.22","327,711,064.29","493,804,912.82","694,777,788.38","249,376,350.47","611,870,226.16","870,737,377.83","1,173,862,063.35","319,201,330.78","1,015,390,371.27","1,319,990,417.91","1,768,091,476.26","281,095,702.60","636,104,957.33","1,244,816,266.71","2,415,351,851.36","437,871,899.27","2,069,778,017.45","3,964,725,829.73","5,198,895,098.73","2,010,094,555.90"
经营活动现金流入小计,"14,984,523,507.28","16,563,547,321.31","21,118,303,749.54","9,930,264,335.41","24,436,951,275.30","4,416,054,263.17","12,391,290,503.31","19,419,279,580.97","28,775,495,544.75","6,976,688,063.24","15,543,936,933.30","24,192,239,255.97","35,148,256,703.67","7,468,590,161.79","16,877,476,889.78","26,443,348,082.98","39,460,687,017.27","8,516,637,891.15","20,290,852,460.87","31,913,091,126.25","47,542,141,136.76","10,539,411,439.22","24,885,981,111.50","39,440,571,193.30","58,266,598,249.60","13,458,287,433.12","32,288,318,262.94","51,857,226,333.19","69,020,942,248.36","16,792,706,091.31","38,004,908,312.14","58,112,694,518.88","84,988,317,174.94","20,681,826,759.36"
投资活动产生的现金流量净额,"-275,132,697.71","-271,446,857.56","-286,539,748.73","-145,911,560.91","-400,337,905.88","-70,737,190.86","-234,724,953.34","-395,768,970.03","-500,656,291.74","-188,378,591.87","-434,889,788.28","-660,840,873.98","-708,085,816.61","-218,194,216.15","-315,072,052.61","-455,531,591.12","-494,207,860.58","-236,988,423.18","-573,244,413.20","-793,718,101.71","-1,025,095,616.79","-289,298,562.44","-971,244,842.18","-1,269,634,738.76","-1,537,862,443.67","-182,617,362.36","-507,422,000.88","-1,065,794,363.99","-1,497,800,870.49","-340,435,776.68","-452,652,982.06","-1,110,477,032.64","-1,996,293,638.42","-942,615,810.20"
购买商品、接受劳务支付的现金,"14,370,209,054.73","15,356,432,259.93","20,703,510,093.40","9,531,918,059.97","24,289,705,577.92","4,970,212,379.28","12,432,733,060.03","18,967,495,464.31","27,360,312,843.24","7,380,791,073.43","15,127,203,828.10","23,257,285,269.87","33,663,770,528.75","7,630,618,156.27","16,372,478,815.61","26,033,490,535.66","37,211,391,578.81","9,431,931,897.84","20,181,215,021.73","31,443,673,868.16","44,377,175,328.97","11,813,123,885.67","25,366,408,142.70","39,467,440,660.89","53,773,529,935.12","15,520,221,738.99","32,671,223,460.52","49,878,221,336.03","63,211,108,308.65","17,779,589,954.74","38,428,278,756.27","58,141,179,516.28","79,343,360,203.32","22,395,192,781.69"
吸收投资收到的现金,"464,532,372.81",,"103,000,000.00","8,420,000.00","1,960,330,000.00","40,000,000.00","41,000,000.00","48,250,000.00","69,090,000.00","27,364,100.00","82,664,100.00","105,944,100.00","100,364,100.00",,"15,350,000.00","29,650,000.00","29,900,000.00","2,106,049,973.15","2,133,399,973.15","2,414,284,303.15","2,414,284,303.15","3,306,300.00","109,639,763.77","1,188,399,804.38","1,239,415,828.00","72,873,195.53","99,618,195.53","179,799,195.53","1,487,643,424.55","193,492,333.00","1,728,642,479.84","2,711,378,520.93","6,420,687,055.41","132,215,000.00"
