科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"9,173,937,427.00","9,750,763,528.00","8,584,234,944.00","7,331,506,985.00","10,463,717,201.00","7,463,116,389.00","4,059,043,431.00","9,487,508,368.00","8,763,187,566.00","8,493,707,669.00","11,552,004,968.00","8,828,101,716.00","10,043,255,144.00","7,943,118,199.00","11,366,298,136.00","22,790,656,271.00","24,937,460,664.00","18,933,346,850.00","15,132,056,978.00","15,439,016,285.00","18,155,001,226.00","19,500,680,115.00","12,265,410,533.00","18,320,075,382.00","14,290,396,917.00","14,360,669,025.00","19,053,242,204.00","21,589,060,597.00","22,542,133,356.00","19,380,711,374.00","18,839,917,742.00","25,399,678,650.00","25,093,046,438.00","17,845,956,001.00","26,466,724,746.00","22,006,865,745.00","16,353,187,158.00","21,401,811,803.00","22,533,742,330.00","25,394,664,357.00","24,621,475,558.00","35,920,254,443.00","39,249,320,082.00","38,402,165,812.00","49,621,480,957.00","41,529,041,234.00"
短期借款,,,,,,,,"10,780,000,000.00","6,780,000,000.00","11,780,000,000.00","29,600,000,000.00","63,908,500,000.00","63,595,500,000.00","49,088,800,000.00","28,885,000,000.00","36,726,520,000.00","41,165,490,481.00","34,855,640,000.00","33,594,651,692.00","32,321,530,000.00","34,909,740,028.00","37,788,319,965.00","40,866,149,232.00","69,175,125,170.00","67,065,780,085.00","64,358,091,010.00","84,134,561,806.00","95,765,895,663.00","99,193,341,820.00","104,052,696,595.00","79,510,306,771.00","93,321,002,921.00","85,078,127,933.00","74,991,121,428.00","88,989,034,326.00","85,196,201,677.00","82,342,508,339.00","50,084,988,024.00","64,784,219,426.00","76,993,726,798.00","76,664,136,882.00","100,450,841,321.00","104,640,734,458.00","24,318,709,902.00","25,237,845,788.00","18,973,919,526.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,871,426.00",,,,"106,040,094.00","120,450,734.00","135,450,734.00","135,450,734.00","123,383,281.00","133,003,886.00","131,046,531.00","125,038,105.00","159,510,345.00","164,510,346.00","694,510,346.00"
交易性金融负债,"4,096,790,990.00","2,065,683,265.00",,,,,,"10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00",,,"15,000,000,000.00","23,000,000,000.00","23,000,000,000.00","24,000,000,000.00","24,000,000,000.00","23,000,000,000.00",,,,,,,"38,000,000,000.00",,,"30,000,000,000.00",,,,,,,,,,,,,,,,,
应收票据,"35,383,076.00","53,550,000.00","129,037,233.00","71,874,233.00","80,572,121.00","50,941,550.00","19,434,050.00","44,684,256.00","13,541,514.00","38,644,386.00","38,743,480.00","24,522,070.00","17,788,490.00","24,837,891.00","8,171,711.00","61,453,402.00","43,526,891.00","72,378,236.00","54,531,816.00","31,490,161.00","41,541,956.00","36,210,050.00","25,958,690.00","73,892,565.00","131,097,413.00","75,015,849.00","123,141,160.00","85,806,786.00","314,102,131.00","96,003,967.00","40,933,280.00","38,444,704.00","46,348,695.00","210,138,450.00","152,125,602.00","56,949,454.00","93,835,822.00","49,797,668.00","68,786,986.00","53,672,478.00","66,938,337.00","245,596,536.00","52,414,243.00","103,468,782.00","60,452,959.00",
应付票据,"1,871,339,272.00","2,165,768,695.00","1,229,140,692.00","834,151,078.00","230,783,019.00","165,042,427.00","43,986,748.00","1,039,888,705.00","3,813,840,899.00","401,310,112.00","812,506,116.00","1,380,861,045.00","820,333,473.00","1,176,374,242.00","1,171,044,167.00","585,181,600.00","544,764,807.00","571,081,602.00","577,924,136.00","1,046,319,417.00","768,820,661.00","182,915,891.00","252,364,452.00","285,077,142.00","264,192,524.00","485,540,535.00","500,575,166.00","406,317,719.00","316,052,366.00","84,270,864.00","91,881,585.00","107,766,020.00","12,360,358.00","30,844,388.00","25,773,087.00","23,867,678.00","745,378,175.00","2,664,462,827.00","3,760,645,722.00","67,507,440.00","1,064,791,565.00","1,731,669,974.00","1,604,326,863.00","48,763,558.00","202,707,459.00",
应收账款,"3,560,850,190.00","3,554,489,641.00","3,402,034,058.00","3,273,213,303.00","3,419,956,570.00","2,410,881,286.00","2,616,266,033.00","9,312,926,655.00","10,984,758,594.00","10,968,189,309.00","10,856,178,921.00","9,870,653,801.00","10,625,829,147.00","10,719,123,297.00","10,595,384,437.00","10,407,880,852.00","11,063,388,763.00","11,466,621,577.00","12,290,027,377.00","12,439,244,269.00","13,546,834,093.00","14,446,285,870.00","16,615,322,801.00","14,299,836,695.00","15,502,102,381.00","17,007,813,432.00","15,844,103,333.00","15,312,304,551.00","17,287,413,114.00","18,401,362,319.00","19,666,504,387.00","16,632,115,939.00","19,877,299,692.00","20,885,805,560.00","21,315,175,261.00","16,811,072,024.00","21,465,165,797.00","21,984,451,830.00","22,460,075,642.00","17,414,272,274.00","20,491,659,474.00","21,614,151,312.00","21,733,893,102.00","18,509,160,971.00","23,694,773,294.00","21,550,734,119.00"
应付账款,"21,208,711,994.00","22,302,116,524.00","23,484,966,707.00","27,488,777,993.00","25,538,627,808.00","23,158,375,967.00","23,907,870,906.00","61,750,466,429.00","71,732,400,842.00","72,206,586,342.00","72,910,004,254.00","100,567,494,864.00","86,239,560,134.00","95,299,666,014.00","92,201,083,216.00","93,695,041,747.00","82,816,970,102.00","87,141,479,099.00","83,440,542,508.00","91,138,684,831.00","79,165,491,912.00","96,129,502,824.00","86,059,722,953.00","103,512,018,697.00","88,778,639,820.00","90,369,881,851.00","89,159,111,244.00","95,745,696,314.00","85,191,356,038.00","86,377,123,987.00","85,368,470,918.00","112,372,702,753.00","102,720,211,918.00","104,636,392,620.00","117,880,459,008.00","163,151,127,302.00","149,421,163,471.00","145,748,050,171.00","139,062,594,238.00","140,265,281,900.00","130,449,132,817.00","116,286,135,741.00","113,653,459,933.00","118,861,123,967.00","113,936,655,716.00",
预付款项,"1,072,689,325.00","1,013,168,928.00","1,059,795,958.00","992,737,573.00","1,223,291,705.00","1,120,443,285.00","968,252,846.00","1,487,760,834.00","1,436,857,498.00","1,424,701,103.00","1,630,834,294.00","1,853,329,628.00","1,998,815,864.00","2,057,728,596.00","2,659,038,322.00","3,066,549,854.00","4,824,659,837.00","3,190,359,127.00","4,051,612,022.00","3,689,114,396.00","4,438,920,295.00","3,964,421,051.00","4,434,311,429.00","4,169,984,192.00","4,968,209,236.00","4,194,137,161.00","4,148,145,462.00","4,005,637,554.00","5,218,076,903.00","4,893,760,914.00","4,543,975,754.00","4,094,478,005.00","5,001,361,452.00","4,277,852,875.00","5,093,024,760.00","3,823,396,040.00","4,088,931,652.00","3,916,581,008.00","4,427,837,475.00","3,990,770,545.00","4,289,134,650.00","3,707,763,009.00","4,484,976,195.00","3,773,931,982.00","4,052,614,550.00","4,007,557,985.00"
预收款项,"10,479,029,285.00","10,432,589,313.00","10,924,894,082.00","11,582,188,827.00","12,071,189,108.00","6,542,704,381.00","6,912,179,415.00","15,560,111,756.00","17,399,658,797.00","17,675,642,217.00","19,077,037,738.00","21,135,828,170.00","23,030,942,711.00","24,208,965,372.00","26,895,481,366.00","29,971,070,505.00","33,532,273,433.00","33,752,641,372.00","34,313,511,936.00","36,620,704,885.00","39,192,139,889.00","37,926,919,784.00","38,906,929,066.00","43,083,175,709.00","45,570,138,168.00","46,418,925,483.00","46,922,095,518.00","50,352,480,435.00","50,146,020,608.00","49,044,421,164.00","47,582,566,024.00","47,470,423,706.00","46,582,604,588.00","45,097,456,970.00","46,098,498,268.00","48,933,578,958.00","47,023,455,234.00","45,492,436,677.00","46,483,240,502.00","47,614,812,281.00","47,407,476,343.00","46,524,171,005.00","46,936,408,409.00","49,896,910,698.00","47,954,409,549.00",
