科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"237,787,087.26","441,491,482.40","498,574,372.21","86,649,096.75","212,085,063.29","353,454,869.95","481,094,132.31","62,637,037.92","136,132,734.79","209,647,011.33","317,914,993.20","68,678,513.33","147,810,526.27","223,300,438.60","289,901,202.44","75,906,233.68","181,424,781.79","272,767,199.60","372,576,050.87","110,227,211.36","236,225,967.67","328,869,014.76","421,376,648.51","111,777,438.23","199,388,726.98","291,702,643.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"414,988.33","2,050,264.59","4,490,051.73","5,740,460.36","9,000,375.26","10,230,329.65","274,659.16","1,246,286.70","2,584,740.99","2,740,404.32","10,164.85","10,164.85","579,591.94","579,591.94",,,"933,228.96","933,228.96",,,,,"16,641.55","16,641.55","16,641.55"
支付其他与投资活动有关的现金,,"112,298,129.08",,,"8,300,000.00",,,,,,,,"2,280,247.20","3,180,247.20",,,,,"800,000.00","6,260,576.00","6,260,576.00","6,260,576.00","7,248,992.00","619,182.00","619,182.00","1,400,000.00"
收到其他与经营活动有关的现金,"5,787,695.53","1,320,791.65","7,253,089.84","5,254,984.15","37,272,285.99","51,185,901.68","49,617,440.26","3,908,993.73","20,810,322.71","42,330,313.41","36,246,524.25","1,629,159.25","12,511,989.85","16,865,412.42","21,319,920.49","2,465,746.43","16,268,693.08","19,758,848.42","26,886,440.91","2,728,705.05","9,116,030.87","11,397,556.29","15,692,902.93","3,654,661.71","9,877,001.29","15,369,789.18"
投资活动现金流出小计,"8,487,830.90","153,922,631.03","182,047,050.44","6,959,363.86","131,232,492.34","140,982,372.16","172,095,649.87","4,356,652.49","16,474,633.18","19,638,047.98","30,275,530.49","1,508,261.64","10,046,350.74","12,403,286.16","12,623,818.46","1,942,131.68","284,815,663.22","424,537,974.17","610,127,255.34","131,666,644.37","657,501,839.84","857,378,275.24","1,202,954,093.75","616,797,216.69","1,463,149,933.47","2,015,719,853.32"
经营活动现金流入小计,"243,574,782.79","443,227,262.38","507,877,726.64","96,394,132.63","255,097,809.64","413,641,146.89","540,941,902.22","66,820,690.81","158,189,344.20","254,562,065.73","356,901,921.77","70,317,837.43","160,332,680.97","240,745,442.96","311,800,714.87","78,371,980.11","197,693,474.87","293,459,276.98","400,395,720.74","112,955,916.41","245,341,998.54","340,266,571.05","437,069,551.44","115,448,741.49","209,282,369.82","307,089,074.28"
投资活动产生的现金流量净额,"2,427,676.04","-139,796,574.13","-108,386,755.73","1,390,636.14","-94,382,492.34","-109,284,988.84","-119,480,350.64","-3,391,062.98","-4,420,435.61","-7,583,850.41","-5,952,663.97","-1,287,018.05","308,892.85","-2,048,042.57","1,836,911.22","-1,141,945.01","-124,670,945.87","-207,671,058.92","-182,726,067.57","22,732,613.50","-97,965,987.45","-120,665,863.12","-135,147,231.56","47,395,698.16","62,422,979.44","20,341,096.14"
购买商品、接受劳务支付的现金,"170,388,013.10","270,480,752.58","329,024,706.56","73,973,592.10","178,389,203.03","310,410,319.94","405,892,125.89","58,510,927.61","128,580,934.79","191,193,074.07","219,675,127.45","56,182,422.10","113,884,291.56","184,052,574.67","225,465,380.53","26,600,967.57","91,934,443.19","194,363,593.44","251,367,457.28","39,762,868.86","116,729,616.53","174,637,946.91","268,006,586.16","74,083,171.42","112,109,732.64","224,042,666.28"
吸收投资收到的现金,,,,"784,504,313.18","777,020,000.00","777,020,000.00","785,000,000.00",,,,,,,,,,"14,595,650.00","14,595,650.00","14,595,650.00","1,605,800.00","1,605,800.00","1,605,800.00","1,605,800.00",,,
支付给职工以及为职工支付的现金,"6,521,033.06","9,951,679.11","23,162,271.48","4,913,901.34","9,586,076.79","15,082,711.65","24,746,692.85","6,330,180.99","12,956,997.20","19,685,300.04","29,657,994.15","7,757,500.95","14,285,308.69","20,987,903.09","31,561,635.19","8,201,095.28","14,919,150.98","22,272,852.37","32,969,832.56","8,289,806.49","15,391,446.05","22,713,886.61","32,787,342.45","7,784,599.87","14,996,117.36","23,193,519.27"
取得借款收到的现金,"98,000,000.00","246,788,020.00","77,130,332.40","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,,,
支付的各项税费,"13,350,561.99","23,271,831.05","33,634,434.60","4,376,209.11","9,987,647.17","18,930,017.90","23,233,789.04","1,746,994.75","3,763,639.19","7,946,254.68","12,560,173.76","4,679,613.08","13,916,976.00","24,674,361.07","37,877,106.13","7,534,547.52","19,337,594.03","33,110,747.39","45,350,381.79","10,252,304.67","23,586,661.49","33,416,396.25","41,865,170.39","4,650,908.41","14,971,678.84","27,225,962.40"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"29,219,498.03","19,928,424.55","15,933,480.88","7,353,841.07","10,128,916.71","11,332,511.48","15,198,709.92","2,199,825.70","5,160,530.75","7,310,424.59","16,756,839.23","2,751,513.03","6,299,296.67","8,612,265.01","11,407,961.86","2,800,612.36","6,643,514.10","8,765,320.37","8,427,855.27","2,467,323.02","7,069,142.93","9,309,832.08","9,280,581.84","1,535,206.79","5,611,308.44","11,293,990.41"
筹资活动现金流入小计,"98,000,000.00","246,788,020.00","77,130,332.40","786,504,313.18","779,020,000.00","779,020,000.00","787,000,000.00",,,,,,,,,,"14,595,650.00","14,595,650.00","14,595,650.00","1,605,800.00","1,605,800.00","1,605,800.00","1,605,800.00",,,
经营活动现金流出小计,"219,479,106.18","323,632,687.29","401,754,893.52","90,617,543.62","208,091,843.70","355,755,560.97","469,071,317.70","68,787,929.05","150,462,101.93","226,135,053.38","278,650,134.59","71,371,049.16","148,385,872.92","238,327,103.84","306,312,083.71","45,137,222.73","132,834,702.30","258,512,513.57","338,115,526.90","60,772,303.04","162,776,867.00","240,078,061.85","351,939,680.84","88,053,886.49","147,688,837.28","285,756,138.36"
偿还债务支付的现金,"117,500,000.00","162,900,000.00","66,888,020.00","8,130,332.40","192,130,332.40","192,130,332.40","192,130,332.40",,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,
经营活动产生的现金流量净额,"24,095,676.61","119,594,575.09","106,122,833.12","5,776,589.01","47,005,965.94","57,885,585.92","71,870,584.52","-1,967,238.24","7,727,242.27","28,427,012.35","78,251,787.18","-1,053,211.73","11,946,808.05","2,418,339.12","5,488,631.16","33,234,757.38","64,858,772.57","34,946,763.41","62,280,193.84","52,183,613.37","82,565,131.54","100,188,509.20","85,129,870.60","27,394,855.00","61,593,532.54","21,332,935.92"
分配股利、利润或偿还利息支付的现金,"22,935,383.62","7,524,261.39","22,758,771.27","3,028,341.13","31,657,557.73","31,657,557.73","31,842,002.81",,"25,198,362.80","26,720,000.00","26,720,000.00",,"14,112,000.00","14,112,000.00","14,112,000.00",,"15,995,617.69","15,995,617.69","15,995,617.69",,"19,674,918.73","19,674,918.73","19,674,918.73",,"17,498,717.43","17,498,717.43"
收回投资收到的现金,,,,,,,,,,,,,,,,,"155,500,000.00","211,500,000.00","416,500,000.00","153,000,000.00","554,500,000.00","724,900,000.00","1,046,500,000.00","659,100,000.00","1,513,600,000.00","2,022,230,000.00"
支付其他与筹资活动有关的现金,"175,525.00","400,403.75","91,760.00",,,,"7,660,000.00",,,,,,,,,,,,,,,,,,"5,945,151.66","5,945,151.66"
取得投资收益收到的现金,"3,600,000.00","10,958,196.90","8,600,000.00",,"7,500,000.00","7,500,000.00","15,441,033.71",,"4,500,000.00","4,500,000.00","10,917,500.00",,"5,134,000.00","5,134,000.00","9,241,200.00",,"3,844,530.68","4,566,728.58","10,100,721.10","1,399,257.87","2,775,237.39","5,547,507.12","14,779,697.19","4,373,699.65","11,010,418.41","12,868,454.96"
筹资活动现金流出小计,"140,610,908.62","170,824,665.14","89,738,551.27","11,158,673.53","223,787,890.13","223,787,890.13","231,632,335.21",,"25,198,362.80","26,720,000.00","26,720,000.00",,"14,112,000.00","14,112,000.00","14,112,000.00","2,000,000.00","17,995,617.69","17,995,617.69","17,995,617.69",,"19,674,918.73","19,674,918.73","19,674,918.73",,"23,443,869.09","23,443,869.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,315,506.94",,,,,,427.35,,,,"30,300.00",600.00,600.00,600.00,600.00,,,,280.00,,,"130,000.00","130,180.00",,,
筹资活动产生的现金流量净额,"-42,610,908.62","75,963,354.86","-12,608,218.87","775,345,639.65","555,232,109.87","555,232,109.87","555,367,664.79",,"-25,198,362.80","-26,720,000.00","-26,720,000.00",,"-14,112,000.00","-14,112,000.00","-14,112,000.00","-2,000,000.00","-3,399,967.69","-3,399,967.69","-3,399,967.69","1,605,800.00","-18,069,118.73","-18,069,118.73","-18,069,118.73",,"-23,443,869.09","-23,443,869.09"
处置子公司及其他营业单位收到的现金净额,,"1,457,860.00",,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-41,472.61","-536,162.16","346,275.11","49,109.10","48,509.32","-243,804.54","324,780.88","-239,038.95","-400,198.53","-415,035.87","-464,523.29","46,071.01","45,696.81","43,812.92","9,641.35","22,408.89","-8,036.92","251,986.94","412,334.67","-79,360.60","101,012.87","158,332.39","573,463.10","-66,871.15","-286,338.80","-532,810.84"
收到其他与投资活动有关的现金,,"1,710,000.00","65,060,294.71","8,350,000.00","29,350,000.00","24,197,383.32","37,173,838.17","965,589.51","7,554,197.57","7,554,197.57","13,375,066.52","220,643.59","5,220,643.59","5,220,643.59","5,218,929.68","800,186.67","800,186.67","800,186.67","800,186.67",,"2,260,615.00","6,134,905.00","6,396,985.00","719,215.20","962,494.50","962,494.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"10,915,506.94","14,126,056.90","73,660,294.71","8,350,000.00","36,850,000.00","31,697,383.32","52,615,299.23","965,589.51","12,054,197.57","12,054,197.57","24,322,866.52","221,243.59","10,355,243.59","10,355,243.59","14,460,729.68","800,186.67","160,144,717.35","216,866,915.25","427,401,187.77","154,399,257.87","559,535,852.39","736,712,412.12","1,067,806,862.19","664,192,914.85","1,525,572,912.91","2,036,060,949.46"
五、现金及现金等价物净增加额,"-16,129,028.58","55,225,193.66","-14,525,866.37","782,561,973.90","507,904,092.79","503,588,902.41","508,082,679.55","-5,597,340.17","-22,291,754.67","-6,291,873.93","45,114,599.92","-2,294,158.77","-1,810,602.29","-13,697,890.53","-6,776,816.27","30,115,221.26","-63,220,177.91","-175,872,276.26","-123,433,506.75","76,442,666.27","-33,368,961.77","-38,388,140.26","-67,513,016.59","74,723,682.01","100,286,304.09","17,697,352.13"
购建固定资产、无形资产和其他长期资产支付的现金,"8,487,830.90","41,624,501.95","182,047,050.44","6,959,363.86","122,932,492.34","140,982,372.16","172,095,649.87","4,356,652.49","16,474,633.18","19,638,047.98","30,275,530.49","1,508,261.64","7,766,103.54","9,223,038.96","12,623,818.46","1,942,131.68","2,315,663.22","2,537,974.17","2,327,255.34","1,206,068.37","4,041,263.84","9,917,699.24","10,805,101.75","1,278,034.69","4,610,751.47","21,289,853.32"
期初现金及现金等价物余额,"38,784,135.60","22,655,107.02","77,880,300.68","63,354,434.31","63,354,434.31","63,354,434.31","63,354,434.31","571,437,113.86","571,437,113.86","571,437,113.86","571,437,113.86","616,551,713.78","616,551,713.78","616,551,713.78","616,551,713.78","609,774,897.51","609,774,897.51","609,774,897.51","609,774,897.51","486,341,390.76","486,341,390.76","486,341,390.76","486,341,390.76","418,828,374.17","418,828,374.17","418,828,374.17"
投资支付的现金,,,,,,,,,,,,,,,,,"282,500,000.00","422,000,000.00","607,000,000.00","124,200,000.00","647,200,000.00","841,200,000.00","1,184,900,000.00","614,900,000.00","1,457,920,000.00","1,993,030,000.00"
期末现金及现金等价物余额,"22,655,107.02","77,880,300.68","63,354,434.31","845,916,408.21","571,258,527.10","566,943,336.72","571,437,113.86","565,839,773.69","549,145,359.19","565,145,239.93","616,551,713.78","614,257,555.01","614,741,111.49","602,853,823.25","609,774,897.51","639,890,118.77","546,554,719.60","433,902,621.25","486,341,390.76","562,784,057.03","452,972,428.99","447,953,250.50","418,828,374.17","493,552,056.18","519,114,678.26","436,525,726.30"
