科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,431,118,595.00","1,643,601,725.00","2,544,917,804.00","1,883,706,183.00","2,775,783,459.00","3,823,008,629.00","1,060,540,035.00","2,215,165,061.00","3,543,546,660.00","5,068,362,490.00","1,402,017,114.00","2,931,286,707.00","4,444,500,396.00","6,283,545,212.00","1,502,441,915.00","3,349,446,894.00","5,235,359,691.00","7,198,922,083.00","1,695,038,228.00","3,615,477,729.00","5,531,700,957.00","7,209,827,831.00","1,484,790,888.00","4,301,679,965.00","6,641,374,687.00","8,766,176,997.00","1,439,051,052.00"
取得子公司及其他营业单位支付的现金净额,"40,000,000.00",,,,,,,,,,,,,"64,724,220.00","9,837,880.00","9,837,880.00","9,837,880.00","9,837,880.00",,,,"2,727,203,453.00","30,220,588.00","65,142,253.00","111,360,433.00","110,157,848.00","40,848,520.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"39,780,679.00",,,,"42,218,015.00","267,096.00","438,513.00","1,768,899.00","184,550,910.00","168,095.00","82,427,652.00","215,955,964.00","229,681,002.00","31,116,800.00"
收到其他与经营活动有关的现金,"19,738,573.00","41,611,442.00","14,241,497.00","18,234,630.00","29,827,046.00","44,041,746.00","9,393,538.00","21,222,570.00","27,827,307.00","41,236,903.00","10,910,767.00","27,381,951.00","51,184,690.00","61,565,366.00","3,145,450.00","9,058,854.00","59,631,313.00","86,497,903.00","18,602,601.00","54,541,637.00","103,346,975.00","111,006,185.00","8,195,038.00","100,841,838.00","129,604,048.00","142,421,058.00","21,442,650.00"
投资活动现金流出小计,"155,924,421.00","196,301,299.00","458,885,115.00","235,495,117.00","405,512,933.00","430,671,555.00","143,880,413.00","509,186,310.00","866,037,177.00","1,127,973,543.00","247,013,841.00","586,028,798.00","796,753,559.00","1,198,092,412.00","140,851,842.00","895,669,153.00","1,563,662,070.00","2,250,294,358.00","2,095,836,945.00","4,778,319,372.00","7,072,294,529.00","9,256,412,347.00","522,429,794.00","2,983,483,812.00","5,065,909,123.00","6,579,507,999.00","591,046,124.00"
经营活动现金流入小计,"1,450,857,168.00","1,685,213,167.00","2,559,159,301.00","1,901,940,813.00","2,805,610,505.00","3,867,050,375.00","1,069,933,573.00","2,236,387,631.00","3,571,373,967.00","5,109,599,393.00","1,412,927,881.00","2,958,668,658.00","4,495,685,086.00","6,345,110,578.00","1,505,587,365.00","3,358,505,748.00","5,294,991,004.00","7,285,419,986.00","1,713,640,829.00","3,670,019,366.00","5,635,047,932.00","7,320,834,016.00","1,492,985,926.00","4,402,521,803.00","6,770,978,735.00","8,908,598,055.00","1,460,493,702.00"
投资活动产生的现金流量净额,"-152,409,620.00","-192,133,805.00","-442,140,753.00","-234,964,102.00","-404,966,616.00","-429,863,653.00","-143,880,413.00","-508,081,632.00","-864,633,651.00","-1,125,785,340.00","-247,013,841.00","-586,028,798.00","-696,197,258.00","-973,283,062.00","-136,505,742.00","-891,211,753.00","-1,488,315,235.00","-2,101,113,912.00","-1,964,419,455.00","-3,193,333,693.00","-3,486,728,608.00","-4,033,419,445.00","61,579,981.00","423,967,737.00","211,489,274.00","411,467,766.00","-100,303,377.00"
购买商品、接受劳务支付的现金,"999,937,705.00","1,068,153,748.00","2,138,616,443.00","1,301,048,653.00","2,038,609,400.00","2,784,584,737.00","721,618,748.00","1,730,139,816.00","2,697,596,184.00","3,465,519,734.00","901,431,220.00","1,898,572,000.00","2,870,082,758.00","4,193,724,683.00","822,675,628.00","2,086,781,893.00","3,278,927,563.00","4,242,543,550.00","873,238,972.00","1,822,561,898.00","2,974,007,320.00","4,400,701,182.00","1,124,992,609.00","2,046,639,616.00","3,381,454,418.00","4,819,536,577.00","1,095,257,071.00"
吸收投资收到的现金,,"3,394,630.00","1,967,251.00",,"1,590,629,120.00","1,590,629,120.00",,,,"45,000,000.00","17,550,000.00","17,550,000.00","42,050,000.00","62,550,000.00",,"22,500,000.00","22,500,000.00","45,000,000.00",,,"4,000,000.00","6,000,000.00","7,350,000.00","7,350,000.00","11,700,000.00","17,710,449.00",
支付给职工以及为职工支付的现金,"55,462,445.00","74,322,554.00","116,306,935.00","78,607,616.00","117,657,483.00","160,130,304.00","65,736,243.00","112,358,180.00","164,550,048.00","226,329,840.00","85,654,080.00","147,120,473.00","226,812,624.00","328,498,927.00","116,698,666.00","204,017,362.00","296,806,425.00","392,456,493.00","135,080,321.00","234,592,858.00","329,727,536.00","442,575,434.00","150,847,241.00","279,143,363.00","404,297,752.00","530,018,569.00","152,752,971.00"
取得借款收到的现金,"684,477,411.00","979,806,102.00","1,937,500,311.00","1,184,122,014.00","1,642,341,583.00","1,700,138,374.00","305,277,925.00","1,178,027,962.00","1,265,704,736.00","1,751,276,327.00","831,816,811.00","2,018,409,255.00","2,706,796,239.00","3,379,249,744.00","749,326,637.00","2,126,761,594.00","3,232,520,060.00","3,944,127,399.00","1,481,422,439.00","2,140,866,215.00","3,896,614,426.00","5,049,108,772.00","1,522,333,615.00","2,037,774,904.00","2,467,184,904.00","3,205,207,992.00","817,742,892.00"
