科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"98,975,164.01","150,906,691.86","232,863,509.54","154,194,711.69","259,890,632.85","356,173,239.05","83,040,311.75","199,814,872.31","341,150,540.68","496,188,774.26","118,602,410.25","271,624,003.20","414,337,821.75","588,869,549.64","95,128,851.99","269,436,902.16","419,715,440.69","592,699,561.19","129,494,783.10","317,643,842.16","500,252,089.00","854,251,761.06","276,612,968.69","612,273,398.83","969,946,366.10","1,687,545,358.63","377,687,271.20"
二、营业利润,"15,764,662.36","22,887,593.30","39,858,646.28","37,206,756.16","62,487,194.11","72,157,076.56","19,414,083.68","54,107,048.23","91,609,958.69","117,176,327.83","29,413,905.83","71,881,098.34","107,819,513.35","139,608,729.83","22,294,755.22","61,263,325.60","65,361,742.12","79,147,182.49","21,605,868.69","41,376,367.85","56,623,151.14","87,308,349.80","44,344,594.96","108,576,277.80","203,012,657.33","405,725,647.21","100,345,148.56"
减:营业成本,"48,431,716.51","81,426,630.77","124,399,504.05","86,880,294.52","146,732,550.18","200,386,598.11","48,998,180.99","112,269,817.71","189,296,982.17","282,461,873.07","73,028,348.23","162,521,679.30","245,899,403.90","341,168,202.59","58,788,881.07","158,986,899.90","258,210,460.87","364,698,306.70","80,187,206.11","196,544,631.73","307,195,697.08","492,385,247.82","140,033,324.11","314,855,968.82","494,261,970.99","865,999,752.51","198,243,774.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,071,859.54","1,336,611.37","2,363,643.08","1,590,934.79","2,596,999.26","3,919,132.26","179,036.23","1,892,064.98","3,343,638.66","4,739,863.85","1,045,247.64","2,374,715.77","3,753,937.05","5,468,312.19","756,499.48","2,593,650.44","4,016,592.69","5,577,724.17","1,160,761.48","2,833,625.70","4,283,386.18","10,676,347.71","3,461,350.40","6,637,966.60","10,319,172.74","18,206,699.37","4,201,650.84"
营业外收入,"3,826,903.36","9,356,067.71","15,658,742.96","5,767,054.21","5,815,762.95","18,174,080.58","1,174,799.17","6,171,242.07","15,017,796.11","23,141,620.81","2,473,654.06","10,445,456.91","16,447,387.50","24,796,953.65","3,336,006.48","10,836,984.21","16,987,660.81","26,801,589.25","3,964,003.78","7,238,272.07","11,634,069.46","37,019,217.16","8,293,526.39","1,922,396.97","2,406,612.53","5,040,397.88","1,028,839.68"
销售费用,"22,157,244.73","28,709,067.37","42,441,702.47","16,731,129.42","26,034,309.50","50,311,612.69","10,616,567.43","21,596,541.84","38,624,618.24","60,076,839.49","8,155,901.26","23,081,144.13","37,243,897.30","65,676,771.16","8,646,553.31","28,709,769.36","54,762,004.22","79,903,269.40","9,488,341.11","33,859,647.45","61,711,869.52","109,306,128.20","42,958,162.65","103,371,049.19","157,925,481.70","252,297,942.18","62,062,744.75"
减:营业外支出,"421,642.01","642,112.28","643,814.32","199,478.59","378,836.13","518,494.15","6,316.06","746,118.12","942,785.56","2,045,165.43","192,954.51","504,760.26","804,693.27","3,209,853.64","189,079.80","950,523.33","1,743,882.26","1,993,753.18","194,710.71","404,058.51","1,100,869.75","7,417,587.43","457,335.65","1,495,601.05","2,261,042.78","4,065,642.11","1,284,259.69"
管理费用,"10,398,311.75","15,739,711.37","22,047,185.59","10,760,521.95","21,347,629.30","32,388,844.13","8,538,799.55","15,979,135.76","27,228,784.50","42,820,040.34","10,725,936.12","23,141,619.26","34,615,287.44","55,609,417.58","11,149,283.94","26,977,373.80","48,901,111.58","73,807,415.78","21,475,011.97","46,122,196.06","76,835,793.06","124,948,150.44","53,780,817.95","112,285,605.89","150,323,939.99","213,627,229.29","48,203,006.74"
其中:非流动资产处置净损失,"245,765.93",,"4,541,956.61",,,,,,,"304,894.38","77,637.64","230,010.98","313,939.60","460,681.41","4,798.43","43,338.07","53,233.09","53,968.98","12,981.86","38,026.35","243,745.84","303,169.58","280,057.43","1,212,482.91","1,646,458.66",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"515,500.85","715,811.71","378,164.60","-696,774.69","-2,444,983.29","-5,402,135.92","-2,851,337.22","-5,535,065.83","-8,132,460.25","-10,317,050.05","-3,222,553.68","-5,610,515.07","-8,461,734.23","-12,046,006.96","-960,554.82","-1,544,641.49","-911,177.81","-1,547,732.88","-40,279.53","-156,221.01","-451,561.73","313,269.54","-219,470.58","-365,963.73","-321,454.55","-1,207,534.68","-51,273.28"
三、利润总额,"19,169,923.71","31,601,548.73","54,873,574.92","42,774,331.78","67,924,120.93","89,812,662.99","20,582,566.79","59,532,172.18","105,684,969.24","138,272,783.21","31,694,605.38","81,821,794.99","123,462,207.58","161,195,829.84","25,441,681.90","71,149,786.48","80,605,520.67","103,955,018.56","25,375,161.76","48,210,581.41","67,156,350.85","116,909,979.53","52,180,785.70","109,003,073.72","203,158,227.08","406,700,402.98","100,089,728.55"
