科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"20,807,305.03","25,934,975.42","34,606,932.32","35,503,216.95","32,381,455.24","43,099,321.96","255,843,426.76","84,635,531.38","80,130,378.38","26,476,093.37","81,902,552.87","53,183,851.22","57,019,631.66","56,414,664.81","97,457,351.86"
短期借款,"27,440,000.00","20,280,000.00","14,250,000.00","13,350,000.00",,"19,600,000.00","27,600,000.00","4,600,000.00","14,900,000.00","15,700,000.00","21,000,000.00","56,210,000.00","149,915,731.07","143,410,000.00","176,910,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"1,760,000.00","3,353,609.00","9,838,776.65","8,291,081.73","2,524,648.80","22,010,154.46","2,451,802.70","7,842,072.10","11,265,367.48","15,219,724.64","15,282,720.88","4,022,713.12","5,392,829.50","13,499,827.08","11,692,305.75"
应付票据,"33,440,000.00","26,800,000.00","17,550,000.00","16,740,000.00","27,572,744.22","36,206,443.00","26,677,916.00","37,023,175.52","45,480,426.63","58,446,942.59","69,942,170.17","88,971,169.50",,"99,060,749.92",
应收账款,"34,243,489.32","48,484,307.33","56,727,379.26","57,593,614.01","74,861,139.86","69,393,416.90","81,658,638.18","79,366,749.00","101,958,507.46","102,389,036.24","116,682,545.98","128,060,870.64","176,965,156.55","198,875,484.18","220,727,095.20"
应付账款,"9,134,799.75","7,183,148.13","16,194,740.70","19,679,574.67","14,533,480.09","29,254,706.61","18,315,038.11","13,958,700.74","39,476,724.49","46,026,799.61","47,009,155.55","57,108,933.52",,"103,433,266.49",
预付款项,"3,951,964.02","661,204.69","493,424.56","996,809.66","1,791,840.73","7,126,417.47","4,572,707.70","4,055,644.81","4,615,705.81","2,459,044.04","5,361,436.32","13,143,000.89","24,232,920.02","15,034,226.91","21,807,176.40"
预收款项,"3,810,759.32","7,238,501.42","3,179,818.33","2,678,274.12","6,548,127.45","3,969,247.08","4,140,757.10","7,755,913.23","8,249,012.52","5,235,961.75","6,956,640.70","6,588,259.82","7,146,531.80","5,444,313.36","4,658,131.40"
其他应收款,"950,651.59","1,044,771.47","2,402,342.63","2,279,219.99","2,343,450.93","2,212,061.31","12,350.00",,"2,181,275.29","542,260.78","1,078,988.37","774,698.19","8,435,068.84","12,263,822.45","10,935,959.27"
应付职工薪酬,"1,911,873.07","3,290,015.44","3,583,763.85","1,771,886.02","1,974,280.48","4,787,416.46","2,158,105.94","2,147,955.30","3,354,100.82","8,608,054.80","5,356,584.45","6,245,815.74","7,620,688.64","13,666,254.18","8,174,659.68"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"1,100,049.77","3,922,115.09","4,249,244.18","2,286,845.21","3,382,686.40","2,956,138.31","2,245,126.33","3,853,447.06","3,783,492.58","3,734,403.36","2,334,124.07","4,107,472.51","15,125,096.27","5,322,281.71","6,129,563.75"
应收利息,,,,,,,,"635,050.84","186,497.82","94,972.61","100,361.50","47,835.62",,,
应付利息,"83,614.67","54,763.33","19,864.73","11,950.42",,"29,348.01","42,187.75","6,392.08","6,392.08","19,690.40","32,099.38","53,910.00",,"238,253.02","239,890.43"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"24,000,000.00",,,,,"132,160.00","132,160.00"
存货,"44,962,718.93","55,152,812.12","39,563,634.43","39,822,384.90","42,596,518.96","49,716,948.76","62,518,642.18","59,986,548.65","97,064,124.87","115,286,620.94","107,636,543.19","125,447,476.22","184,527,758.72","165,448,525.70","178,200,272.80"
其他应付款,"227,070.36","428,949.41","307,172.45","252,889.36","260,464.64","823,800.01","1,253,812.42","1,234,641.27","25,511,056.62","16,015,878.42","45,146,324.60","45,677,932.78","89,516,584.20","63,685,337.00","42,659,455.17"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,"5,400,000.00","4,800,000.00",,,,,,,"1,375,000.00","962,500.00","550,000.00",,"27,806,236.38","21,834,517.50","22,458,925.36"
其他流动资产,"633,606.46","51,051.72","81,476.88","411,579.99","344,582.86","1,865,340.57","1,885,643.07","130,089,883.95","101,269,719.75","85,192,472.06","36,731,528.07","47,823,361.47","45,932,554.58","24,585,632.88","19,684,516.29"
其他流动负债,"1,333,333.34","1,623,480.31","3,567,992.93","838,322.16","2,141,931.08","1,984,640.42","2,519,766.54","3,079,504.37","1,016,406.08","663,867.89","626,279.74","797,828.45","1,273,201.52","1,735,685.93","1,428,947.09"
流动资产合计,"107,309,735.35","134,682,731.75","143,713,966.73","144,897,907.23","156,843,637.38","195,423,661.43","408,943,210.59","366,611,480.73","398,671,576.86","347,660,224.68","364,776,677.18","372,503,807.37","502,505,919.87","486,122,184.01","560,504,677.57"
流动负债合计,"83,881,500.28","75,620,973.13","62,902,597.17","57,609,741.96","56,413,714.36","99,611,739.90","84,952,710.19","73,659,729.57","167,152,611.82","155,414,098.82","198,953,378.66","265,761,322.32","518,798,571.51","457,592,406.09","497,897,052.12"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,"9,600,000.00","4,800,000.00",,,,,,,,,,,,"13,440,000.00","21,240,000.00"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,"28,833,280.48","26,966,825.11","21,670,127.74"
长期股权投资,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,"2,379,076.49","1,867,612.12","1,867,612.12"
固定资产,"132,771,525.15","139,990,352.26","135,691,529.29","140,776,472.82","140,034,401.62","147,507,561.56","144,713,787.11","156,615,085.47","200,363,247.14","206,527,032.84","219,955,127.90","236,163,979.58","352,542,280.61","380,906,491.58","380,856,576.02"
递延所得税负债,,,,,,,,,,,,"10,461,964.26","3,058,318.60","2,909,928.14","2,761,537.68"
在建工程,"1,263,846.15","499,857.85","12,976,493.96","7,728,828.95","8,840,794.79","26,039,166.14","27,698,946.17","16,896,384.68","25,666,346.09","33,088,856.49","61,341,382.81","115,703,261.94","144,142,408.58","107,987,630.36","116,197,745.68"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"9,600,000.00","4,800,000.00","4,286,802.62","4,619,483.52","4,490,961.60","4,461,135.96","6,674,385.15","6,625,949.88","6,469,199.07","5,762,448.28","5,605,697.47","18,100,791.60","42,373,097.30","55,016,014.09","57,295,386.25"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"93,481,500.28","80,420,973.13","67,189,399.79","62,229,225.48","60,904,675.96","104,072,875.86","91,627,095.34","80,285,679.45","173,621,810.89","161,176,547.10","204,559,076.13","283,862,113.92","561,171,668.81","512,608,420.18","555,192,438.37"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","192,000,000.00","194,643,200.00","194,643,200.00","194,643,200.00","194,643,200.00","194,643,200.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"61,293,635.69","61,293,635.69","61,293,635.69","61,293,635.69","61,293,635.69","61,293,635.69","249,763,635.69","249,763,635.69","249,763,635.69","177,763,635.69","206,379,729.56","208,985,515.16","211,591,300.76","213,764,243.69","215,150,067.69"
无形资产,"17,379,697.84","16,976,413.27","16,570,533.85","16,311,716.35","16,182,307.60","16,052,898.85","15,923,490.10","15,873,924.65","16,067,956.74","15,780,464.31","15,657,914.10","82,178,946.45","91,742,921.74","90,434,375.73","89,042,179.61"
盈余公积,"2,336,182.97","6,743,071.98","11,257,731.22","11,257,731.22","11,257,731.22","16,799,723.52","16,799,723.52","19,218,281.37","19,218,281.37","21,059,739.85","21,059,739.85","21,059,739.85","21,059,739.85","24,196,536.13","24,196,536.13"
开发支出,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"28,943,040.00","28,810,880.00","28,810,880.00","28,810,880.00","20,490,816.00"
商誉,,,,,,,,,,,,,"34,247,285.10","34,247,285.10","34,247,285.10"
未分配利润,"21,025,646.77","54,387,647.88","81,519,581.06","92,144,931.27","106,751,015.95","117,897,511.79","129,647,676.90","139,664,532.44","127,192,391.69","135,039,342.94","142,678,431.49","139,328,705.64","150,063,257.75","164,293,533.92","186,289,199.46"
长期待摊费用,,,,,,,,,"337,957.69","326,013.98","274,374.17","443,254.09","2,724,665.65","3,214,104.39","2,965,235.43"
少数股东权益,,,,,,,,,"12,077,301.26","12,077,323.81","12,902,891.39","12,598,788.61","40,201,382.76","41,812,116.53","44,713,929.42"
递延所得税资产,"571,047.52","570,949.55","1,432,963.93","1,606,740.61","1,778,295.73","1,917,013.76","2,187,029.81","2,212,857.38","2,231,922.30","2,234,638.30","2,631,296.70","2,975,550.70","4,118,863.33","4,605,903.82","4,983,873.89"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,"8,841,113.70","125,024.00","874,860.00","5,603,857.70","6,527,621.70","3,123,445.12","8,371,667.67","50,722,396.04","58,534,414.08","93,499,358.79","88,643,255.56","21,698,383.05","17,895,325.05","14,989,195.46","10,896,981.77"
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"160,827,230.36","158,162,596.93","167,546,381.03","172,027,616.43","173,363,421.44","194,640,085.43","198,894,920.86","242,320,648.22","303,201,844.04","351,456,364.71","388,503,351.24","459,163,375.81","647,413,750.06","636,384,986.44","639,189,877.50"
所有者权益(或股东权益)合计,"174,655,465.43","212,424,355.55","244,070,947.97","254,696,298.18","269,302,382.86","285,990,871.00","516,211,036.11","528,646,449.50","528,251,610.01","537,940,042.29","548,720,952.29","547,805,069.26","588,748,001.12","609,898,750.27","644,502,116.70"
资产总计,"268,136,965.71","292,845,328.68","311,260,347.76","316,925,523.66","330,207,058.82","390,063,746.86","607,838,131.45","608,932,128.95","701,873,420.90","699,116,589.39","753,280,028.42","831,667,183.18","1,149,919,669.93","1,122,507,170.45","1,199,694,555.07"
负债和所有者(或股东权益)合计,"268,136,965.71","292,845,328.68","311,260,347.76","316,925,523.66","330,207,058.82","390,063,746.86","607,838,131.45","608,932,128.95","701,873,420.90","699,116,589.39","753,280,028.42","831,667,183.18","1,149,919,669.93","1,122,507,170.45","1,199,694,555.07"
