科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"42,823,638.49","31,539,543.51","42,818,174.59","47,071,054.19","46,549,158.57","560,564,173.42","534,916,394.94","505,714,481.90","485,952,816.24","474,964,358.43","450,897,741.88","408,079,473.09","310,606,627.37","337,758,885.79","316,715,808.01","272,078,447.67","184,474,886.62","196,415,579.47","222,730,852.24","183,565,870.46","183,159,707.89","168,716,996.02","95,227,358.32","78,209,108.43","93,515,155.53","1,056,697,641.04","863,542,150.04","352,276,203.33","316,373,193.12","331,610,464.91","408,987,080.84","338,758,586.51","325,850,062.97","370,530,997.11","309,234,761.42"
短期借款,"51,000,000.00","40,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","40,000,000.00","15,000,000.00","35,000,000.00","35,000,000.00","20,000,000.00","20,000,000.00","50,000,000.00","30,000,000.00","37,000,000.00","37,000,000.00","107,000,000.00","107,000,000.00","117,000,000.00","117,000,000.00","115,000,000.00","193,000,000.00","259,875,104.55","199,157,181.76","226,971,074.25","215,716,594.61","169,047,558.29","64,032,790.00","78,956,250.00","77,965,507.89","100,725,256.60","181,045,435.00","95,707,560.00","97,057,415.00","61,271,766.19","83,181,350.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,125,081.83","1,115,781.01"
应收票据,"26,353,146.33","12,275,696.12","59,716,290.25","58,622,653.99","65,666,918.89","82,955,289.17","79,046,627.59","71,528,652.51","64,098,962.15","71,131,750.00","86,605,080.85","56,531,057.83","50,685,898.22","63,070,984.13","43,617,352.76","22,280,919.34","55,556,562.04","43,194,348.88","56,490,588.39","47,703,145.18","65,249,448.21","39,831,947.55","43,830,000.22","62,801,139.13","63,466,403.15","54,950,530.80","55,024,562.03","32,639,044.67","37,429,033.86","57,828,607.34","67,848,168.88","75,534,284.11","62,296,029.01","70,246,026.07","69,899,777.71"
应付票据,,"3,000,000.00",,,,,,,,"5,000,000.00","5,000,000.00",,,,"10,378,313.99",,"4,440,990.06","8,261,440.50","9,313,436.62","3,683,709.92","3,830,364.72","5,947,855.27","6,117,687.81","3,824,428.26","3,188,351.79","2,986,332.57","2,998,017.36","3,013,368.32","4,337,158.87","3,178,251.79","2,663,772.48","4,664,953.81","5,545,484.10","6,488,951.04","9,316,853.80"
应收账款,"47,642,689.80","57,738,100.69","63,433,952.14","61,722,680.30","72,146,243.32","52,545,045.21","72,294,932.95","76,406,963.83","88,404,206.60","77,689,045.34","91,656,468.05","134,068,370.31","131,850,110.62","109,049,737.66","136,354,004.80","141,852,229.74","132,604,633.48","113,141,033.46","123,443,429.36","133,045,273.75","125,738,641.05","201,853,974.95","210,556,289.21","245,143,583.62","258,123,560.41","316,563,490.10","356,259,860.79","355,713,399.66","405,129,971.49","312,751,026.49","380,142,839.88","376,078,602.97","404,030,148.21","315,822,714.29","389,490,182.58"
应付账款,"46,412,006.41","38,480,512.14","52,108,392.45","52,603,463.65","62,917,450.32","88,156,420.36","85,219,130.29","99,071,173.16","103,614,921.81","110,850,142.96","106,028,081.39","112,419,917.17","103,608,752.03","125,750,480.01","101,666,947.40","102,860,571.04","104,845,146.06","116,150,637.30","124,505,754.23","111,443,759.52","130,124,774.92","181,104,993.89","185,375,425.78","176,131,872.42","171,627,989.04","226,195,375.29","225,702,225.09","213,981,660.00","247,233,327.79","229,643,150.79","257,703,738.38","262,578,513.28","267,728,944.67","336,914,559.41","310,561,177.94"
预付款项,"2,379,230.10","2,944,514.94","2,806,885.71","5,847,474.05","7,514,964.40","7,451,680.03","9,219,047.86","19,665,530.28","18,314,334.29","10,995,430.81","32,051,093.94","26,528,358.83","104,736,890.80","6,927,316.12","24,780,528.72","13,521,952.96","23,341,877.64","6,603,799.83","9,526,726.65","9,695,179.74","11,364,199.92","7,553,205.39","7,039,000.10","10,424,679.18","8,526,921.96","8,684,136.98","28,834,409.54","17,946,411.27","14,223,460.77","5,284,171.93","17,315,179.54","17,899,422.75","18,849,500.88","13,080,517.83","21,438,628.90"
预收款项,"13,408,463.73","5,141,203.62","14,105,844.81","11,429,777.54","20,325,279.69","34,560,866.75","35,205,860.58","36,802,534.14","36,078,266.96","37,764,427.29","21,404,699.57","12,743,374.38","12,194,181.26","23,605,850.15","26,309,985.91","48,715,914.70","53,654,907.23","68,540,361.90","62,220,724.46","40,387,143.76","32,916,781.40","81,645,860.39","84,139,763.55","79,436,375.82","105,523,728.09","123,707,649.28","148,250,153.36","108,975,930.94","104,899,844.45","91,765,617.01","109,850,100.15","163,612,562.38","220,834,633.59","215,954,555.54","268,425,595.86"
其他应收款,"1,302,193.43","3,279,387.50","5,267,369.18","5,499,392.36","9,388,854.53","2,819,649.21","3,837,760.15","4,405,978.17","3,117,426.12","2,462,429.42","5,468,407.40","6,839,729.79","8,315,441.22","2,171,634.11","2,970,993.47","5,530,962.50","7,947,760.48","1,250,862.55","3,442,790.84","3,128,966.53","6,021,910.18","11,842,135.03","18,803,796.58","16,501,749.09","13,280,173.94","8,547,661.71","14,606,889.50","18,156,767.15","12,801,081.20","9,570,381.39","10,552,261.74","11,420,260.99","7,789,244.38","8,985,065.30","8,923,876.95"
应付职工薪酬,"2,319,542.17","1,382,281.69","1,553,095.23","601,555.97","644,873.73","1,738,557.58","577,757.58","761,840.17","1,782,854.58","5,039,914.15","981,822.63","947,887.59","947,887.59","3,593,777.44","788,226.13","323,059.52","607,545.52","4,008,743.07","805,903.07","1,357,396.50","2,231,739.52","29,908,125.69","20,294,242.75","25,919,756.07","29,336,299.72","41,144,910.32","40,531,208.07","43,919,242.62","37,536,005.07","48,602,671.43","39,089,798.08","40,698,735.77","41,584,580.52","55,242,317.19","38,211,106.05"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"12,352,115.65","706,836.58","2,872,204.59","5,055,734.33","6,933,141.26","2,489,089.02","6,456,111.49","13,520,688.18","12,725,367.55","10,907,840.13","16,495,388.41","20,249,165.02","11,159,183.88","5,890,827.89","6,119,996.83","1,935,339.56","3,637,166.20","896,598.74","378,103.97","2,598,739.97","4,722,040.90","9,575,475.67","1,445,151.70","10,143,629.66","8,315,399.52","21,858,079.94","22,780,957.84","29,397,781.24","19,445,644.35","29,873,522.81","36,693,893.03","36,466,525.85","29,173,752.48","44,152,290.68","45,310,513.50"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"102,314.82","82,882.07","75,741.25","87,449.00","123,005.00","60,285.00","24,675.00","67,972.11","69,194.52","88,833.64","48,570.63","91,735.45","91,735.46","110,249.00","72,710.00","195,386.66","183,905.67","250,630.67","226,220.68","220,816.68","360,190.52","288,266.67","143,464.73","544,027.49","147,585.50","195,296.83","46,147.94","24,044.47","35,572.52","128,352.67","153,038.43","89,833.23","13,447.27","47,171.25","35,661.04"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"49,503,906.13","57,000,624.29","37,319,247.46","51,489,562.09","60,684,717.04","99,192,824.53","111,355,641.59","139,856,221.46","173,617,708.07","196,210,702.33","177,902,265.97","163,670,003.21","161,788,303.22","169,491,565.06","166,360,680.79","178,136,301.88","179,393,867.04","212,113,641.00","210,446,680.35","219,083,048.94","227,748,691.57","427,039,256.72","433,608,554.57","437,108,901.00","462,757,059.88","463,595,179.14","503,530,258.10","510,256,301.26","531,120,575.99","571,286,232.17","568,646,797.57","581,352,369.69","620,394,084.51","685,267,095.75","718,848,932.72"
其他应付款,"982,402.15","52,632.14","1,057,478.45","832,463.02","311,940.01","800,751.97","864,905.53","1,633,507.73","1,052,404.80","1,073,406.03","700,484.26","725,484.61","1,218,158.54","1,943,962.24","2,813,169.77","1,916,843.13","3,016,333.85","2,951,262.01","3,597,005.47","3,644,231.85","4,373,816.93","19,906,333.40","29,254,701.66","23,656,796.97","14,055,451.05","21,790,910.02","21,065,430.99","14,553,737.07","13,592,344.97","25,091,138.73","29,693,274.39","23,293,460.92","16,724,248.42","30,390,105.75","18,407,904.25"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"7,561,356.80",,,,,"1,720,000.00","1,563,636.36","1,563,636.36","1,563,636.36",,,,,,,,,,,,,"4,839,625.67",,"1,645,553.33","1,074,988.03",,,,,"1,298,986.54",,,,,
其他流动资产,,,,,,,,,,,,,,,,,,"5,827,656.60",,"6,202,599.50",,"9,970,784.85","8,530,771.43","10,591,549.49","10,705,087.18","12,101,572.01","6,728,017.76","515,354,305.33","523,049,495.55","525,179,436.50","490,254,327.76","528,134,097.26","542,681,541.51","566,223,358.95","530,116,141.39"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"170,004,804.28","164,777,867.05","211,361,919.33","230,252,816.98","261,950,856.75","805,528,661.57","810,670,405.08","817,577,828.15","833,505,453.47","833,453,716.33","844,581,058.09","795,716,993.06","767,983,271.45","688,470,122.87","690,799,368.55","633,400,814.09","583,319,587.30","578,546,921.79","626,081,067.83","602,424,084.10","619,282,598.82","866,808,300.51","817,595,770.43","860,780,709.94","910,374,362.05","1,921,140,211.78","1,828,526,147.76","1,802,342,432.67","1,840,126,811.98","1,813,510,320.73","1,943,746,656.21","1,929,177,624.28","1,981,890,611.47","2,030,155,775.30","2,047,952,301.67"
流动负债合计,"134,138,201.73","88,846,348.24","121,772,756.78","120,610,443.51","141,255,690.01","169,525,970.68","144,912,076.83","188,421,351.85","191,886,646.58","190,724,564.20","170,659,046.89","197,177,564.22","159,219,898.76","197,895,146.73","185,149,350.03","262,947,114.61","277,385,994.59","318,059,674.19","318,047,148.50","278,335,798.20","371,559,708.91","593,091,641.20","525,927,619.74","548,273,514.27","548,986,387.35","606,926,112.54","525,406,930.65","492,822,014.66","505,045,405.91","530,306,948.37","656,893,049.94","627,112,145.24","678,662,506.05","751,586,798.88","774,565,943.45"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,"333,721.98","106,987.90","120,692.33","121,822.04","352,468.25","352,468.25","287,725.74","300,011.69","519,338.12","523,979.38","790,335.90","554,328.53","418,057.69","483,821.81"
长期借款,"1,720,000.00","1,720,000.00","1,720,000.00","1,720,000.00","1,720,000.00",,,,,"1,563,636.36","1,407,272.72","1,407,272.72","1,407,272.72","1,407,272.72","1,250,909.08","1,250,909.08","1,250,909.08","1,250,909.08","1,094,545.44","1,094,545.44","1,094,545.44","8,542,614.09","10,196,908.03","40,858,535.30","47,877,479.26","58,202,150.34","57,703,300.35","52,986,705.41","52,441,017.96","43,526,598.16","43,908,603.16","42,085,814.52","38,348,174.52","33,785,229.52","31,420,290.88"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,"91,429,949.15",,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,"14,140,145.33","13,934,714.64","13,741,073.52","13,531,772.31","13,328,894.94","13,122,805.65","12,916,716.36","12,710,627.07","12,504,537.78","12,298,448.49","12,092,344.73","11,884,070.77","11,677,938.07","11,471,805.37","11,267,813.93","11,061,681.23","10,855,548.53","10,649,415.83","10,443,283.13","10,237,150.43","10,031,017.73","9,824,885.03","9,618,752.33","9,412,634.93","9,206,517.53","9,000,400.13","8,794,282.73","8,588,165.33","8,382,047.93","8,175,930.53","7,969,813.13","7,763,695.73"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"60,673,183.41","57,856,410.89","66,950,336.97","55,543,481.21","56,051,189.00","55,870,164.38","56,297,235.19","55,511,212.69","64,138,147.89","79,688,770.78","77,526,885.61","75,487,569.62","93,310,075.43","196,568,289.78","188,594,101.13","187,109,790.08","178,115,981.64","208,437,129.30","201,062,344.56","198,251,019.66","194,260,570.97","336,280,654.91","313,715,544.80","319,576,076.88","311,783,807.05","365,001,728.90","356,632,625.20","353,080,387.23","335,231,267.21","342,804,067.65","333,373,976.16","328,746,572.11","321,204,061.54","405,798,050.13","404,161,461.34"
递延所得税负债,"540,417.80","470,246.13","593,770.80","613,190.81","613,190.81","645,340.80","645,340.80","645,340.80","645,340.80","606,216.28","606,216.28","606,216.28","606,216.28","451,911.47","451,911.47","451,911.47","451,911.47","301,397.90","301,397.90","301,397.90","301,397.90","2,545,213.24","2,293,148.12","2,358,523.13","2,358,141.91","4,282,296.48","4,282,296.49","4,448,950.96","4,503,109.76","4,285,094.78","4,323,390.16","4,614,041.01","4,016,586.18","3,931,185.58","3,954,693.48"
在建工程,,,,,,,,"1,179,329.10","45,692.00","5,618,530.21","10,662,249.17","16,612,498.34","5,388,515.45","845,826.00","2,234,231.35","16,137,731.89","114,810,790.85","62,772,733.81","63,286,083.44","64,471,595.95","65,846,367.18","6,181,008.46","17,389,715.18","11,365,019.04","11,942,471.96","461,998.36","461,998.36","2,416,088.84","5,100,000.13","16,557,650.46","23,577,990.86","45,353,103.29","61,468,461.79","17,198,049.72","13,230,181.89"
其他非流动负债,,,,,,,,,,,,,,"16,300,000.00","16,300,000.00","16,300,000.00","16,300,000.00","16,300,000.00","16,300,000.00","16,300,000.00","16,300,000.00","28,956,617.70","20,477,513.69","22,176,808.21",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"2,260,417.80","2,190,246.13","2,313,770.80","2,333,190.81","2,313,770.80","645,340.80","645,340.80","645,340.80","645,340.80","2,169,852.64","2,013,489.00","2,013,489.00","2,013,489.00","18,159,184.19","18,002,820.55","18,002,820.55","18,002,820.55","17,852,306.98","17,695,943.34","17,695,943.34","17,695,943.34","58,352,245.76","51,275,370.57","83,701,667.37","89,632,094.33","111,260,796.12","106,932,476.74","110,197,209.02","108,430,844.30","94,772,764.02","91,535,572.44","90,315,196.90","84,641,244.79","86,266,416.20","78,546,431.21"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"136,398,619.53","91,036,594.37","124,086,527.58","122,943,634.32","143,569,460.81","170,171,311.48","145,557,417.63","189,066,692.65","192,531,987.38","192,894,416.84","172,672,535.89","199,191,053.22","161,233,387.76","216,054,330.92","203,152,170.58","280,949,935.16","295,388,815.14","335,911,981.17","335,743,091.84","296,031,741.54","389,255,652.25","651,443,886.96","577,202,990.31","631,975,181.64","638,618,481.68","718,186,908.66","632,339,407.39","603,019,223.68","613,476,250.21","625,079,712.39","748,428,622.38","717,427,342.14","763,303,750.84","837,853,215.08","853,112,374.66"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"48,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00","64,000,000.00","64,000,000.00","96,000,000.00","96,000,000.00","96,000,000.00","96,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","216,000,000.00","324,000,000.00","324,000,000.00","369,392,646.00","369,392,646.00","554,088,969.00","554,088,969.00","554,088,969.00","554,088,969.00","554,088,969.00","554,088,969.00","554,088,969.00","554,088,969.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"511,122.05","511,122.05","511,122.05","511,122.05","511,122.05","488,786,222.05","488,786,222.05","456,786,222.05","456,786,222.05","456,786,222.05","456,786,222.05","408,786,222.05","408,786,222.05","408,977,882.05","408,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","336,977,882.05","228,977,882.05","228,977,882.05","1,152,585,450.08","1,152,585,450.08","967,889,127.08","967,889,127.08","970,961,523.92","970,961,523.92","970,961,523.92","970,961,523.92","970,961,523.92","970,961,523.92"
无形资产,"22,268,344.87","21,719,815.57","21,160,344.85","15,192,309.49","15,086,041.81","14,979,774.13","14,908,929.01","14,775,045.49","14,690,591.29","14,606,137.09","14,521,682.89","14,437,228.69","18,148,974.49","31,021,783.35","30,717,207.21","30,498,913.95","30,216,111.72","67,659,262.64","67,171,048.61","66,682,834.58","66,194,620.55","95,642,990.92","94,320,135.31","93,043,486.25","91,747,590.72","93,223,321.17","92,458,973.36","115,013,338.77","113,032,673.83","112,521,394.37","110,734,042.21","109,546,855.47","108,454,585.21","118,874,722.19","117,640,226.91"
盈余公积,"9,207,551.68","12,836,327.06","16,674,196.46","16,674,196.46","16,674,196.46","21,581,573.24","21,581,573.24","21,581,573.24","21,581,573.24","31,131,281.76","31,131,281.76","31,131,281.76","31,131,281.76","37,712,007.60","37,712,007.60","37,712,007.60","37,712,007.60","39,107,012.45","39,107,012.45","39,107,012.45","39,107,012.45","43,550,452.82","43,550,452.82","43,550,452.82","43,550,452.82","46,344,481.21","46,344,481.21","46,344,481.21","46,936,240.58","50,406,041.31","50,406,041.31","50,406,041.31","50,406,041.31","57,960,925.07","57,960,925.07"
开发支出,,,,,,,,,,,,,,,,,,"6,235,277.90","6,235,277.90","5,923,028.67","5,766,904.05",,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,"26,255,602.30","26,255,602.30","26,255,602.30","26,255,602.30","31,124,017.98","31,124,017.98","31,124,017.98","31,124,017.98","26,255,602.30","26,255,602.30","26,255,602.30","26,255,602.30","26,255,602.30","26,255,602.30"
