科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"77,008,733.55","96,341,237.45","96,322,749.98","24,574,055.87","38,453,886.79","50,839,025.98","95,125,670.39","27,113,770.64","43,545,638.84","90,632,878.43","96,364,619.50","27,832,656.23","59,106,085.53","113,542,590.29","154,461,931.86","46,121,646.44","78,061,507.84","151,398,643.87","231,987,660.13","71,986,367.48","127,286,205.38","167,323,854.69","271,043,031.01","127,413,646.90","257,156,825.58","350,568,941.04","413,721,076.67","68,008,293.83","130,734,149.52","193,902,146.02","219,229,701.21","85,259,567.75","175,542,779.76","255,917,850.72","376,308,485.66","186,378,027.26","281,262,815.48","428,522,785.02","622,196,839.93","150,854,447.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"40,987,531.17","40,694,654.53","40,471,853.29",,,,,,,,"122,166,524.25",,,,"3,708,024.95",,,,,,,,"181,704,970.30",,,,"57,163,213.38",
收到的税费返还,"375,627.41","715,017.37","1,135,892.58","940,000.00",,,"839,610.01","183,660.92","585,249.66","1,047,895.01","1,529,165.24",,"2,755,190.91","3,042,788.15","3,929,952.21",,"721,703.83","2,045,513.71","2,665,869.95","186,793.22","1,676,375.19","1,676,375.19","1,676,375.19","5,008,559.17","6,841,721.54","8,829,207.23","10,703,952.34","1,768,692.81","2,365,276.61","2,365,276.61","2,377,487.56","1,238,740.52","7,822,930.68","10,215,613.15","13,405,786.28","9,902,854.74","22,511,326.93","27,031,454.92","26,733,904.59","2,212,300.94"
支付其他与投资活动有关的现金,,,,,,"330,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"350,000,000.00",,"44,460,000.00","44,460,000.00","198,210,000.00","200,000,000.00","351,165,000.00","413,584,744.00","413,584,744.00","57,664,533.33"
收到其他与经营活动有关的现金,"4,950,258.30","6,847,359.11","4,099,778.81","864,335.51","1,963,970.13","3,319,183.56","10,349,619.76","894,487.11","4,078,437.24","8,782,947.30","12,400,282.94","4,659,179.46","9,879,759.59","17,668,381.38","9,232,839.29","1,658,904.30","2,339,021.97","4,386,205.40","4,014,370.54","1,082,691.90","2,793,131.45","8,532,788.49","11,640,406.07","5,896,115.02","7,994,303.29","14,462,892.23","17,854,821.62","1,866,129.65","9,124,237.76","24,016,172.75","11,771,326.71","2,736,036.18","29,425,611.12","58,170,065.83","69,756,204.09","5,483,904.25","13,475,264.11","23,986,197.44","26,228,516.12","18,807,259.16"
投资活动现金流出小计,"10,887,171.11","11,724,621.61","18,789,212.04","2,567,934.57","10,453,586.59","20,545,134.59","31,313,070.54","4,052,238.50","16,679,229.27","22,001,723.53","31,296,830.07","4,916,738.71","77,936,372.31","96,380,666.21","285,157,412.10","35,335,822.13","56,509,941.52","86,980,742.03","119,751,415.18","23,612,228.23","53,264,850.55","140,284,807.70","306,367,384.84","30,825,455.32","79,382,965.15","130,784,050.61","171,095,178.27","11,582,033.60","51,911,145.93","80,001,369.02","659,427,378.55","19,338,248.63","94,511,144.19","119,943,265.63","480,772,103.92","294,002,231.87","515,397,938.68","611,518,041.70","640,667,449.35","89,991,149.75"
经营活动现金流入小计,"82,334,619.26","103,903,613.93","101,558,421.37","26,378,391.38","40,417,856.92","54,158,209.54","106,314,900.16","28,191,918.67","48,209,325.74","100,463,720.74","110,294,067.68","32,491,835.69","71,741,036.03","134,253,759.82","167,624,723.36","47,780,550.74","81,122,233.64","157,830,362.98","238,667,900.62","73,255,852.60","131,755,712.02","177,533,018.37","284,359,812.27","138,318,321.09","271,992,850.41","373,861,040.50","442,279,850.63","71,643,116.29","142,223,663.89","220,283,595.38","233,378,515.48","89,234,344.45","212,791,321.56","324,303,529.70","459,470,476.03","201,764,786.25","317,249,406.52","479,540,437.38","675,159,260.64","171,874,007.84"
投资活动产生的现金流量净额,"-8,429,700.14","-8,685,554.02","-17,806,343.16","-2,553,807.31","-10,050,897.73","-20,075,506.92","-30,412,478.53","-3,970,347.25","-16,597,338.02","-21,919,832.28","-31,178,961.15","-4,916,738.71","-77,935,692.31","-96,352,441.73","-284,723,061.63","-35,335,822.13","-56,509,941.52","-86,833,148.06","-119,431,305.72","-23,612,228.23","-53,233,809.08","-140,226,052.24","-306,196,307.17","-30,235,455.32","-77,148,108.56","-127,645,049.06","-170,265,395.19","-11,199,876.66","-51,505,868.64","-79,595,367.51","-659,008,679.75","-19,338,248.63","-93,485,433.66","-118,919,452.99","-118,764,771.35","-143,630,331.87","-212,399,306.67","-102,635,046.81","-129,278,848.46","-16,506,202.30"
购买商品、接受劳务支付的现金,"53,436,636.12","45,019,951.11","40,963,795.53","13,974,504.69","24,964,931.50","33,112,219.81","53,757,063.92","18,944,469.87","47,739,671.07","96,870,971.14","94,607,242.67","26,215,280.08","48,500,799.42","75,453,013.94","87,105,027.89","15,557,210.54","31,179,603.48","57,665,624.86","76,645,319.52","18,157,482.91","35,742,991.53","40,192,629.72","94,012,429.75","73,226,818.06","126,789,850.31","184,645,216.47","179,699,868.33","39,129,960.44","61,203,789.36","90,891,552.76","83,527,449.72","48,941,269.04","108,921,240.62","174,588,951.25","243,284,292.99","141,334,105.52","146,550,926.54","239,366,955.75","333,006,280.25","86,927,628.26"
吸收投资收到的现金,,"200,000.00","130,000.00",,"495,320,000.00","495,320,000.00","495,320,000.00",,,,,,,,"59,325.00",,"663,830.50","663,954.00","663,270.00",,,,"129,999,988.00",,,,,"2,450,000.00","2,450,000.00","700,450,000.00","700,450,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"10,944,098.78","14,456,621.68","22,130,375.56","5,200,107.11","8,710,103.26","16,205,068.23","22,356,155.39","5,915,421.03","11,551,404.44","18,783,910.21","26,090,229.27","9,587,013.71","17,770,246.98","26,339,962.23","36,796,837.89","11,904,497.04","25,429,694.38","35,416,871.69","44,659,040.22","14,754,995.21","31,350,470.44","41,388,504.78","64,037,239.95","22,669,241.01","41,139,320.32","65,120,707.26","88,349,886.54","20,218,364.35","39,653,514.45","56,780,161.91","73,759,276.75","19,783,650.59","41,223,210.82","61,173,219.98","92,396,038.93","33,236,118.95","63,690,122.08","94,784,348.78","126,512,898.39","36,585,976.95"
取得借款收到的现金,"14,000,000.00","24,000,000.00","35,000,000.00","19,000,000.00","19,000,000.00","19,000,000.00","19,000,000.00",,"10,000,000.00","20,000,000.00","20,000,000.00",,"10,000,000.00","10,000,000.00","129,494,800.00",,"4,000,000.00","34,000,000.00","57,000,000.00","2,000,000.00","109,998,400.00","119,995,200.00","186,133,472.50","25,000,000.00","45,000,000.00","84,204,000.00","137,666,655.00","53,000,000.00","123,281,200.00","180,649,676.00","275,354,654.00","96,000,000.00","326,000,000.00","436,000,000.00","814,000,000.00","157,600,000.00","367,820,000.00","326,290,000.00","528,623,050.00","147,800,000.00"
支付的各项税费,"2,669,452.51","4,129,446.47","6,044,936.46","3,417,276.71","3,580,112.43","5,318,581.37","6,133,840.66","461,842.26","1,515,911.96","4,188,360.42","3,721,003.48","1,644,378.03","2,791,117.44","3,410,979.68","6,585,925.38","1,188,185.04","6,891,357.65","8,508,676.05","18,679,343.94","5,138,394.77","13,381,267.73","14,854,892.02","18,730,163.31","8,389,208.22","19,570,679.80","23,639,219.54","35,869,765.04","2,971,592.10","11,316,057.59","16,546,210.91","20,008,283.05","4,049,597.36","11,357,587.86","12,373,110.39","22,017,375.30","40,040,907.05","55,142,076.81","57,591,831.72","63,583,124.27","35,751,455.58"
收到其他与筹资活动有关的现金,,"2,558,270.00",,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","45,076,916.00",,,,"6,500,000.00",,"5,086,500.00","16,166,566.66","18,380,600.00",,"50,000,000.00","53,038,400.00","354,237,166.66",
支付其他与经营活动有关的现金,"11,900,203.89","14,976,580.18","16,886,187.81","5,930,622.85","10,415,285.68","15,611,135.12","20,581,802.09","3,302,707.40","8,687,762.48","15,913,594.00","22,041,374.12","5,243,515.63","12,281,217.59","22,596,910.07","18,405,187.21","5,618,028.10","15,897,974.20","20,198,461.50","28,222,487.39","5,619,038.35","13,998,373.62","20,417,191.50","53,309,703.67","11,442,775.20","19,548,177.68","29,844,919.49","50,496,074.61","19,146,012.57","26,033,462.46","42,152,754.36","54,906,346.36","10,929,756.48","24,496,054.36","48,530,019.68","55,956,595.51","37,268,984.72","69,554,442.10","83,239,517.87","114,378,575.92","30,093,685.23"
筹资活动现金流入小计,"14,000,000.00","26,758,270.00","35,130,000.00","19,000,000.00","514,320,000.00","514,320,000.00","514,320,000.00",,"10,000,000.00","20,000,000.00","20,000,000.00",,"10,000,000.00","10,000,000.00","129,554,125.00",,"4,663,830.50","34,663,954.00","57,663,270.00","2,000,000.00","109,998,400.00","119,995,200.00","316,133,460.50","25,000,000.00","45,000,000.00","94,204,000.00","182,743,571.00","55,450,000.00","125,731,200.00","881,099,676.00","982,304,654.00","96,000,000.00","331,086,500.00","452,166,566.66","832,380,600.00","157,600,000.00","417,820,000.00","379,328,400.00","882,860,216.66","147,800,000.00"
经营活动现金流出小计,"78,950,391.30","78,582,599.44","86,025,295.36","28,522,511.36","47,670,432.87","70,247,004.53","102,828,862.06","28,624,440.56","69,494,749.95","135,756,835.77","146,459,849.54","42,690,187.45","81,343,381.43","127,800,865.92","148,892,978.37","34,267,920.72","79,398,629.71","121,789,634.10","168,206,191.07","43,669,911.24","94,473,103.32","116,853,218.02","230,089,536.68","115,728,042.49","207,048,028.11","303,250,062.76","354,415,594.52","81,465,929.46","138,206,823.86","206,370,679.94","232,201,355.88","83,704,273.47","185,998,093.66","296,665,301.30","413,654,302.73","251,880,116.24","334,937,567.53","474,982,654.12","637,480,878.83","189,358,746.02"
偿还债务支付的现金,"10,029,388.27","14,016,869.37","24,000,000.00",,"1,000,000.00","40,000,000.00","55,000,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,000,000.00","12,300,000.00","22,300,000.00","26,595,433.59","816,054.34","12,251,104.81","16,421,712.07","16,082,704.00",,"1,254,780.52","31,203,171.51","45,386,333.86","15,107,232.17","42,875,822.64","53,047,964.44","118,469,597.67",,"103,626,300.00","138,293,550.00","318,591,389.21","125,631.35","157,182,276.90","267,189,644.83","430,489,468.00","241,650,000.00","411,470,625.78","435,117,143.70","611,250,000.00","94,100,000.00"
经营活动产生的现金流量净额,"3,384,227.96","25,321,014.49","15,533,126.01","-2,144,119.98","-7,252,575.95","-16,088,794.99","3,486,038.10","-432,521.89","-21,285,424.21","-35,293,115.03","-36,165,781.86","-10,198,351.76","-9,602,345.40","6,452,893.90","18,731,744.99","13,512,630.02","1,723,603.93","36,040,728.88","70,461,709.55","29,585,941.36","37,282,608.70","60,679,800.35","54,270,275.59","22,590,278.60","64,944,822.30","70,610,977.74","87,864,256.11","-9,822,813.17","4,016,840.03","13,912,915.44","1,177,159.60","5,530,070.98","26,793,227.90","27,638,228.40","45,816,173.30","-50,115,329.99","-17,688,161.01","4,557,783.26","37,678,381.81","-17,484,738.18"
