科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"53,341,884.62","200,845,845.40","77,262,527.05","121,754,592.46","210,535,067.70","10,652,131.47","51,637,697.36","144,065,514.93","269,356,630.17","27,768,176.49","109,554,743.13","201,846,556.31","378,125,589.41","36,549,033.19","146,525,973.90","294,466,596.53","508,358,984.73","41,614,013.28","118,054,645.12","195,970,304.86","317,429,705.97","34,542,526.51","130,403,500.16","214,521,800.21","457,514,024.28","52,516,474.16","182,351,148.65","303,118,804.13","1,236,497,478.15","89,718,543.14","391,454,168.40","619,148,488.47","1,603,123,809.28","175,516,503.81","477,046,129.11","967,103,469.30","1,798,901,758.47","119,154,463.97","565,079,949.77","1,033,428,347.98","2,137,114,975.61","144,295,679.02","598,192,843.08"
二、营业利润,"-253,784.99","36,826,969.93","4,706,734.73","5,673,519.37","28,789,740.75","-35,254,330.73","-38,073,573.59","-12,434,362.44","27,583,402.89","-21,021,760.09","-3,735,056.93","8,059,928.03","59,425,734.60","-17,355,496.10","8,978,969.75","23,011,569.47","87,988,434.51","-31,992,143.69","-28,690,742.11","-28,009,172.65","-18,964,452.10","-34,829,241.63","-29,008,525.41","-34,769,778.37","6,638,835.21","-31,576,364.20","-21,643,955.48","-18,382,042.51","95,515,809.78","-47,383,700.20","-21,592,589.11","-38,817,257.18","131,831,279.91","-71,748,130.23","-71,270,583.89","-35,383,877.23","119,530,141.42","-136,702,405.91","-156,904,240.11","-140,617,164.92","153,129,389.08","-106,658,188.10","-117,107,998.34"
减:营业成本,"10,157,677.99","72,385,695.95","17,084,494.50","31,112,864.97","64,634,004.17","3,607,248.19","17,109,076.54","46,719,334.65","101,113,984.66","11,012,066.89","40,879,153.41","79,828,563.82","145,304,836.15","11,717,769.89","54,049,624.65","133,155,696.76","210,730,491.50","19,696,167.49","48,881,973.53","80,783,599.80","131,935,638.36","15,821,783.67","52,599,434.69","88,411,914.72","217,185,698.60","26,608,334.64","91,365,727.65","143,914,972.02","767,084,659.55","49,909,770.94","235,882,311.08","384,412,802.15","1,038,909,315.15","114,140,496.95","315,457,895.29","642,113,181.13","1,164,753,576.78","84,605,754.72","427,022,486.02","755,369,805.64","1,382,680,225.26","94,125,142.17","448,106,570.37"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"586,552.33","2,963,086.67","951,938.80","1,479,136.80","3,023,027.69","135,627.44","651,814.26","2,069,046.08","4,347,708.69","256,576.14","1,242,452.16","2,927,061.85","5,330,650.39","609,699.42","2,232,630.23","3,897,778.26","7,166,426.20","629,902.74","1,747,644.42","2,857,989.39","6,220,288.73","677,327.66","1,571,290.64","2,579,980.40","5,205,425.88","605,101.83","2,538,032.20","4,250,793.81","12,335,152.23","805,625.97","4,517,581.05","6,104,811.33","18,191,125.83","1,746,024.64","3,199,002.84","4,761,118.10","15,457,976.44","318,537.83","2,303,507.13","4,552,997.08","20,308,374.46","703,755.73","3,636,027.80"
营业外收入,"237,377.32","5,768,315.56","3,212,427.90","6,305,463.33","12,940,085.44","7,235,122.31","9,540,721.23","11,968,957.80","19,736,799.48","63,640.00","3,352,681.22","7,766,268.03","18,465,370.73","386,151.73","2,581,269.03","8,648,186.44","19,961,248.83","1,336,904.98","16,530,798.92","22,791,365.58","31,788,941.01","2,806,343.40","17,344,498.10","31,535,040.29","35,771,560.73","7,098,543.41","17,509,331.43","33,084,548.75","47,036,201.79","10,945,794.64","19,013,516.09","43,994,156.90","50,592,001.91","17,858,668.38","31,085,287.17","46,405,617.28","76,694,128.21","7,361,659.59","3,353,789.74","25,723,876.77","50,751,443.20","517,289.67","3,848,787.22"
销售费用,"18,211,243.20","39,539,770.78","23,784,235.59","36,948,629.99","47,654,157.87","15,838,881.32","26,429,111.96","41,881,739.49","53,558,221.37","17,072,773.88","31,481,847.88","48,679,603.36","73,994,474.31","19,533,226.29","34,957,020.25","57,464,424.16","85,049,924.72","22,184,957.22","39,875,061.38","59,857,343.73","76,907,744.36","25,637,816.13","46,666,994.47","65,793,587.23","91,311,641.49","28,033,906.62","45,907,880.78","61,846,216.77","104,073,338.37","27,218,060.81","53,362,687.08","86,922,504.00","129,259,569.48","47,097,430.28","82,834,392.04","132,344,709.34","177,343,274.19","60,222,057.46","107,915,129.56","163,800,880.54","215,335,122.70","70,648,339.48","114,949,490.62"
减:营业外支出,"5,486.54","169,356.66","290,298.00","347,704.04","434,507.37","3,800.28","4,189.98","10,689.90","10,749.90","2,208.84","159,601.31","42,486.96","209,051.43","1,873.84","201,884.47","245,389.34","45,615.01","2,905.98","24,143.96","31,279.86","133,863.62",,"8,212.16","15,075.37","13,828.53","22,333.22","34,709.37","72,699.65","75,745.03","4,420.74","53,221.84","77,088.28","68,240.52",715.31,"7,847.02","7,847.02","158,130.82",577.49,"50,676.46","89,349.14","744,722.87","44,248.49","54,841.39"
管理费用,"21,438,245.83","45,007,705.03","27,746,342.38","43,567,380.34","62,084,879.83","27,196,773.76","44,935,831.37","64,917,201.97","85,870,684.52","21,046,985.49","37,502,371.33","57,978,265.38","85,905,288.72","23,960,233.80","44,826,373.22","72,762,155.78","113,754,939.47","30,747,949.44","52,862,197.54","75,399,735.75","103,870,675.94","26,393,153.87","53,932,897.51","84,243,000.28","117,082,233.51","26,881,385.34","55,826,930.28","89,078,431.91","212,102,245.17","58,802,890.23","105,301,135.21","162,066,187.35","247,442,096.04","77,116,984.52","138,750,938.36","198,670,081.45","270,652,167.81","103,889,391.36","180,477,634.78","246,241,887.17","330,226,734.42","96,066,738.17","158,659,812.18"
其中:非流动资产处置净损失,,"154,926.01",,,"25,389.11","3,420.28","3,849.98","3,849.98","9,849.90",,"149,392.47","31,700.17","143,078.12",,,,"1,880.94",,"12,173.02","12,173.02","20,855.98",,"8,212.16","15,058.54","12,277.60","22,221.17","34,597.32","72,324.49","73,350.12","3,382.83","50,183.93","73,850.37","18,733.65",715.31,"6,187.86","6,187.86","125,193.33",577.49,"24,426.46","24,835.46",,,
