科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"174,224,123.55","222,027,633.08","232,485,338.19","68,978,921.96","141,349,338.45","229,401,955.08","310,445,980.51","60,275,248.71","170,126,665.56","271,012,296.80","350,114,581.27","72,841,746.02","153,378,135.79","244,671,149.81","334,277,609.05","79,022,818.11","193,186,608.18","307,190,150.85","424,959,277.70","104,987,399.01","209,375,547.09","337,193,285.23","491,174,772.71","126,817,272.95","296,039,010.51","504,766,113.63","852,947,002.75","217,923,241.13","428,308,856.78","686,964,045.51","1,089,965,891.24","212,645,594.51","475,076,410.73","736,996,115.71","1,112,251,720.34","236,055,985.39"
二、营业利润,"44,945,481.42","46,779,770.75","64,490,160.77","24,363,129.80","47,857,562.88","76,119,763.64","99,501,482.89","18,866,803.15","54,856,466.93","87,743,048.33","108,157,484.47","18,920,001.43","37,166,137.23","62,707,456.55","80,898,582.26","20,092,585.27","50,547,218.91","80,943,731.05","99,472,269.48","24,373,672.90","51,795,022.71","70,619,254.76","98,894,285.56","24,888,923.55","52,045,862.96","84,107,727.14","149,269,945.02","23,322,086.76","61,005,810.16","98,327,647.51","186,035,085.54","19,116,615.39","75,381,271.24","106,856,121.55","153,681,529.31","23,730,123.26"
减:营业成本,"111,435,274.89","146,873,622.51","132,002,768.26","37,511,838.60","78,835,197.59","129,100,611.83","173,988,858.00","39,278,649.27","106,579,719.88","166,042,226.95","213,646,802.99","45,665,557.89","91,273,645.22","143,770,966.75","200,847,008.76","45,614,209.43","114,879,617.83","184,363,566.68","254,064,511.32","61,636,363.50","120,380,943.26","198,270,997.54","288,246,828.84","75,649,683.95","182,637,930.29","303,247,038.91","488,542,511.38","131,781,998.67","242,857,008.05","393,808,290.03","581,896,204.13","124,111,123.52","274,537,961.03","422,911,424.30","636,230,941.58","134,897,905.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,906,190.97","1,687,153.28","2,035,354.80","734,687.77","1,244,276.25","2,053,431.41","2,796,063.13","416,158.65","925,484.28","2,032,625.11","3,213,107.83","739,345.03","1,624,470.99","2,810,530.68","3,683,576.11","779,980.92","1,508,007.81","2,330,519.01","3,562,711.95","1,117,904.21","2,021,160.50","2,973,500.84","4,118,640.10","1,055,719.92","2,160,042.39","3,784,995.57","6,764,031.25","1,691,370.99","2,662,038.93","4,433,062.71","9,385,768.51","2,293,580.92","4,288,225.92","6,340,771.71","11,307,754.27","1,611,249.23"
营业外收入,"1,302,250.59","2,221,811.17","6,873,289.00","307,500.00","1,144,800.00","1,428,764.00","3,583,432.93","1,032,400.00","1,349,467.48","2,166,945.00","2,876,675.04","1,375,206.70","1,927,021.72","2,013,918.64","3,334,431.44","1,997,465.70","2,354,601.46","2,498,851.46","5,292,619.49","468,431.27","2,161,052.51","2,921,968.58","7,303,571.54","1,720,261.47","2,307,932.36","10,383,794.58","18,246,706.81","7,512,439.58","11,820,137.10","17,489,829.59","29,957,158.64","20,182,562.83","7,938,367.32","16,336,958.75","3,223,682.40","77,571.54"
销售费用,"4,166,898.80","4,239,398.35","5,979,139.51","1,833,416.99","3,281,953.67","5,699,667.06","7,803,715.33","1,520,505.75","4,278,656.62","7,099,599.85","10,736,813.95","2,926,118.75","7,480,294.30","12,677,231.37","19,280,544.74","5,998,812.75","13,217,302.54","20,384,115.20","29,488,967.09","9,860,490.79","16,604,735.27","24,408,756.03","34,120,950.27","11,307,038.78","23,502,253.91","35,139,583.36","57,852,277.26","13,952,003.12","30,617,020.67","45,197,320.80","66,059,481.92","18,397,264.24","36,858,313.53","60,829,797.29","74,583,969.71","23,798,214.05"
减:营业外支出,"289,727.56","181,118.71","222,670.71","79,247.83","194,135.43","336,411.47","579,831.53","61,359.50","489,612.26","624,012.93","467,392.51","153,422.16","246,371.14","350,260.57","125,175.11","65,335.30","215,219.15","399,086.91","701,882.04","175,012.68","406,647.74","941,594.96","4,692,398.42","656,121.64","734,266.01","956,877.79","1,242,261.68","1,432,882.19","1,708,150.88","1,958,933.10","2,187,268.44","90,315.61","131,054.78","139,225.89","1,147,770.46","344,636.16"
管理费用,"12,406,830.89","20,586,885.46","26,462,981.11","4,579,172.34","10,134,214.43","15,878,452.96","35,675,307.70","5,455,572.22","15,452,248.36","24,869,862.44","38,969,346.17","9,623,876.42","24,482,968.99","37,871,625.55","55,610,549.93","13,161,706.38","27,661,906.39","43,355,132.36","69,257,459.74","17,676,991.38","38,165,314.25","62,385,757.92","94,106,782.90","16,487,621.83","40,489,086.74","81,934,298.74","136,482,456.45","39,942,412.06","75,665,993.01","117,354,787.58","199,468,720.34","45,198,156.49","90,625,009.02","139,035,958.70","212,651,894.26","50,291,025.08"
其中:非流动资产处置净损失,"78,935.03","53,536.61","1,832.55",,,,"34,336.80",,,,"11,712.97",,,,,,"21,957.68",,"256,797.28",,,,"147,633.40","503,610.32","506,703.25",,"580,880.98","1,192,975.01","1,303,697.65","1,357,894.19","1,362,057.90","1,841.61","63,760.55","65,007.49",,
