科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"263,254,032.41","336,562,907.60","439,440,252.00","122,189,264.02","252,142,116.53","390,835,517.66","510,609,781.21","147,087,137.10","302,309,054.50","453,914,907.30","603,467,984.43","200,190,852.79","416,825,963.70","645,720,706.33","928,542,882.77","334,056,634.92","637,835,660.93","1,060,804,833.50","1,478,826,228.93","468,243,303.49","984,747,290.17","1,479,208,016.28","1,956,089,628.36","625,567,782.17","1,320,373,037.52","1,882,519,353.84","2,402,350,746.65","703,807,163.91","1,289,970,531.58","1,924,354,017.79","2,389,402,351.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"4,261,634.86",,"102,937,230.00","106,624,230.00","100,630,335.75",,,,,,,,,,,,
收到的税费返还,"10,279,054.94","13,392,054.26",,"7,800.00","7,800.00","7,800.00",,"7,593,786.89","7,593,786.89","7,593,786.89","7,539,190.44",,,,,,,,,,,,"26,935.19","232,336.98","800,203.42","1,597,718.47","1,725,782.51","252,931.93","628,798.00","960,371.68","308,162.41"
支付其他与投资活动有关的现金,"33,770.45",,,,,,,,,,,,"100,000,000.00","450,000,000.00","141,537.71",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,243,296.06","7,579,830.60","3,641,563.67","1,969,338.51","5,086,059.98","8,591,820.02","8,989,137.56","6,185,888.58","11,104,887.86","19,772,197.72","26,551,627.69","5,887,514.41","24,132,035.14","45,857,181.39","32,211,799.07","8,769,801.87","8,636,394.81","18,339,637.87","13,417,814.03","48,671,273.20","51,848,404.47","65,710,243.39","58,119,796.00","14,775,224.39","44,487,137.24","62,435,388.21","8,030,152.48","34,112,055.62","36,543,455.30","41,613,011.92","37,283,297.44"
投资活动现金流出小计,"88,419,133.33","68,352,312.32","163,457,051.40","27,767,606.16","77,435,141.50","107,815,573.86","165,387,475.39","32,334,604.22","50,643,254.23","75,089,608.78","71,873,222.15","26,608,002.55","185,645,528.26","569,651,383.97","793,684,342.65","327,860,152.91","415,619,457.44","512,883,318.60","836,634,775.13","328,412,591.72","480,280,720.23","762,231,879.00","1,082,810,919.60","165,704,606.72","284,059,840.79","565,922,538.18","605,587,251.35","155,398,532.16","544,686,249.03","691,363,914.40","848,983,470.07"
经营活动现金流入小计,"283,776,383.41","357,534,792.46","443,081,815.67","124,166,402.53","257,235,976.51","399,435,137.68","519,598,918.77","160,866,812.57","321,007,729.25","481,280,891.91","637,558,802.56","206,078,367.20","440,957,998.84","691,577,887.72","960,754,681.84","342,826,436.79","646,472,055.74","1,079,144,471.37","1,492,244,042.96","516,914,576.69","1,036,595,694.64","1,544,918,259.67","2,014,236,359.55","640,575,343.54","1,365,660,378.18","1,946,552,460.52","2,412,106,681.64","738,172,151.46","1,327,142,784.88","1,966,927,401.39","2,426,993,811.77"
投资活动产生的现金流量净额,"-88,411,133.33","-68,333,812.32","-160,477,381.79","-26,854,497.17","-70,525,710.51","-100,906,142.87","-158,402,835.15","-32,334,604.22","-50,643,254.23","-75,089,608.78","-71,873,222.15","-26,608,002.55","-185,627,228.26","-360,955,873.64","-433,607,614.99","-143,927,022.83","-231,651,327.36","-319,794,850.02","-634,275,342.05","45,160,271.24","105,067,629.93","-156,674,734.33","-363,227,674.90","-74,237,742.78","-67,923,903.20","-254,622,010.62","-289,065,851.02","-150,588,243.56","-183,458,994.47","-261,712,186.42","-414,323,404.59"
购买商品、接受劳务支付的现金,"132,160,332.34","79,487,970.76","84,194,498.60","45,136,072.88","94,765,353.38","137,230,873.52","203,709,689.71","51,370,839.12","97,248,065.38","147,326,225.54","221,339,092.32","58,112,622.22","145,492,560.56","228,983,665.62","306,856,118.55","119,857,931.45","249,690,167.02","385,696,034.90","516,712,108.26","151,449,959.41","279,499,128.96","445,789,337.07","566,456,010.18","135,533,572.19","287,067,795.84","465,835,977.18","745,698,697.12","180,122,700.90","409,128,590.09","637,736,804.33","835,241,301.55"
吸收投资收到的现金,,,,,"1,158,360,000.00","1,158,360,000.00","1,151,939,030.48",,,,,,,,,,,,,,,"15,585.46","17,100.92",,,,"4,453.74",,,,
