科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"598,886,503.24","629,666,660.73","802,867,090.57","200,981,891.78","408,514,885.26","637,843,045.11","856,439,125.81","157,532,618.71","357,417,583.03","600,426,386.72","830,928,145.14","195,137,423.84","467,429,032.63","687,839,336.31","957,855,638.35","263,714,202.66","583,682,884.88","845,918,616.39","1,175,002,077.30","301,930,080.66","646,283,289.31","898,881,394.22","1,200,724,626.27","279,357,362.22","577,691,009.38","921,818,340.97","1,417,540,325.64","271,244,982.69","566,530,707.64","918,837,018.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"47,307,875.33",,,,,,,,"10,903,623.13",,,
收到的税费返还,"6,171,575.52","7,627,674.55","9,817,513.65","6,843,140.64","11,173,469.69","13,787,530.85","16,099,350.35","4,363,831.61","6,330,624.12","6,688,436.77","8,186,301.47","2,798,698.59","2,881,771.06","12,303,294.65","12,303,294.65","7,943,835.94","11,582,511.26","15,420,428.19","19,343,518.90","599,491.94","1,911,444.81","3,217,484.33","4,001,233.92","1,368,208.35","2,208,292.47","5,045,490.00","5,714,639.78","3,423,514.52","3,668,554.76","4,952,374.61"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,804,920.58","8,193,858.21","9,143,912.02","4,143,168.91","2,913,584.93","13,215,471.09","22,225,698.94","4,280,857.35","5,385,205.95","11,879,110.93","28,885,191.21","1,922,107.75","4,388,076.97","6,072,564.48","12,719,517.41","1,154,911.75","4,601,419.21","10,852,304.86","11,089,963.43","4,285,067.41","6,023,723.62","17,291,886.02","18,957,276.76","17,523,494.68","16,910,106.60","27,460,831.54","29,153,833.44","4,465,605.72","10,056,240.38","11,413,377.61"
投资活动现金流出小计,"52,873,534.14","96,312,469.36","134,781,349.74","18,421,144.11","77,563,083.51","104,822,227.90","135,001,407.47","15,519,812.43","33,946,110.06","72,023,508.44","109,208,916.21","30,280,749.13","73,849,265.52","128,851,009.51","164,978,176.08","65,197,418.62","59,219,867.81","151,263,089.44","206,874,142.55","52,306,579.75","76,216,744.48","125,051,994.58","162,352,067.88","67,329,702.58","105,546,002.00","212,525,364.68","219,796,883.30","30,470,980.19","141,483,483.39","168,973,062.80"
经营活动现金流入小计,"610,862,999.34","645,488,193.49","821,828,516.24","211,968,201.33","422,601,939.88","664,846,047.05","894,764,175.10","166,177,307.67","369,133,413.10","618,993,934.42","867,999,637.82","199,858,230.18","474,698,880.66","706,215,195.44","982,878,450.41","272,812,950.35","599,866,815.35","872,191,349.44","1,205,435,559.63","306,814,640.01","654,218,457.74","919,390,764.57","1,223,683,136.95","298,249,065.25","596,809,408.45","954,324,662.51","1,452,408,798.86","279,134,102.93","580,255,502.78","935,202,770.52"
投资活动产生的现金流量净额,"-52,163,169.28","-95,510,624.85","-133,253,652.08","-18,341,144.11","-77,483,083.51","-102,939,364.98","-133,081,965.49","-15,512,375.64","-33,823,009.37","-71,785,121.58","-102,039,910.91","-30,266,337.11","-73,849,265.52","-128,825,262.77","-160,550,695.95","-65,197,418.62","-58,430,898.65","-150,353,780.28","-195,200,440.92","-47,865,671.16","-66,560,085.88","-109,420,593.00","-145,436,144.72","-64,946,311.62","-103,109,510.80","-203,161,267.48","-204,883,905.18","-19,453,086.86","-123,165,515.82","-148,617,158.43"
购买商品、接受劳务支付的现金,"470,323,662.60","415,246,437.88","566,766,669.67","146,743,021.81","325,830,746.23","532,071,352.68","668,497,598.74","117,535,394.73","263,144,086.42","436,263,143.07","601,930,308.29","137,991,295.32","333,120,697.00","459,319,518.97","657,496,863.77","151,331,158.95","368,381,551.90","513,587,874.42","721,907,661.45","165,082,971.67","423,976,189.69","528,480,616.03","683,283,412.36","123,160,524.59","294,510,039.09","465,537,661.55","849,260,820.13","109,288,056.73","214,103,842.86","370,301,225.95"
吸收投资收到的现金,,,,,"534,022,070.00","534,022,070.00","534,022,070.00",,,,,,,,,,"63,636,800.00","65,819,200.00","65,819,200.00",,"5,799,120.00","25,399,120.00","25,399,120.00","100,000.00","41,900,000.00","41,900,000.00","42,300,000.00","293,999,985.12","294,999,985.12","296,399,985.12"
