科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
经营活动现金流出小计,"102,246,996.29","166,546,971.35","216,400,308.13","326,719,166.19","99,354,522.07","180,099,321.75","284,385,523.11","457,655,811.61","123,053,163.18","212,463,499.70","338,261,531.42","433,689,278.48","114,514,877.92","237,441,115.85","422,520,349.07","650,633,704.09","158,653,524.41","363,367,597.86","574,320,420.68","764,241,222.64","180,308,037.20","359,754,748.56","593,103,221.78","734,110,964.89","233,914,025.57","459,675,216.60","894,777,619.78","1,238,519,649.77","264,935,533.31","543,437,160.62","980,992,689.37","1,352,821,339.77","396,718,875.18","792,675,556.93","1,292,749,196.73","1,879,124,766.04","369,227,189.10","668,116,571.10","1,002,899,559.40","1,357,446,524.77","667,343,282.16","1,198,139,601.75","1,604,450,964.23"
偿还债务支付的现金,"62,300,000.00","62,300,000.00","82,300,000.00","92,300,000.00","30,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00",,,"30,000,000.00","30,000,000.00",,,,,,,,"20,000,000.00",,,"61,548,386.39","310,557,981.57",,,,"59,198,100.72",,,,"251,169,802.72",,,,"81,130,953.99",,,"40,000,000.00"
经营活动产生的现金流量净额,"-10,676,569.28","-31,089,188.93","15,555,187.76","65,946,887.35","-32,246,069.48","-6,035,332.63","-8,848,692.58","-16,629,386.20","8,526,314.81","20,577,027.47","35,569,803.50","79,721,704.78","-6,216,750.71","7,582,853.26","46,625,759.77","140,041,631.70","-44,589,969.44","-6,286,012.33","-10,059,079.16","100,127,079.67","5,826,028.30","35,491,531.02","59,446,365.25","247,835,033.83","-39,128,438.52","-22,081,676.01","-18,759,623.12","223,860,538.55","-68,964,068.65","-23,461,593.94","20,320,320.66","419,217,381.90","-152,633,322.47","-110,745,156.04","-122,553,955.24","194,240,118.03","-110,589,204.07","-99,458,729.82","-484,158.49","304,691,558.13","-408,882,744.02","-617,429,914.57","-678,688,875.67"
分配股利、利润或偿还利息支付的现金,"561,982.26","12,566,822.26","12,809,147.51","13,461,195.28","550,875.00","1,711,100.00","41,238,950.00","41,537,100.00","239,050.00","29,801,350.00","29,860,075.00","29,823,618.61",,"16,596,360.00","16,744,860.00","16,744,860.00",,"44,064,000.00","44,064,000.00","44,064,000.00","332,373.33","734,719.99","20,905,624.84","23,256,533.32",,"44,219,000.00","46,029,424.86","48,167,909.70",,,"66,096,000.00","66,551,745.82",,"71,320,000.00","71,320,000.00","71,822,542.05",,"71,350,400.00","71,350,400.00","71,519,533.04",,,
收回投资收到的现金,,,,,,,,,,,,"26,250,000.00",,,,,,,,,,,,,"50,000,000.00","50,000,000.00","100,000,000.00","150,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","132,383,333.33","80,000,000.00","200,000,000.00","200,000,000.00","236,796,175.31","200,000,000.00","200,000,000.00","200,000,000.00","345,354,136.88","74,400,000.00","133,800,000.00","145,400,000.00"
支付其他与筹资活动有关的现金,"12,761.40","28,179.56",,"555,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202,400.00",,,"8,031,232.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,"146,666.67","146,666.67","8,602,222.21","1,533,333.33","1,533,333.33","2,667,038.89","13,875,372.22","12,383,333.33","12,383,333.33","19,463,467.05","10,078,987.58","8,091,429.54","13,777,271.10","28,117,137.02","24,127,678.21","4,777,777.78","6,027,819.09","6,293,594.42","17,210,361.71","65,732.87","698,486.29","2,152,442.89"
筹资活动现金流出小计,"62,874,743.66","74,895,001.82","95,109,147.51","106,316,195.28","30,550,875.00","61,711,100.00","121,238,950.00","121,537,100.00","10,239,050.00","39,801,350.00","39,860,075.00","49,823,618.61",,"16,596,360.00","46,744,860.00","46,744,860.00",,"44,064,000.00","44,064,000.00","44,064,000.00","332,373.33","734,719.99","20,905,624.84","43,256,533.32",,"44,219,000.00","107,577,811.25","358,725,891.27",,,"66,096,000.00","125,749,846.54",,"71,320,000.00","71,320,000.00","322,992,344.77",,"71,350,400.00","71,350,400.00","152,852,887.03",,,"48,031,232.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,427.35,,"35,150.00","35,150.00","35,150.00",,,"3,000.00","711,782.31",,,"92,511.75","2,295,114.12",,,"72,370.00","142,847.72","83,000.00","84,220.00","85,270.00","85,520.00",940.00,940.00,940.00,"121,532.82","38,000.00","38,360.00","38,390.00","38,693.08",800.00,"1,610.00","1,680.00","7,561.65","1,450.00","1,450.00","2,590.00","549,248.19","45,073.62","23,990.00","23,990.00"
筹资活动产生的现金流量净额,"-52,755,894.44","-64,243,455.75","-65,109,147.51","-56,776,195.28","18,842,872.97","-3,111,100.00","-42,638,950.00","-42,937,100.00","-10,239,050.00","-39,801,350.00","-39,860,075.00","-49,823,618.61",,"3,403,640.00","-16,744,860.00","-16,744,860.00",,"-44,064,000.00","-44,064,000.00","-44,064,000.00","19,667,626.67","19,265,280.01","-905,624.84","-23,256,533.32",,"-6,402,890.72","172,980,170.32","-48,167,909.70",,,"-23,907,840.00","-24,363,585.82",,"-71,320,000.00","-67,701,120.00","-68,203,662.05",,"-59,151,400.00","-57,650,920.00","-58,022,453.04",,"40,000,000.00","123,575,774.22"
