科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"137,489,059.59","134,800,866.16","135,524,106.83","146,467,255.59","113,464,781.86","109,367,412.75","102,500,391.99","138,884,068.37","108,371,015.36","113,917,703.94","166,114,371.68","92,766,566.55","68,954,518.85","85,096,726.67","76,856,100.95","106,654,397.28","62,921,521.19","109,001,628.49","87,637,501.43","119,888,215.49","449,447,466.06","341,554,524.50","298,023,677.78","327,208,566.02","276,535,824.61","228,127,240.90","213,996,696.42","206,971,530.86","220,845,452.21","206,844,400.28","300,018,097.49","232,521,129.83","197,077,927.33","153,861,859.01","171,327,983.03","225,246,466.84","155,127,688.29","223,774,684.08","156,336,354.70","353,957,013.99","159,928,539.21","304,213,794.02","273,257,377.65","439,789,181.48","769,945,725.75","939,940,312.08"
短期借款,,,,,,,,,,,"55,000,000.00","10,000,000.00","20,000,000.00","30,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00","70,000,000.00","90,000,000.00","100,000,000.00","140,000,000.00","60,000,000.00","60,000,000.00","110,000,000.00","85,000,000.00","95,000,000.00","233,800,000.00","264,775,000.00","364,775,000.00","365,975,000.00","235,000,000.00","296,000,000.00","315,000,000.00","310,000,000.00","340,000,000.00","460,000,000.00","388,300,000.00","373,250,000.00","333,300,000.00","458,300,000.00","339,000,000.00","429,000,000.00","429,000,000.00","704,070,000.00","697,000,000.00","937,100,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,315,000.00","11,220,220.00","7,943,920.00","14,766,173.03","7,535,268.45","11,634,288.46","17,666,780.08","14,324,061.85","6,050,404.82","13,188,199.60","19,363,643.66","26,425,035.79","25,836,041.30","35,287,076.27","27,697,814.85","41,108,752.25","41,180,355.60","53,087,016.36","32,892,054.79","76,129,665.64","35,902,290.89","30,228,970.89","17,423,078.00","67,709,458.62","29,928,825.31","37,902,925.40","33,252,796.14","100,506,510.64","52,299,463.50","43,442,589.58","35,408,997.13","107,909,727.88","85,787,502.62","63,422,410.00","31,800,379.18","81,910,004.11","64,644,112.21","56,799,490.55","35,152,108.56","95,361,570.90","77,681,666.36","61,014,587.62","65,415,342.69","284,035,292.77","249,956,379.25","202,968,536.47"
应付票据,,"6,276,756.28","5,398,482.61","2,076,245.57","5,549,991.25","7,103,205.36","13,786,269.43","18,164,984.19","26,541,538.03","38,321,475.56","44,937,021.60","27,320,073.25","33,485,834.02","44,440,811.61","34,890,641.49","40,595,789.52","51,191,273.10","40,503,926.55","39,519,151.69","39,372,160.84","67,360,484.80","81,406,559.74","72,370,379.54","68,936,214.63","91,309,558.38","84,769,993.08","67,953,260.11","38,265,429.41","34,558,941.61","28,858,926.39","51,307,931.26","41,500,517.14","21,053,974.62","33,762,554.35","44,403,131.13","27,164,042.72","18,213,095.96","20,369,508.59","11,026,834.52",,,,,"45,050,039.30","33,212,443.00","41,007,619.86"
应收账款,"37,012,575.12","45,073,078.56","48,608,902.05","27,921,190.33","47,069,182.03","54,679,839.95","61,702,234.13","37,805,429.31","50,142,429.33","62,027,053.10","78,524,605.59","63,042,427.16","76,117,518.82","105,327,657.74","116,185,712.48","93,300,461.02","141,083,593.97","158,543,283.35","176,376,186.61","139,124,479.38","217,737,967.39","233,428,683.61","269,878,240.87","207,538,263.47","251,489,290.36","292,973,463.51","292,641,751.05","175,375,127.73","197,786,652.44","256,672,688.18","245,419,921.51","197,417,578.90","185,365,709.69","221,846,996.73","239,009,712.88","162,362,744.59","178,767,032.91","219,918,144.04","256,974,410.73","139,866,368.11","180,216,477.96","221,222,743.00","270,752,975.96","390,140,663.18","467,603,953.24","520,903,031.91"
应付账款,"9,132,404.66","12,341,100.93","14,165,361.84","19,346,368.16","11,771,978.69","16,816,634.27","16,004,933.39","27,537,164.87","12,978,394.43","26,905,593.08","23,102,664.41","27,901,240.61","27,935,553.79","46,832,947.99","54,944,722.70","49,710,522.32","75,122,769.06","84,878,554.05","91,886,024.05","123,895,502.01","111,177,457.04","143,683,028.60","110,404,173.56","193,814,061.90","212,043,414.78","184,436,052.15","192,194,380.42","168,056,481.42","181,173,405.44","186,735,822.58","202,350,319.34","179,075,086.97","177,753,869.27","198,040,149.18","198,670,014.76","214,858,991.21","195,732,043.35","214,932,483.54","212,977,217.63","205,790,594.79","178,535,310.20","200,070,511.52","211,785,555.38","282,105,249.69","214,700,881.07","171,365,275.27"
预付款项,"7,412,409.48","10,075,559.24","6,823,059.43","5,842,453.58","14,047,056.73","24,394,010.29","18,065,109.48","12,130,925.32","29,806,399.67","35,933,386.73","57,480,749.44","55,475,143.93","83,057,981.34","88,690,213.26","109,672,882.32","82,988,413.36","116,173,464.91","54,787,551.17","143,278,172.17","86,333,638.46","157,574,390.69","141,596,684.51","115,167,094.16","140,713,966.45","214,106,332.13","207,073,028.32","206,896,879.32","154,513,226.50","211,163,356.35","205,853,959.09","215,544,506.75","18,158,458.01","22,018,618.03","18,717,843.59","22,357,118.70","17,508,204.46","22,295,660.65","27,350,311.33","20,735,417.45","14,867,254.51","11,107,521.62","10,039,261.10","6,457,179.06","66,223,465.42","110,567,415.52","135,984,481.91"
预收款项,"5,214,938.11","11,613,746.21","9,575,290.45","10,269,972.68","9,029,638.31","13,609,178.82","11,243,003.43","15,413,100.83","12,867,645.65","9,459,191.21","24,579,050.01","12,657,692.33","18,637,300.92","23,807,461.71","33,059,485.76","19,480,608.56","20,073,809.65","20,172,120.84","17,135,305.15","42,739,588.11","35,578,566.29","27,378,008.39","63,754,741.71","76,540,190.30","91,395,490.18","63,644,257.58","89,476,643.48","63,022,186.52","51,520,030.00","58,605,331.58","47,699,396.39","43,368,325.59","40,471,713.95","33,082,747.45","43,237,143.99","38,695,045.83","31,088,175.35","42,549,211.74","39,579,871.76","42,762,226.84","37,017,352.28","35,303,050.10","37,160,247.62","66,231,867.40","89,235,401.20","51,815,344.01"
