科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"7,773,719.38","7,098,814.01","37,487,820.02","46,705,599.67","609,266,343.19","585,716,483.73","562,952,036.05","522,172,242.09","435,833,997.69","439,026,088.25","420,780,673.01","308,697,987.36","236,220,956.25","392,024,548.09","342,868,585.75","255,141,709.69","145,537,242.04","134,979,524.37","101,839,535.72","66,626,710.16","104,359,411.45","168,124,842.01","85,112,995.64","71,695,668.77","67,263,986.37","265,353,008.34","100,066,680.28","68,468,936.43","78,462,048.33","204,252,577.57","44,971,138.85","94,215,169.86","194,797,648.29","206,824,214.77","170,123,849.05","300,084,456.77"
短期借款,,"19,000,000.00","33,500,000.00","45,500,000.00","79,500,000.00","59,500,000.00","49,000,000.00","29,000,000.00","38,900,000.00","43,900,000.00","43,900,000.00","73,800,000.00","98,800,000.00","140,800,000.00","146,800,000.00","189,000,000.00","212,267,000.00","154,000,000.00","203,196,824.00","224,172,818.76","313,135,999.22","313,300,000.00","332,300,000.00","312,900,000.00","304,800,000.00","471,065,196.36","462,565,196.36","506,546,444.72","508,899,518.72","552,985,792.00","546,985,792.00","528,902,870.79","754,771,535.47","730,468,936.83","884,030,192.71","935,589,611.37"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,"300,000.00",,,,,,,,,"156,000.00",,"146,138,176.13","345,787,980.91","299,617,007.50","186,755,328.94"
应付票据,,,,,,,,,,,,,,,,,"831,200.00","947,447.43",,,"5,576,728.50","16,725,959.28","15,470,719.89","10,612,212.79","29,718,365.34","16,600,000.00","16,256,638.36","29,000,000.00",,,"1,966,300.01","1,875,300.01","75,591,994.78","90,815,259.64","79,862,621.20","86,723,598.81"
应收账款,"10,389,248.68","15,061,745.73","24,668,411.99","25,280,134.08","25,319,911.94","50,709,887.28","71,509,250.08","52,544,410.29","63,176,525.63","70,092,272.54","74,107,234.19","76,956,439.74","75,828,026.15","74,660,901.05","75,084,788.19","128,083,427.05","132,659,734.70","145,317,102.26","119,985,994.28","143,454,349.18","142,100,142.96","105,763,627.05","132,278,875.29","151,344,812.92","153,710,414.06","121,414,445.42","142,927,429.81","177,409,436.45","240,997,142.36","176,007,086.77","202,714,310.89","234,749,235.10","945,812,283.26","984,734,158.26","1,105,284,173.78","1,164,711,481.27"
应付账款,"21,332,815.23","25,877,434.25","25,935,893.93","30,829,338.63","22,765,213.94","37,737,535.64","35,510,159.48","33,189,212.15","48,522,602.89","46,019,259.23","47,009,386.39","42,648,578.08","51,047,234.09","59,046,162.09","62,120,491.70","64,078,177.32","123,252,354.70","97,423,480.54","54,964,437.33","53,183,527.43","62,894,531.55","49,985,800.09","66,271,975.25","77,640,488.61","83,374,457.43","71,963,067.12","94,980,753.44","107,029,749.46","145,091,479.91","123,678,721.85","124,876,050.46","142,475,782.56","335,353,920.51","314,783,347.31","321,778,912.25","477,904,304.32"
预付款项,"5,730,396.05","8,284,908.75","21,005,841.60","21,611,342.77","27,871,362.36","35,975,550.27","66,819,028.71","121,320,245.12","77,305,023.03","27,130,251.04","42,765,381.08","66,109,922.31","67,564,893.55","39,674,807.31","58,318,119.15","55,869,503.74","66,428,532.93","38,394,600.73","44,842,979.82","53,195,842.28","93,850,039.97","42,076,942.54","58,013,545.03","61,747,602.93","128,662,309.88","107,400,182.56","166,604,397.60","131,293,456.38","158,950,228.03","69,561,418.10","85,547,025.94","124,846,644.15","124,796,560.29","67,875,916.83","107,291,229.24","230,404,969.52"
预收款项,"38,543,471.68","33,584,175.42","17,098,418.80","22,645,349.66","39,269,790.53","74,017,892.99","130,486,581.86","234,051,162.78","242,103,980.44","234,067,003.25","257,454,258.09","249,582,753.44","203,986,138.42","230,297,039.38","236,690,269.07","233,941,609.87","165,359,636.62","73,946,461.61","43,945,955.66","41,134,239.44","45,259,939.75","52,731,897.78","36,339,852.40","74,678,186.03","92,195,618.61","119,283,296.71","92,254,772.10","49,719,437.97","118,767,317.16","128,368,131.94","69,582,766.78","57,694,216.15","67,012,159.95","56,182,068.21","90,588,388.48","86,393,164.67"
其他应收款,"14,204,724.07","7,759,948.01","5,377,725.65","5,733,181.17","10,182,729.46","4,914,943.55","9,745,256.48","6,630,798.21","8,708,250.33","14,392,408.95","9,108,638.99","14,069,160.71","14,112,451.94","6,705,183.52","8,320,653.19","24,657,101.56","29,369,889.10","7,150,699.95","26,537,019.58","18,955,654.61","25,923,560.81","8,362,108.11","17,816,102.52","22,010,139.16","18,723,894.98","6,811,177.49","7,842,365.38","18,485,380.48","36,383,047.28","14,344,122.96","13,314,193.74","16,142,109.56","62,683,450.72","47,205,592.26","39,371,762.41","120,129,121.77"
应付职工薪酬,"144,449.84","1,569,954.73","2,461,386.44","6,752,910.43","5,366,783.32","4,695,516.94","5,004,584.86","10,763,409.32","9,208,473.94","7,077,264.35","8,618,835.43","11,850,586.70","9,517,632.79","7,234,388.25","8,983,289.67","10,555,050.23","10,982,983.67","7,573,244.68","10,951,628.67","11,598,206.73","13,419,972.95","11,723,995.97","12,172,974.27","13,490,083.24","14,418,834.29","8,647,019.23","13,283,596.28","17,007,810.95","16,929,240.15","9,655,470.30","12,574,820.11","12,578,457.35","14,137,973.93","36,288,233.53","11,530,092.50","11,690,205.99"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,843,758.29","4,213,894.98","6,039,707.54","4,602,662.75","285,012.91","2,313,202.40","-8,257,795.32","-7,927,026.38","-30,520,809.18","8,626,860.64","4,645,154.36","7,061,142.08","3,259,258.89","14,843,702.31","3,223,465.78","3,211,581.82","2,937,723.39","26,840,365.72","6,081,904.07","9,209,582.48","7,254,495.64","10,534,560.72","4,355,335.27","8,346,981.78","16,651,824.92","13,019,054.83","12,005,364.95","5,949,033.45","7,651,335.97","19,591,195.82","10,490,294.97","7,879,822.59","30,284,123.47","75,594,688.89","54,910,013.93","32,600,066.12"
应收利息,,,,,,"2,126,102.67","4,794,356.13","6,571,308.12","8,411,772.04","614,875.00","1,284,553.40","1,238,930.56","2,228,291.67","270,361.11","127,472.22",,,,,,,,,,,,,,,,,,,,,
