科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"998,450,217.99","1,420,358,010.88","1,576,199,406.69","728,263,416.35","1,050,667,007.51","1,741,078,595.20","498,717,656.72","921,579,812.52","1,576,085,435.45","2,773,853,762.29","645,859,152.43"
取得子公司及其他营业单位支付的现金净额,"5,000,000.00",,,,,,,,,,
收到的税费返还,,,,,,,,"4,810,158.68","9,491,175.00",,
支付其他与投资活动有关的现金,,,,,,,,,,"150,000,000.00",
收到其他与经营活动有关的现金,"2,739,309.64","5,024,448.62","10,435,675.34","863,666.69","2,804,025.17","5,317,015.82","2,440,932.70","9,135,510.73","9,156,351.47","71,948,470.34","8,699,682.36"
投资活动现金流出小计,"39,359,106.67","48,973,636.02","53,101,575.64","16,211,076.17","21,416,898.54","22,482,630.23","10,471,561.22","39,145,867.78","91,224,547.51","320,414,922.93","87,793,896.27"
经营活动现金流入小计,"1,001,189,527.63","1,425,382,459.50","1,586,635,082.03","729,127,083.04","1,053,471,032.68","1,746,395,611.02","501,158,589.42","935,525,481.93","1,594,732,961.92","2,845,802,232.63","654,558,834.79"
投资活动产生的现金流量净额,"-39,324,106.67","-48,729,862.69","-52,872,575.64","-16,211,076.17","-21,416,898.54","-22,482,630.23","-10,471,561.22","-39,144,417.78","-90,721,316.69","-314,939,094.80","12,215,103.73"
购买商品、接受劳务支付的现金,"756,535,588.84","1,206,536,923.67","1,166,919,786.39","606,204,167.95","953,586,964.94","1,574,900,163.50","596,897,200.61","932,456,269.47","1,368,082,570.03","2,403,362,832.70","692,479,990.46"
吸收投资收到的现金,,"90,000,000.00",,,,,"345,787,073.33","353,760,000.00","509,703,692.21","517,676,618.88",
支付给职工以及为职工支付的现金,"115,553,117.35","186,198,784.01","176,813,962.00","88,869,923.69","140,582,475.48","201,698,700.94","63,626,497.59","125,568,709.46","189,090,607.03","257,422,314.41","64,369,836.19"
取得借款收到的现金,"39,133,511.68","61,190,002.93",,,"47,480,000.00","80,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00","81,000,000.00","230,000,000.00"
支付的各项税费,"47,007,091.49","63,700,471.19","47,693,434.07","19,238,114.41","31,507,219.76","43,481,335.98","22,653,371.26","41,516,497.39","56,834,153.94","61,516,678.50","14,227,949.01"
收到其他与筹资活动有关的现金,,"3,200,000.00","1,500,000.00",,,"79,585,356.55",,,,,
支付其他与经营活动有关的现金,"17,525,311.09","23,882,031.19","21,216,699.55","11,714,703.55","18,912,088.40","23,428,381.25","14,630,255.84","23,223,699.66","22,652,237.58","56,959,020.75","16,832,006.42"
筹资活动现金流入小计,"39,133,511.68","154,390,002.93","1,500,000.00",,"47,480,000.00","159,585,356.55","396,787,073.33","404,760,000.00","560,703,692.21","598,676,618.88","230,000,000.00"
经营活动现金流出小计,"936,621,108.77","1,480,318,210.06","1,412,643,882.01","726,026,909.60","1,144,588,748.58","1,843,508,581.67","697,807,325.30","1,122,765,175.98","1,636,659,568.58","2,779,260,846.36","787,909,782.08"
偿还债务支付的现金,"9,306,000.00","39,264,382.92","63,085,659.75",,,,"1,000,000.00","14,440,000.00","14,440,000.00","94,440,000.00","51,170,131.94"
经营活动产生的现金流量净额,"64,568,418.86","-54,935,750.56","173,991,200.02","3,100,173.44","-91,117,715.90","-97,112,970.65","-196,648,735.88","-187,239,694.05","-41,926,606.66","66,541,386.27","-133,350,947.29"
分配股利、利润或偿还利息支付的现金,"26,110,276.26","9,162,434.81","757,505.18",,"2,406,972.22","2,899,248.62","4,168,410.25","13,562,620.43","15,508,520.43","25,575,025.33",
收回投资收到的现金,,"50,000.00",,,,,,,,,"100,000,000.00"
支付其他与筹资活动有关的现金,"3,760,000.00","24,703,200.00",,"3,000,000.00",,,"22,105,356.55","54,558,821.54","239,294,165.44","104,255,341.37",
取得投资收益收到的现金,,773.33,,,,,,,"501,780.82","473,378.13",
筹资活动现金流出小计,"39,176,276.26","73,130,017.73","63,843,164.93","3,000,000.00","2,406,972.22","2,899,248.62","27,273,766.80","82,561,441.97","269,242,685.87","224,270,366.70","51,170,131.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,"35,000.00","193,000.00","229,000.00",,,,,"1,450.00","1,450.00","2,450.00","9,000.00"
筹资活动产生的现金流量净额,"-42,764.58","81,259,985.20","-62,343,164.93","-3,000,000.00","45,073,027.78","156,686,107.93","369,513,306.53","322,198,558.03","291,461,006.34","374,406,252.18","178,829,868.06"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"6,216.39","110,738.67","146,812.58","-2,308.86","-3,175.01","-6,273.88",922.80,"3,651.02","6,176.81","8,077.90","4,320.45"
收到其他与投资活动有关的现金,,,,,,,,,,"5,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"35,000.00","243,773.33","229,000.00",,,,,"1,450.00","503,230.82","5,475,828.13","100,009,000.00"
五、现金及现金等价物净增加额,"25,207,764.00","-22,294,889.38","58,922,272.03","-16,113,211.59","-67,464,761.67","37,084,233.17","162,393,932.23","95,818,097.22","158,819,259.80","126,016,621.55","57,698,344.95"
购建固定资产、无形资产和其他长期资产支付的现金,"34,359,106.67","48,923,636.02","53,101,575.64","16,211,076.17","21,416,898.54","22,482,630.23","10,471,561.22","39,145,867.78","71,224,547.51","170,414,922.93","87,793,896.27"
期初现金及现金等价物余额,"21,774,703.70","46,982,467.70","24,687,578.32","83,609,850.35","83,609,850.35","83,609,850.35","120,694,083.52","120,694,083.52","120,694,083.52","120,694,083.52","246,710,705.07"
投资支付的现金,,"50,000.00",,,,,,,"20,000,000.00",,
期末现金及现金等价物余额,"46,982,467.70","24,687,578.32","83,609,850.35","67,496,638.76","16,145,088.68","120,694,083.52","283,088,015.75","216,512,180.74","279,513,343.32","246,710,705.07","304,409,050.02"
