科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,651,648,945.07","1,948,447,579.89","2,012,342,716.23",,"946,883,937.71","1,411,553,064.28","1,714,548,046.44","352,711,006.60","868,665,365.32","1,306,397,890.89","1,679,879,432.40","381,904,932.46","841,131,650.97","1,211,478,351.94","1,902,387,556.14","492,354,525.18"
取得子公司及其他营业单位支付的现金净额,"816,356.33",,,,,,,,,,,,,,,
收到的税费返还,"3,618,896.04","928,518.68","2,598,080.25",,,"532,339.39","1,023,051.86","842,489.37","1,268,498.18","3,306,597.11","3,484,116.85","3,252.22","176,079.55","1,042,474.70",,"1,730,264.45"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"16,414,355.04","33,879,873.91","34,512,529.61",,"16,438,149.89","37,145,756.89","92,261,358.11","35,806,063.43","35,858,735.32","44,229,349.74","60,925,000.33","21,758,551.84","14,434,653.38","40,401,138.25","24,315,972.60","14,638,733.76"
投资活动现金流出小计,"250,334,488.49","187,056,754.00","145,581,081.91",,"84,806,592.73","164,785,500.56","757,726,896.93","37,687,262.81","47,223,891.54","77,623,536.08","1,884,994,212.15","55,401,382.60","123,444,284.41","221,473,286.35","1,288,987,211.95","119,139,550.45"
经营活动现金流入小计,"1,671,682,196.15","1,983,255,972.48","2,049,453,326.09",,"963,322,087.60","1,449,231,160.56","1,807,832,456.41","389,359,559.40","905,792,598.82","1,353,933,837.74","1,744,288,549.58","403,666,736.52","855,742,383.90","1,252,921,964.89","1,926,703,528.74","508,723,523.39"
投资活动产生的现金流量净额,"-247,543,973.95","-186,459,406.71","-145,471,023.63","-78,160,100.00","-84,804,176.73","-164,779,593.42","-174,391,357.00","-35,148,662.81","-42,904,220.85","-69,645,383.98","-252,888,893.16","-55,121,772.10","-116,802,799.88","-216,403,291.03","-336,760,367.26","-119,139,550.45"
购买商品、接受劳务支付的现金,"812,036,063.56","940,012,575.72","1,101,430,622.77",,"590,183,641.87","1,000,677,453.77","1,139,781,696.51","227,585,191.63","479,716,735.98","781,142,695.32","750,750,222.13","275,350,733.16","470,837,000.80","810,490,667.46","1,038,430,205.00","384,154,619.32"
吸收投资收到的现金,,"13,500,000.00",,,"1,553,050,000.00","1,553,050,000.00","1,553,050,000.00",,,,,,,,"11,760,000.00",
