科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"243,199,216.29","126,774,253.92","204,720,514.11","263,880,272.99","47,119,095.35","112,168,760.61","192,765,246.13","286,094,905.67","86,369,961.96","167,745,458.48","260,982,886.58","387,426,697.12","107,795,588.32","220,560,571.27","309,462,454.82","494,440,962.72","86,384,139.62","207,261,591.48","302,142,261.57","435,531,147.12","97,418,365.94","204,333,937.96","277,501,792.25","419,986,226.60","140,838,539.59","236,877,520.57","338,894,949.55","420,551,926.57","75,375,495.46","211,894,955.37","339,341,900.17","319,145,310.65","125,623,968.72","240,574,018.32","336,398,821.65","340,813,130.70","132,726,781.38","265,081,244.16","358,006,981.97","494,307,012.89","111,055,295.48","288,024,583.86"
取得子公司及其他营业单位支付的现金净额,,,,,"5,800,293.24",,,,,,,,,,,"6,515,611.52",,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,171,863.65","373,736.88","504,987.03","682,903.90",,,,,,,"50,463.95",,,,,,,"1,869,107.27","7,599,801.11","8,724,046.14","2,379.60","2,379.60","2,656,943.99","3,051,807.29","22,436.80","22,436.80","22,744.60","271,142.79","285,952.63","493,395.82","1,976,064.85","1,976,064.85",,,"75,088.69","75,088.69","555,212.62","1,277,652.95","1,277,652.95","1,532,393.92","311,155.69","359,596.58"
支付其他与投资活动有关的现金,,,,,"48,766.70",,,,,,,,,"2,308.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"37,912,615.27","35,228,837.93","41,449,200.89","39,814,105.82","5,867,042.72","11,802,819.65","16,750,319.05","28,665,229.78","10,026,527.88","15,200,590.89","21,657,855.08","47,418,875.01","7,766,633.96","29,530,015.52","31,320,572.97","96,336,659.12","10,149,330.01","58,280,079.05","69,481,086.26","86,513,562.63","9,351,671.43","33,935,180.13","38,541,876.27","57,588,662.39","13,573,523.49","23,468,061.48","36,758,778.94","103,258,640.73","13,985,045.48","25,765,631.06","39,896,129.33","73,317,425.60","8,310,655.41","33,383,709.10","53,692,171.67","93,252,052.52","4,499,533.96","27,247,033.59","30,272,035.36","102,905,954.14","5,945,267.76","32,313,277.48"
投资活动现金流出小计,"28,136,155.53","44,867,815.20","58,928,690.66","114,914,336.93","25,390,521.71","40,506,694.69","78,322,062.06","111,952,424.21","17,856,936.13","35,679,734.08","51,812,211.71","63,313,817.52","10,552,060.54","29,394,997.85","44,563,860.24","61,702,193.41","5,124,635.84","47,698,742.76","74,407,462.23","96,348,489.63","21,731,232.87","38,355,156.57","42,626,265.01","50,221,659.19","13,982,285.12","17,126,049.52","20,650,200.03","19,713,257.81","6,652,239.50","8,749,455.50","10,505,281.80","12,775,873.23","276,204.97","1,409,109.47","1,630,369.47","1,793,309.47","196,208.00","1,882,484.65","3,886,999.20","5,151,261.53","6,119,276.85","6,380,201.54"
经营活动现金流入小计,"282,283,695.21","162,376,828.73","246,674,702.03","304,377,282.71","52,986,138.07","123,971,580.26","209,515,565.18","314,760,135.45","96,396,489.84","182,946,049.37","282,691,205.61","434,845,572.13","115,562,222.28","250,090,586.79","340,783,027.79","590,777,621.84","96,533,469.63","267,410,777.80","379,223,148.94","530,768,755.89","106,772,416.97","238,271,497.69","318,700,612.51","480,626,696.28","154,434,499.88","260,368,018.85","375,676,473.09","524,081,710.09","89,646,493.57","238,153,982.25","381,214,094.35","394,438,801.10","133,934,624.13","273,957,727.42","390,166,082.01","434,140,271.91","137,781,527.96","293,605,930.70","389,556,670.28","598,745,360.95","117,311,718.93","320,697,457.92"
投资活动产生的现金流量净额,"-12,107,762.53","-44,757,465.20","-58,818,340.66","-114,803,336.93","-25,390,521.71","-40,501,694.69","-78,317,062.06","-111,947,424.21","-17,851,056.13","-35,673,854.08","-50,800,271.71","-62,414,003.02","-10,552,060.54","-29,379,797.85","-31,626,927.12","-44,839,345.83","-5,124,635.84","-47,697,542.76","-74,318,262.23","-96,243,889.63","-2,558,542.87","-19,017,466.57","-23,275,820.53","-29,434,993.71","-12,337,216.85","-15,292,948.66","-18,716,099.17","-4,811,543.21","-6,652,239.50","-8,749,455.50","-10,505,281.80","-12,677,566.55","-276,204.97","-1,409,109.47","-1,630,369.47","-1,507,511.65","-194,258.00","-1,880,534.65","-3,877,303.20","-5,015,507.53","-5,555,176.85","-5,816,101.54"
购买商品、接受劳务支付的现金,"152,639,636.97","92,008,969.01","153,846,802.35","192,190,614.53","42,521,868.28","100,169,769.23","144,958,280.65","183,322,535.77","56,552,517.87","126,332,645.99","186,261,935.42","255,842,610.23","61,217,416.53","143,721,874.71","227,282,907.12","380,622,413.23","66,423,113.60","167,026,121.78","257,174,074.02","302,666,876.59","53,773,094.42","158,160,783.83","277,496,145.37","335,084,475.04","103,375,828.95","195,119,163.05","279,576,878.44","334,576,286.53","52,931,957.14","128,253,935.24","197,273,247.46","151,194,798.36","82,512,782.33","198,234,966.09","291,337,914.71","225,428,776.27","85,764,565.19","193,345,649.39","265,694,554.16","341,972,849.30","80,111,386.99","139,933,372.00"
吸收投资收到的现金,,,"227,720,000.00","227,720,000.00",,,,,"254,500,000.00","254,500,000.00","254,500,000.00","254,500,000.00",,,,"3,500,000.00","482,180,000.00","482,180,000.00","482,180,000.00","482,180,000.00",,"50,000,000.00",,,,,,,,,,,,,,,,,,,"320,000.00","26,802,500.00"
支付给职工以及为职工支付的现金,"29,220,452.88","24,008,158.83","33,837,574.95","41,406,941.72","8,837,149.91","17,597,847.45","29,541,203.46","42,452,620.27","14,442,587.43","28,806,304.33","43,006,177.55","58,359,989.71","16,838,886.34","38,657,818.42","58,076,550.85","81,384,537.18","22,941,561.07","49,479,489.34","66,905,515.21","90,492,292.39","24,192,794.05","48,656,564.20","75,250,952.92","102,873,450.25","27,922,834.47","53,167,607.88","78,644,382.64","108,373,477.09","32,073,541.26","57,366,939.98","86,608,101.90","107,699,382.48","20,766,026.28","38,745,889.00","61,504,280.94","87,916,250.28","28,427,651.28","50,928,753.09","76,229,638.20","100,288,408.15","27,297,169.32","49,002,917.87"
取得借款收到的现金,"108,500,000.00","72,100,000.00","126,100,000.00","156,500,000.00","79,500,000.00","124,000,000.00","142,000,000.00","142,000,000.00","11,100,000.00","51,600,000.00","51,600,000.00","79,300,000.00","10,000,000.00","80,000,000.00","88,000,000.00","98,000,000.00","65,000,000.00","125,000,000.00","200,008,000.00","200,008,000.00","40,000,000.00",,"175,000,000.00","245,000,000.00","123,000,000.00","169,000,000.00","189,000,000.00","237,500,000.00","175,690,613.59","175,690,613.59","195,690,613.59","245,690,613.59","40,000,000.00","60,000,000.00","78,000,000.00","78,000,000.00","60,000,000.00","61,000,000.00","61,000,000.00","90,400,000.00","100,000,000.00","100,889,216.00"
支付的各项税费,"40,975,425.68","19,134,901.02","25,423,840.58","34,946,180.05","13,953,749.08","18,809,584.63","23,587,769.43","30,042,954.66","5,786,758.10","12,664,271.06","18,103,995.95","24,242,589.92","11,781,420.60","26,513,595.28","37,567,331.24","46,013,783.37","20,483,350.51","37,128,005.21","48,092,847.70","60,402,132.83","7,306,132.01","17,775,279.77","23,003,917.42","34,912,922.07","5,017,916.35","9,242,922.07","14,552,388.01","31,575,149.98","8,672,164.93","20,451,982.00","25,997,831.98","45,140,768.12","11,924,446.68","26,896,394.76","35,252,526.12","45,684,146.38","6,525,181.23","17,802,077.01","23,870,216.06","33,829,847.23","6,228,034.31","15,098,739.41"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"28,337,793.74","18,387,077.10","60,057,758.32","47,664,003.12","9,057,927.93","10,257,262.45","23,172,809.08","59,844,459.47","20,445,954.71","36,899,318.43","55,262,709.19","82,897,667.88","26,668,971.93","54,632,349.04","62,226,104.05","138,178,608.41","30,075,286.12","60,628,256.55","100,409,319.33","94,770,315.71","31,231,401.52","47,852,545.14","72,078,870.02","97,836,302.82","7,717,803.91","48,449,012.50","43,022,899.26","94,071,682.22","28,843,019.92","59,046,387.81","58,833,255.81","96,114,602.88","19,667,314.97","35,111,635.66","46,371,280.55","70,883,758.10","27,098,060.40","36,349,374.21","63,428,741.55","118,294,345.16","25,435,693.53","86,228,766.63"
筹资活动现金流入小计,"108,500,000.00","72,100,000.00","353,820,000.00","384,220,000.00","79,500,000.00","124,000,000.00","142,000,000.00","142,000,000.00","265,600,000.00","306,100,000.00","306,100,000.00","333,800,000.00","10,000,000.00","80,000,000.00","88,000,000.00","101,500,000.00","547,180,000.00","607,180,000.00","682,188,000.00","682,188,000.00","40,000,000.00","50,000,000.00","175,000,000.00","245,000,000.00","123,000,000.00","169,000,000.00","189,000,000.00","237,500,000.00","175,690,613.59","175,690,613.59","195,690,613.59","245,690,613.59","40,000,000.00","60,000,000.00","78,000,000.00","78,000,000.00","60,000,000.00","61,000,000.00","61,000,000.00","90,400,000.00","100,320,000.00","127,691,716.00"
经营活动现金流出小计,"251,173,309.27","153,539,105.96","273,165,976.20","316,207,739.42","74,370,695.20","146,834,463.76","221,260,062.62","315,662,570.17","97,227,818.11","204,702,539.81","302,634,818.11","421,342,857.74","116,506,695.40","263,525,637.45","385,152,893.26","646,199,342.19","139,923,311.30","314,261,872.88","472,581,756.26","548,331,617.52","116,503,422.00","272,445,172.94","447,829,885.73","570,707,150.18","144,034,383.68","305,978,705.50","415,796,548.35","568,596,595.82","122,520,683.25","265,119,245.03","368,712,437.15","400,149,551.84","134,870,570.26","298,988,885.51","434,466,002.32","429,912,931.03","147,815,458.10","298,425,853.70","429,223,149.97","594,385,449.84","139,072,284.15","290,263,795.91"
偿还债务支付的现金,"55,640,000.00","47,500,000.00","105,500,000.00","181,500,000.00","5,000,000.00","44,500,000.00","52,500,000.00","52,500,000.00","114,500,000.00","174,900,000.00","174,900,000.00","202,600,000.00","10,000,000.00","50,500,000.00","64,800,000.00","70,200,000.00",,"100,000,000.00","156,000,000.00","226,000,000.00","25,000,000.00","65,008,000.00","90,008,000.00","90,008,000.00","110,000,000.00","166,000,000.00","221,000,000.00","315,000,000.00","59,500,000.00","248,190,613.59","268,190,613.59","319,990,613.59","39,000,000.00","39,000,000.00","59,000,000.00","59,000,000.00","60,000,000.00","61,000,000.00","79,000,000.00","79,000,000.00","89,400,000.00","89,400,000.00"
经营活动产生的现金流量净额,"31,110,385.94","8,837,722.77","-26,491,274.17","-11,830,456.71","-21,384,557.13","-22,862,883.50","-11,744,497.44","-902,434.72","-831,328.27","-21,756,490.44","-19,943,612.50","13,502,714.39","-944,473.12","-13,435,050.66","-44,369,865.47","-55,421,720.35","-43,389,841.67","-46,851,095.08","-93,358,607.32","-17,562,861.63","-9,731,005.03","-34,173,675.25","-129,129,273.22","-90,080,453.90","10,400,116.20","-45,610,686.65","-40,120,075.26","-44,514,885.73","-32,874,189.68","-26,965,262.78","12,501,657.20","-5,710,750.74","-935,946.13","-25,031,158.09","-44,299,920.31","4,227,340.88","-10,033,930.14","-4,819,923.00","-39,666,479.69","4,359,911.11","-21,760,565.22","30,433,662.01"
分配股利、利润或偿还利息支付的现金,"19,680,334.34","4,472,051.05","6,480,626.86","8,743,250.11","1,001,661.38","35,300,831.34","36,716,865.26","41,232,622.44","1,738,109.83","30,888,720.45","31,533,683.96","33,198,807.10","614,053.76","1,372,330.04","3,486,211.96","4,790,429.42","15,353,534.99","17,275,796.09","23,120,344.98","24,294,270.32","767,622.20","7,743,084.83","8,637,821.60","9,951,265.79","3,892,883.35","5,155,850.02","7,262,416.69","11,504,455.59","3,609,027.77","5,211,025.11","6,681,972.06","8,656,453.19","441,050.57","1,206,728.36","2,060,453.37","3,283,586.37","1,306,157.07","1,831,413.78","2,721,770.46","3,723,236.99","962,414.55","2,191,003.44"
收回投资收到的现金,,,,,,,,,,,,,,,"1,930,533.12","1,936,933.12",,,,,,,,,,"475,900.86",,,,,,,,,,"204,272.00",,,,,,
支付其他与筹资活动有关的现金,,,"1,902,152.72","5,902,088.00",,,"366,284.60",,"971,967.85","971,967.85","1,071,967.85","1,213,959.47",,,,,"1,827,000.00","429,470.00","1,009,470.00","250,000.00",,,"596,966.67",,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,"6,400.00","6,400.00","5,658,587.29",,,,,,,,,"389,268.27",,"475,900.86",,,,,"73,306.68",,,,"81,525.82",,,,,,
