科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"291,325,352.08","305,617,311.18","429,337,545.18","329,503,503.36","504,145,595.50","685,725,418.55","171,424,930.40","354,113,621.40","554,662,622.94","814,852,918.47","311,403,111.71","636,039,225.87","972,996,735.48","1,328,834,325.23","324,758,761.06","713,162,351.47","1,135,885,298.77","1,561,463,304.67","413,620,400.33","846,064,457.85","1,305,475,402.70","1,718,089,182.82","445,758,052.61","924,523,650.12","1,421,533,645.88","1,933,996,050.69","493,673,371.43","1,042,771,299.05","1,626,019,058.02","2,250,498,129.79","589,774,084.42","1,255,968,507.52"
二、营业利润,"30,386,511.53","44,663,793.04","54,174,071.17","33,036,899.06","49,766,622.98","49,410,556.58","11,939,200.45","36,188,663.72","51,332,105.33","60,176,517.36","16,471,295.48","60,448,845.00","85,960,151.71","84,707,608.47","29,492,033.69","84,977,504.30","111,379,327.18","165,409,323.89","33,652,246.94","93,057,274.73","108,167,987.99","136,366,474.99","26,996,434.73","82,098,679.13","120,486,984.11","115,844,787.25","31,615,492.22","85,165,397.35","137,980,858.52","237,598,173.21","36,085,622.65","86,916,645.57"
减:营业成本,"178,039,757.04","182,068,428.38","262,463,919.26","223,271,059.79","334,796,573.19","446,705,071.00","116,016,873.43","235,432,248.54","375,289,810.74","551,625,295.10","217,996,995.67","432,029,994.06","666,219,275.27","916,864,933.00","227,145,047.68","486,965,396.96","766,833,035.68","1,037,116,386.25","276,414,004.10","557,670,589.71","884,847,230.26","1,157,327,545.67","305,536,052.41","628,745,076.37","937,768,085.00","1,361,438,969.70","354,574,325.75","724,960,272.31","1,127,577,073.65","1,596,540,541.59","440,771,472.49","941,719,429.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"9,801,946.04","10,102,829.70","14,227,942.82","7,708,162.23","11,441,684.55","15,123,878.80","3,045,197.08","5,027,689.95","6,462,035.30","6,761,546.85","449,454.26","914,612.13","1,087,183.25","1,952,366.25","419,115.72","1,133,703.88","1,882,644.94","2,863,035.09","748,097.18","1,486,335.05","2,818,748.87","4,579,927.69","1,323,691.42","2,855,520.03","4,647,846.31","14,731,605.33","3,309,188.38","5,842,504.88","9,662,360.09","14,760,734.66","3,767,898.58","7,781,210.98"
营业外收入,"3,079,520.25","2,918,034.90","6,814,399.18","8,937,300.29","10,919,208.84","34,493,275.64","5,585,817.69","12,636,912.97","20,258,985.11","42,157,598.41","7,773,545.83","12,562,100.90","14,731,583.35","42,101,418.25","137,218.97","3,103,905.70","11,873,197.53","32,764,577.21","57,694,267.13","61,457,445.21","57,868,289.92","76,284,726.83","8,164,510.48","17,690,639.98","23,934,500.12","51,684,246.58","5,777,528.72","10,322,070.44","20,778,570.82","8,982,587.43","1,456,629.85","3,190,561.99"
销售费用,"13,913,178.06","10,282,651.66","19,899,739.17","17,119,394.34","29,317,341.90","41,988,554.26","11,173,018.40","21,737,468.16","36,386,545.83","45,761,570.62","17,695,293.46","34,609,867.75","49,463,767.65","55,222,404.20","18,207,660.11","34,471,049.95","50,034,710.51","53,313,166.97","18,727,134.29","27,924,523.23","59,676,298.33","48,344,272.65","19,435,803.27","34,600,419.35","54,967,679.35","67,982,125.65","18,175,798.70","37,780,683.24","57,691,523.66","71,594,745.67","18,840,356.22","42,602,765.95"
减:营业外支出,"491,306.82","2,036,359.39","333,073.69","98,250.11","602,347.56","744,278.39","118,807.98","294,524.30","822,648.96","990,896.70","376,658.74","796,786.44","816,048.65","1,418,648.72","215,846.83","1,388,503.89","1,744,042.98","7,342,303.51","742,856.88","1,482,128.69","2,527,734.47","2,369,543.57","570,201.65","1,283,407.97","1,815,604.60","35,096,397.82","257,995.04","1,669,729.20","1,712,875.57","3,126,580.69",952.17,"18,380.60"
管理费用,"56,148,639.64","50,336,083.40","72,002,758.93","38,860,499.87","65,557,962.58","116,208,777.37","27,017,720.26","56,704,587.75","95,756,228.98","156,559,332.55","57,060,493.04","104,621,605.87","168,992,943.79","254,503,609.42","51,260,691.51","103,035,933.03","197,952,761.95","292,909,937.93","81,128,470.38","155,922,359.98","251,448,456.25","372,422,491.44","93,000,442.55","185,432,881.01","310,824,754.22","385,473,360.98","81,166,758.83","178,591,184.68","270,311,057.46","327,146,862.65","77,038,621.83","180,393,602.38"
其中:非流动资产处置净损失,"209,686.32","1,023,768.31","249,367.61","70,886.66","304,000.00","652,031.68","57,325.38","245,316.01","476,943.17","520,161.42","233,583.93","233,583.93","233,583.93","739,945.32","207,036.55","854,112.00","1,018,036.66","4,757,891.01","290,456.58","781,308.57","1,322,901.46","1,762,050.87","285,076.77","626,756.05","1,079,332.35","1,927,037.80","134,999.76","1,321,327.29","1,374,716.55",,,
