科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"188,171,241.48","215,591,699.04","279,250,157.57","270,043,618.52","268,813,378.55","413,862,912.17","468,683,327.25","330,416,025.36","319,424,838.83","260,450,787.65","246,300,140.22","243,439,445.45","774,421,159.44","595,079,460.89","598,701,069.14","422,549,881.83","576,360,167.36","356,219,165.47","312,836,940.90"
短期借款,"82,000,000.00","110,000,000.00","143,000,000.00","153,000,000.00","190,000,000.00","220,000,000.00","210,000,000.00","70,000,000.00","113,000,000.00","173,000,000.00","193,000,000.00","305,000,000.00","272,000,000.00","275,000,000.00","402,591,430.09","483,259,733.57","531,340,811.39","444,934,670.16","544,060,423.38"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,"16,726,027.23","36,874,012.23","35,899,920.00","36,543,499.24","36,868,500.00","61,039,000.00","51,333,333.33","93,523,817.29","91,639,524.29"
应收票据,,,,,,,,,,,,,,,,,,"28,600,000.00","20,000,000.00"
应付票据,,,,,,,,,,,,,,,,"35,000,000.00","35,000,000.00","116,600,000.00","225,460,000.00"
应收账款,"64,843,477.49","79,235,282.30","91,868,934.50","112,293,659.31","180,273,042.13","269,953,737.98","357,443,378.34","351,196,612.20","345,275,033.83","423,541,970.72","399,333,652.04","498,019,586.34","365,089,417.59","498,306,607.31","509,033,845.38","540,131,939.05","583,256,621.69","674,937,267.16","850,860,546.27"
应付账款,"64,297,297.82","46,738,017.78","50,685,353.91","51,650,592.44","73,287,499.02","51,065,923.09","90,056,519.36","85,843,421.85","51,439,732.65","43,871,474.00","93,858,568.62","97,129,514.74","140,023,939.22","203,555,421.04","221,214,636.42","85,627,355.37","116,652,144.44","103,900,212.16","61,648,450.11"
预付款项,"287,271.52","2,831,909.04","7,600,038.15","10,736,094.08","9,535,231.56","9,918,842.28","7,991,618.43","13,825,402.63","7,242,563.87","17,233,925.61","13,813,792.34","9,279,255.35","9,389,094.90","8,565,190.01","12,493,535.85","9,806,828.00","8,290,246.24","15,425,019.72","37,382,727.04"
预收款项,"7,332,109.69","7,054,814.78","9,071,986.25","10,647,532.23","9,425,737.62","10,845,244.93","16,592,546.52","31,592,126.35","22,193,866.24","19,556,463.08","28,343,610.40","33,657,742.82","34,182,401.61","43,969,946.52","37,905,821.95","25,608,196.99","25,490,132.43","43,821,291.78","17,088,948.54"
其他应收款,"1,508,182.55","1,250,535.58","1,664,520.81","943,829.90","2,039,295.10","2,964,585.38","4,435,729.36","7,596,581.66","4,462,546.44","9,210,071.97","3,122,936.52","727,636.07","1,670,142.75","1,289,670.27","2,735,449.07","3,600,410.33","3,882,211.96","10,426,788.60","19,735,956.52"
应付职工薪酬,"1,881,412.76","2,233,528.49","2,333,824.30","2,703,361.48","2,107,362.43","3,025,413.13","3,054,710.25","2,726,222.10","3,619,270.08","3,116,076.14","3,446,144.47","3,014,512.50","4,611,749.42","5,151,936.61","6,562,506.24","5,820,757.92","6,755,331.18","5,119,984.76","4,721,366.73"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"4,255,333.95","8,392,843.26","12,062,190.87","16,752,045.42","19,545,034.71","23,484,599.55","19,313,444.61","19,757,271.41","27,168,486.98","33,709,848.71","8,983,310.32","17,698,458.49","15,547,477.56","5,984,924.54","20,633,710.77","30,204,053.34","25,228,435.48","22,696,357.98","17,845,829.01"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,"643,579.24",,"94,205.66","164,849.43","196,725.27","187,590.27","224,535.40"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"171,476,364.61","199,446,952.38","255,391,024.88","295,140,171.72","336,197,070.95","468,150,181.23","394,381,165.12","394,220,742.83","354,370,475.00","383,413,203.74","467,084,376.36","536,997,807.81","544,563,200.11","657,151,382.63","983,989,044.71","1,107,299,305.54","1,053,997,534.70","1,101,381,718.22","1,032,041,972.84"
其他应付款,"6,420,885.98","6,038,889.61","6,939,607.04","8,508,262.34","10,629,137.55","11,005,040.11","12,116,532.90","12,886,853.08","11,709,432.75","12,789,601.36","11,707,565.79","14,518,944.76","19,759,588.26","18,627,757.33","70,128,265.82","25,523,915.17","28,637,345.57","27,725,966.27","25,239,452.67"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"13,875,000.00",,,,,,,,,,,,,,,,,,
其他流动资产,,,,"5,988,647.81","8,390,875.52","27,178,288.50","12,917,527.45","10,633,132.46","85,435,217.25","88,931,023.82","117,005,377.98","107,658,385.45","133,089,970.60","138,595,875.67","123,122,256.88","147,796,624.41","90,484,156.61","143,157,410.01","144,565,404.98"
其他流动负债,,,,,,,,,,,,,,,,,,,
流动资产合计,"426,286,537.65","498,356,378.34","635,774,675.91","695,146,021.34","805,248,893.81","1,192,028,547.54","1,245,852,745.95","1,107,888,497.14","1,116,210,675.22","1,182,780,983.51","1,246,660,275.46","1,396,122,116.47","1,828,222,985.39","1,898,988,186.78","2,230,075,201.03","2,231,184,989.16","2,316,270,938.56","2,330,147,369.18","2,417,423,548.55"
流动负债合计,"180,062,040.20","180,458,093.92","224,092,962.37","243,261,793.91","304,994,771.33","319,426,220.81","351,133,753.64","222,805,894.79","229,130,788.70","286,043,463.29","356,065,226.83","507,893,185.54","522,668,655.31","588,833,485.28","795,999,076.95","752,247,861.79","820,634,259.09","858,509,890.67","987,928,530.13"
可供出售金融资产,,,,,"1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","25,008,000.00","34,588,000.00","34,588,000.00","34,996,000.00","5,950,000.00","14,078,181.27","5,950,000.00"
长期借款,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,"191,250,000.00","154,708,500.00","154,708,500.00","119,208,500.00","78,208,500.00"
长期股权投资,,,,,,,,"750,000.00","466,815.22","376,960.21","3,505,920.03","24,509,248.54",,,,"750,000.00","32,473,492.88","32,325,375.72","49,476,694.78"
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"31,685,858.38","31,515,047.67","31,694,611.89","31,051,624.30","30,292,634.38","29,908,653.79","29,796,389.82","32,025,445.38","40,338,359.27","40,011,435.01","41,320,777.55","44,453,138.17","52,061,673.52","51,389,148.78","51,228,513.16","50,762,688.56","49,648,998.88","48,856,211.80","47,788,665.01"
递延所得税负债,,,,,,,,,,,,,,,"11,149,480.14","8,598,859.63","8,108,341.64","6,837,613.40","6,077,385.54"
在建工程,,,,,,,,"151,759.04",,,,,,,,,,,
其他非流动负债,,,"780,000.00","741,000.00",,,,"1,072,250.00",,"1,008,750.00",,"945,250.00",,"881,750.00",,"818,250.00",,"754,750.00",
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"780,000.00","741,000.00","1,167,500.00","1,135,750.00","1,104,000.00","1,072,250.00","1,040,500.00","1,008,750.00","977,000.00","945,250.00","913,500.00","881,750.00","203,249,480.14","214,125,609.63","213,603,341.64","176,800,863.40","135,008,885.54"
固定资产清理,,,,,,,,,,,,,,,,,,,
负债合计,"180,062,040.20","180,458,093.92","224,872,962.37","244,002,793.91","306,162,271.33","320,561,970.81","352,237,753.64","223,878,144.79","230,171,288.70","287,052,213.29","357,042,226.83","508,838,435.54","523,582,155.31","589,715,235.28","999,248,557.09","966,373,471.42","1,034,237,600.73","1,035,310,754.07","1,122,937,415.67"
生产性生物资产,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","300,000,000.00","300,000,000.00","330,586,904.00","330,586,904.00","330,586,904.00","330,586,904.00","330,586,904.00","330,586,904.00","330,586,904.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"87,259,539.26","87,259,539.26","87,259,539.26","87,259,539.26","87,259,539.26","422,235,848.23","422,235,848.23","422,235,848.23","422,235,848.23","422,235,848.23","222,235,848.23","222,235,848.23","591,097,011.60","591,097,011.60","591,097,011.60","591,097,011.60","627,343,326.66","591,097,011.60","591,097,011.60"
无形资产,"4,043,986.48","6,115,457.38","4,677,094.90","3,846,463.07","3,490,114.05","3,104,129.41","2,962,145.36","2,709,765.63","2,555,680.82","2,477,036.20","2,430,200.19","2,292,893.58","2,445,575.99","2,340,050.40","39,423,387.93","35,285,466.11","31,329,653.52","28,445,190.69","27,552,667.79"
盈余公积,"12,686,885.71","20,363,105.52","29,386,030.91","29,386,030.91","38,452,912.52","38,452,912.52","38,452,912.52","38,452,912.52","45,971,339.01","45,952,171.73","45,971,339.01","45,971,339.01","52,052,928.74","52,007,349.32","52,052,928.74","52,052,928.74","55,382,941.46","55,382,941.46","55,382,941.46"
开发支出,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,"142,032,674.64","142,032,674.64","142,032,674.64","142,032,674.64","142,032,674.64"
未分配利润,"110,200,618.47","175,877,918.34","257,835,302.98","297,919,622.00","336,142,116.14","347,716,331.21","371,290,018.14","367,742,910.55","381,002,476.85","390,106,071.52","388,131,362.99","409,322,985.29","421,716,658.71","433,581,955.91","442,550,999.83","472,215,262.35","468,343,245.77","477,829,875.52","485,077,589.12"
