科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"324,332,318.19","348,053,215.13","392,574,839.51","210,203,638.18",,"437,902,048.64","74,838,116.15","229,009,845.18","342,677,051.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"1,925,606.22","1,953,515.66","1,019,887.67","436,739.38",,"750,436.76","445,236.90","2,399,438.99","4,513,291.99"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"3,340,555.47","3,259,468.62","4,830,358.19","1,848,613.51",,"5,484,959.27","1,023,137.73","2,085,890.52","4,116,760.21"
投资活动现金流出小计,"22,852,491.76","14,544,884.36","46,248,590.56","14,954,359.21",,"64,055,120.72","6,239,300.00","196,735,147.22","322,557,116.32"
经营活动现金流入小计,"329,598,479.88","353,266,199.41","398,425,085.37","212,488,991.07",,"444,137,444.67","76,306,490.78","233,495,174.69","351,307,103.22"
投资活动产生的现金流量净额,"-21,620,255.47","-14,369,119.72","-30,432,765.49","-4,719,635.19","-30,325,500.00","-21,470,260.61","-6,120,300.00","-156,294,318.47","-182,607,297.39"
购买商品、接受劳务支付的现金,"250,536,871.21","269,404,646.45","268,348,620.25","137,720,229.40",,"296,444,874.92","68,755,737.89","194,157,819.05","279,314,360.39"
吸收投资收到的现金,,,,,,,"241,350,000.00","241,350,000.00","241,350,000.00"
支付给职工以及为职工支付的现金,"26,151,048.69","30,453,700.65","35,700,639.28","23,599,628.96",,"45,018,958.77","14,989,356.67","28,264,381.96","40,764,065.52"
取得借款收到的现金,"50,564,346.20","46,880,000.00","51,207,841.92","72,767,584.38",,"127,160,064.38","18,677,850.84","27,277,850.84","45,719,220.92"
支付的各项税费,"9,352,250.18","14,423,757.90","16,408,004.76","11,312,945.95",,"21,604,731.35","9,639,205.39","13,469,601.57","15,178,949.86"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"21,345,641.29","19,698,079.46","29,593,437.59","16,987,151.30",,"32,964,732.33","10,333,736.78","20,140,492.87","32,299,105.10"
筹资活动现金流入小计,"50,564,346.20","46,880,000.00","51,207,841.92","72,767,584.38",,"127,160,064.38","260,027,850.84","268,627,850.84","287,069,220.92"
经营活动现金流出小计,"307,385,811.37","333,980,184.46","350,050,701.88","189,619,955.61",,"396,033,297.37","103,718,036.73","256,032,295.45","367,556,480.87"
偿还债务支付的现金,"45,217,814.20","38,799,907.00","45,587,841.92","61,267,584.38",,"106,267,584.38","51,401,920.00","78,208,400.00","89,208,400.00"
经营活动产生的现金流量净额,"22,212,668.51","19,286,014.95","48,374,383.49","22,869,035.46","41,351,300.00","48,104,147.30","-27,411,545.95","-22,537,120.76","-16,249,377.65"
分配股利、利润或偿还利息支付的现金,"1,580,690.54","2,590,817.24","2,195,760.20","1,140,539.16",,"2,547,039.18","637,526.62","17,277,792.03","17,403,581.07"
收回投资收到的现金,,,"15,000,000.00","10,000,000.00",,"41,500,000.00",,"40,000,000.00","139,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"5,760,000.00","9,310,918.00","9,310,918.00"
取得投资收益收到的现金,,,"285,404.11","23,898.78",,"126,331.31",,"141,582.14","654,765.66"
筹资活动现金流出小计,"46,798,504.74","41,390,724.24","47,783,602.12","62,408,123.54",,"108,814,623.56","57,799,446.62","104,797,110.03","115,922,899.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,232,236.29","175,764.64","530,420.96","210,825.24",,"958,528.80","119,000.00","299,246.61","295,053.27"
筹资活动产生的现金流量净额,"3,765,841.46","5,489,275.76","3,424,239.80","10,359,460.84","12,113,300.00","18,345,440.82","202,228,404.22","163,830,740.81","171,146,321.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-809,185.86","139,176.72","1,776,974.03","1,013,541.26",,"3,356,629.82","-243,919.85","-1,029,009.62","-1,926,858.27"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"1,232,236.29","175,764.64","15,815,825.07","10,234,724.02",,"42,584,860.11","119,000.00","40,440,828.75","139,949,818.93"
五、现金及现金等价物净增加额,"3,549,068.64","10,545,347.71","23,142,831.83","29,522,402.37","24,255,700.00","48,335,957.33","168,452,638.42","-16,029,708.04","-29,637,211.46"
购建固定资产、无形资产和其他长期资产支付的现金,"22,852,491.76","14,544,884.36","21,248,590.56","14,954,359.21",,"32,555,120.72","6,239,300.00","87,735,147.22","123,557,116.32"
期初现金及现金等价物余额,"7,141,615.41","10,690,684.05","21,236,031.76","44,378,863.59",,"44,378,863.59","92,714,820.92","92,714,820.92","92,714,820.92"
投资支付的现金,,,"25,000,000.00",,,"31,500,000.00",,"109,000,000.00","199,000,000.00"
期末现金及现金等价物余额,"10,690,684.05","21,236,031.76","44,378,863.59","73,901,265.96",,"92,714,820.92","261,167,459.34","76,685,112.88","63,077,609.46"
