科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"371,665,835.63","361,536,802.19","355,192,875.72","71,759,812.97","186,599,617.57","277,451,804.85","448,888,149.94","127,845,115.89","337,527,041.98","479,156,785.30","685,259,835.19","122,971,880.42","316,820,610.18","482,081,849.75","677,939,265.68","130,181,690.46","323,365,517.81","498,533,604.39","752,113,381.19","137,960,189.29","291,664,625.03","417,163,361.01","794,666,047.74","265,852,320.26","371,045,464.22","521,140,064.69","819,196,286.65","318,145,073.81","432,868,878.14","760,081,035.09","1,077,163,340.16","269,215,984.33","495,155,323.51","812,390,638.67","1,198,023,116.85","216,898,201.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"188,178,133.79","29,731,419.32",,,,,,,,,,,,
收到的税费返还,"18,484.02","48,575.00",,,,,,,,,,"1,554,124.80","1,554,124.80","1,554,124.80",,"4,415,090.45","6,523,876.03","6,523,876.03","9,591,653.85","1,360,249.77","7,513,626.88","11,042,854.36","14,800,494.27","750,713.28","5,884,980.98","6,941,619.55","12,208,559.14","1,202,692.44","2,994,805.74","3,943,446.21","5,039,926.01","2,555,500.58","4,730,554.30","5,498,444.24","7,238,501.40","683,302.82"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"10,904,034.31",,,,,,,,,,,"1,800,000.00",,,,,"138,230,679.98",
收到其他与经营活动有关的现金,"662,800.00","798,938.00","1,665,154.72","631,829.00","1,068,229.22","1,072,182.00","3,880,485.62","182,284.00","2,182,284.00","2,332,104.00","3,833,071.86","933,162.00","1,046,012.00","1,774,112.00","8,224,306.46","11,425,590.00","12,302,590.00","21,152,958.78","11,865,375.10","2,701,154.46","5,856,022.66","9,166,851.83","27,430,275.32","3,285,793.81","269,901,561.54","432,114,008.60","20,855,338.14","143,926,682.23","258,010,977.86","557,921,167.59","20,544,621.15","56,815,351.79","226,151,247.48","722,743,452.20","20,453,246.97","249,107,185.68"
投资活动现金流出小计,"41,400,439.02","28,492,153.17","40,583,568.78","7,959,420.10","35,810,105.78","74,670,645.78","129,210,698.62","22,828,271.52","98,400,242.98","135,516,509.80","206,978,533.18","19,647,867.00","32,659,930.29","51,936,738.46","124,378,799.55","55,289,892.42","97,492,087.11","149,130,217.00","234,143,086.63","28,996,963.98","64,461,078.58","84,270,292.04","337,767,103.23","51,769,661.93","80,543,410.17","93,043,606.44","114,737,628.50","11,034,708.55","17,660,845.07","39,015,693.32","93,318,970.74","12,253,763.82","47,999,853.39","71,700,708.19","254,857,958.51","57,878,803.04"
经营活动现金流入小计,"372,347,119.65","362,384,315.19","356,858,030.44","72,391,641.97","187,667,846.79","278,523,986.85","452,768,635.56","128,027,399.89","339,709,325.98","481,488,889.30","689,092,907.05","125,459,167.22","319,420,746.98","485,410,086.55","686,163,572.14","146,022,370.91","342,191,983.84","526,210,439.20","773,570,410.14","142,021,593.52","305,034,274.57","437,373,067.20","836,896,817.33","269,888,827.35","646,832,006.74","960,195,692.84","852,260,183.93","463,274,448.48","693,874,661.74","1,321,945,648.89","1,102,747,887.32","328,586,836.70","726,037,125.29","1,540,632,535.11","1,225,714,865.22","466,688,690.36"
投资活动产生的现金流量净额,"-39,149,486.97","-27,498,088.17","-40,389,356.52","-7,802,120.10","-35,547,301.49","-74,407,841.49","-129,012,788.75","-15,575,296.77","-91,049,268.23","-128,152,035.05","-192,286,071.10","-19,479,617.30","-32,481,680.59","-51,735,488.76","-122,793,189.31","-52,362,460.24","-94,564,654.93","-146,122,784.82","-211,971,807.58","-28,986,463.98","-64,386,066.58","-79,818,577.04","-323,237,529.66","-51,704,662.93","-79,789,485.47","-59,196,353.74","-80,130,631.02","-10,943,427.50","-14,282,206.18","-34,448,771.80","-87,910,631.18","-11,703,763.82","-47,150,668.39","-70,647,485.07","-243,520,850.59","-56,235,923.04"
购买商品、接受劳务支付的现金,"308,582,432.29","251,253,561.52","232,101,910.66","58,128,395.76","177,382,766.52","263,010,013.66","411,566,093.49","128,665,732.18","269,269,942.72","387,346,060.43","525,791,931.99","72,559,458.92","226,253,493.98","350,848,454.46","479,347,890.27","85,881,786.90","235,954,368.76","354,351,437.90","499,653,316.97","70,238,221.37","168,514,887.70","249,854,059.00","536,514,029.55","203,502,820.30","311,352,974.67","502,181,297.98","759,919,089.33","312,118,293.60","471,911,067.39","841,091,287.02","1,311,899,204.90","342,597,938.88","635,415,650.09","938,911,022.24","1,336,391,664.88","388,887,061.18"
吸收投资收到的现金,"28,000,000.00",,"2,299,090.15","306,800,000.00","312,800,000.00","312,800,000.00","316,832,757.00",,"2,015,242.00","2,015,242.00","2,015,242.00","4,008,730.00","4,008,730.00","4,008,730.00","256,808,664.54",,,,,,,,"267,522,714.94",,,,"2,000,000.00","229,965,500.00","232,420,400.00","232,420,400.00","999,170,392.64",,,,,"95,000,000.00"
支付给职工以及为职工支付的现金,"22,851,232.89","30,373,085.65","33,647,431.39","12,826,405.36","24,399,698.08","37,037,439.41","52,851,711.38","20,951,107.85","41,127,722.66","60,699,137.49","85,178,567.12","24,686,991.31","46,771,718.42","72,147,612.06","99,598,736.37","29,525,349.04","55,869,813.30","81,923,211.22","113,109,821.94","31,612,581.88","60,805,450.76","89,445,427.59","124,473,941.10","40,202,543.71","71,496,373.80","105,292,052.09","143,691,979.94","43,012,745.57","73,435,212.56","106,379,969.00","142,444,370.02","40,959,877.63","74,025,944.94","110,568,980.30","153,366,716.48","44,828,453.89"
取得借款收到的现金,"83,280,000.00","167,620,000.00","196,900,000.00","43,000,000.00","43,000,000.00","73,000,000.00","105,900,000.00","77,000,000.00","114,000,000.00","194,000,000.00","305,000,000.00","50,000,000.00","157,000,000.00","310,000,000.00","383,000,000.00","70,000,000.00","150,000,000.00","325,762,066.61","420,977,520.00","50,000,000.00","111,287,936.48","214,287,936.48","306,287,936.48","75,000,000.00","360,000,000.00","732,000,000.00","872,100,000.00","183,000,000.00","448,000,000.00","865,000,000.00","1,112,000,000.00","279,500,000.00","651,390,208.00","1,113,390,208.00","1,329,390,208.00","313,567,000.00"
支付的各项税费,"17,310,712.72","18,120,703.55","32,889,264.64","7,962,711.50","14,604,403.58","18,804,423.15","25,599,488.18","7,129,827.08","18,697,846.54","25,552,446.34","27,555,843.95","8,546,249.23","16,816,673.22","23,076,016.36","28,836,100.44","8,525,707.37","20,781,118.12","27,286,452.88","32,573,716.39","10,995,828.51","22,022,541.88","28,407,733.46","35,744,448.82","14,994,422.73","35,688,938.67","49,151,633.20","60,464,737.73","34,382,142.93","62,267,846.40","73,243,051.48","82,537,706.03","18,215,858.48","38,415,090.25","57,295,145.53","82,348,709.81","22,883,494.81"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"72,260,393.34","125,000,000.00",,"115,000,000.00","115,000,000.00","145,000,000.00",,,"119,810,844.30","342,800,000.00",
支付其他与经营活动有关的现金,"10,437,168.36","13,871,933.69","14,742,458.43","5,145,071.67","12,648,974.96","19,261,961.43","28,919,411.31","20,352,946.20","16,467,161.33","25,404,987.80","32,332,242.81","5,872,702.65","13,549,552.33","20,714,469.41","30,133,360.97","8,991,775.04","17,579,445.19","24,783,198.19","40,567,443.39","10,264,033.01","23,171,326.36","36,088,658.97","42,172,485.97","12,471,326.04","294,165,640.53","534,894,978.58","173,050,311.16","229,234,014.75","310,361,714.53","663,367,596.85","89,573,894.13","95,944,792.33","310,903,125.90","985,818,641.00","178,175,726.73","230,044,517.98"
筹资活动现金流入小计,"111,280,000.00","167,620,000.00","199,199,090.15","349,800,000.00","355,800,000.00","385,800,000.00","422,732,757.00","77,000,000.00","116,015,242.00","196,015,242.00","307,015,242.00","54,008,730.00","161,008,730.00","314,008,730.00","639,808,664.54","70,000,000.00","150,000,000.00","325,762,066.61","420,977,520.00","50,000,000.00","111,287,936.48","214,287,936.48","573,810,651.42","75,000,000.00","360,000,000.00","804,260,393.34","999,100,000.00","412,965,500.00","795,420,400.00","1,212,420,400.00","2,256,170,392.64","279,500,000.00","651,390,208.00","1,233,201,052.30","1,922,190,208.00","408,567,000.00"
经营活动现金流出小计,"359,181,546.26","313,619,284.41","313,381,065.12","84,062,584.29","229,035,843.14","338,113,837.65","518,936,704.36","177,099,613.31","345,562,673.25","499,002,632.06","670,858,585.87","111,665,402.11","303,391,437.95","466,786,552.29","637,916,088.05","132,924,618.35","330,184,745.37","488,344,300.19","685,904,298.69","123,110,664.77","274,514,206.70","403,795,879.02","738,904,905.44","271,171,112.78","712,703,927.67","1,191,519,961.85","1,137,126,118.16","618,747,196.85","917,975,840.88","1,684,081,904.35","1,626,455,175.08","497,718,467.32","1,058,759,811.18","2,092,593,789.07","1,750,282,817.90","686,643,527.86"
偿还债务支付的现金,"66,080,000.00","139,120,000.00","212,190,000.00","30,900,000.00","96,900,000.00","96,900,000.00","101,900,000.00","12,000,000.00","12,000,000.00","42,000,000.00","180,800,000.00","30,100,000.00","97,100,000.00","213,100,000.00","307,100,000.00","60,000,000.00","147,000,000.00","272,000,000.00","385,977,520.00","60,000,000.00","112,000,000.00","228,287,936.48","341,787,936.48","43,000,000.00","228,000,000.00","391,068,250.00","523,000,000.00","131,100,000.00","353,100,000.00","632,100,000.00","892,100,000.00","153,000,000.00","428,000,000.00","798,000,000.00","1,060,580,000.00","370,679,389.04"
经营活动产生的现金流量净额,"13,165,573.39","48,765,030.78","43,476,965.32","-11,670,942.32","-41,367,996.35","-59,589,850.80","-66,168,068.80","-49,072,213.42","-5,853,347.27","-17,513,742.76","18,234,321.18","13,793,765.11","16,029,309.03","18,623,534.26","48,247,484.09","13,097,752.56","12,007,238.47","37,866,139.01","87,666,111.45","18,910,928.75","30,520,067.87","33,577,188.18","97,991,911.89","-1,282,285.43","-65,871,920.93","-231,324,269.01","-284,865,934.23","-155,472,748.37","-224,101,179.14","-362,136,255.46","-523,707,287.76","-169,131,630.62","-332,722,685.89","-551,961,253.96","-524,567,952.68","-219,954,837.50"
分配股利、利润或偿还利息支付的现金,"4,712,782.26","8,404,966.61","7,196,169.72","1,391,306.96","1,820,142.06","1,635,177.61","9,400,405.49","3,227,223.11","10,909,444.25","14,257,428.21","22,601,180.67","10,273,415.94","17,647,092.08","21,898,184.02","26,698,750.84","4,093,269.83","38,281,318.19","45,125,876.86","50,474,928.12","5,172,733.32","18,884,950.98","23,576,733.29","32,206,600.00","6,784,363.80","15,582,805.29","24,878,779.64","37,549,638.56","12,626,791.19","35,666,320.12","48,181,068.77","63,874,213.08","13,882,858.30","56,653,501.56","75,341,341.72","87,586,594.70","16,894,224.53"
收回投资收到的现金,,,,,,,,,,,,,,,,"2,737,495.00","2,737,495.00","2,737,495.00","2,737,495.00",,,,,,,"24,500,000.00","24,500,000.00",,"3,217,357.84","3,217,357.84","2,989,647.76",,,,,"1,500,000.00"
支付其他与筹资活动有关的现金,"12,000,000.00",,,"3,659,093.62","7,181,186.57","7,181,186.57",,,,,,,,,,,,,,,,,,,"5,000.00","5,000.00","84,611,067.49","4,172,811.11","14,838,414.28","36,872,931.37","71,072,513.27","12,201,214.49","37,532,990.11","50,644,561.53","121,808,693.56","12,468,507.08"
取得投资收益收到的现金,"80,784.00","83,265.00","104,035.98","38,500.00","144,004.29","144,004.29","144,004.29","136,874.75","175,374.75","175,374.75","274,374.75","164,249.70","164,249.70","164,249.70","164,249.70","177,937.18","177,937.18","177,937.18","177,937.18",,,,"127,053.44",,"1,500,000.00","1,500,000.00","1,530,668.77",,,,"266,210.08",,,,"2,000,000.00",
筹资活动现金流出小计,"82,792,782.26","147,524,966.61","219,386,169.72","35,950,400.58","105,901,328.63","105,716,364.18","111,300,405.49","15,227,223.11","22,909,444.25","56,257,428.21","203,401,180.67","40,373,415.94","114,747,092.08","234,998,184.02","333,798,750.84","64,093,269.83","185,281,318.19","317,125,876.86","436,452,448.12","65,172,733.32","130,884,950.98","251,864,669.77","373,994,536.48","49,784,363.80","243,587,805.29","415,952,029.64","645,160,706.05","147,899,602.30","403,604,734.40","717,154,000.14","1,027,046,726.35","179,084,072.79","522,186,491.67","923,985,903.25","1,269,975,288.26","400,042,120.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,170,168.05","910,800.00","90,176.28","118,800.00","118,800.00","118,800.00","53,905.58","7,116,100.00","7,175,600.00","7,189,100.00","14,418,087.33","4,000.00","14,000.00","37,000.00","1,421,360.54","12,000.00","12,000.00","92,000.00","1,925,846.87","10,500.00","75,012.00","331,715.00","282,520.13","64,999.00","172,442.00","305,770.00","91,783.26","91,281.05","161,281.05","241,143.55","1,240,139.97","550,000.00","849,185.00","1,053,223.12","1,604,147.92","142,880.00"
筹资活动产生的现金流量净额,"28,487,217.74","20,095,033.39","-20,187,079.57","313,849,599.42","249,898,671.37","280,083,635.82","311,432,351.51","61,772,776.89","93,105,797.75","139,757,813.79","103,614,061.33","13,635,314.06","46,261,637.92","79,010,545.98","306,009,913.70","5,906,730.17","-35,281,318.19","8,636,189.75","-15,474,928.12","-15,172,733.32","-19,597,014.50","-37,576,733.29","199,816,114.94","25,215,636.20","116,412,194.71","388,308,363.70","353,939,293.95","265,065,897.70","391,815,665.60","495,266,399.86","1,229,123,666.29","100,415,927.21","129,203,716.33","309,215,149.05","652,214,919.74","8,524,879.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"-918,517.30","4,081,482.70","4,081,482.70",,,,"912,341.75",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,"-1,175,322.05",,,,"-1,035,797.35",,"-22,658.13","-22,658.13","-2,667,259.68","-17,100.26","484,097.37","404,848.04","521,583.14","-917,066.57","-534,793.54","-263,154.77","3,463,426.72","67,041.21","234,300.93","258,894.69","2,545,442.60","-168,581.65","-188,429.73","-343,195.05","-1,499,724.43","-327,612.38"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"17,330,000.00",,,"4,120,000.00","14,120,000.00",,,"3,460,000.00","4,403,062.75",,,"1,108,420.13",,,,,"7,732,960.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,250,952.05","994,065.00","194,212.26","157,300.00","262,804.29","262,804.29","197,909.87","7,252,974.75","7,350,974.75","7,364,474.75","14,692,462.08","168,249.70","178,249.70","201,249.70","1,585,610.24","2,927,432.18","2,927,432.18","3,007,432.18","22,171,279.05","10,500.00","75,012.00","4,451,715.00","14,529,573.57","64,999.00","753,924.70","33,847,252.70","34,606,997.48","91,281.05","3,378,638.89","4,566,921.52","5,408,339.56","550,000.00","849,185.00","1,053,223.12","11,337,107.92","1,642,880.00"
五、现金及现金等价物净增加额,"2,503,304.16","41,361,976.00","-17,099,470.77","294,376,537.00","172,983,373.53","146,085,943.53","116,251,493.96","-2,874,733.30","-3,796,817.75","-5,907,964.02","-71,613,010.64","7,949,461.87","29,809,266.36","45,898,591.48","230,428,411.13","-33,357,977.51","-117,861,392.78","-99,643,114.19","-142,447,883.93","-25,265,368.81","-52,978,915.84","-83,413,274.11","-24,907,919.69","-28,688,378.73","-29,784,005.23","97,524,586.18","-7,593,844.58","98,716,763.04","153,666,581.21","98,940,267.29","620,051,189.95","-80,588,048.88","-250,858,067.68","-313,736,785.03","-117,373,607.96","-267,993,493.57"
购建固定资产、无形资产和其他长期资产支付的现金,"38,010,439.02","28,492,153.17","40,583,568.78","7,959,420.10","35,810,105.78","74,670,645.78","129,210,698.62","22,828,271.52","88,400,242.98","117,956,509.80","189,418,533.18","19,647,867.00","32,659,930.29","51,936,738.46","124,378,799.55","55,289,892.42","97,492,087.11","149,130,217.00","223,239,052.32","28,996,963.98","64,461,078.58","84,270,292.04","148,088,969.44","22,038,242.61","26,411,990.85","38,912,187.12","57,616,561.42","11,034,708.55","12,660,845.07","32,215,693.32","84,318,970.74","10,353,763.82","46,099,853.39","69,040,708.19","113,967,278.53","57,178,803.04"
