科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"779,473,756.76","868,558,994.83","1,029,754,874.94","246,838,569.33","402,815,804.65","655,364,912.93","1,005,993,975.54","261,102,817.55","501,784,297.87","801,491,106.31","1,322,861,579.09","530,898,671.07","795,854,866.66","1,303,848,396.97","1,805,391,580.94","540,486,868.17"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"7,024,974.40",,"730,000.00","730,000.00","540,855,353.00",,,"205,785.30","60,205,785.30",,,,,,
收到其他与经营活动有关的现金,"13,922,338.17","14,875,423.10","12,814,528.68","2,629,261.26","4,337,963.56","10,791,003.90","16,488,831.31","5,185,113.60","19,119,614.08","17,481,888.85","14,540,873.13","13,444,709.74","66,703,126.64","86,863,618.85","84,806,907.73","17,473,609.29"
投资活动现金流出小计,"198,390,217.67","170,033,870.92","283,776,786.18","86,907,415.94","567,231,067.39","924,548,717.65","1,415,203,506.18","288,013,572.57","617,532,265.52","1,004,508,772.20","1,178,598,236.62","185,521,005.48","291,396,139.74","355,476,190.37","502,232,673.60","71,743,615.38"
经营活动现金流入小计,"793,396,094.93","883,434,417.93","1,042,569,403.62","249,467,830.59","407,496,576.01","666,155,916.83","1,022,482,806.85","266,287,931.15","521,286,346.20","818,972,995.16","1,337,402,452.22","544,343,380.81","862,557,993.30","1,390,712,015.82","1,890,198,488.67","557,960,477.46"
投资活动产生的现金流量净额,"-175,642,409.99","-166,343,639.47","-260,029,855.27","-86,670,547.99","-466,302,226.67","-452,365,257.33","-765,331,718.04","-151,925,993.54","-472,816,298.66","-841,394,569.14","-1,086,239,508.70","-185,511,506.62","-223,708,746.03","-166,158,737.17","-287,069,536.07","-24,145,345.30"
购买商品、接受劳务支付的现金,"346,928,497.33","428,494,468.39","528,620,819.25","111,880,670.87","213,941,477.54","358,041,077.16","453,878,584.53","119,858,515.33","315,542,704.15","452,528,137.36","693,990,900.06","269,917,045.84","506,801,402.19","789,802,739.49","1,042,223,203.84","226,726,013.44"
吸收投资收到的现金,,,,,"589,905,000.00","589,905,000.00","589,905,000.00",,"24,302,000.00","65,890,734.81","64,829,083.86",,"29,000,000.00","29,000,000.00",,
