科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"53,031,471.40","90,774,963.51","107,314,248.55","160,042,390.57","24,819,881.23","69,599,158.52","70,624,853.88","70,629,853.88","10,000.00","10,000.00","10,000.00",,,,,"9,714,582.00","1,430,768.00","2,700,977.00","4,861,876.00","41,226,983.00","1,376,233.00","15,754,409.00","28,451,324.00","48,489,286.00","8,553,376.00","14,358,665.00","21,500,900.00","22,494,467.00","2,966,948.00","11,050,452.00","15,508,574.00","34,325,016.30","11,845,577.49","33,429,578.05","48,921,817.47","104,716,075.94","3,010,737.00","10,202,356.81","23,011,915.51","46,243,032.78",,"14,555,362.87","46,028,860.42","46,147,810.94"
二、营业利润,"-7,449,108.58","23,369,720.06","14,793,438.37","3,619,657.91","-7,588,329.66","-21,101,405.86","-28,963,435.10","-54,046,999.61","-6,932,237.06","-16,278,607.14","-21,813,391.53","1,202,029.22","-440,444.05","-1,389,351.99","-2,123,177.28","32,215,041.31","-1,362,323.10","-3,634,176.25","-5,290,666.55","8,835,357.86","-3,606,639.88","1,623,868.48","6,000,035.77","7,680,324.60","2,404,286.84","2,185,788.26","3,210,311.03","4,239,755.22","541,195.48","1,649,922.65","-1,262,981.98","-22,094,789.37","909,112.70","-419,984.66","1,642,121.01","14,114,006.37","-892,731.08","-1,046,077.55","1,367,877.01","2,995,225.82","-1,975,284.00","-4,271,096.83","-7,398,264.72","-7,228,054.55"
减:营业成本,"52,824,809.25","91,391,861.12","109,752,999.62","160,173,123.76","23,461,602.72","74,530,155.14","75,919,555.09","75,919,555.09",,,,,,,,"5,462,594.70","828,299.61","1,574,137.94","2,855,870.81","24,453,048.56","803,692.32","7,049,245.06","12,956,833.70","27,514,706.55","3,828,716.53","7,261,585.94","11,660,150.07","13,636,513.09","1,490,696.21","4,942,388.17","7,502,921.66","36,764,963.48","7,423,374.00","23,790,480.06","34,208,407.95","82,161,301.23","1,895,193.78","7,595,378.63","15,953,231.69","35,733,458.43","2,015,788.12","12,969,608.90","44,926,753.75","42,279,071.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,350,195.19","4,016,665.88","4,701,030.04","7,173,708.45","1,037,274.15","3,162,799.49","3,232,016.64","3,232,016.64",,,,,,,,"1,234,596.99","90,138.38","785,229.00","1,270,291.72","3,276,950.98","155,844.85","614,537.07","1,352,816.61","2,626,535.55","339,672.83","947,618.10","1,164,723.27","1,393,947.68","235,621.96","927,779.16","1,542,391.54","3,002,656.62","834,459.44","2,354,632.89","3,460,734.55","4,022,200.73","566,450.84","1,048,293.81","1,324,651.94","1,762,501.48","57,912.94","521,758.28","602,102.10","792,387.25"
营业外收入,"2,868.67","6,525,557.57","6,525,557.57","6,530,165.96","1,300.00","5,102,830.00","6,343,349.85","6,343,349.85",,,"2,684,624.60","5,441,931.77",,680.00,680.00,680.00,,60.00,60.00,"1,160.00",,,,,,,,,,,,300.20,"5,000.00","5,000.00","6,247.76","202,932.25",,,147.00,147.00,,,,260.00
销售费用,"547,476.40","627,882.61","683,615.11","776,402.43","108,764.12","172,446.60","198,232.63","200,255.86",,,,,,,,"707,392.81","184,267.48","330,422.45","471,537.72","629,111.90","159,445.62","304,629.40","464,287.52","675,259.48","215,081.37","468,577.88","745,909.44","958,398.32","353,406.82","561,722.18","739,410.52","1,014,831.59","327,349.60","716,715.65","1,365,537.93","1,479,821.73","283,542.19","708,064.67","988,172.11","1,052,407.63","295,631.97","591,794.29","804,163.11","948,525.39"
减:营业外支出,24.34,"4,988.15","5,032.22","8,557.44","26,082.37","75,954.11","877,428.52","879,130.52","108,912.70","108,927.69","108,940.96","110,461.07",,,95.91,"21,691,030.50",,"17,700.00","17,700.00","317,719.86",,,"811,045.00","829,045.00",,"33,239.42","51,850.30","51,850.30",,"27,000.00","31,393.86","31,393.86",,385.50,385.50,"107,516.84","600,000.00","600,000.00","600,000.00","600,000.00",,,"3,681.27","8,632.63"
管理费用,"1,506,987.47","3,608,167.42","7,828,766.62","14,407,466.94","4,425,341.97","7,257,929.30","12,691,894.77","29,247,331.54","3,887,220.72","9,217,707.59","14,202,755.98","16,462,803.44","798,212.19","1,952,099.88","2,720,605.64","7,330,974.01","573,985.11","1,431,962.12","1,988,031.36","3,071,852.95","527,941.32","1,114,121.85","2,121,598.21","3,387,834.79","537,255.50","1,536,883.64","2,683,073.04","3,200,511.93","681,778.14","2,258,488.04","6,160,170.25","10,245,444.84","1,511,962.23","4,804,541.32","5,127,323.99","7,081,328.36","1,155,016.95","1,897,838.41","3,507,281.44","4,858,423.01","1,425,599.95","3,213,231.79","4,789,509.58","6,388,352.56"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
