科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"14,117,321.41","23,430,455.52","51,503,866.58","89,010,613.51","19,824,711.65","27,223,889.01","30,210,094.91","70,212,638.14","53,443,416.00","110,687,616.50","278,803,894.31","485,881,681.61","290,644,116.61","926,008,698.01","1,830,312,185.46","2,334,305,593.63","232,984,538.73","724,573,438.60","943,156,038.87","1,438,484,085.67","145,467,975.16","347,577,761.43","197,098,282.95","518,241,591.50","13,759,405.07","19,223,083.37","68,049,555.07","220,809,067.24","15,840,196.52","5,377,958.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"340,169,197.34",,"-13,427,271.02","-13,427,271.02",,,,"100,000.00",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,"4,231,067.86",,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,"8,484.94","8,484.94","23,291.23","66,243,649.37",,,,,"4,253,750.43","8,257,861.21","8,257,861.21",,,,,,,"87,580.87"
收到其他与经营活动有关的现金,"22,088,460.13","155,271,198.34","184,472,768.32","188,991,110.19","63,484,613.57","95,158,809.81","133,235,922.25","158,125,582.83","54,206,009.32","60,887,283.06","70,626,234.50","109,864,207.22","363,530,229.59","323,258,412.40","403,430,327.89","1,047,190,760.76","262,873,199.66","630,703,498.40","707,040,675.23","1,317,262,703.19","88,764,848.10","110,314,889.77","253,727,030.98","933,149,550.65","63,286,722.35","81,630,671.81","147,746,671.68","147,178,102.17","39,638,872.90","16,808,934.05"
投资活动现金流出小计,,"253,700.00","18,168,470.17","18,244,470.17","16,700.00","16,700.00","83,386.00","140,562.00","3,880.00","19,680.00","2,655,837.26","749,919,664.58","322,155,483.70","275,010,099.97","285,840,577.95","452,309,673.14","7,049,635.89","81,545,606.56","144,815,792.46","373,005,739.02","8,974,443.44","-49,550,482.97","-48,877,096.76","13,884,809.91","1,852,497.32","1,524,839.24","1,625,279.24","613,035.52","1,402,100.00","87,580.87"
经营活动现金流入小计,"36,205,781.54","178,701,653.86","235,976,634.90","278,001,723.70","83,309,325.22","122,382,698.82","163,446,017.16","228,338,220.97","107,649,425.32","171,574,899.56","349,430,128.81","595,745,888.83","654,174,346.20","1,249,267,110.41","2,233,742,513.35","3,381,496,354.39","495,857,738.39","1,355,276,937.00","1,650,196,714.10","2,759,977,856.72","234,232,823.26","457,892,651.20","450,825,313.93","1,451,391,142.15","77,046,127.42","100,853,755.18","215,796,226.75","367,987,169.41","55,479,069.42","22,186,892.11"
投资活动产生的现金流量净额,,"361,051,650.73","343,136,880.56","337,466,003.16","-16,700.00","-16,700.00","-12,086,308.66","75,682,699.91","217,351.99","201,551.99","-2,434,605.27","-749,698,432.59","-322,098,483.70","-274,953,099.97","-280,309,437.63","-443,374,553.03","-7,049,635.89","-81,535,606.56","-144,805,792.46","-330,947,066.04","-8,974,443.44","63,550,482.97","62,877,096.76","315,657,328.88","-1,852,497.32","-1,524,839.24","-1,625,279.24","5,482,018.63","3,475,759.00","167,568,779.13"
购买商品、接受劳务支付的现金,"2,051,380.98","65,673,834.18","69,611,749.03","47,710,480.00","20,772,304.14","28,233,554.92","68,685,848.32","139,228,508.82","87,727,813.23","111,330,884.21","261,990,392.33","410,205,262.32","298,261,385.11","840,044,683.48","2,262,053,451.91","2,588,741,548.42","414,772,064.17","1,048,775,856.84","1,255,142,170.16","2,247,094,645.61","225,332,986.29","436,508,143.90","261,509,649.62","639,009,351.81","13,395,480.78","13,674,855.19","113,460,782.20","228,908,604.77","761,488.96","8,241,783.80"
吸收投资收到的现金,,,,,,,,,,,,"2,122,820,000.00","3,000,000.00","3,000,000.00",,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"1,269,455.74","3,378,434.00","4,566,811.38","5,888,653.00","1,518,045.50","2,872,079.15","4,214,045.14","5,197,497.41","720,849.03","2,998,975.63","4,804,350.82","7,178,599.11","2,570,560.09","5,544,591.85","9,098,507.53","13,567,493.59","3,780,067.47","7,848,843.55","11,950,561.33","15,506,229.35","4,631,193.85","7,431,704.74","13,972,512.89","16,651,673.77","9,033,056.79","11,536,131.60","15,477,330.86","19,708,425.59","5,029,655.23","7,545,995.37"
取得借款收到的现金,,,"28,000,000.00","45,000,000.00",,,,"45,000,000.00",,,,,"170,000,000.00","200,000,000.00","275,000,000.00","292,000,000.00","10,000,000.00","110,000,000.00","110,000,000.00","160,000,000.00","23,000,000.00","23,000,000.00","3,000,000.00","52,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,
支付的各项税费,"1,693,797.33","26,574,183.14","66,651,292.00","40,525,491.65","1,732,452.75","2,575,342.15","3,487,263.22","5,694,326.68","1,217,906.22","1,841,752.91","3,332,725.12","5,251,021.37","2,494,910.47","7,189,178.39","10,870,683.51","14,862,187.05","2,202,167.30","5,039,503.76","11,701,316.24","12,265,180.00","1,695,861.00","4,210,002.51","5,450,709.57","5,715,810.04","1,203,605.17","1,829,669.99","2,002,765.13","2,366,503.82","433,225.26","474,807.33"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","3,000,000.00",,,,,,
