科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"2,277,356.03","3,205,579.45","27,827,940.79","22,262,149.97","941,056,844.97","888,960,141.57","868,815,142.10","942,315,072.09","848,825,880.32","702,801,140.92","620,288,517.41","599,660,109.71","490,923,094.16","442,381,414.09","420,960,907.26","412,651,974.23","376,636,975.76","329,166,333.06","301,227,420.54","310,926,529.52","186,179,305.99","165,842,111.21","154,623,376.72","161,228,807.42","44,678,788.19","47,113,378.27","62,668,740.00","506,390,729.45","190,910,378.60","258,706,111.30","350,965,901.49","442,907,603.17","345,240,184.15","227,372,601.82","227,717,666.15","329,731,762.65","215,190,015.95","228,738,094.55","271,467,187.04","137,369,391.35","120,014,775.93"
短期借款,"3,000,000.00","13,000,000.00","17,000,000.00","25,000,000.00",,,,,,,,"60,000,000.00","60,000,000.00","80,000,000.00","49,000,000.00","29,000,000.00","41,000,000.00","81,500,000.00","82,000,000.00","89,000,000.00","87,000,000.00","59,000,000.00","45,380,000.00","110,880,000.00","103,880,000.00","66,380,000.00","119,330,000.00","159,370,000.00","187,370,000.00","242,706,000.00","250,580,000.00","293,880,000.00","309,400,000.00","260,200,000.00","350,420,000.00","475,002,000.00","432,372,000.00","467,402,000.00","511,822,000.00","439,437,385.46","357,260,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,"39,147,322.22","34,343,111.30","22,001,129.36",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"310,000.00",,"5,085,000.00","14,208,495.00","14,140,972.00","20,959,868.03","11,576,950.00","16,356,560.00","11,570,266.63","21,065,669.60","23,731,988.76","33,847,450.00","22,865,130.00","30,490,612.16","19,451,229.51","6,472,500.00","18,205,242.03","14,780,238.60","34,869,214.82","57,031,867.40","32,765,579.26","35,710,372.05","47,433,988.98","45,961,543.68","42,169,227.90","24,146,319.78","16,741,975.79","34,877,404.92","37,344,877.31","46,073,086.51","11,208,133.31","31,258,177.29","43,077,586.99","18,437,927.52","50,183,120.93","50,919,608.24","35,105,531.75","31,132,838.05","21,217,497.50","75,639,662.99","96,153,544.64"
应付票据,,,,,,,,,,,,"15,372,446.96",,"7,126,310.00","14,150,995.00","3,574,685.00","14,580,243.00","13,080,243.00",,,"9,860,000.00","11,306,000.00","9,366,700.00","6,850,700.00","6,908,000.00","7,271,000.00","14,909,500.00","14,834,970.00","21,283,303.67","30,132,303.67","80,615,900.00","113,425,898.70","107,364,998.70","64,680,640.00","11,946,408.00","73,394,589.51","72,883,498.61","31,662,139.30",,"122,926,694.06",
应收账款,"54,696,538.89","112,165,582.50","153,909,528.87","164,955,869.69","189,589,499.20","192,204,605.68","202,852,189.18","230,244,485.40","258,233,374.50","316,200,810.50","371,911,548.12","390,159,476.58","398,511,888.48","471,212,771.01","494,758,395.83","556,414,105.08","580,929,008.30","626,827,686.82","633,589,830.64","624,463,895.93","684,198,984.51","667,641,770.16","666,830,130.19","725,489,103.81","726,826,282.76","760,869,241.55","756,786,638.17","870,272,076.21","880,508,275.82","883,920,865.14","998,328,388.55","976,566,291.73","936,050,533.81","1,001,055,110.20","880,469,621.18","1,084,727,901.77","1,087,774,986.93","1,149,745,136.69","1,090,189,945.01","915,133,610.35","906,355,936.64"
应付账款,"30,127,034.90","56,199,622.38","65,515,482.02","66,386,742.43","75,163,173.88","83,595,800.33","68,926,281.46","69,343,462.89","84,172,829.91","100,273,732.04","120,395,204.95","98,442,604.10","66,210,859.50","65,609,829.00","74,825,877.76","104,666,412.78","89,305,794.46","96,920,683.60","111,047,122.99","110,344,806.91","100,372,572.14","111,766,871.72","106,286,186.54","162,669,612.92","121,398,022.89","166,215,869.10","208,706,624.45","312,477,996.88","299,148,989.73","437,619,808.46","464,324,126.67","467,689,262.59","330,547,394.82","447,600,146.50","403,326,574.71","553,663,064.48","463,318,752.60","550,769,204.85",,"414,622,560.38",
预付款项,"375,057.66","4,850,281.17","14,727,294.71","17,616,806.96","18,955,127.52","23,847,399.79","34,538,947.33","18,988,629.62","42,751,436.91","60,343,496.90","75,221,313.39","40,093,210.94","44,350,035.87","40,689,161.23","59,827,583.72","41,419,212.55","61,546,287.43","62,718,655.31","43,415,942.04","15,835,338.48","14,699,123.73","27,115,779.98","19,800,646.14","45,375,991.46","31,102,987.49","52,195,118.82","103,287,577.41","87,338,083.94","90,585,848.21","104,465,107.60","95,286,019.52","82,853,469.30","95,384,408.53","104,659,198.58","174,978,918.24","76,781,589.41","77,831,909.63","83,212,603.44","121,775,742.66","73,970,052.15","86,990,952.02"
预收款项,"12,399,091.00","45,991,611.14","84,638,881.06","77,665,480.07","104,817,795.51","103,119,749.66","123,456,617.14","116,722,467.93","138,310,355.83","150,222,061.33","149,265,150.83","139,395,614.93","148,647,617.30","139,363,900.43","150,377,536.65","107,610,924.12","92,675,464.88","98,164,346.35","118,725,411.57","109,226,323.37","85,395,295.34","92,431,235.01","111,491,397.56","85,896,730.72","83,399,166.14","87,646,266.92","87,971,363.59","116,116,328.50","83,376,491.47","134,344,934.46","100,912,608.65","109,890,526.40","123,016,486.19","117,135,526.20","184,765,309.54","143,499,539.60","194,264,716.56","143,881,329.61","181,548,725.74","215,862,909.44","252,203,891.11"
其他应收款,"5,403,290.87","6,035,007.58","9,787,717.59","9,043,535.45","12,793,415.54","16,086,519.39","25,904,312.48","17,550,639.61","13,712,175.97","27,990,466.70","33,667,477.45","17,386,130.19","22,022,382.84","18,455,300.41","19,813,636.14","13,769,991.59","19,733,511.65","18,297,987.34","18,773,261.41","12,582,282.26","21,660,005.21","22,706,712.11","22,462,412.10","15,805,779.23","21,350,529.16","30,265,329.71","30,763,337.63","49,522,567.48","53,715,441.18","144,920,982.19","137,838,801.67","118,042,319.02","51,546,734.58","28,444,978.72","32,754,073.77","224,978,398.54","219,953,128.21","217,778,508.28","190,301,252.56","255,678,814.38","258,726,416.19"
应付职工薪酬,"1,371,880.05","2,279,698.95","1,374,168.45","3,237,725.55","1,514,624.76","1,949,248.17","2,131,713.39","4,067,722.60","2,375,964.20","3,135,646.84","4,168,315.53","6,971,346.16","4,320,208.32","4,798,366.60","5,269,233.47","7,740,735.61","5,562,990.35","5,669,649.18","6,092,071.43","6,558,956.09","7,094,181.99","6,974,990.08","7,602,144.23","8,348,456.44","8,000,224.15","7,981,983.51","8,402,422.69","11,066,822.61","9,155,058.36","9,946,287.12","10,874,546.15","16,338,204.72","11,595,784.21","11,331,279.29","13,642,195.72","27,017,667.92","24,136,183.53","15,771,317.06","14,402,998.81","15,702,445.87","12,472,674.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"524,056.93","5,180,327.42","2,771,003.81","6,687,573.06","3,039,191.69","1,060,701.30","-2,075,985.56","9,327,214.83","-4,048,538.71","-762,368.30","6,251,994.68","16,813,421.99","856,770.26","6,304,558.71","8,609,814.67","21,060,497.24","12,980,315.14","6,199,732.57","4,145,287.54","14,806,982.55","3,031,768.08","5,911,682.57","3,924,923.94","18,852,465.04","9,298,377.14","14,258,336.83","15,205,777.44","29,249,237.98","23,739,537.17","37,616,654.59","38,289,234.43","46,093,297.43","31,132,471.57","33,211,553.38","20,657,105.45","29,910,618.29","12,302,514.03","19,367,452.56","15,965,506.18","19,038,402.15","27,809,901.20"
应收利息,,,,,"5,027,112.46","10,631,559.19","15,011,250.00","20,310,000.00","18,830,430.00","22,320,000.00","26,156,250.00","29,992,500.00","2,051,688.86","4,946,358.88","5,421,844.56","8,054,273.94","985,118.32","2,370,297.84","631,774.30","1,343,286.70","1,631,490.86","2,156,255.09","2,760,395.43","119,776.86","88,890.81","489,527.29","516,560.99","21,400.00",,,,,,,,,,,,,
应付利息,,,,,,,,,,,,"118,444.45","141,513.79","303,585.13","403,396.01","525,162.68","211,746.68","382,393.34","301,810.00","284,310.02","320,393.36","451,397.51","593,405.84","140,493.91","197,210.57","106,944.45","106,944.45","184,747.14","218,221.29","253,545.43","288,445.21","734,171.46","829,573.86","826,698.17","979,319.15","1,310,930.09","1,499,839.11","1,267,655.82",,"1,935,791.33","726,263.54"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,246,804.10",,"5,760,961.52","124,548.22","16,915,754.42","1,152,193.52",,,,,,
存货,"37,915,022.17","99,404,811.74","123,682,863.97","118,371,072.55","128,048,558.77","151,602,690.40","182,137,674.20","197,342,752.29","256,108,598.17","287,666,341.96","343,648,145.84","377,444,410.38","399,132,720.94","356,106,074.08","350,576,992.45","330,302,205.74","302,878,991.51","310,625,709.87","341,915,657.00","349,125,210.57","373,706,864.79","392,548,142.91","411,719,231.73","434,642,627.72","452,668,554.11","437,867,155.06","489,961,059.75","522,903,092.61","537,082,987.71","594,378,475.53","611,689,543.92","602,754,903.92","638,584,854.34","630,229,309.36","683,981,186.76","665,052,543.24","705,970,607.28","690,866,985.67","662,580,263.03","620,088,208.27","676,479,390.76"
其他应付款,"13,765,046.20","35,110,046.96","59,629.34","581,463.34","448,681.99","577,038.73","183,777.25","491,163.82","323,568.54","483,632.50","4,834,897.02","6,737,902.90","7,784,498.20","8,762,653.19","9,108,084.15","10,310,967.31","7,104,890.70","7,609,822.27","7,578,706.75","4,030,516.67","15,651,201.04","23,669,550.55","14,404,471.32","5,727,328.89","8,372,199.10","23,804,414.82","16,714,446.35","149,300,331.88","31,284,547.25","51,601,649.43","39,504,511.45","62,492,928.60","73,444,808.39","110,958,094.28","108,921,223.45","113,391,789.82","110,155,034.19","100,321,778.69","61,380,768.02","115,344,090.80","97,294,450.08"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,680,772.00","8,430,920.00","8,430,920.00","8,430,920.00","12,236,327.00","8,902,994.00"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,460,476.52","44,315,476.52","42,460,476.52","22,460,476.52","172,460,476.52","170,723,738.96","163,616,831.13","157,601,592.92","76,812,551.15","67,448,564.49"
