科目,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"6,637,042,944.05","6,342,267,190.59","13,757,650,383.92","13,057,142,085.24","12,978,845,661.08","14,608,944,658.70","14,708,366,229.77","14,411,112,100.40","14,727,165,927.04","15,426,594,379.09","17,627,357,215.56","17,134,840,413.86","17,236,459,309.34","17,200,481,734.01","18,868,462,605.22","17,698,404,378.33","19,402,442,810.40","17,452,964,181.71","15,573,767,911.45","13,419,314,475.10","14,830,728,098.55","13,759,287,206.13","16,062,049,607.52","13,523,134,385.92","14,794,377,304.93","14,401,465,787.59","16,359,265,312.50","15,694,585,785.54","18,258,142,654.06","19,092,550,106.48","21,350,810,140.79","19,209,707,189.47","19,477,071,313.39","19,894,857,518.66"
短期借款,"1,159,773,300.00","495,000,000.00","510,880,027.05","404,583,927.05","394,099,700.00","331,136,300.00","176,095,100.00",,"58,244,400.00","88,093,725.60","85,478,009.40","185,478,009.40","158,879,493.40","108,135,000.00","230,000,000.00","30,000,000.00",,,"417,000,000.00","699,265,338.33","755,057,826.40","314,649,718.01","296,000,000.00","425,000,000.00","636,000,000.00","359,535,242.84","386,000,000.00","406,000,000.00","696,312,000.00","566,312,000.00","499,370,000.00","663,349,976.00","622,747,632.00","674,105,186.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"550,106,798.78","7,046,113.22","12,508,861.10",,,,"5,046,183.71","5,161,786.57"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"419,251,328.08","363,598,903.96","684,362,596.56","825,690,794.47","904,173,016.88","1,139,249,202.73","1,386,878,698.06","1,379,638,608.70","1,324,730,877.27","2,077,440,351.82","2,467,135,852.39","2,528,691,014.39","2,350,698,591.01","2,563,789,151.49","2,391,410,888.74","3,064,380,019.10","2,451,854,306.79","3,115,209,919.72","3,371,027,336.41","3,220,915,178.54","2,946,933,588.05","2,989,910,584.04","2,940,129,081.85","3,015,518,814.57","3,222,322,156.83","3,787,662,848.98","4,262,379,409.45","3,114,307,335.76","3,010,261,906.31","2,759,521,698.07","2,745,334,315.41","3,484,825,765.19","3,764,839,438.09","4,284,923,187.79"
应付票据,"308,649,991.10","187,833,397.15","174,092,710.30","74,913,311.95","82,628,984.36","106,725,974.21","142,789,256.85","110,939,924.12","140,055,441.05","232,315,985.28","308,289,540.17","255,272,261.97","152,116,599.64","227,385,591.26","178,229,895.01","160,167,468.87","179,917,728.46","197,955,025.27","282,086,155.86","245,963,719.28","238,766,210.59","415,250,631.94","622,705,486.08","811,721,144.52","809,511,905.32","755,286,241.31","1,197,327,673.68","1,525,307,886.66","1,177,820,740.43","1,062,951,426.20","1,028,526,526.04","978,798,364.86","911,552,853.52","1,219,120,231.44"
应收账款,"2,432,166,196.72","2,469,004,592.86","2,755,378,798.22","2,730,970,773.91","2,924,740,836.69","2,638,638,044.43","2,823,332,201.16","2,715,103,890.13","3,639,090,351.71","4,077,499,176.72","4,049,074,262.38","4,160,516,264.94","5,183,188,465.64","5,901,018,890.22","4,991,637,895.16","4,786,232,621.63","6,083,051,557.18","5,990,482,636.95","6,791,532,577.25","6,387,805,001.03","7,690,969,810.67","7,729,129,557.25","8,397,810,747.66","8,142,789,933.42","9,148,479,106.10","9,677,943,969.42","11,042,113,019.98","11,094,799,911.10","12,620,044,280.95","13,173,556,359.71","14,073,862,315.37","13,415,173,240.31","13,924,833,284.29","14,045,076,240.84"
应付账款,"4,522,805,343.58","4,951,306,021.09","5,826,518,536.86","5,362,257,407.52","6,137,488,583.26","6,273,389,627.69","7,518,864,614.72","7,206,704,448.40","8,372,347,006.62","9,203,469,937.62","9,746,255,788.97","9,218,382,369.80","10,691,949,283.82","11,688,182,712.30","13,197,059,937.80","11,812,935,281.91","14,306,997,508.09","15,120,046,704.42","15,697,643,252.69","15,064,526,222.64","17,378,861,206.51","18,584,834,207.98","20,750,658,731.44","19,963,125,555.18","22,308,446,886.98","21,979,834,200.78","24,844,576,107.13","22,123,654,430.28","23,385,240,879.70","23,553,729,560.13","25,244,868,869.02","23,477,678,390.65","23,583,502,018.03","23,468,491,224.79"
预付款项,"4,046,499,380.23","5,582,328,559.15","3,658,611,512.00","3,876,870,249.69","3,664,312,868.87","4,062,323,195.73","3,333,587,919.46","3,941,170,840.06","3,338,459,738.57","3,949,383,986.32","6,019,350,083.26","6,443,072,751.20","9,626,258,034.78","11,014,167,454.60","12,161,927,765.52","13,604,117,810.23","13,354,430,759.52","14,502,689,408.67","17,093,009,087.10","16,916,870,530.63","14,790,202,374.44","14,932,550,774.44","13,360,149,449.55","12,392,532,510.84","11,576,013,049.74","11,183,012,809.78","7,719,732,027.63","8,365,749,262.00","7,081,299,116.14","7,486,377,683.51","6,616,303,410.61","7,822,002,610.92","7,619,636,923.59","7,651,956,607.08"
预收款项,"9,314,749,720.58","10,012,024,275.49","8,450,612,318.21","9,084,858,665.88","8,604,568,627.67","9,718,655,909.96","8,008,004,649.94","8,785,119,955.26","9,088,171,098.86","11,730,082,605.09","14,476,917,411.04","16,371,372,910.63","18,635,540,600.95","20,201,929,174.81","20,593,056,177.47","24,483,901,449.67","24,328,670,212.54","24,727,658,588.79","26,436,204,509.64","25,584,144,613.51","24,310,024,233.25","26,371,537,789.75","24,055,701,846.60","23,551,125,801.49","19,887,350,267.84","20,328,617,881.23","15,197,970,931.17","17,688,613,109.54","14,906,065,661.56","16,051,656,833.73","14,580,251,437.09","16,724,382,051.70","16,164,837,975.98","16,068,969,485.89"
