科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"95,940,150.09","135,846,194.27","218,779,083.21","56,932,516.15","122,073,467.61","213,465,418.71","314,451,808.57","64,143,610.82","117,366,743.70","193,903,833.97","304,241,891.20","97,615,908.11","188,596,001.56","277,787,887.60","368,780,279.64","65,228,557.14","148,471,891.15","222,361,708.69","309,337,001.16","89,854,906.72","176,636,350.80","285,034,570.40","408,538,464.51","45,618,516.10","138,236,184.33","242,409,936.06","409,757,276.55","124,007,557.08","240,508,138.07","334,050,559.45","471,474,596.25","112,632,839.84","232,165,969.33","333,576,337.16","480,831,720.45","124,886,246.55","274,168,177.92","637,243,259.70","882,744,803.06","265,904,523.80"
二、营业利润,"37,056,378.87","57,966,232.15","114,278,930.41","29,381,839.28","62,808,594.74","109,944,199.78","160,438,939.46","13,421,993.84","14,205,797.43","4,360,549.97","-4,812,178.88","3,270,412.82","5,146,209.42","14,684,452.51","11,313,321.46","5,371,741.37","21,197,511.86","27,536,160.31","24,985,755.93","13,279,883.34","27,497,605.74","46,738,209.49","69,182,170.10","-8,494,162.53","24,232,886.89","40,198,842.02","81,461,667.86","23,524,426.63","31,096,312.92","40,441,183.41","48,179,738.41","18,074,531.79","39,096,483.32","51,712,923.62","66,388,009.01","26,169,499.30","46,036,161.31","62,291,103.32","34,111,605.16","38,165,528.52"
减:营业成本,"39,166,595.30","49,502,471.95","62,061,349.64","17,009,257.06","36,680,992.75","65,403,902.50","101,335,372.41","30,323,431.54","60,578,194.36","114,149,543.72","187,676,265.25","67,341,131.40","116,492,355.40","162,478,999.99","210,716,854.85","34,062,612.08","78,248,025.57","116,195,838.68","161,786,183.01","48,020,745.58","88,229,233.73","137,981,189.51","195,987,158.52","25,377,976.48","63,910,847.24","113,736,782.24","205,402,841.23","74,672,058.19","146,958,195.40","201,840,568.49","275,623,419.18","69,986,700.71","136,224,616.26","195,979,636.90","276,527,807.78","69,110,926.10","149,860,864.85","345,707,076.05","488,499,449.59","140,208,957.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,118,345.14","1,517,899.73","2,229,774.52","552,764.44","1,110,278.92","2,059,872.00","3,072,226.83","542,419.35","1,286,431.43","1,615,286.81","2,258,049.45","738,554.91","1,560,444.08","2,496,056.56","3,610,454.26","874,957.82","1,860,813.13","2,598,073.86","3,619,055.60","894,242.03","1,762,879.52","3,037,749.72","4,970,695.04","426,013.78","1,435,764.20","2,037,475.78","3,830,680.64","1,004,942.59","2,081,661.67","2,753,866.43","6,000,755.56","1,491,295.94","3,626,906.59","5,031,910.11","8,088,860.54","2,218,697.08","4,765,949.10","9,075,274.08","12,819,677.60","3,709,188.44"
营业外收入,"36,186.44","5,910.06","1,687,202.40","869,201.86","3,196,513.39","4,203,538.43","7,258,577.84","1,116,747.06","1,571,517.60","10,634,453.63","8,775,833.76","736,820.42","1,807,259.25","21,459,075.22","25,950,587.50","2,811,155.07","4,477,075.56","6,166,279.78","8,717,611.65","1,302,989.61","3,059,406.72","4,205,983.54","16,120,762.15","390,035.73","1,537,446.27","2,996,438.35","7,988,870.43","479,731.64","2,089,518.35","2,499,692.36","2,582,119.18","1,395,732.36","2,062,544.24","2,506,063.29","223,044.24","3,803.48","3,965.10","149,867.04","1,929,446.43","171,492.19"
销售费用,"11,880,508.90","13,196,739.30","21,753,346.82","3,766,003.41","8,848,916.48","17,373,692.10","32,137,500.75","6,606,338.32","32,150,655.08","58,878,523.40","80,141,823.02","14,512,679.21","43,554,560.96","63,659,856.92","87,122,738.91","11,602,781.75","24,477,175.71","36,947,416.68","50,687,153.78","10,266,670.83","22,421,348.10","45,058,316.85","61,046,467.00","8,863,366.33","20,262,651.87","33,229,531.44","47,123,618.53","6,618,909.19","19,482,809.74","31,401,122.60","55,717,412.24","11,173,795.33","26,635,778.24","37,664,982.85","63,315,352.67","14,396,429.88","34,804,741.96","123,815,556.94","194,409,335.04","41,920,173.02"
减:营业外支出,"193,404.73","326,734.81","38,622.09","1,000.00","252,914.48","252,290.28","1,219,458.92","348,155.13","81,137.30","170,195.41","4,862,939.30","35,208.56","254,290.92","13,442,477.17","11,405,566.19","9,634.87","2,263,682.12","3,814,848.73","4,435,688.10","598,040.41","698,391.41","2,433,696.73","6,326,226.33","72,835.87","300,068.07","670,241.28","2,887,812.38","297,869.86","939,924.11","1,087,863.89","1,874,244.40","198,820.92","309,390.34","671,925.60","4,244,961.91","48,350.30","557,194.31","1,316,593.85","1,897,389.01","310,914.07"
管理费用,"7,699,062.29","14,845,970.00","20,409,045.95","6,313,636.71","13,211,194.77","20,636,752.83","36,983,520.59","15,188,419.29","24,300,294.22","39,456,067.70","69,758,588.75","20,094,516.38","39,118,472.33","60,482,963.69","88,312,845.83","21,002,804.75","38,861,574.39","61,791,230.70","88,992,478.22","25,025,836.50","46,200,273.34","68,487,003.71","99,614,633.23","27,486,421.42","46,914,603.23","79,145,633.81","98,727,354.34","23,870,342.48","51,105,436.13","72,179,521.55","98,338,269.62","20,427,306.61","44,108,769.13","67,692,526.17","89,449,446.35","24,352,181.57","53,537,068.47","90,620,725.77","126,614,474.15","34,260,207.44"
其中:非流动资产处置净损失,"139,750.85",,"4,804.82",,,,"15,102.54",,,,"87,421.30",,,,"628,700.13",,"108,334.06",,"138,471.74",,"7,640.81","8,466.44","317,992.66",,"37,088.52","37,088.52","1,493,482.34",,"13,018.60","15,882.51","55,658.94",,300.58,"22,062.35",,,,,,
